,ts,open,high,low,close,volume
0,1523937600000,0.01,0.025,0.01,0.02164,1202864.58
1,1523941200000,0.02172,0.0225,0.0212,0.02132,1798622.35
2,1523944800000,0.02132,0.02168,0.02022,0.02159,641392.09
3,1523948400000,0.02093,0.02139,0.02063,0.02065,484602.2
4,1523952000000,0.02065,0.02099,0.02031,0.02067,396933.96
5,1523955600000,0.02066,0.02098,0.0205,0.02085,393158.0
6,1523959200000,0.02081,0.02106,0.02056,0.02086,265761.89
7,1523962800000,0.02086,0.02123,0.02063,0.02122,258087.54
8,1523966400000,0.0211,0.02161,0.02099,0.02102,611234.81
9,1523970000000,0.02102,0.02145,0.02086,0.02094,465023.19
10,1523973600000,0.02094,0.02116,0.0208,0.02099,827682.04
11,1523977200000,0.02099,0.02111,0.0208,0.02104,412630.19
12,1523980800000,0.0211,0.0212,0.0208,0.02081,301177.06
13,1523984400000,0.02082,0.02116,0.0208,0.02116,129830.67
14,1523988000000,0.02105,0.02117,0.02072,0.02076,258220.9
15,1523991600000,0.02081,0.02121,0.02076,0.02119,303464.89
16,1523995200000,0.02119,0.02142,0.02108,0.02131,127811.45
17,1523998800000,0.02134,0.02143,0.02116,0.02131,218943.55
18,1524002400000,0.02131,0.02133,0.02101,0.02115,342974.5
