,ts,open,high,low,close,volume
0,1512043200000,9e-06,8.9e-05,9e-06,1.23e-05,5468798.0
1,1512046800000,1.23e-05,1.231e-05,1.107e-05,1.135e-05,4706220.0
2,1512050400000,1.135e-05,1.27e-05,1.134e-05,1.221e-05,7824209.0
3,1512054000000,1.221e-05,1.222e-05,1.146e-05,1.189e-05,6190482.0
4,1512057600000,1.194e-05,1.271e-05,1.169e-05,1.212e-05,8185846.0
5,1512061200000,1.213e-05,1.271e-05,1.201e-05,1.259e-05,6219994.0
6,1512064800000,1.26e-05,1.263e-05,1.163e-05,1.18e-05,5503886.0
7,1512068400000,1.18e-05,1.205e-05,1.16e-05,1.177e-05,4944653.0
8,1512072000000,1.176e-05,1.195e-05,1.136e-05,1.195e-05,5670732.0
9,1512075600000,1.194e-05,1.248e-05,1.171e-05,1.195e-05,4733617.0
10,1512079200000,1.191e-05,1.25e-05,1.175e-05,1.241e-05,6382630.0
11,1512082800000,1.236e-05,1.3e-05,1.201e-05,1.204e-05,5207513.0
12,1512086400000,1.204e-05,1.209e-05,1.142e-05,1.184e-05,4698755.0
13,1512090000000,1.183e-05,1.204e-05,1.164e-05,1.204e-05,7866226.0
14,1512093600000,1.205e-05,1.218e-05,1.194e-05,1.213e-05,8693752.0
15,1512097200000,1.213e-05,1.214e-05,1.183e-05,1.19e-05,5053336.0
16,1512100800000,1.189e-05,1.2e-05,1.188e-05,1.198e-05,4308169.0
17,1512104400000,1.199e-05,1.201e-05,1.191e-05,1.201e-05,3893927.0
18,1512108000000,1.201e-05,1.202e-05,1.187e-05,1.199e-05,6647331.0
19,1512111600000,1.2e-05,1.218e-05,1.194e-05,1.199e-05,5218126.0
20,1512115200000,1.198e-05,1.22e-05,1.194e-05,1.199e-05,5391751.0
21,1512118800000,1.199e-05,1.206e-05,1.173e-05,1.173e-05,4230876.0
22,1512122400000,1.173e-05,1.204e-05,1.169e-05,1.194e-05,5743764.0
23,1512126000000,1.194e-05,1.24e-05,1.194e-05,1.221e-05,5241270.0
24,1512129600000,1.22e-05,1.265e-05,1.206e-05,1.235e-05,5218201.0
25,1512133200000,1.234e-05,1.244e-05,1.158e-05,1.161e-05,3720450.0
26,1512136800000,1.161e-05,1.23e-05,1.158e-05,1.202e-05,6523318.0
27,1512140400000,1.205e-05,1.222e-05,1.17e-05,1.189e-05,6392649.0
28,1512144000000,1.188e-05,1.204e-05,1.188e-05,1.192e-05,6680965.0
29,1512147600000,1.192e-05,1.199e-05,1.181e-05,1.193e-05,6547421.0
30,1512151200000,1.193e-05,1.196e-05,1.181e-05,1.186e-05,5529907.0
