,ts,open,high,low,close,volume
0,1523937600000,0.25551,0.288,0.25551,0.26664,8143693.23
1,1523941200000,0.2666,0.27798,0.2601,0.262,8317923.61
2,1523944800000,0.26221,0.26396,0.248,0.25664,8420095.41
3,1523948400000,0.25662,0.263,0.25489,0.25698,4686043.91
4,1523952000000,0.25636,0.25998,0.25229,0.25631,3510038.13
5,1523955600000,0.25631,0.2598,0.253,0.25536,2679611.51
6,1523959200000,0.25625,0.25699,0.2532,0.25638,2128096.83
7,1523962800000,0.25638,0.262,0.255,0.26129,1986546.44
8,1523966400000,0.26097,0.2666,0.25596,0.25779,3875487.09
9,1523970000000,0.25779,0.25998,0.257,0.25751,1888973.11
10,1523973600000,0.25751,0.25833,0.25402,0.25445,2882083.12
11,1523977200000,0.25512,0.257,0.254,0.2557,1501742.57
12,1523980800000,0.2557,0.257,0.253,0.25327,1971838.36
13,1523984400000,0.25327,0.258,0.25326,0.2574,1462275.93
14,1523988000000,0.25742,0.2577,0.25039,0.25194,3024891.08
15,1523991600000,0.25194,0.2529,0.248,0.25067,3883669.63
16,1523995200000,0.25067,0.255,0.2485,0.25482,1782619.47
17,1523998800000,0.2548,0.25499,0.2515,0.25208,1145260.45
18,1524002400000,0.25203,0.25203,0.2465,0.24719,1079224.8
