,ts,open,high,low,close,volume
0,1511924400000,0.905,0.905,0.5,0.89499,1281.88
1,1511928000000,0.579,0.79999,0.579,0.725,378.55
2,1511931600000,0.72514,0.72516,0.72514,0.72516,104.0
3,1511935200000,0.72516,0.72516,0.72001,0.72001,439.88
4,1511938800000,0.72001,0.72001,0.72001,0.72001,0.0
5,1511942400000,0.72001,0.72001,0.72001,0.72001,0.0
6,1511946000000,0.65,0.65,0.65,0.65,149.85
7,1511949600000,0.65,0.65,0.64695,0.64695,32.98
8,1511953200000,0.65699,0.65699,0.65698,0.65698,424.0
9,1511956800000,0.65698,0.65698,0.65698,0.65698,0.0
10,1511960400000,0.65698,0.65698,0.65698,0.65698,252.0
11,1511964000000,0.64695,0.64695,0.57917,0.57918,1311.71
12,1511967600000,0.57923,0.57923,0.57922,0.57923,1343.99
13,1511971200000,0.62906,0.6385,0.62906,0.63518,1268.24
14,1511974800000,0.63514,0.63514,0.63514,0.63514,1.22
15,1511978400000,0.63514,0.63514,0.63514,0.63514,0.0
16,1511982000000,0.57923,0.57923,0.57919,0.57919,1109.25
17,1511985600000,0.57923,0.57923,0.57849,0.5785,1190.3
18,1511989200000,0.54932,0.57849,0.54931,0.57849,2117.0
19,1511992800000,0.5785,0.57919,0.5655,0.5655,334.0
20,1511996400000,0.56551,0.56551,0.56551,0.56551,0.25
21,1512000000000,0.59899,0.599,0.565,0.565,1382.07
22,1512003600000,0.565,0.565,0.565,0.565,0.0
23,1512007200000,0.65825,0.65825,0.65825,0.65825,19.0
24,1512010800000,0.56501,0.56501,0.565,0.56501,65.0
25,1512014400000,0.565,0.60676,0.565,0.57638,129284.69
26,1512018000000,0.57639,0.60873,0.53661,0.58842,131558.77
27,1512021600000,0.56251,0.59947,0.55165,0.59764,202568.09
28,1512025200000,0.59672,0.61518,0.564,0.61494,186969.13
29,1512028800000,0.5793,0.61453,0.56906,0.5767,103797.41
30,1512032400000,0.57821,0.58705,0.55393,0.56697,60668.74
31,1512036000000,0.56681,0.57654,0.54158,0.54504,69428.33
32,1512039600000,0.54085,0.54677,0.52426,0.54578,66773.54
33,1512043200000,0.5448,0.55111,0.52624,0.54085,62625.41
34,1512046800000,0.53733,0.53733,0.51623,0.52127,47916.65
35,1512050400000,0.51932,0.53214,0.51275,0.5228,43378.1
36,1512054000000,0.52002,0.54776,0.51679,0.54773,43392.15
37,1512057600000,0.54743,0.56922,0.54419,0.56117,36238.8
38,1512061200000,0.55462,0.56183,0.54773,0.55378,61316.24
39,1512064800000,0.55701,0.58999,0.54602,0.58972,44530.15
40,1512068400000,0.58244,0.64644,0.58244,0.63736,35044.06
41,1512072000000,0.62997,0.63492,0.60899,0.61872,12661.85
42,1512075600000,0.60713,0.62368,0.60345,0.61555,40362.9
43,1512079200000,0.61962,0.64992,0.60721,0.61206,33273.04
44,1512082800000,0.61212,0.61212,0.55018,0.55018,37890.08
45,1512086400000,0.55954,0.58063,0.54298,0.56363,40487.47
46,1512090000000,0.56912,0.57835,0.56026,0.56026,16428.76
47,1512093600000,0.55939,0.56563,0.53835,0.55072,10767.51
48,1512097200000,0.55082,0.55429,0.52631,0.54017,17796.31
49,1512100800000,0.54024,0.55839,0.53319,0.55247,19423.33
50,1512104400000,0.54734,0.56341,0.54374,0.55909,10939.75
51,1512108000000,0.5549,0.56163,0.54749,0.54785,41431.0
52,1512111600000,0.55026,0.55026,0.53381,0.53381,14532.26
53,1512115200000,0.5427,0.5427,0.53207,0.53972,9543.35
54,1512118800000,0.53787,0.55351,0.53787,0.54924,11354.73
55,1512122400000,0.54748,0.55546,0.54394,0.54916,14451.4
56,1512126000000,0.55378,0.57671,0.55145,0.56892,23312.95
57,1512129600000,0.5662,0.57708,0.55994,0.57705,22980.52
58,1512133200000,0.5743,0.60907,0.57156,0.57884,29747.77
59,1512136800000,0.57761,0.57876,0.56028,0.57643,19135.53
60,1512140400000,0.57643,0.59231,0.5751,0.58493,10684.38
61,1512144000000,0.5901,0.62986,0.5901,0.61633,39534.15
62,1512147600000,0.61171,0.61386,0.59749,0.6018,11091.4
63,1512151200000,0.59518,0.6,0.58725,0.58725,8885.34
64,1512154800000,0.59285,0.60772,0.58678,0.60055,35245.44
65,1512158400000,0.60205,0.60967,0.57861,0.58871,46576.55
66,1512162000000,0.59468,0.59468,0.57007,0.57482,9939.8
67,1512165600000,0.56983,0.59638,0.56686,0.59589,21264.91
68,1512169200000,0.58745,0.5914,0.57346,0.57348,31561.44
69,1512172800000,0.57347,0.57745,0.56074,0.56074,16023.46
70,1512176400000,0.56314,0.57218,0.55993,0.56041,18320.91
71,1512180000000,0.56912,0.56946,0.55992,0.56531,59876.36
72,1512183600000,0.57237,0.57628,0.56331,0.56997,31802.91
73,1512187200000,0.57574,0.57664,0.56997,0.57104,32384.33
74,1512190800000,0.57052,0.58217,0.57051,0.57051,32943.85
75,1512194400000,0.57051,0.57654,0.5705,0.57053,77632.72
76,1512198000000,0.57052,0.57918,0.56302,0.57167,57072.27
77,1512201600000,0.57157,0.57986,0.57091,0.57169,52744.79
78,1512205200000,0.57349,0.57825,0.57091,0.57094,21424.9
79,1512208800000,0.57144,0.58593,0.57144,0.57357,42301.75
80,1512212400000,0.57411,0.58251,0.55967,0.56045,43420.89
81,1512216000000,0.56046,0.57236,0.56045,0.56224,28655.0
82,1512219600000,0.56722,0.58724,0.56664,0.58157,14925.56
83,1512223200000,0.58269,0.59363,0.57842,0.5805,51706.93
84,1512226800000,0.58181,0.58491,0.56751,0.57716,65202.23
85,1512230400000,0.57934,0.58534,0.57715,0.58416,26007.37
86,1512234000000,0.58534,0.5874,0.57715,0.5817,38790.26
87,1512237600000,0.5818,0.58875,0.57882,0.57885,38608.63
88,1512241200000,0.58088,0.58578,0.57147,0.57148,63680.41
89,1512244800000,0.57502,0.57571,0.55934,0.57256,16499.19
90,1512248400000,0.56916,0.57295,0.55786,0.56237,23955.42
91,1512252000000,0.56686,0.56981,0.55584,0.55742,42860.06
92,1512255600000,0.55741,0.56614,0.55001,0.55954,25726.86
93,1512259200000,0.57232,0.57232,0.55366,0.55367,26190.34
94,1512262800000,0.55739,0.56914,0.55366,0.55435,39530.64
95,1512266400000,0.55812,0.56232,0.55366,0.55613,29104.2
96,1512270000000,0.56127,0.56524,0.55611,0.55857,26774.79
97,1512273600000,0.56208,0.58255,0.55665,0.55665,18808.22
98,1512277200000,0.55665,0.56822,0.55615,0.5578,46365.84
99,1512280800000,0.56361,0.58417,0.55601,0.57419,76388.99
100,1512284400000,0.58423,0.5849,0.56905,0.57266,32995.12
101,1512288000000,0.56994,0.5791,0.56355,0.57179,68013.51
102,1512291600000,0.57669,0.57908,0.56677,0.56976,74984.4
103,1512295200000,0.56976,0.57801,0.56133,0.56133,39439.69
104,1512298800000,0.56282,0.56796,0.56132,0.56133,38994.88
105,1512302400000,0.57203,0.57203,0.56133,0.56327,36876.66
106,1512306000000,0.56732,0.57127,0.56133,0.56134,51968.36
107,1512309600000,0.56135,0.57229,0.55711,0.55712,40704.94
108,1512313200000,0.56152,0.60891,0.51055,0.60692,58609.67
109,1512316800000,0.6078,0.6078,0.56491,0.57093,22398.74
110,1512320400000,0.56237,0.58988,0.55839,0.57945,41261.66
111,1512324000000,0.58556,0.5921,0.58036,0.58194,62875.01
112,1512327600000,0.58182,0.58726,0.55787,0.55787,42812.57
113,1512331200000,0.55827,0.57417,0.55821,0.56423,59802.01
114,1512334800000,0.56432,0.57147,0.54177,0.55416,53554.02
115,1512338400000,0.55419,0.56007,0.5309,0.53347,55705.37
116,1512342000000,0.53596,0.5691,0.53265,0.56824,44000.33
117,1512345600000,0.5589,0.57585,0.54941,0.5717,60775.05
118,1512349200000,0.56811,0.61,0.56649,0.61,62687.29
119,1512352800000,0.61,0.63403,0.56947,0.59188,72239.11
120,1512356400000,0.57625,0.58123,0.55407,0.57729,70159.1
121,1512360000000,0.56945,0.59225,0.5666,0.56844,40460.03
122,1512363600000,0.56827,0.59838,0.55109,0.55109,20362.46
123,1512367200000,0.55109,0.55109,0.55109,0.55109,0.0
124,1512370800000,0.55704,0.57921,0.55686,0.55971,45850.16
125,1512374400000,0.56918,0.59451,0.56701,0.58725,77989.09
126,1512378000000,0.58751,0.59491,0.58721,0.59425,3135.23
127,1512381600000,0.59044,0.59044,0.56794,0.57305,20567.23
128,1512385200000,0.57756,0.57756,0.54567,0.55841,34822.78
129,1512388800000,0.569,0.58112,0.55562,0.55562,30826.0
130,1512392400000,0.56734,0.57113,0.55563,0.55564,3336.23
131,1512396000000,0.55596,0.59067,0.55596,0.57101,21572.93
132,1512399600000,0.57285,0.57285,0.54518,0.55379,26705.73
133,1512403200000,0.54518,0.54951,0.54518,0.5452,19683.04
134,1512406800000,0.54533,0.55917,0.54519,0.54529,31917.36
135,1512410400000,0.54632,0.57043,0.54515,0.567,44754.99
136,1512414000000,0.57552,0.59938,0.56343,0.57979,43230.19
137,1512417600000,0.59039,0.60337,0.57524,0.58389,50386.98
138,1512421200000,0.58517,0.59273,0.5782,0.58869,51331.76
139,1512424800000,0.59607,0.6018,0.58426,0.58433,40554.08
140,1512428400000,0.58642,0.59819,0.56797,0.59097,25888.31
141,1512432000000,0.59668,0.60722,0.5702,0.57944,46727.08
142,1512435600000,0.58037,0.58077,0.54,0.54002,52932.36
143,1512439200000,0.54,0.54229,0.52641,0.52995,34931.19
144,1512442800000,0.53486,0.54464,0.52995,0.53761,62687.44
145,1512446400000,0.53801,0.56015,0.53801,0.53971,56438.15
146,1512450000000,0.54341,0.55638,0.52438,0.5482,59534.73
147,1512453600000,0.55085,0.56144,0.54237,0.54853,40390.7
148,1512457200000,0.55236,0.56711,0.54758,0.55709,55494.54
149,1512460800000,0.56099,0.56567,0.54758,0.5531,52345.11
150,1512464400000,0.55266,0.57145,0.55024,0.55861,61027.86
151,1512468000000,0.55879,0.57346,0.55154,0.56427,67076.45
152,1512471600000,0.56449,0.58141,0.56449,0.57108,51926.83
153,1512475200000,0.56969,0.58798,0.56287,0.5717,52252.09
154,1512478800000,0.57796,0.59061,0.56542,0.58548,57640.09
155,1512482400000,0.58364,0.58794,0.55856,0.56367,45077.22
156,1512486000000,0.5657,0.57891,0.55457,0.56772,61756.46
157,1512489600000,0.57487,0.57487,0.55133,0.55662,50621.36
158,1512493200000,0.56122,0.57008,0.55118,0.56119,32432.92
159,1512496800000,0.56078,0.5652,0.55002,0.56479,28999.09
160,1512500400000,0.56183,0.56983,0.55439,0.55439,12492.21
161,1512504000000,0.55485,0.56617,0.55088,0.55114,14745.99
162,1512507600000,0.55461,0.5639,0.54758,0.54766,17445.1
163,1512511200000,0.5508,0.56378,0.54904,0.54922,15708.27
164,1512514800000,0.55774,0.56371,0.54758,0.54758,15361.83
165,1512518400000,0.55064,0.55064,0.50116,0.5066,4837.72
166,1512522000000,0.5065,0.5065,0.49016,0.49708,22850.12
