,ts,open,high,low,close,volume
0,1518001200000,0.48997,0.48997,0.31,0.31,117.0
1,1518004800000,0.41997,0.4799,0.32001,0.36473,25107.56
2,1518008400000,0.36375,0.36473,0.34003,0.341,12895.32
3,1518012000000,0.35372,0.35372,0.32,0.33511,11726.94
4,1518015600000,0.33638,0.362,0.33638,0.34512,13612.16
5,1518019200000,0.35197,0.36117,0.34,0.34204,9371.13
6,1518022800000,0.34204,0.35075,0.32512,0.34691,11753.84
7,1518026400000,0.346,0.35074,0.33207,0.34478,2691.73
8,1518030000000,0.33374,0.35071,0.33208,0.34343,2825.8
9,1518033600000,0.34343,0.35297,0.32559,0.3291,6542.96
10,1518037200000,0.32907,0.336,0.322,0.33158,2765.17
11,1518040800000,0.33158,0.33995,0.32202,0.32506,1645.04
12,1518044400000,0.33491,0.33491,0.3131,0.31899,6208.1
13,1518048000000,0.31883,0.33491,0.31591,0.32513,2431.08
14,1518168497615,0.32513,0.32513,0.31,0.323,3029.39
15,1518172097615,0.311,0.32299,0.31,0.31008,4878.34
16,1518175697615,0.31143,0.32299,0.31007,0.31663,2540.19
17,1518179297615,0.31663,0.31999,0.30123,0.31,5271.99
18,1518182897615,0.31,0.31662,0.29105,0.3,5389.94
19,1518186497615,0.29507,0.318,0.281,0.29738,1467.06
20,1518190097615,0.2997,0.31732,0.28818,0.293,7670.6
21,1518193697615,0.2946,0.29835,0.28822,0.28845,104.39
22,1518197297615,0.28864,0.31554,0.28864,0.31554,2819.08
23,1518200897615,0.28846,0.31554,0.28845,0.29292,413.69
24,1518204497615,0.29292,0.30216,0.28906,0.292,557.6
25,1518208097615,0.28906,0.30216,0.28845,0.30214,350.06
26,1518211697615,0.28925,0.29494,0.28925,0.29494,372.59
27,1518215297615,0.29494,0.298,0.2949,0.298,268.91
28,1518218897615,0.29188,0.29783,0.28844,0.28844,877.68
29,1518222497615,0.29,0.29158,0.284,0.284,4898.2
30,1518226097615,0.284,0.2849,0.28,0.283,1665.59
31,1518229697615,0.283,0.29798,0.2785,0.285,2010.92
32,1518233297615,0.28501,0.29087,0.28501,0.29087,2525.89
33,1518236897615,0.29087,0.29783,0.28406,0.2874,7735.08
34,1518240497615,0.29782,0.29782,0.28,0.28501,1277.5
35,1518244097615,0.28501,0.29768,0.28112,0.29,543.91
