,ts,open,high,low,close,volume
0,1518001200000,0.0058,0.005985,0.003494,0.003839,38767.04
1,1518004800000,0.003839,0.004,0.0035,0.0038,557324.76
2,1518008400000,0.003799,0.003895,0.00366,0.003691,127247.28
3,1518012000000,0.003694,0.003745,0.003402,0.003628,127757.52
4,1518015600000,0.003628,0.003891,0.00357,0.00371,97685.01
5,1518019200000,0.00371,0.003829,0.00358,0.00361,46858.88
6,1518022800000,0.00361,0.003793,0.0036,0.003664,55443.56
7,1518026400000,0.00365,0.003699,0.00355,0.003611,38516.6
8,1518030000000,0.003624,0.003711,0.003572,0.003625,27014.52
9,1518033600000,0.003608,0.003621,0.003466,0.003467,41134.99
10,1518037200000,0.003467,0.003555,0.00342,0.0035,25177.38
11,1518040800000,0.003511,0.003635,0.003374,0.003512,67899.81
12,1518044400000,0.003534,0.003582,0.0032,0.003381,34069.54
13,1518048000000,0.003381,0.003599,0.003381,0.00353,16032.29
14,1518168497603,0.00348,0.003572,0.003391,0.003391,32446.26
15,1518172097603,0.003402,0.003437,0.003271,0.0033,28784.36
16,1518175697603,0.0033,0.003434,0.003271,0.003431,19308.32
17,1518179297603,0.003406,0.003431,0.00329,0.003327,37423.63
18,1518182897603,0.003333,0.0034,0.003272,0.003323,24824.02
19,1518186497603,0.003323,0.00342,0.003265,0.00342,20318.78
20,1518190097603,0.00342,0.003431,0.003251,0.003312,14117.87
21,1518193697603,0.003323,0.00335,0.003251,0.003301,14140.14
22,1518197297603,0.003309,0.003341,0.003271,0.003341,11597.26
23,1518200897603,0.003336,0.003343,0.003293,0.003301,4345.65
24,1518204497603,0.003301,0.003338,0.00328,0.003296,5124.18
25,1518208097603,0.003294,0.003317,0.003263,0.003294,11963.31
26,1518211697603,0.003272,0.003304,0.003249,0.003251,7371.13
27,1518215297603,0.003289,0.003325,0.003262,0.003323,4665.95
28,1518218897603,0.003321,0.003335,0.00323,0.003307,10409.56
29,1518222497603,0.003306,0.003322,0.003226,0.003236,14581.87
30,1518226097603,0.003236,0.0033,0.0032,0.003217,60433.73
31,1518229697603,0.003222,0.00331,0.0032,0.003294,21412.86
32,1518233297603,0.003294,0.003345,0.003279,0.003333,14141.32
33,1518236897603,0.003293,0.003295,0.003215,0.003268,7585.97
34,1518240497603,0.003267,0.0033,0.00321,0.00325,6300.02
35,1518244097603,0.003251,0.003293,0.003111,0.003265,20230.61
36,1518247697603,0.003229,0.00329,0.00322,0.003239,8727.15
37,1518251297603,0.003247,0.003255,0.003155,0.003175,17288.14
38,1518254897603,0.003202,0.003265,0.003167,0.003231,7844.49
39,1518258497603,0.003232,0.003241,0.003175,0.003175,11378.0
40,1518262097603,0.003187,0.003187,0.00306,0.00314,18071.79
41,1518265697603,0.003147,0.003191,0.003145,0.003181,10562.7
42,1518269297603,0.003181,0.003197,0.003179,0.003179,18926.63
43,1518272897603,0.003182,0.003264,0.003162,0.00319,19910.71
44,1518276497603,0.003183,0.00323,0.003183,0.003227,26955.22
45,1518280097603,0.003195,0.003226,0.00319,0.00321,10822.98
46,1518283697603,0.003209,0.003227,0.00319,0.003227,8234.86
47,1518287297603,0.003227,0.003248,0.003191,0.003242,1776.19
48,1518290897603,0.003248,0.003258,0.0032,0.00322,2397.26
49,1518294497603,0.003211,0.003265,0.003191,0.003221,4394.27
50,1518298097603,0.003219,0.003264,0.00319,0.003201,3693.96
51,1518301697603,0.003207,0.003293,0.00319,0.003242,10334.76
52,1518305297603,0.003242,0.00326,0.0032,0.003224,5474.19
53,1518308897603,0.003224,0.003242,0.00319,0.003232,13057.12
54,1518312497603,0.00326,0.003291,0.003189,0.00319,23424.21
