,ts,open,high,low,close,volume
0,1513843200000,0.21114,0.21114,0.21114,0.21114,10.0
1,1513846800000,20.21114,20.21114,0.81,0.82999,17095.69
2,1513850400000,0.69003,1.18076,0.6015,1.10999,3056.09
3,1513854000000,1.10938,1.10938,0.89,0.92998,2644.62
4,1513857600000,0.92997,0.92997,0.86471,0.913,1552.8
5,1513861200000,0.913,0.92989,0.765,0.85503,2922.87
6,1513864800000,0.85503,0.865,0.7871,0.83253,3942.22
7,1513868400000,0.82,0.89225,0.778,0.83257,6023.42
8,1513872000000,0.83257,0.89208,0.81006,0.85987,2060.81
9,1513875600000,0.841,0.86,0.79282,0.85426,4171.07
10,1513879200000,0.84978,0.84978,0.81103,0.81251,1154.97
11,1513882800000,0.8201,0.83353,0.744,0.81474,15199.23
12,1513886400000,0.79011,0.86002,0.76118,0.81705,2430.86
13,1513890000000,0.89093,0.90163,0.76135,0.78359,7455.57
14,1513893600000,0.78359,0.84709,0.722,0.8153,4361.31
15,1513897200000,0.8,0.84709,0.77702,0.79375,927.86
16,1513900800000,0.79375,0.847,0.77726,0.78201,2843.43
17,1513904400000,0.79699,0.80988,0.75,0.80899,2392.95
18,1513908000000,0.7621,0.80881,0.75547,0.771,744.79
19,1513911600000,0.771,0.82185,0.771,0.78011,1599.26
20,1513915200000,0.78011,0.84702,0.7801,0.84199,4388.43
21,1513918800000,0.84199,0.84702,0.78012,0.80005,5118.65
22,1513922400000,0.80005,0.80978,0.77,0.80978,2581.61
23,1513926000000,0.80978,0.82888,0.76569,0.81999,7594.93
24,1513929600000,0.81985,0.84541,0.8,0.80007,2978.3
25,1513933200000,0.818,0.84004,0.78161,0.81001,9032.29
26,1513936800000,0.81001,0.83941,0.79,0.82,3052.89
27,1513940400000,0.83,0.87205,0.824,0.85,6356.29
28,1513944000000,0.83505,0.87548,0.8,0.8,7171.04
29,1513947600000,0.8,0.85,0.78165,0.82,3828.86
30,1513951200000,0.82,0.84898,0.7601,0.81672,1073.31
31,1513954800000,0.81672,0.817,0.7754,0.817,2901.49
32,1513958400000,0.817,0.83896,0.76012,0.76012,1575.7
33,1513962000000,0.764,0.82,0.76306,0.82,1033.72
34,1513965600000,0.795,0.8,0.795,0.795,386.09
35,1513969200000,0.795,0.83,0.7869,0.78701,3594.72
36,1513972800000,0.79601,0.79611,0.77636,0.77636,264.35
37,1513976400000,0.77637,0.77638,0.7669,0.77102,339.64
38,1513980000000,0.78504,0.82998,0.771,0.82978,904.05
