,ts,open,high,low,close,volume
0,1513843200000,0.0012,0.004,0.0003,0.0021997,21232.75
1,1513846800000,0.0021997,0.0021997,0.00025,0.000262,1247672.2
2,1513850400000,0.000262,0.000334,0.000234,0.0003103,633848.1
3,1513854000000,0.0003103,0.000317,0.0002808,0.0002944,245619.05
4,1513857600000,0.0002944,0.0003019,0.0002875,0.0002974,145613.54
5,1513861200000,0.0002974,0.0002975,0.000251,0.0002732,220937.92
6,1513864800000,0.000275,0.000276,0.0002556,0.0002601,154440.24
7,1513868400000,0.0002601,0.000281,0.0002521,0.000261,202971.26
8,1513872000000,0.0002606,0.0002747,0.0002601,0.0002713,92178.21
9,1513875600000,0.0002713,0.0002799,0.0002578,0.0002695,84015.79
10,1513879200000,0.0002695,0.0002775,0.000257,0.0002645,75386.12
11,1513882800000,0.0002645,0.0002778,0.000235,0.0002577,189737.94
12,1513886400000,0.0002577,0.000278,0.0002547,0.0002779,95518.84
13,1513890000000,0.0002778,0.00028,0.0002501,0.0002637,197384.87
14,1513893600000,0.0002636,0.000278,0.0002377,0.0002704,188044.31
15,1513897200000,0.0002704,0.0002886,0.0002695,0.0002765,72386.31
16,1513900800000,0.0002751,0.0002765,0.00026,0.0002652,64638.67
17,1513904400000,0.0002652,0.000275,0.0002605,0.000267,109433.02
18,1513908000000,0.000267,0.0002699,0.000255,0.0002602,53068.82
19,1513911600000,0.0002602,0.0002697,0.0002475,0.0002475,53830.49
20,1513915200000,0.0002489,0.0002781,0.0002475,0.0002706,58530.96
21,1513918800000,0.0002706,0.0002747,0.0002531,0.0002537,86884.42
22,1513922400000,0.0002538,0.0002659,0.0002518,0.00026,67825.75
23,1513926000000,0.00026,0.000264,0.0002478,0.000254,74239.32
24,1513929600000,0.000254,0.0002684,0.00025,0.0002658,76997.36
25,1513933200000,0.0002577,0.0002699,0.000255,0.0002671,49406.72
26,1513936800000,0.0002671,0.0002699,0.0002525,0.0002664,39279.01
27,1513940400000,0.0002675,0.0002839,0.0002581,0.00027,77452.29
28,1513944000000,0.00027,0.0002729,0.000261,0.0002619,14951.42
29,1513947600000,0.0002619,0.00027,0.0002596,0.0002624,33540.4
30,1513951200000,0.0002624,0.0002624,0.000245,0.0002451,80737.05
31,1513954800000,0.0002451,0.000262,0.000242,0.0002599,25015.19
32,1513958400000,0.0002589,0.000259,0.0002479,0.0002496,29616.31
33,1513962000000,0.0002494,0.0002599,0.0002494,0.0002552,36325.3
34,1513965600000,0.0002551,0.0002552,0.0002475,0.0002541,24860.61
35,1513969200000,0.000254,0.0002572,0.000247,0.0002476,38667.91
36,1513972800000,0.0002476,0.00025,0.000245,0.0002475,28098.02
37,1513976400000,0.0002465,0.0002569,0.000245,0.0002516,27319.43
38,1513980000000,0.0002516,0.000257,0.0002467,0.0002559,34771.1
39,1513983600000,0.0002558,0.0002558,0.0002468,0.0002487,19085.9
40,1513987200000,0.0002487,0.000253,0.000247,0.0002478,7967.15
41,1513990800000,0.0002479,0.000262,0.0002451,0.000254,73786.67
42,1513994400000,0.0002609,0.0002689,0.0002468,0.00026,68216.86
43,1513998000000,0.000256,0.0002609,0.0002465,0.00025,47525.44
44,1514001600000,0.0002522,0.0002567,0.0002503,0.0002515,13685.31
45,1514005200000,0.0002515,0.0002589,0.0002514,0.0002553,11607.47
46,1514008800000,0.0002553,0.000257,0.000245,0.0002564,55363.13
47,1514012400000,0.000255,0.0002651,0.0002495,0.0002649,27853.3
48,1514016000000,0.00026,0.0002719,0.00025,0.0002535,111553.24
49,1514019600000,0.0002551,0.000265,0.000247,0.000265,72921.16
50,1514023200000,0.0002548,0.000266,0.0002511,0.0002591,44502.71
51,1514026800000,0.0002592,0.0002847,0.000255,0.0002845,94521.16
52,1514030400000,0.0002845,0.0002999,0.0002731,0.000275,81249.79
53,1514034000000,0.000275,0.0002999,0.000275,0.0002985,44848.74
54,1514037600000,0.0002926,0.000315,0.0002859,0.000302,102417.12
55,1514041200000,0.0003022,0.000315,0.0002901,0.0002924,76852.06
56,1514044800000,0.0003,0.00031,0.0002752,0.0002979,106125.96
57,1514048400000,0.0002979,0.0002979,0.000275,0.0002839,52793.56
58,1514052000000,0.0002839,0.000296,0.0002814,0.0002839,52810.83
59,1514055600000,0.0002865,0.0002978,0.0002835,0.0002881,85942.62
60,1514059200000,0.0002881,0.000302,0.0002841,0.000295,37800.99
61,1514062800000,0.000295,0.0003118,0.00029,0.000296,72226.62
62,1514066400000,0.0002961,0.000309,0.0002904,0.0003,22443.91
63,1514070000000,0.0003,0.0003028,0.000282,0.000282,70762.13
64,1514073600000,0.0002849,0.0002992,0.0002767,0.000283,35870.15
65,1514077200000,0.000281,0.0002999,0.000281,0.0002827,20931.02
66,1514080800000,0.0002827,0.0002935,0.0002778,0.0002784,30113.22
67,1514084400000,0.0002784,0.000292,0.000277,0.0002825,17982.82
68,1514088000000,0.0002824,0.0002865,0.0002734,0.0002865,18215.89
69,1514091600000,0.0002865,0.0002865,0.0002752,0.0002801,15487.65
70,1514095200000,0.000283,0.000288,0.0002799,0.0002869,19525.12
71,1514098800000,0.0002899,0.0002978,0.0002799,0.0002831,21617.7
72,1514102400000,0.0002831,0.0003026,0.000277,0.000291,36381.95
73,1514106000000,0.000291,0.0003,0.0002845,0.0002875,10014.89
74,1514109600000,0.0002876,0.0002933,0.0002824,0.000285,21462.8
75,1514113200000,0.000285,0.000298,0.000285,0.0002853,15455.11
76,1514116800000,0.0002864,0.0003075,0.0002842,0.000295,17726.85
77,1514120400000,0.0002946,0.000301,0.0002905,0.000295,14315.39
78,1514124000000,0.000295,0.00031,0.0002933,0.0002933,26614.08
79,1514127600000,0.0002983,0.0002983,0.0002876,0.0002923,14551.59
80,1514131200000,0.0002919,0.0002958,0.000285,0.0002911,26879.48
81,1514134800000,0.0002903,0.0002929,0.0002872,0.0002929,8316.34
82,1514138400000,0.0002928,0.000302,0.0002818,0.0002838,34291.2
83,1514142000000,0.0002862,0.000302,0.000278,0.0002882,48719.84
84,1514145600000,0.0002876,0.0002899,0.000275,0.00028,29670.77
85,1514149200000,0.000281,0.0002892,0.00028,0.000281,6690.13
86,1514152800000,0.0002813,0.000292,0.0002806,0.0002828,26792.59
87,1514156400000,0.0002828,0.0002882,0.0002725,0.0002735,25482.88
88,1514160000000,0.0002779,0.0002877,0.00027,0.0002845,26604.94
89,1514163600000,0.0002845,0.000285,0.0002771,0.00028,6870.38
90,1514167200000,0.0002849,0.0002895,0.00026,0.0002756,44654.23
91,1514170800000,0.0002754,0.0002861,0.000268,0.0002722,24221.71
92,1514174400000,0.0002722,0.0002722,0.00025,0.0002589,62521.04
93,1514178000000,0.0002589,0.0002683,0.0002544,0.0002611,20138.41
