,ts,open,high,low,close,volume
0,1513843200000,0.03,0.031,0.03,0.03,850.93
1,1513846800000,0.0315,0.032,0.005,0.005288,312931.09
2,1513850400000,0.0053,0.006637,0.0047,0.006301,308397.69
3,1513854000000,0.006302,0.00655,0.005697,0.00594,128164.53
4,1513857600000,0.00594,0.00595,0.005624,0.005876,40266.5
5,1513861200000,0.005876,0.005899,0.0049,0.005309,137157.73
6,1513864800000,0.005312,0.0055,0.00499,0.005196,82159.99
7,1513868400000,0.005195,0.00575,0.005034,0.005151,52712.17
8,1513872000000,0.005177,0.005515,0.005177,0.005414,44257.94
9,1513875600000,0.005414,0.005414,0.005161,0.005203,29846.7
10,1513879200000,0.005292,0.005304,0.005068,0.005086,18988.09
11,1513882800000,0.0052,0.0052,0.004691,0.005196,71351.32
12,1513886400000,0.005181,0.005741,0.005002,0.005518,37427.67
13,1513890000000,0.005526,0.00575,0.005063,0.005397,53197.9
14,1513893600000,0.005397,0.0055,0.00485,0.0054,37608.46
15,1513897200000,0.005486,0.0055,0.005209,0.005452,13495.95
16,1513900800000,0.005452,0.0055,0.005101,0.005158,18823.29
17,1513904400000,0.005158,0.005249,0.005116,0.005249,37448.29
18,1513908000000,0.005249,0.005498,0.00501,0.005174,24937.56
19,1513911600000,0.005165,0.005448,0.005003,0.005003,25411.52
20,1513915200000,0.005199,0.0056,0.005122,0.005592,37517.5
21,1513918800000,0.005592,0.005599,0.005132,0.005132,31755.43
22,1513922400000,0.005132,0.005399,0.005069,0.0053,23295.33
23,1513926000000,0.0053,0.005588,0.005155,0.005285,17334.77
24,1513929600000,0.005302,0.0055,0.005157,0.005459,28541.04
25,1513933200000,0.005453,0.005586,0.005303,0.005471,21993.78
26,1513936800000,0.005471,0.005576,0.005313,0.005509,27064.75
27,1513940400000,0.005549,0.005948,0.005406,0.005601,53558.56
28,1513944000000,0.005601,0.005643,0.0055,0.0055,22391.91
29,1513947600000,0.005515,0.005798,0.005407,0.00563,15045.14
30,1513951200000,0.005483,0.0055,0.0052,0.005201,14444.85
31,1513954800000,0.0053,0.0054,0.0052,0.005309,17407.94
32,1513958400000,0.005309,0.005497,0.005155,0.005155,12166.78
33,1513962000000,0.005155,0.005401,0.005151,0.00519,7789.64
34,1513965600000,0.00525,0.005389,0.005188,0.005188,28149.08
35,1513969200000,0.005243,0.005388,0.005,0.0052,28972.23
36,1513972800000,0.0052,0.005238,0.00504,0.005127,20078.1
37,1513976400000,0.0052,0.005388,0.005089,0.0053,11174.23
38,1513980000000,0.0053,0.005466,0.005232,0.005302,10325.98
39,1513983600000,0.005302,0.005389,0.00516,0.0053,4288.46
40,1513987200000,0.0053,0.00534,0.005089,0.005299,2997.45
41,1513990800000,0.005217,0.005337,0.005,0.0052,13498.75
42,1513994400000,0.0052,0.00535,0.005001,0.005255,26583.8
43,1513998000000,0.005255,0.005399,0.00505,0.005192,13638.22
44,1514001600000,0.005192,0.00538,0.005062,0.005198,9712.3
45,1514005200000,0.005198,0.005265,0.005089,0.005219,14070.07
46,1514008800000,0.005223,0.005298,0.005101,0.005141,8360.32
47,1514012400000,0.005141,0.005297,0.005141,0.005297,9455.32
48,1514016000000,0.005297,0.00555,0.005109,0.005109,49904.67
49,1514019600000,0.00517,0.0053,0.005081,0.005299,42599.22
50,1514023200000,0.005298,0.005408,0.005152,0.0053,18724.87
51,1514026800000,0.005318,0.00589,0.00521,0.00589,39422.7
52,1514030400000,0.00589,0.005987,0.005633,0.005691,28869.56
53,1514034000000,0.00572,0.006241,0.005692,0.006117,28437.65
54,1514037600000,0.006117,0.0064,0.005952,0.006301,49051.43
55,1514041200000,0.006399,0.006587,0.006003,0.006003,52645.22
56,1514044800000,0.006249,0.00635,0.005953,0.006115,21672.36
57,1514048400000,0.006119,0.00624,0.0058,0.005843,15651.46
58,1514052000000,0.005844,0.006098,0.005843,0.005941,30952.85
59,1514055600000,0.005875,0.006,0.005875,0.00595,51026.52
60,1514059200000,0.005911,0.006118,0.00591,0.006117,29179.96
61,1514062800000,0.006117,0.0064,0.006061,0.006213,21456.78
62,1514066400000,0.006186,0.00637,0.006186,0.006235,8936.17
63,1514070000000,0.0063,0.006349,0.005841,0.005942,15023.93
64,1514073600000,0.005942,0.005942,0.005701,0.005899,10913.1
65,1514077200000,0.005886,0.006285,0.005853,0.00602,10806.79
66,1514080800000,0.006022,0.006022,0.00575,0.005803,8332.05
67,1514084400000,0.005825,0.005947,0.005754,0.00582,4626.38
68,1514088000000,0.005924,0.005959,0.005618,0.005618,11490.8
69,1514091600000,0.005779,0.005811,0.0057,0.005811,4463.4
70,1514095200000,0.005811,0.005947,0.005811,0.00591,10160.19
71,1514098800000,0.005947,0.005954,0.005754,0.005871,14402.18
72,1514102400000,0.005871,0.006298,0.005766,0.006298,17601.59
73,1514106000000,0.006288,0.006288,0.005801,0.006175,1317.7
74,1514109600000,0.00601,0.00617,0.00576,0.006,10259.91
75,1514113200000,0.006,0.006149,0.00595,0.006002,10005.46
76,1514116800000,0.006003,0.006152,0.005912,0.006076,6310.05
77,1514120400000,0.006075,0.006169,0.006003,0.006052,10184.15
78,1514124000000,0.006085,0.0063,0.005801,0.006163,14696.55
79,1514127600000,0.006163,0.006163,0.005801,0.00604,3110.1
80,1514131200000,0.00604,0.006059,0.005801,0.005826,18016.33
81,1514134800000,0.005844,0.006024,0.005843,0.005856,3255.56
82,1514138400000,0.00602,0.006099,0.005804,0.005828,8755.39
