,ts,open,high,low,close,volume
0,1510329600000,0.11,1.0,0.11,0.18898,107523.17
1,1510333200000,0.18898,0.218,0.16664,0.16664,146731.15
2,1510336800000,0.16497,0.17829,0.14882,0.14882,122542.45
3,1510340400000,0.1451,0.15995,0.13888,0.15136,20281.75
4,1510344000000,0.15288,0.15521,0.14985,0.151,10805.84
5,1510347600000,0.151,0.15288,0.15,0.15136,3745.42
6,1510351200000,0.15136,0.15136,0.13888,0.14761,7753.25
7,1510354800000,0.14761,0.14761,0.14252,0.14325,8968.23
8,1510358400000,0.14468,0.16,0.13266,0.1411,73505.9
9,1510362000000,0.14252,0.14324,0.1411,0.14181,14203.22
10,1510365600000,0.1411,0.14395,0.13305,0.14395,91685.71
11,1510369200000,0.14395,0.145,0.14395,0.14396,3114.64
12,1510372800000,0.14614,0.15544,0.14396,0.148,9676.24
13,1510376400000,0.15,0.15935,0.14605,0.15,80361.96
14,1510380000000,0.15,0.16035,0.14608,0.15,24759.21
15,1510383600000,0.14616,0.15,0.13921,0.13921,34490.15
16,1510387200000,0.1498,0.151,0.1498,0.151,6774.35
17,1510390800000,0.13993,0.13993,0.13993,0.13993,20.0
18,1510394400000,0.15399,0.15399,0.14007,0.15399,752.84
19,1510398000000,0.1519,0.1519,0.14015,0.15,10732.16
20,1510401600000,0.14999,0.151,0.14248,0.14248,11131.88
21,1510405200000,0.14149,0.151,0.14147,0.151,11966.2
22,1510408800000,0.151,0.154,0.14397,0.154,28480.67
23,1510412400000,0.158,0.158,0.154,0.154,2083.04
24,1510416000000,0.154,0.154,0.154,0.154,0.0
25,1510419600000,0.15401,0.15401,0.154,0.154,8355.37
26,1510423200000,0.14533,0.14533,0.14533,0.14533,729.86
27,1510426800000,0.14534,0.14534,0.14534,0.14534,2506.64
28,1510430400000,0.14534,0.14534,0.14534,0.14534,0.0
29,1510434000000,0.14534,0.14534,0.14533,0.14533,1018.04
30,1510437600000,0.147,0.147,0.14533,0.14533,7524.17
31,1510441200000,0.14533,0.14533,0.14467,0.14467,2208.65
32,1510444800000,0.15395,0.15395,0.15395,0.15395,64.0
33,1510448400000,0.15395,0.15395,0.15395,0.15395,187.0
34,1510452000000,0.15395,0.15395,0.15,0.15,2635.96
35,1510455600000,0.15,0.15,0.14466,0.14467,20802.84
36,1510459200000,0.15285,0.154,0.15285,0.154,7233.66
37,1510462800000,0.154,0.154,0.154,0.154,944.5
38,1510466400000,0.15398,0.15398,0.14467,0.1539,7234.57
39,1510470000000,0.1539,0.1544,0.1539,0.15436,916.43
40,1510473600000,0.16191,0.16192,0.1619,0.1619,1168.71
41,1510477200000,0.15865,0.15865,0.15214,0.15214,2385.83
42,1510480800000,0.15011,0.15865,0.148,0.15865,4625.56
43,1510484400000,0.148,0.148,0.14499,0.145,34491.57
44,1510488000000,0.14467,0.14467,0.13999,0.13999,20158.7
45,1510491600000,0.13686,0.15011,0.119,0.13299,200305.14
46,1510495200000,0.13299,0.13299,0.12,0.12021,299309.26
47,1510498800000,0.1254,0.1281,0.12019,0.1281,15230.31
