,ts,open,high,low,close,volume
0,1515168000000,0.2,0.61098,0.08,0.10121,112721.28
1,1515171600000,0.082,0.135,0.082,0.10341,53146.76
2,1515175200000,0.1089,0.116,0.08,0.08,17926.04
3,1515178800000,0.08513,0.097,0.08,0.09098,8873.64
4,1515182400000,0.0909,0.0909,0.08422,0.0898,18184.58
5,1515186000000,0.0898,0.098,0.06,0.07,35043.55
6,1515189600000,0.083,0.2,0.065,0.11339,127627.38
7,1515193200000,0.1134,0.13199,0.09501,0.12994,33267.97
8,1515196800000,0.11893,0.129,0.09909,0.11,41525.49
9,1515200400000,0.11,0.11,0.076,0.08898,25668.68
10,1515204000000,0.08898,0.11,0.078,0.095,18444.53
11,1515207600000,0.08557,0.105,0.08004,0.08898,21189.75
12,1515211200000,0.08898,0.11,0.08011,0.092,8424.46
13,1515214800000,0.1045,0.10995,0.092,0.09476,14266.77
14,1515218400000,0.1079,0.11282,0.09488,0.11282,55011.01
15,1515222000000,0.10833,0.13,0.1081,0.11,20210.24
16,1515225600000,0.11,0.124,0.0999,0.10581,10627.52
17,1515229200000,0.11897,0.18,0.106,0.14999,54701.84
18,1515232800000,0.147,0.18,0.11515,0.156,31983.96
19,1515236400000,0.156,0.2,0.14303,0.16209,59985.5
20,1515240000000,0.16209,0.20999,0.15601,0.19398,50183.67
21,1515243600000,0.20989,0.22,0.16006,0.16111,84823.94
22,1515247200000,0.162,0.17363,0.14,0.15879,54623.51
23,1515250800000,0.16,0.17868,0.14791,0.167,35586.12
24,1515254400000,0.16701,0.17449,0.14791,0.1729,19616.45
25,1515258000000,0.1729,0.17449,0.08806,0.13993,77971.97
26,1515261600000,0.13994,0.15999,0.1057,0.15999,58738.8
27,1515265200000,0.15998,0.24015,0.1401,0.24,245068.6
28,1515268800000,0.229,0.229,0.10602,0.15005,154853.83
29,1515272400000,0.14999,0.18,0.1241,0.155,92149.01
30,1515276000000,0.172,0.176,0.15201,0.165,52185.99
31,1515279600000,0.161,0.1728,0.15,0.16868,43442.48
32,1515283200000,0.15901,0.195,0.15901,0.18498,63848.03
33,1515286800000,0.17999,0.191,0.172,0.17502,38090.5
34,1515290400000,0.17503,0.4999,0.171,0.185,107111.57
35,1515294000000,0.18501,0.19333,0.17501,0.18492,61201.44
36,1515297600000,0.18491,0.19196,0.15901,0.16868,89662.69
37,1515301200000,0.1705,0.1737,0.155,0.15999,70493.63
38,1515304800000,0.15999,0.175,0.14512,0.14901,50628.31
39,1515308400000,0.14907,0.18272,0.14541,0.17001,72710.41
40,1515312000000,0.18265,0.18888,0.16006,0.16221,52453.33
41,1515315600000,0.16221,0.16221,0.14024,0.14891,26167.76
42,1515319200000,0.1442,0.15419,0.14042,0.14499,23835.61
43,1515322800000,0.145,0.14983,0.1301,0.1409,34022.56
44,1515326400000,0.1461,0.1461,0.13425,0.13852,45060.41
45,1515330000000,0.13468,0.13851,0.13001,0.13217,49654.09
46,1515333600000,0.13217,0.14047,0.129,0.13999,49771.5
47,1515337200000,0.138,0.14787,0.13605,0.14503,74364.49
48,1515340800000,0.14503,0.14709,0.13301,0.13463,44679.2
49,1515344400000,0.13474,0.14698,0.13319,0.14252,37487.56
50,1515348000000,0.14252,0.15999,0.1359,0.137,43286.93
51,1515351600000,0.13707,0.15899,0.13707,0.15509,43038.74
52,1515355200000,0.15699,0.18,0.15001,0.16064,98438.26
53,1515358800000,0.16499,0.16868,0.14855,0.15499,19616.39
54,1515362400000,0.1525,0.15529,0.13204,0.14486,50057.63
55,1515366000000,0.14779,0.15867,0.14442,0.1445,35391.96
56,1515369600000,0.14661,0.15498,0.14001,0.14501,24320.68
57,1515373200000,0.145,0.15347,0.14295,0.14705,30622.74
58,1515376800000,0.14739,0.16,0.143,0.15895,41270.77
59,1515380400000,0.15109,0.164,0.15109,0.15951,15055.02
60,1515384000000,0.15627,0.165,0.15614,0.16498,37405.27
61,1515387600000,0.16498,0.17391,0.15947,0.16346,44853.0
62,1515391200000,0.162,0.18,0.1563,0.17181,61267.2
63,1515394800000,0.17011,0.1779,0.16025,0.1616,30692.87
64,1515398400000,0.16177,0.16644,0.1556,0.15687,19991.75
65,1515402000000,0.16353,0.16353,0.15,0.1635,21576.8
66,1515405600000,0.15012,0.15999,0.14501,0.14999,15651.59
67,1515409200000,0.14999,0.156,0.14527,0.15306,7710.67
68,1515412800000,0.15306,0.156,0.15029,0.15401,11808.55
69,1515416400000,0.15404,0.156,0.15,0.154,24518.75
70,1515420000000,0.15397,0.15494,0.13615,0.14388,44210.81
71,1515423600000,0.14395,0.14857,0.13616,0.14471,36789.89
72,1515427200000,0.14329,0.15199,0.141,0.14226,34956.58
73,1515430800000,0.14697,0.1589,0.14243,0.15524,34159.27
74,1515434400000,0.15504,0.16991,0.15,0.15683,28568.03
75,1515438000000,0.152,0.15992,0.14477,0.15159,30920.34
76,1515441600000,0.1516,0.15829,0.14585,0.15221,16176.58
77,1515445200000,0.15222,0.162,0.1505,0.156,19315.17
78,1515448800000,0.15599,0.16197,0.15094,0.16197,18169.11
79,1515452400000,0.16193,0.20375,0.159,0.2,93045.52
80,1515456000000,0.2,0.20093,0.17293,0.17293,86191.1
81,1515459600000,0.17637,0.178,0.15501,0.16003,63320.93
82,1515463200000,0.16067,0.1784,0.159,0.159,22600.7
83,1515466800000,0.159,0.16377,0.15494,0.16029,53300.03
84,1515470400000,0.16029,0.16799,0.15532,0.16396,14421.3
85,1515474000000,0.168,0.18015,0.16,0.17045,23562.34
86,1515477600000,0.17075,0.18887,0.17075,0.18227,20561.36
87,1515481200000,0.18237,0.19,0.172,0.17275,27975.52
88,1515484800000,0.17275,0.18095,0.172,0.17633,41737.86
89,1515488400000,0.17632,0.17987,0.168,0.16988,29968.1
90,1515492000000,0.16988,0.1777,0.16988,0.17367,22647.33
91,1515495600000,0.17368,0.1765,0.16271,0.16492,30455.69
92,1515499200000,0.16684,0.17201,0.1602,0.17106,17099.46
93,1515502800000,0.17106,0.1777,0.16506,0.16668,22465.41
94,1515506400000,0.17119,0.188,0.16806,0.17811,34238.64
95,1515510000000,0.1781,0.19,0.171,0.1899,44461.94
96,1515513600000,0.18989,0.19598,0.182,0.19037,27386.9
97,1515517200000,0.19038,0.19983,0.183,0.19126,35644.47
98,1515520800000,0.19128,0.19128,0.18,0.18442,35640.72
99,1515524400000,0.18419,0.19037,0.17707,0.18998,47938.01
100,1515528000000,0.1856,0.19037,0.18,0.1895,56858.07
101,1515531600000,0.1895,0.21,0.18779,0.20975,71121.76
102,1515535200000,0.20977,0.22,0.19587,0.22,50574.85
