,ts,open,high,low,close,volume
0,1515168000000,0.00011999,0.00047638,7.638e-05,8.2e-05,3632724.0
1,1515171600000,8.2e-05,9.39e-05,6.54e-05,8.35e-05,2664298.0
2,1515175200000,8.2e-05,8.358e-05,7.01e-05,7.42e-05,1179274.0
3,1515178800000,7.422e-05,7.529e-05,6.809e-05,7.287e-05,1036781.0
4,1515182400000,7.287e-05,7.342e-05,7e-05,7.213e-05,1079175.0
5,1515186000000,7.213e-05,7.213e-05,6.9e-05,7.1e-05,799809.0
6,1515189600000,7.1e-05,0.000145,7.051e-05,0.00011002,5425670.0
7,1515193200000,0.00011101,0.00012,9.355e-05,0.00010726,1859261.0
8,1515196800000,0.00010726,0.00011998,9.011e-05,0.0001,1526057.0
9,1515200400000,0.0001,0.00010001,8.553e-05,9.152e-05,1134865.0
10,1515204000000,9.196e-05,9.5e-05,8.3e-05,8.999e-05,937573.0
11,1515207600000,8.999e-05,9e-05,8e-05,8.89e-05,950782.0
12,1515211200000,8.879e-05,0.00011,8.775e-05,0.00010339,1449968.0
13,1515214800000,0.000103,0.000103,9.169e-05,9.499e-05,722402.0
14,1515218400000,9.499e-05,0.000108,9.423e-05,0.00010433,949797.0
15,1515222000000,0.00010433,0.0001058,0.0001,0.00010247,706374.0
16,1515225600000,0.00010246,0.000105,9.97e-05,0.0001045,665295.0
17,1515229200000,0.00010447,0.0001468,0.00010447,0.00013702,4708318.0
18,1515232800000,0.00013787,0.0001516,0.00012729,0.000144,2655199.0
19,1515236400000,0.00014501,0.00018802,0.000144,0.00016298,8147019.0
20,1515240000000,0.0001629,0.00020499,0.00016102,0.00020499,7303722.0
21,1515243600000,0.0002046,0.0002175,0.00017555,0.000182,9162433.0
22,1515247200000,0.00018198,0.00019495,0.00016001,0.000181,4518959.0
23,1515250800000,0.00018149,0.000199,0.00017502,0.000181,3539211.0
24,1515254400000,0.0001819,0.00018796,0.00017261,0.00017899,1772630.0
25,1515258000000,0.00017899,0.0001811,0.000155,0.00016399,2631398.0
26,1515261600000,0.00016399,0.0001959,0.000162,0.0001959,3431247.0
27,1515265200000,0.0001959,0.00026096,0.00018346,0.00024101,14460885.0
28,1515268800000,0.00024206,0.00024925,0.0001901,0.00019601,8982859.0
29,1515272400000,0.000196,0.00023998,0.000196,0.00021999,5176980.0
30,1515276000000,0.0002199,0.000227,0.0002001,0.00021303,4011690.0
31,1515279600000,0.00021304,0.00022799,0.00020589,0.00022501,2943127.0
32,1515283200000,0.00022502,0.0002398,0.0002153,0.00022398,4807539.0
33,1515286800000,0.000223,0.0002337,0.000208,0.000218,2396174.0
34,1515290400000,0.0002175,0.000222,0.000208,0.00021248,1702100.0
