,ts,open,high,low,close,volume
0,1510711200000,7.235e-05,0.004999,7.235e-05,0.000116,110434.0
1,1510714800000,0.0001125,0.0001298,0.00011,0.0001208,515773.0
2,1510718400000,0.00012081,0.0001258,0.000104,0.000107,221533.0
3,1510722000000,0.000107,0.00012154,0.00010606,0.00010666,91894.0
4,1510725600000,0.00010672,0.00011435,0.000104,0.000106,54184.0
5,1510729200000,0.0001065,0.00010998,0.00010509,0.0001097,67449.0
6,1510732800000,0.0001097,0.0001097,8e-05,8e-05,122378.0
7,1510736400000,8e-05,9.733e-05,7.701e-05,9.033e-05,76322.0
8,1510740000000,9.033e-05,9.15e-05,8.5e-05,9.05e-05,52111.0
9,1510743600000,9.05e-05,9.15e-05,7.121e-05,7.2e-05,139054.0
10,1510747200000,7.303e-05,8.5e-05,7.105e-05,7.499e-05,17653.0
11,1510750800000,7.5e-05,8.5e-05,7.261e-05,7.914e-05,41065.0
12,1510754400000,7.914e-05,8.4e-05,7.577e-05,7.577e-05,51158.0
13,1510758000000,7.577e-05,7.843e-05,7.289e-05,7.633e-05,27108.0
14,1510761600000,7.633e-05,7.85e-05,7.407e-05,7.85e-05,21669.0
15,1510765200000,8.2e-05,9.5e-05,8.107e-05,8.508e-05,60611.0
16,1510768800000,8.8e-05,9.368e-05,8.5e-05,8.65e-05,31798.0
17,1510772400000,8.652e-05,9.1e-05,8.652e-05,8.8e-05,17485.0
18,1510776000000,8.99e-05,9.3e-05,8.248e-05,8.251e-05,33370.0
19,1510779600000,8.6e-05,8.6e-05,7.85e-05,7.85e-05,62343.0
20,1510783200000,7.85e-05,8.032e-05,7.41e-05,7.75e-05,30974.0
21,1510786800000,7.451e-05,8.499e-05,7.401e-05,8.2e-05,21804.0
22,1510790400000,8.2e-05,8.599e-05,7.549e-05,7.651e-05,14127.0
23,1510794000000,7.751e-05,7.801e-05,7.401e-05,7.401e-05,32983.0
24,1510797600000,7.401e-05,7.602e-05,6.991e-05,6.991e-05,87297.0
25,1510801200000,7.2e-05,7.999e-05,7.011e-05,7.601e-05,28999.0
26,1510804800000,7.599e-05,7.599e-05,6.915e-05,6.915e-05,53993.0
27,1510808400000,6.916e-05,7.5e-05,6.914e-05,7.257e-05,26297.0
28,1510812000000,7.299e-05,7.549e-05,7.004e-05,7.004e-05,65715.0
29,1510815600000,7.498e-05,7.5e-05,6.97e-05,6.972e-05,48962.0
30,1510819200000,7e-05,7.147e-05,6.972e-05,6.974e-05,10876.0
31,1510822800000,6.974e-05,7.499e-05,6.97e-05,6.97e-05,70228.0
32,1510826400000,7e-05,7.5e-05,6.88e-05,6.88e-05,66256.0
33,1510830000000,6.88e-05,6.978e-05,5.897e-05,6.338e-05,44043.0
34,1510833600000,6.699e-05,6.7e-05,6.2e-05,6.219e-05,22199.0
35,1510837200000,6.598e-05,6.8e-05,6.201e-05,6.38e-05,36260.0
36,1510840800000,6.4e-05,6.899e-05,6.211e-05,6.86e-05,47772.0
37,1510844400000,6.452e-05,6.992e-05,6.199e-05,6.26e-05,65684.0
38,1510848000000,6.3e-05,6.434e-05,6.005e-05,6.241e-05,23875.0
39,1510851600000,6.305e-05,6.847e-05,6.205e-05,6.267e-05,24465.0
40,1510855200000,6.267e-05,6.65e-05,6.202e-05,6.451e-05,8729.0
41,1510858800000,6.389e-05,6.77e-05,6.28e-05,6.516e-05,15186.0
42,1510862400000,6.52e-05,6.7e-05,6.52e-05,6.7e-05,4440.0
43,1510866000000,6.7e-05,6.7e-05,6.27e-05,6.301e-05,12409.0
44,1510869600000,6.301e-05,6.301e-05,5.578e-05,5.8e-05,74861.0
45,1510873200000,5.8e-05,5.88e-05,4.516e-05,5.269e-05,56102.0
46,1510876800000,5.445e-05,5.663e-05,5.269e-05,5.322e-05,12142.0
47,1510880400000,5.384e-05,5.526e-05,5.122e-05,5.526e-05,3951.0
48,1510884000000,5.499e-05,5.499e-05,5.046e-05,5.224e-05,9094.0
49,1510887600000,5.224e-05,5.469e-05,5.222e-05,5.469e-05,8764.0
50,1510891200000,5.384e-05,5.55e-05,5.021e-05,5.071e-05,28661.0
51,1510894800000,5.021e-05,5.33e-05,4.972e-05,5.088e-05,2177.0
52,1510898400000,5.088e-05,5.17e-05,4.945e-05,4.945e-05,9400.0
53,1510902000000,5e-05,5.749e-05,4.959e-05,5.631e-05,9274.0
54,1510905600000,5.631e-05,5.631e-05,5.196e-05,5.196e-05,3451.0
55,1510909200000,5.25e-05,5.967e-05,5.25e-05,5.684e-05,7943.0
56,1510912800000,5.684e-05,5.789e-05,5.518e-05,5.603e-05,1957.0
57,1510916400000,5.603e-05,5.789e-05,5.409e-05,5.409e-05,6957.0
