,ts,open,high,low,close,volume
0,1508385600000,3.5e-05,0.00049,3.5e-05,6.14e-05,120945.0
1,1508389200000,6.185e-05,6.294e-05,5.56e-05,5.909e-05,125167.0
2,1508392800000,5.9e-05,6e-05,5.502e-05,5.693e-05,23147.0
3,1508396400000,5.69e-05,5.69e-05,5.55e-05,5.55e-05,47163.0
4,1508400000000,5.5e-05,5.696e-05,5.109e-05,5.399e-05,18223.0
5,1508403600000,5.339e-05,5.67e-05,5.339e-05,5.451e-05,43319.0
6,1508407200000,5.4e-05,5.448e-05,5.243e-05,5.369e-05,23877.0
7,1508410800000,5.234e-05,5.234e-05,5.1e-05,5.1e-05,42048.0
8,1508414400000,5.158e-05,5.379e-05,4.968e-05,5e-05,82515.0
9,1508418000000,5.1e-05,5.1e-05,4.546e-05,4.71e-05,101075.0
10,1508421600000,4.548e-05,4.971e-05,4.502e-05,4.808e-05,34493.0
11,1508425200000,4.808e-05,4.971e-05,4.716e-05,4.716e-05,37209.0
12,1508428800000,4.971e-05,5e-05,4.704e-05,4.989e-05,43466.0
13,1508432400000,4.989e-05,5.001e-05,4.9e-05,4.901e-05,109228.0
14,1508436000000,4.911e-05,4.911e-05,4.715e-05,4.715e-05,37383.0
15,1508439600000,4.787e-05,4.897e-05,4.714e-05,4.85e-05,50379.0
16,1508443200000,4.84e-05,4.896e-05,4.714e-05,4.715e-05,29715.0
17,1508446800000,4.715e-05,4.898e-05,4.714e-05,4.724e-05,29971.0
18,1508450400000,4.727e-05,5.098e-05,4.727e-05,5.098e-05,27349.0
19,1508454000000,4.95e-05,5.099e-05,4.813e-05,4.916e-05,19704.0
20,1508457600000,4.914e-05,5.2e-05,4.813e-05,5.2e-05,30211.0
21,1508461200000,5.21e-05,5.221e-05,4.894e-05,5.221e-05,22687.0
22,1508464800000,5.221e-05,5.25e-05,5.208e-05,5.25e-05,24698.0
23,1508468400000,5.25e-05,5.288e-05,4.911e-05,5.147e-05,55283.0
24,1508472000000,5.147e-05,5.415e-05,5.006e-05,5.198e-05,9428.0
25,1508475600000,5.218e-05,5.218e-05,5.016e-05,5.019e-05,31626.0
26,1508479200000,5.021e-05,5.1e-05,5.01e-05,5.01e-05,21448.0
27,1508482800000,5.385e-05,5.398e-05,5.016e-05,5.016e-05,15715.0
28,1508486400000,5.397e-05,5.397e-05,5.01e-05,5.197e-05,61365.0
29,1508490000000,5.197e-05,5.2e-05,4.95e-05,5.198e-05,38154.0
30,1508493600000,5.1e-05,5.1e-05,4.95e-05,4.95e-05,10548.0
31,1508497200000,4.951e-05,4.954e-05,4.95e-05,4.95e-05,6794.0
