,ts,open,high,low,close,volume
0,1510570800000,1.7e-05,4e-05,1.7e-05,2.251e-05,693787.0
1,1510574400000,2.251e-05,2.299e-05,2.155e-05,2.243e-05,176247.0
2,1510578000000,2.2e-05,2.239e-05,1.97e-05,1.97e-05,79311.0
3,1510581600000,1.998e-05,2.205e-05,1.997e-05,2.205e-05,189960.0
4,1510585200000,2.205e-05,2.205e-05,2e-05,2e-05,83454.0
5,1510588800000,2.029e-05,2.174e-05,2.029e-05,2.101e-05,26264.0
6,1510592400000,2.101e-05,2.238e-05,2.1e-05,2.205e-05,45817.0
7,1510596000000,2.205e-05,2.249e-05,2.038e-05,2.038e-05,19061.0
8,1510599600000,2.239e-05,2.269e-05,2.239e-05,2.269e-05,1912.0
9,1510603200000,2.243e-05,2.243e-05,2.222e-05,2.222e-05,3992.0
10,1510606800000,2.222e-05,2.223e-05,2.222e-05,2.223e-05,5203.0
11,1510610400000,2.107e-05,2.38e-05,2.107e-05,2.27e-05,70639.0
12,1510614000000,2.291e-05,2.317e-05,2.224e-05,2.299e-05,18898.0
13,1510617600000,2.299e-05,2.299e-05,2.037e-05,2.037e-05,40521.0
14,1510621200000,2.1e-05,2.1e-05,2.044e-05,2.066e-05,21449.0
15,1510624800000,2.154e-05,2.155e-05,2.1e-05,2.145e-05,12085.0
16,1510628400000,2.145e-05,2.145e-05,2.09e-05,2.09e-05,1516.0
17,1510632000000,2.13e-05,2.2e-05,2.13e-05,2.2e-05,8764.0
18,1510635600000,2.2e-05,2.203e-05,2.151e-05,2.192e-05,143450.0
19,1510639200000,2.152e-05,2.184e-05,2.15e-05,2.153e-05,333629.0
20,1510642800000,2.181e-05,2.249e-05,2.153e-05,2.186e-05,346683.0
21,1510646400000,2.19e-05,2.226e-05,2.184e-05,2.191e-05,845371.0
22,1510650000000,2.19e-05,2.217e-05,2.028e-05,2.066e-05,355109.0
23,1510653600000,2.072e-05,2.126e-05,2.03e-05,2.091e-05,642731.0
24,1510657200000,2.091e-05,2.125e-05,2.034e-05,2.046e-05,351989.0
25,1510660800000,2.109e-05,2.125e-05,2.046e-05,2.124e-05,816719.0
26,1510664400000,2.124e-05,2.217e-05,2.049e-05,2.082e-05,438807.0
27,1510668000000,2.114e-05,2.178e-05,2.081e-05,2.133e-05,239392.0
28,1510671600000,2.121e-05,2.133e-05,2.116e-05,2.116e-05,558669.0
29,1510675200000,2.117e-05,2.178e-05,2.016e-05,2.172e-05,422562.0
30,1510678800000,2.123e-05,2.173e-05,2.119e-05,2.135e-05,565619.0
31,1510682400000,2.143e-05,2.177e-05,2.1e-05,2.173e-05,264082.0
32,1510686000000,2.172e-05,2.194e-05,2.102e-05,2.194e-05,211994.0
33,1510689600000,2.193e-05,2.229e-05,2.151e-05,2.211e-05,222864.0
34,1510693200000,2.173e-05,2.229e-05,2.105e-05,2.18e-05,365713.0
35,1510696800000,2.18e-05,2.358e-05,2.178e-05,2.213e-05,247566.0
36,1510700400000,2.213e-05,2.313e-05,2.189e-05,2.198e-05,507442.0
37,1510704000000,2.198e-05,2.199e-05,2.161e-05,2.178e-05,272057.0
38,1510707600000,2.185e-05,2.319e-05,2.08e-05,2.18e-05,196381.0
39,1510711200000,2.166e-05,2.171e-05,2.05e-05,2.168e-05,547716.0
40,1510714800000,2.168e-05,2.184e-05,2.059e-05,2.181e-05,587433.0
41,1510718400000,2.181e-05,2.181e-05,2.055e-05,2.099e-05,361423.0
42,1510722000000,2.098e-05,2.17e-05,2.047e-05,2.048e-05,324730.0
43,1510725600000,2.049e-05,2.183e-05,2.048e-05,2.178e-05,537961.0
44,1510729200000,2.178e-05,2.178e-05,2.047e-05,2.052e-05,188957.0
45,1510732800000,2.053e-05,2.169e-05,2.051e-05,2.098e-05,184719.0
46,1510736400000,2.053e-05,2.168e-05,2.048e-05,2.093e-05,525282.0
47,1510740000000,2.094e-05,2.167e-05,2.048e-05,2.157e-05,336197.0
48,1510743600000,2.101e-05,2.159e-05,2.049e-05,2.05e-05,690039.0
49,1510747200000,2.05e-05,2.115e-05,1.901e-05,1.901e-05,49666.0
50,1510750800000,1.96e-05,2.072e-05,1.901e-05,2.054e-05,39364.0
51,1510754400000,2.053e-05,2.073e-05,1.907e-05,1.909e-05,278527.0
52,1510758000000,2.046e-05,2.052e-05,1.908e-05,1.909e-05,335387.0
53,1510761600000,1.926e-05,2.051e-05,1.91e-05,2.051e-05,222978.0
54,1510765200000,2.051e-05,2.051e-05,1.922e-05,1.981e-05,174234.0
55,1510768800000,1.98e-05,2.054e-05,1.98e-05,2.05e-05,280145.0
56,1510772400000,2.053e-05,2.067e-05,1.97e-05,1.972e-05,178593.0
57,1510776000000,1.971e-05,2.063e-05,1.902e-05,2.062e-05,128004.0
58,1510779600000,2.062e-05,2.063e-05,1.906e-05,1.907e-05,187823.0
59,1510783200000,1.908e-05,2.018e-05,1.907e-05,1.963e-05,187870.0
60,1510786800000,1.964e-05,2.007e-05,1.963e-05,1.979e-05,71722.0
61,1510790400000,1.978e-05,2.062e-05,1.886e-05,1.895e-05,360521.0
62,1510794000000,1.889e-05,2.048e-05,1.889e-05,2.048e-05,81184.0
63,1510797600000,2.047e-05,2.048e-05,1.906e-05,1.907e-05,278793.0
64,1510801200000,1.908e-05,1.999e-05,1.907e-05,1.941e-05,349284.0
65,1510804800000,1.942e-05,1.999e-05,1.941e-05,1.945e-05,375863.0
66,1510808400000,1.987e-05,1.999e-05,1.889e-05,1.997e-05,209560.0
