,ts,open,high,low,close,volume
0,1510387200000,1000.0,1000.01,500.0,580.0,20.35139
1,1510390800000,510.0,550.0,510.0,530.0,2.57956
2,1510394400000,530.0,550.02,525.0,550.02,7.75056
3,1510398000000,550.02,677.72,550.02,677.72,19.26799
4,1510401600000,677.72,791.47,677.72,779.73,23.17395
5,1510405200000,779.73,870.01,700.0,779.05,146.06551
6,1510408800000,730.9,804.0,677.1,804.0,30.80921
7,1510412400000,804.0,825.0,788.45,815.0,20.62417
8,1510416000000,815.0,815.0,766.26,766.26,98.82235
9,1510419600000,751.0,790.0,750.0,750.0,20.12681
10,1510423200000,751.0,815.29,723.82,815.29,10.82705
11,1510426800000,850.0,858.0,724.7,762.0,27.40656
12,1510430400000,818.0,819.7,754.0,754.0,8.01337
13,1510434000000,760.0,760.0,733.53,733.53,2.23049
14,1510437600000,800.0,839.65,800.0,810.0,3.81124
15,1510441200000,810.0,850.0,772.75,844.49,0.86248
16,1510444800000,830.0,830.0,788.0,830.0,4.22284
17,1510448400000,830.0,909.9,830.0,900.0,27.66918
18,1510452000000,938.32,1046.99,930.0,950.01,50.54449
19,1510455600000,1008.0,1183.0,1000.01,1180.0,53.59931
20,1510459200000,1140.0,1184.9,1047.0,1111.0,35.94604
21,1510462800000,1137.99,1350.0,1072.02,1193.0,59.57945
22,1510466400000,1269.0,1830.0,1243.0,1300.0,236.25139
23,1510470000000,1300.0,1347.03,656.8,987.01,217.18706
24,1510473600000,988.01,1100.0,731.85,1006.02,97.59478
25,1510477200000,979.45,1150.51,977.0,1000.0,34.73991
26,1510480800000,1003.01,1003.01,852.28,852.28,38.11342
27,1510484400000,852.28,950.0,738.01,856.0,82.68177
28,1510488000000,889.99,933.24,851.01,932.0,36.51479
29,1510491600000,932.0,1100.0,908.0,994.4,347.86794
30,1510495200000,996.51,1027.86,934.0,935.87,44.92043
31,1510498800000,930.0,944.0,850.0,915.91,39.95525
32,1510502400000,881.01,1034.0,881.01,996.99,34.35031
33,1510506000000,937.11,937.11,846.96,872.65,38.08951
34,1510509600000,872.66,885.65,800.0,805.06,53.31662
35,1510513200000,800.0,940.58,750.0,844.95,135.33498
36,1510516800000,837.52,875.0,795.0,875.0,17.1773
37,1510520400000,879.03,980.99,796.48,937.61,107.78277
38,1510524000000,937.61,1079.99,937.61,1010.0,22.77488
39,1510527600000,1014.0,1025.0,863.59,863.59,12.63607
40,1510531200000,865.0,924.9,846.68,846.68,8.16646
41,1510534800000,868.96,912.0,843.29,876.01,7.18292
42,1510538400000,873.0,905.0,791.91,843.0,18.95024
43,1510542000000,810.0,810.0,750.0,783.0,10.61988
44,1510545600000,795.01,798.0,729.0,774.94,62.08994
45,1510549200000,761.99,789.02,650.0,747.73,79.53854
46,1510552800000,690.0,765.0,688.67,765.0,20.9036
47,1510556400000,765.0,803.07,730.0,730.0,7.41367
48,1510560000000,730.0,746.0,680.0,732.94,19.67383
49,1510563600000,732.89,732.9,702.01,702.01,4.71506
50,1510567200000,702.01,702.01,702.01,702.01,0.00018
51,1510570800000,670.0,670.0,630.09,630.13,15.50739
52,1510574400000,641.01,655.0,630.13,645.0,4.57581
53,1510578000000,630.2,699.99,600.0,699.99,45.53803
54,1510581600000,678.01,800.0,678.01,763.0,58.2764
55,1510585200000,763.0,763.0,707.0,707.01,14.0039
56,1510588800000,710.01,776.01,710.01,776.01,7.35183
57,1510592400000,780.0,800.0,755.01,800.0,1.30481
58,1510596000000,820.0,968.0,789.48,857.9,65.5181
59,1510599600000,920.0,920.0,790.33,824.58,20.84968
60,1510603200000,833.99,871.99,817.29,859.0,6.76619
61,1510606800000,825.0,825.0,754.66,804.99,1.95195
62,1510610400000,802.25,814.99,791.01,791.01,7.61572
63,1510614000000,795.77,850.0,767.43,806.18,26.68385
64,1510617600000,767.05,778.79,748.8,748.8,8.6781
65,1510621200000,748.8,772.0,731.03,741.02,3.21267
66,1510624800000,741.02,741.02,720.01,720.01,2.70631
67,1510628400000,714.69,726.99,707.01,707.01,1.90275
68,1510632000000,726.98,750.0,708.15,708.15,0.48311
69,1510635600000,708.21,752.99,708.21,752.99,3.97086
70,1510639200000,752.99,752.99,744.99,744.99,0.19057
71,1510642800000,730.0,732.0,718.91,719.0,3.36009
72,1510646400000,730.0,744.99,730.0,744.99,4.87965
73,1510650000000,730.68,764.99,722.4,764.99,0.93916
74,1510653600000,764.5,826.0,764.5,823.99,42.06291
75,1510657200000,789.99,851.02,789.99,851.0,2.95513
76,1510660800000,847.99,887.99,790.0,790.01,17.5568
77,1510664400000,790.44,848.98,790.44,848.98,0.39877
78,1510668000000,806.09,840.95,806.09,840.95,0.07616
79,1510671600000,840.94,840.98,820.0,840.96,9.64391
80,1510675200000,840.96,850.0,818.0,818.01,3.39015
81,1510678800000,820.03,836.0,807.0,836.0,10.46257
82,1510682400000,835.0,835.0,791.3,820.0,0.52623
83,1510686000000,771.77,771.77,771.77,771.77,0.1
84,1510689600000,773.77,794.99,771.76,794.99,1.01615
85,1510693200000,820.0,820.0,819.99,819.99,0.09
86,1510696800000,791.3,791.3,791.3,791.3,0.025
87,1510700400000,791.3,791.3,791.3,791.3,0.0
88,1510704000000,773.69,773.69,750.0,750.0,6.2702
89,1510707600000,752.0,770.0,752.0,770.0,0.17482
90,1510711200000,752.5,794.99,752.5,794.99,1.35294
91,1510714800000,763.6,794.98,760.11,780.0,2.06256
92,1510718400000,781.0,795.0,781.0,795.0,1.84057
93,1510722000000,795.99,819.0,795.0,819.0,1.21858
94,1510725600000,819.0,835.0,805.01,805.01,1.42077
95,1510729200000,805.01,806.0,805.01,806.0,2.43005
96,1510732800000,806.0,807.3,805.3,807.3,2.49257
97,1510736400000,805.3,806.0,795.3,801.99,3.38467
98,1510740000000,803.99,815.99,801.3,809.99,1.09981
99,1510743600000,803.3,803.3,797.3,797.3,0.41199
100,1510747200000,795.3,803.99,793.3,795.0,14.29103
101,1510750800000,795.0,819.99,795.0,805.02,3.63667
102,1510754400000,803.02,815.02,802.0,811.02,3.02711
103,1510758000000,804.0,809.02,773.02,784.0,3.38494
104,1510761600000,778.0,800.0,778.0,790.0,2.85281
105,1510765200000,790.0,796.0,790.0,796.0,0.38067
106,1510768800000,798.0,809.02,786.12,796.0,2.12501
107,1510772400000,796.0,798.0,776.12,778.12,1.44786
108,1510776000000,778.12,784.0,768.12,778.0,1.81018
109,1510779600000,778.0,782.0,760.12,776.0,11.53115
110,1510783200000,772.12,780.0,772.12,780.0,1.22
111,1510786800000,782.0,798.0,768.12,768.13,5.3179
112,1510790400000,768.12,768.12,703.01,703.01,17.9116
113,1510794000000,708.13,732.99,708.13,719.09,1.32201
114,1510797600000,719.09,732.99,681.12,682.0,4.58627
115,1510801200000,682.0,689.13,681.0,681.0,16.97156
116,1510804800000,681.0,681.5,660.01,681.5,8.12554
117,1510808400000,692.74,703.02,657.0,687.02,5.21373
118,1510812000000,673.13,674.13,673.13,674.13,0.1081
119,1510815600000,674.16,674.16,673.09,673.09,1.0106
120,1510819200000,675.0,695.23,675.0,675.0,5.52498
121,1510822800000,675.16,681.02,651.0,651.5,66.58675
122,1510826400000,651.5,667.95,608.0,648.06,18.09299
123,1510830000000,648.06,703.02,630.0,678.01,8.35214
124,1510833600000,670.01,678.91,646.01,661.99,0.97799
125,1510837200000,650.01,669.76,624.52,649.99,25.82568
126,1510840800000,632.52,649.99,616.15,616.15,7.70976
127,1510844400000,609.0,641.92,608.15,641.92,0.83636
