,ts,open,high,low,close,volume
0,1501657200000,0.7,0.7,0.082,0.29,1.2
1,1501660800000,0.29,0.29,0.29,0.29,0.0
2,1501664400000,0.133,0.134,0.133,0.134,1.529
3,1501668000000,0.134,0.134,0.134,0.134,0.0
4,1501671600000,0.179,0.26,0.152,0.25,9.504
5,1501675200000,0.2488,0.47,0.23,0.47,3.234
6,1501678800000,0.31,0.35,0.260001,0.260001,11.805
7,1501682400000,0.32,0.32,0.260001,0.32,1.589
8,1501686000000,0.261,0.262,0.260001,0.260001,1.017
9,1501689600000,0.24,0.24,0.24,0.24,0.34
10,1501693200000,0.24,0.24,0.24,0.24,0.0
11,1501696800000,0.189,0.189,0.14,0.14,15.171
12,1501700400000,0.134,0.134,0.134,0.134,1.862
13,1501704000000,0.15,0.15,0.137,0.137,1.707
14,1501707600000,0.137,0.137,0.137,0.137,0.0
15,1501711200000,0.22,0.24,0.22,0.24,5.84
16,1501714800000,0.23,0.23,0.23,0.23,0.255
17,1501718400000,0.2,0.2,0.2,0.2,0.033
18,1501722000000,0.225,0.2599,0.225,0.2599,0.303
19,1501725600000,0.2599,0.2599,0.2,0.2,0.503
20,1501729200000,0.2,0.2,0.1602,0.1602,2.59
21,1501732800000,0.1604,0.1604,0.160251,0.160251,0.863
22,1501736400000,0.160251,0.165,0.16,0.160006,13.694
23,1501740000000,0.1615,0.1615,0.160111,0.160113,0.813
24,1501743600000,0.165113,0.165113,0.160113,0.160113,1.489
25,1501747200000,0.188888,0.2333,0.188888,0.2333,0.141
26,1501750800000,0.188888,0.188888,0.188888,0.188888,0.42
27,1501754400000,0.188888,0.188888,0.188888,0.188888,0.0
28,1501758000000,0.188888,0.188888,0.188888,0.188888,0.0
29,1501761600000,0.160115,0.160115,0.160112,0.160112,5.441
30,1501765200000,0.17,0.17,0.160112,0.160112,1.916
31,1501768800000,0.162,0.1621,0.160112,0.160112,2.874
32,1501772400000,0.160112,0.160112,0.160112,0.160112,1.77
33,1501776000000,0.160112,0.160112,0.160112,0.160112,0.073
34,1501779600000,0.160112,0.160112,0.160006,0.160006,1.101
35,1501783200000,0.160006,0.160006,0.160006,0.160006,0.0
36,1501786800000,0.160006,0.160006,0.160006,0.160006,0.0
37,1501790400000,0.160006,0.160006,0.160006,0.160006,0.0
38,1501794000000,0.133001,0.133001,0.133001,0.133001,0.27
39,1501797600000,0.133,0.133,0.12,0.12,1.324
40,1501801200000,0.12,0.12,0.12,0.12,0.427
41,1501804800000,0.12,0.12,0.12,0.12,0.0
42,1501808400000,0.120001,0.120001,0.120001,0.120001,0.038
43,1501812000000,0.120001,0.120001,0.120001,0.120001,0.0
44,1501815600000,0.120001,0.120001,0.120001,0.120001,0.0
45,1501819200000,0.120001,0.120001,0.120001,0.120001,0.0
