,ts,open,high,low,close,volume
0,1510387200000,2.17,2.17,2.17,2.17,1.0
1,1510390800000,3.43023,3.47428,3.11001,3.3512,11.206
2,1510394400000,3.066,3.3,3.066,3.3,5.828
3,1510398000000,3.3,4.01511,3.3,3.84548,31.142
4,1510401600000,3.84548,4.17316,3.64842,4.17299,79.82
5,1510405200000,4.17297,4.99999,3.8,4.08,169.643
6,1510408800000,4.23,4.3,3.8,4.3,130.534
7,1510412400000,4.3,4.59997,4.15,4.35,111.534
8,1510416000000,4.35,4.39,3.99,4.06,266.833
9,1510419600000,4.14,4.25,4.00001,4.00001,68.459
10,1510423200000,4.00001,4.44901,3.96,4.44901,58.568
11,1510426800000,4.5,4.6,4.001,4.21,80.421
12,1510430400000,4.21,4.3,3.95,3.96001,61.507
13,1510434000000,3.93,4.37,3.92,4.14,14.389
14,1510437600000,4.14,4.5,4.1,4.1,57.154
15,1510441200000,4.3,4.5,4.05,4.2509,33.784
16,1510444800000,4.3,4.455,4.2,4.3997,19.654
17,1510448400000,4.3996,4.95,4.21101,4.73001,141.605
18,1510452000000,4.939,5.3,4.77001,5.23,184.174
19,1510455600000,5.2,6.0,5.12001,5.89,446.183
20,1510459200000,5.85,5.85,5.141,5.798,154.575
21,1510462800000,5.7,6.13,5.7,6.1,324.05
22,1510466400000,6.05,8.9,5.95001,6.3,861.158
23,1510470000000,6.3,6.89659,3.05731,5.42,1203.742
24,1510473600000,5.41,5.99,3.999,5.25,691.187
25,1510477200000,5.28,5.999,5.17001,5.58,416.047
26,1510480800000,5.31,5.69,4.6,4.65013,332.475
27,1510484400000,4.65013,5.12,4.0,4.62,311.099
28,1510488000000,4.62,5.181,4.45,4.97206,202.666
29,1510491600000,4.95,5.75,4.95,5.32101,516.836
30,1510495200000,5.55772,5.55772,4.96984,5.09811,154.013
31,1510498800000,5.0012,5.0012,4.35,4.74234,171.879
32,1510502400000,4.6,5.16422,4.54526,4.62,84.625
33,1510506000000,4.62,4.62,4.23,4.28171,82.972
34,1510509600000,4.28832,4.31961,3.7113,3.9,102.106
35,1510513200000,3.9,4.85,3.7,4.27,192.258
36,1510516800000,4.18469,4.48474,3.9,4.32,108.017
37,1510520400000,4.32,4.838,4.30265,4.7861,175.369
38,1510524000000,4.839,5.4,4.6159,5.03001,152.585
39,1510527600000,5.06989,5.15,4.3,4.51,77.854
40,1510531200000,4.5,4.64,4.2,4.2,82.254
41,1510534800000,4.12,4.64,4.0678,4.4009,170.222
42,1510538400000,4.4009,4.404,4.0,4.181,120.796
43,1510542000000,4.2,4.33,4.02,4.06001,38.531
44,1510545600000,4.06001,4.21899,3.56,3.75,195.861
45,1510549200000,3.76001,3.9,3.12863,3.5,309.689
46,1510552800000,3.7,4.1,3.5,3.98,163.627
47,1510556400000,4.06998,4.25,3.71001,3.71001,142.454
48,1510560000000,3.71201,3.88101,3.5,3.7355,86.494
49,1510563600000,3.735,3.9408,3.6004,3.84999,48.73
50,1510567200000,3.70901,3.84889,3.6,3.6,13.633
51,1510570800000,3.6,3.7488,3.41502,3.50005,59.207
52,1510574400000,3.43055,3.57999,3.35,3.52999,69.998
53,1510578000000,3.48003,3.84889,3.30001,3.75,161.3
54,1510581600000,3.76,4.3,3.75,4.098,213.572
55,1510585200000,3.91,4.09,3.63012,3.81,37.611
56,1510588800000,3.81,4.284,3.81,4.21,51.585
57,1510592400000,4.21001,4.2995,3.93118,4.2995,66.47
58,1510596000000,4.2995,4.95,4.2995,4.78988,321.204
59,1510599600000,4.78988,4.84994,4.20001,4.58,94.968
60,1510603200000,4.56999,4.67998,4.22024,4.35,70.836
61,1510606800000,4.50023,4.511,3.98,4.33,85.891
62,1510610400000,4.35,4.38,4.10696,4.21002,52.392
63,1510614000000,4.28,4.49,4.19,4.356,53.937
64,1510617600000,4.29,4.33,4.0,4.1,82.711
65,1510621200000,4.1,4.19999,3.95,4.0,80.453
66,1510624800000,4.0,4.0,3.75,3.77005,108.163
67,1510628400000,3.77001,3.81999,3.7,3.78,66.765
68,1510632000000,3.78,3.98,3.7501,3.86662,96.748
