,ts,open,high,low,close,volume
0,1510387200000,802.0,949.99,802.0,949.99,1.27318
1,1510390800000,949.99,1000.0,949.99,957.0,34.81915
2,1510394400000,960.0,999.98,960.0,999.98,37.22461
3,1510398000000,999.98,1110.0,961.24,1100.0,163.51885
4,1510401600000,1100.0,1245.0,1065.3,1229.9,164.62483
5,1510405200000,1229.9,1440.0,1108.0,1250.0,629.86001
6,1510408800000,1245.0,1270.05,1158.9,1270.05,275.97396
7,1510412400000,1299.0,1349.0,1250.0,1294.99,297.88719
8,1510416000000,1294.99,1300.0,1151.0,1203.1,517.86021
9,1510419600000,1205.1,1320.0,1205.1,1235.0,31.38437
10,1510423200000,1235.5,1399.0,1234.0,1370.0,167.18441
11,1510426800000,1370.0,1400.0,1260.0,1354.0,187.14654
12,1510430400000,1349.0,1349.0,1225.0,1225.0,31.19076
13,1510434000000,1235.0,1300.0,1225.0,1285.0,35.67757
14,1510437600000,1284.0,1398.0,1284.0,1337.0,84.50819
15,1510441200000,1337.0,1369.0,1311.0,1311.0,49.56362
16,1510444800000,1334.0,1335.0,1280.0,1311.0,9.45944
17,1510448400000,1333.0,1462.0,1330.0,1455.0,307.64625
18,1510452000000,1462.0,1579.0,1444.44,1535.0,406.08121
19,1510455600000,1550.0,1780.99,1550.0,1752.0,628.49967
20,1510459200000,1750.1,1750.1,1600.0,1690.0,332.06523
21,1510462800000,1699.0,1888.0,1680.0,1830.0,419.95979
22,1510466400000,1800.0,2507.0,1777.71,1810.2,971.02951
23,1510470000000,1879.99,1899.99,1001.0,1600.0,891.94653
24,1510473600000,1600.0,1735.0,1200.0,1515.0,723.98958
25,1510477200000,1515.0,1749.0,1515.0,1560.0,192.60422
26,1510480800000,1560.0,1638.0,1320.0,1347.52,225.88966
27,1510484400000,1347.52,1520.0,1150.0,1320.01,365.58345
28,1510488000000,1320.05,1482.82,1273.33,1482.82,221.48789
29,1510491600000,1444.0,1740.0,1444.0,1628.0,583.76269
30,1510495200000,1628.0,1628.0,1450.01,1547.89,151.01035
31,1510498800000,1547.89,1547.9,1310.0,1450.57,205.80712
32,1510502400000,1375.0,1548.99,1375.0,1491.94,41.47585
33,1510506000000,1444.64,1450.0,1340.0,1350.0,47.02947
34,1510509600000,1341.0,1341.0,1209.0,1230.0,141.76274
35,1510513200000,1230.0,1460.0,1150.0,1300.0,220.98966
36,1510516800000,1300.0,1400.7,1222.91,1343.62,80.56217
37,1510520400000,1376.85,1493.0,1285.05,1455.01,317.39679
38,1510524000000,1489.11,1610.0,1404.0,1520.0,275.59397
39,1510527600000,1520.0,1544.04,1312.5,1362.84,115.84399
40,1510531200000,1362.84,1449.99,1303.21,1305.82,114.11879
41,1510534800000,1307.0,1418.6,1300.0,1372.28,42.54455
42,1510538400000,1373.97,1387.97,1307.0,1374.99,105.89042
43,1510542000000,1340.0,1374.99,1270.21,1270.75,76.84741
44,1510545600000,1299.0,1300.0,1150.0,1197.99,276.53704
45,1510549200000,1194.99,1195.99,1011.0,1150.0,276.0129
46,1510552800000,1110.01,1250.0,1078.0,1238.64,109.86422
47,1510556400000,1250.0,1310.3,1150.0,1161.07,77.98499
48,1510560000000,1161.07,1196.92,1110.0,1190.4,66.15768
49,1510563600000,1152.72,1227.86,1150.04,1150.04,23.10612
50,1510567200000,1159.02,1199.99,1125.0,1144.58,32.29402
51,1510570800000,1130.95,1198.2,1090.0,1113.0,79.2558
52,1510574400000,1108.99,1141.99,1083.0,1085.12,70.94322
53,1510578000000,1085.12,1190.0,1030.0,1126.01,203.7893
54,1510581600000,1159.99,1328.0,1135.0,1252.0,362.70793
55,1510585200000,1252.0,1252.25,1165.03,1190.11,86.18772
56,1510588800000,1190.11,1327.11,1190.0,1270.0,123.29095
57,1510592400000,1308.08,1325.0,1236.0,1325.0,65.40168
58,1510596000000,1325.0,1500.0,1309.11,1445.0,387.15796
59,1510599600000,1443.19,1499.0,1304.59,1357.95,188.49325
60,1510603200000,1394.32,1469.97,1340.02,1399.0,104.48461
61,1510606800000,1399.01,1399.05,1250.0,1369.79,101.01727
62,1510610400000,1367.82,1367.82,1302.0,1350.0,9.97059
63,1510614000000,1350.0,1405.0,1286.88,1350.0,73.21701
64,1510617600000,1350.0,1361.99,1285.0,1285.0,40.83725
65,1510621200000,1281.01,1349.0,1250.0,1250.0,76.06673
66,1510624800000,1251.0,1288.0,1210.0,1255.54,31.5919
67,1510628400000,1230.0,1240.0,1181.92,1190.39,54.24568
68,1510632000000,1198.82,1255.6,1195.06,1199.38,57.55251
69,1510635600000,1210.0,1276.98,1210.0,1276.98,17.80003
70,1510639200000,1240.02,1283.99,1226.12,1235.0,12.74937
71,1510642800000,1235.0,1240.51,1202.02,1225.92,54.83049
72,1510646400000,1226.75,1240.47,1204.36,1233.33,54.72997
73,1510650000000,1233.33,1240.0,1218.01,1240.0,54.27852
74,1510653600000,1228.68,1333.0,1228.68,1300.0,93.4028
