,ts,open,high,low,close,volume
0,1511532000000,0.131,0.181,0.13,0.155,3390.025
1,1511535600000,0.15799,0.17,0.121,0.12602,7084.973
2,1511539200000,0.12701,0.14221,0.124,0.1339,3745.338
3,1511542800000,0.13391,0.16,0.13283,0.157,2862.818
4,1511546400000,0.15899,0.15969,0.14,0.15,3064.738
5,1511550000000,0.14732,0.15,0.13283,0.13499,827.858
6,1511553600000,0.13499,0.143,0.13283,0.13283,727.58
7,1511557200000,0.133,0.143,0.132,0.14259,601.6
8,1511560800000,0.141,0.14252,0.13187,0.14099,540.055
9,1511564400000,0.14099,0.14099,0.13201,0.13779,537.779
10,1511568000000,0.1378,0.15109,0.13343,0.14309,1407.956
11,1511571600000,0.14309,0.1523,0.14309,0.1523,1993.358
12,1511575200000,0.152,0.15595,0.1459,0.1466,1880.699
13,1511578800000,0.14678,0.15199,0.145,0.14735,963.067
14,1511582400000,0.14735,0.14851,0.14198,0.14401,1294.967
15,1511586000000,0.1435,0.148,0.1435,0.148,641.364
16,1511589600000,0.148,0.157,0.14689,0.152,2005.883
17,1511593200000,0.15286,0.191,0.15286,0.191,3108.815
18,1511596800000,0.191,0.233,0.18229,0.19311,7079.381
19,1511600400000,0.1945,0.21,0.181,0.20002,3311.149
20,1511604000000,0.2001,0.216,0.19701,0.21211,1629.11
21,1511607600000,0.214,0.239,0.2081,0.23299,5436.132
22,1511611200000,0.23299,0.23999,0.2,0.216,6171.646
23,1511614800000,0.21876,0.2315,0.19132,0.199,4803.007
24,1511618400000,0.19796,0.2057,0.16666,0.19788,4852.847
25,1511622000000,0.19788,0.201,0.181,0.19122,1584.798
26,1511625600000,0.19124,0.19399,0.1802,0.19,816.686
27,1511629200000,0.19382,0.1955,0.18801,0.19549,1121.451
28,1511632800000,0.19549,0.197,0.185,0.19177,715.806
29,1511636400000,0.19,0.197,0.18606,0.19365,596.072
30,1511640000000,0.19004,0.19296,0.18705,0.18806,357.062
31,1511643600000,0.18806,0.19083,0.18705,0.1883,254.097
32,1511647200000,0.1883,0.2089,0.188,0.20722,1393.057
33,1511650800000,0.20721,0.2135,0.2,0.21093,1996.291
34,1511654400000,0.21093,0.213,0.20002,0.201,1822.481
35,1511658000000,0.20977,0.20977,0.194,0.19812,1545.624
36,1511661600000,0.1981,0.20182,0.18801,0.18873,740.85
37,1511665200000,0.18856,0.18856,0.185,0.1881,767.328
38,1511668800000,0.1881,0.19799,0.18616,0.1918,764.49
39,1511672400000,0.19201,0.1979,0.19088,0.19088,1214.294
40,1511676000000,0.19087,0.19247,0.173,0.18,1293.68
41,1511679600000,0.1845,0.19353,0.17401,0.17682,964.174
42,1511683200000,0.17413,0.1838,0.17413,0.18022,728.566
43,1511686800000,0.18022,0.18296,0.17501,0.17599,409.019
44,1511690400000,0.17779,0.18296,0.17779,0.182,450.802
45,1511694000000,0.1825,0.18775,0.1779,0.18011,1099.514
46,1511697600000,0.17734,0.1817,0.17452,0.17851,549.993
47,1511701200000,0.17764,0.17999,0.16709,0.17,838.981
48,1511704800000,0.17,0.17398,0.162,0.16711,1240.414
49,1511708400000,0.165,0.1676,0.16027,0.1676,1003.609
50,1511712000000,0.16939,0.1766,0.166,0.17501,844.538
51,1511715600000,0.17392,0.1766,0.16801,0.16981,298.06
52,1511719200000,0.17001,0.17481,0.17001,0.17004,104.216
53,1511722800000,0.17013,0.17023,0.165,0.16501,363.279
54,1511726400000,0.1688,0.16998,0.16254,0.165,136.442
55,1511730000000,0.165,0.16669,0.16025,0.16025,275.004
56,1511733600000,0.16026,0.16207,0.157,0.157,442.377
57,1511737200000,0.157,0.16,0.1521,0.15303,691.151
58,1511740800000,0.15449,0.162,0.152,0.152,906.845
59,1511744400000,0.15272,0.16009,0.151,0.15239,730.056
60,1511748000000,0.15239,0.15646,0.144,0.14859,1568.811
61,1511751600000,0.15008,0.15643,0.14921,0.15185,415.315
62,1511755200000,0.15155,0.16669,0.151,0.15671,701.038
63,1511758800000,0.15593,0.15659,0.14744,0.14831,664.873
64,1511762400000,0.14745,0.14785,0.14,0.1475,601.49
65,1511766000000,0.14704,0.153,0.1449,0.147,1368.088
66,1511769600000,0.147,0.14722,0.14525,0.1467,384.099
67,1511773200000,0.14672,0.15555,0.14635,0.15138,548.985
68,1511776800000,0.15178,0.15305,0.144,0.14948,693.149
69,1511780400000,0.15036,0.15855,0.15011,0.15312,769.186
70,1511784000000,0.15313,0.17285,0.15313,0.16603,1844.91
71,1511787600000,0.16603,0.16604,0.1509,0.1542,963.213
72,1511791200000,0.1542,0.15732,0.14918,0.14918,309.682
73,1511794800000,0.149,0.15587,0.14849,0.1499,239.469
74,1511798400000,0.14947,0.15151,0.148,0.15,241.269
75,1511802000000,0.15,0.15258,0.14896,0.15,67.061
76,1511805600000,0.1505,0.15051,0.14888,0.15038,308.026
77,1511809200000,0.15038,0.15296,0.15038,0.15076,39.764
78,1511812800000,0.15076,0.152,0.1482,0.152,188.123
79,1511816400000,0.152,0.153,0.14868,0.15058,378.664
80,1511820000000,0.15267,0.15759,0.14869,0.15758,192.85
81,1511823600000,0.15391,0.15524,0.14869,0.15035,256.056
82,1511827200000,0.15093,0.15512,0.15093,0.151,169.917
83,1511830800000,0.151,0.151,0.146,0.147,707.482
84,1511834400000,0.149,0.149,0.13702,0.13702,682.907
85,1511838000000,0.13703,0.13987,0.132,0.13804,645.822
86,1511841600000,0.13987,0.14546,0.13807,0.1419,264.743
87,1511845200000,0.1418,0.1418,0.136,0.1401,490.186
88,1511848800000,0.1401,0.1418,0.1389,0.1395,484.859
89,1511852400000,0.13921,0.145,0.13833,0.14354,694.189
90,1511856000000,0.13989,0.14353,0.13833,0.14,377.879
91,1511859600000,0.14,0.14,0.1351,0.1351,1397.74
92,1511863200000,0.13511,0.1398,0.12728,0.12999,3248.937
93,1511866800000,0.129,0.13087,0.12131,0.12337,1923.063
94,1511870400000,0.12336,0.1288,0.11494,0.1288,1572.133
95,1511874000000,0.1255,0.12883,0.1201,0.12666,464.313
96,1511877600000,0.12666,0.13453,0.12666,0.1302,957.936
97,1511881200000,0.12806,0.13,0.12264,0.12541,636.855
98,1511884800000,0.1254,0.13023,0.1205,0.12459,764.681
99,1511888400000,0.12469,0.13618,0.12469,0.13025,135.608
100,1511892000000,0.13025,0.137,0.12897,0.137,223.382
101,1511895600000,0.13731,0.13999,0.13369,0.13369,232.479
102,1511899200000,0.13217,0.13401,0.13,0.13,67.441
