,ts,open,high,low,close,volume
0,1510657200000,0.2,0.3,0.2,0.24799,36724.09
1,1510660800000,0.23,0.27777,0.20054,0.27777,97827.82
2,1510664400000,0.26666,0.30978,0.25512,0.262,87649.39
3,1510668000000,0.271,0.32081,0.25,0.25001,35110.51
4,1510671600000,0.25001,0.26045,0.22666,0.26045,32363.93
5,1510675200000,0.26,0.26045,0.22341,0.234,17149.72
6,1510678800000,0.22955,0.26045,0.22955,0.26045,1894.69
7,1510682400000,0.26045,0.266,0.235,0.24,3582.4
8,1510686000000,0.255,0.25699,0.255,0.255,5297.05
9,1510689600000,0.254,0.254,0.23926,0.23926,5332.16
10,1510693200000,0.25399,0.254,0.23,0.23,28006.29
11,1510696800000,0.254,0.254,0.23418,0.254,2439.05
12,1510700400000,0.23627,0.23627,0.21728,0.21728,18076.0
13,1510704000000,0.216,0.226,0.216,0.226,3544.93
14,1510707600000,0.2262,0.2422,0.2262,0.24213,1400.48
15,1510711200000,0.2421,0.243,0.2421,0.24213,3734.94
16,1510714800000,0.22801,0.22801,0.21601,0.21602,9884.9
17,1510718400000,0.2195,0.2195,0.2162,0.2162,1361.72
18,1510722000000,0.2162,0.2162,0.2162,0.2162,0.0
19,1510725600000,0.2163,0.22274,0.19645,0.1965,95695.63
20,1510729200000,0.19699,0.22503,0.1965,0.21,25420.41
21,1510732800000,0.211,0.211,0.21001,0.21001,100.0
22,1510736400000,0.21001,0.21001,0.21001,0.21001,0.0
23,1510740000000,0.21001,0.21001,0.21001,0.21001,0.0
24,1510743600000,0.21,0.21999,0.21,0.21999,1472.27
25,1510747200000,0.21,0.21,0.20051,0.20051,8962.3
26,1510750800000,0.20051,0.20051,0.20051,0.20051,0.0
27,1510754400000,0.20081,0.201,0.20054,0.20054,33534.27
28,1510758000000,0.20055,0.20055,0.20054,0.20054,4261.73
29,1510761600000,0.20056,0.20952,0.2005,0.2005,85247.43
30,1510765200000,0.2005,0.2005,0.2005,0.2005,1764.0
31,1510768800000,0.21163,0.21783,0.2004,0.2004,34019.92
32,1510772400000,0.2004,0.215,0.19701,0.19701,6985.49
33,1510776000000,0.215,0.215,0.19653,0.19653,5033.29
34,1510779600000,0.20499,0.215,0.20499,0.212,1934.24
35,1510783200000,0.2119,0.215,0.2119,0.215,1273.68
36,1510786800000,0.215,0.215,0.215,0.215,426.0
37,1510790400000,0.215,0.215,0.18229,0.19999,34728.02
38,1510794000000,0.19999,0.19999,0.19999,0.19999,0.0
39,1510797600000,0.19999,0.2,0.19,0.19,9281.5
40,1510801200000,0.19009,0.19706,0.19009,0.19705,15153.27
41,1510804800000,0.2,0.20989,0.2,0.20989,142.0
42,1510808400000,0.20989,0.20989,0.20989,0.20989,0.0
43,1510812000000,0.20989,0.22225,0.20989,0.22225,9635.18
44,1510815600000,0.218,0.26,0.218,0.25499,132196.01
45,1510819200000,0.25499,0.25499,0.225,0.22501,20931.74
46,1510822800000,0.22502,0.22504,0.21369,0.22504,10158.27
47,1510826400000,0.2101,0.22504,0.2101,0.22504,3800.03
48,1510830000000,0.21618,0.22,0.20032,0.2183,16033.38
49,1510833600000,0.1937,0.1937,0.19057,0.19057,33499.64
50,1510837200000,0.19057,0.2,0.18476,0.18476,32162.72
51,1510840800000,0.18476,0.18476,0.18476,0.18476,1293.27
52,1510844400000,0.18474,0.18474,0.18044,0.18117,2193.0
53,1510848000000,0.2,0.2,0.2,0.2,611.0
54,1510851600000,0.2,0.2,0.18984,0.2,5512.0
55,1510855200000,0.2,0.2,0.2,0.2,0.0
56,1510858800000,0.2,0.2,0.2,0.2,0.48
57,1510862400000,0.2,0.2,0.2,0.2,0.0
58,1510866000000,0.2,0.208,0.19275,0.19275,1740.86
59,1510869600000,0.19275,0.19275,0.19275,0.19275,0.0
60,1510873200000,0.19275,0.19275,0.19275,0.19275,0.0
61,1510876800000,0.19275,0.19275,0.19275,0.19275,0.0
62,1510880400000,0.19275,0.20678,0.19275,0.20678,15900.0
63,1510884000000,0.19012,0.19012,0.1835,0.1835,29107.81
64,1510887600000,0.18589,0.18589,0.18044,0.18044,28213.52
65,1510891200000,0.18044,0.18044,0.17405,0.17405,15067.0
66,1510894800000,0.17405,0.17405,0.17405,0.17405,853.0
67,1510898400000,0.1648,0.1648,0.1601,0.1601,18710.82
68,1510902000000,0.16824,0.17622,0.15759,0.15759,1507.65
69,1510905600000,0.15859,0.16622,0.15142,0.15142,939.0
70,1510909200000,0.14993,0.14993,0.13047,0.13047,33972.37
71,1510912800000,0.13047,0.1313,0.10519,0.10519,21315.55
72,1510916400000,0.12087,0.15752,0.12087,0.15752,8820.61
