,ts,open,high,low,close,volume
0,1517911200000,0.3,0.4,0.02,0.06501,41083.12
1,1517914800000,0.0662,0.08986,0.04642,0.04711,171545.57
2,1517918400000,0.0508,0.06899,0.04751,0.05327,84906.15
3,1517922000000,0.05606,0.07,0.05439,0.05854,88298.52
4,1517925600000,0.05878,0.062,0.05333,0.05564,50325.6
5,1517929200000,0.05566,0.06002,0.0554,0.05552,36614.39
6,1517932800000,0.0557,0.05963,0.05107,0.0586,72788.99
7,1517936400000,0.0586,0.05958,0.05603,0.05756,23576.2
8,1517940000000,0.05879,0.05958,0.05505,0.05858,28095.63
9,1517943600000,0.05858,0.05948,0.055,0.0551,26124.73
10,1517947200000,0.05511,0.06999,0.05511,0.06996,71823.5
11,1517950800000,0.06993,0.08987,0.06801,0.08005,111779.6
12,1517954400000,0.0802,0.083,0.07199,0.07403,55949.94
13,1517958000000,0.07386,0.08722,0.07019,0.07956,61234.59
14,1517961600000,0.08131,0.0834,0.0742,0.0771,67947.67
15,1517965200000,0.07627,0.07747,0.07298,0.07298,19760.5
16,1517968800000,0.07487,0.07487,0.06199,0.07254,85093.19
17,1517972400000,0.07254,0.07254,0.056,0.06593,64458.84
18,1517976000000,0.06767,0.07334,0.05962,0.07332,16967.36
19,1517979600000,0.07174,0.07783,0.07145,0.07301,20486.97
20,1517983200000,0.07204,0.07451,0.06967,0.07131,26715.6
21,1517986800000,0.071,0.0759,0.06806,0.07198,36604.6
22,1517990400000,0.07098,0.077,0.06999,0.07309,39276.15
23,1517994000000,0.07309,0.07607,0.07154,0.0736,36403.64
24,1517997600000,0.07404,0.08217,0.07404,0.08098,46744.83
25,1518001200000,0.08098,0.083,0.075,0.07712,93787.94
26,1518004800000,0.07803,0.08298,0.075,0.0803,46059.1
27,1518008400000,0.08037,0.08997,0.08037,0.08429,119754.91
28,1518012000000,0.0842,0.0878,0.08216,0.086,43010.73
29,1518015600000,0.08586,0.0895,0.08206,0.08613,82737.53
30,1518019200000,0.0861,0.08997,0.086,0.08769,57744.56
31,1518022800000,0.08765,0.10516,0.08765,0.10405,172431.56
32,1518026400000,0.10405,0.105,0.09,0.09547,173223.63
33,1518030000000,0.09539,0.10404,0.09337,0.09894,91830.54
34,1518033600000,0.09808,0.09924,0.0874,0.08999,101142.09
35,1518037200000,0.08779,0.0901,0.08465,0.09005,23478.41
36,1518040800000,0.09008,0.09165,0.08165,0.08782,43941.99
37,1518044400000,0.08783,0.08783,0.08011,0.08194,24986.61
38,1518048000000,0.08021,0.09059,0.08021,0.09,13358.46
39,1518168497578,0.09,0.09655,0.08424,0.08433,28863.79
40,1518172097578,0.09443,0.09999,0.08799,0.0954,53564.3
41,1518175697578,0.09564,0.0998,0.09201,0.09356,31656.3
42,1518179297578,0.09356,0.0942,0.087,0.08999,15937.95
43,1518182897578,0.08827,0.08983,0.08103,0.08476,49580.22
44,1518186497578,0.08376,0.08586,0.08008,0.08008,16955.97
45,1518190097578,0.08231,0.08429,0.07952,0.08312,15864.79
46,1518193697578,0.082,0.082,0.07854,0.0795,23758.39
47,1518197297578,0.07959,0.08158,0.07676,0.07719,57515.23
48,1518200897578,0.07727,0.07979,0.0764,0.07719,20103.05
49,1518204497578,0.07719,0.07978,0.07668,0.07835,6196.25
50,1518208097578,0.07819,0.07888,0.07601,0.07651,22045.11
51,1518211697578,0.0779,0.07995,0.07681,0.07721,23989.63
52,1518215297578,0.07761,0.08099,0.07655,0.07662,7104.26
53,1518218897578,0.07785,0.07823,0.068,0.07358,76399.75
54,1518222497578,0.07423,0.0748,0.0706,0.0706,20172.27
55,1518226097578,0.0706,0.07573,0.068,0.07253,31804.12
56,1518229697578,0.07415,0.0747,0.06931,0.07322,10048.4
57,1518233297578,0.07329,0.07466,0.07128,0.07393,30058.22
58,1518236897578,0.07394,0.07437,0.07276,0.07384,14168.0
59,1518240497578,0.0738,0.07553,0.07135,0.07135,5818.89
60,1518244097578,0.07135,0.07389,0.07025,0.07105,21010.83
61,1518247697578,0.07114,0.07251,0.06931,0.07099,30189.15
62,1518251297578,0.07099,0.07512,0.07018,0.07167,32489.3
63,1518254897578,0.07167,0.07408,0.0703,0.07218,24346.62
64,1518258497578,0.07104,0.07696,0.07104,0.0749,23076.15
65,1518262097578,0.07528,0.07671,0.07272,0.07277,14845.49
66,1518265697578,0.0731,0.07591,0.07186,0.07236,8783.69
67,1518269297578,0.07237,0.07413,0.0717,0.07275,3827.43
68,1518272897578,0.07275,0.07275,0.07055,0.07055,11907.9
69,1518276497578,0.07186,0.07192,0.066,0.06891,32709.57
70,1518280097578,0.06769,0.06917,0.066,0.0665,38289.77
71,1518283697578,0.06614,0.07,0.06602,0.06711,15875.11
72,1518287297578,0.06711,0.06859,0.066,0.067,7265.38
73,1518290897578,0.06766,0.06778,0.06601,0.06613,19064.79
74,1518294497578,0.06612,0.06722,0.06387,0.06455,26104.77
75,1518298097578,0.06552,0.06616,0.06256,0.06352,13576.26
76,1518301697578,0.06262,0.06663,0.06221,0.06472,12360.35
77,1518305297578,0.06472,0.067,0.06472,0.06653,5949.33
78,1518308897578,0.06656,0.067,0.06491,0.06537,23052.67
79,1518312497578,0.06537,0.06584,0.06221,0.0625,20117.99
80,1518316097578,0.06221,0.06595,0.06221,0.06345,14268.97
81,1518319697578,0.06282,0.06476,0.06282,0.06299,6502.14
82,1518321600000,0.06415,0.06575,0.06415,0.065,8103.8
83,1518325200000,0.06452,0.06658,0.06452,0.06498,6770.14
84,1518328800000,0.06499,0.06646,0.06463,0.06485,5849.4
85,1518332400000,0.06485,0.06645,0.06409,0.06431,14354.86
86,1518336000000,0.06465,0.06608,0.06297,0.06297,19108.4
87,1518339600000,0.06307,0.06476,0.06233,0.06317,12554.88
88,1518343200000,0.06317,0.06481,0.06233,0.06311,103131.6
89,1518346800000,0.06326,0.0655,0.06241,0.06325,14936.35
90,1518350400000,0.06325,0.0672,0.06201,0.0672,23740.24
91,1518354000000,0.0672,0.0712,0.06572,0.06698,58277.18
92,1518357600000,0.06687,0.06816,0.06656,0.06788,29886.12
93,1518361200000,0.06686,0.06998,0.06686,0.06847,8290.56
94,1518364800000,0.06843,0.0686,0.0641,0.06637,36169.4
95,1518368400000,0.06637,0.06736,0.06561,0.06721,2572.64
96,1518372000000,0.06581,0.06699,0.06501,0.06576,3329.83
97,1518375600000,0.06698,0.06998,0.0663,0.0683,11473.64
98,1518379200000,0.06796,0.0737,0.06796,0.07117,24593.27
99,1518382800000,0.07149,0.0783,0.07079,0.07327,57816.29
100,1518386400000,0.075,0.07899,0.073,0.07378,70636.23
101,1518390000000,0.07351,0.07505,0.07,0.07392,24210.4
102,1518393600000,0.07278,0.07584,0.07,0.07428,17110.69
103,1518397200000,0.0732,0.07454,0.07145,0.07454,45859.09
104,1518400800000,0.07314,0.07734,0.07236,0.07732,40525.96
105,1518404400000,0.07729,0.0773,0.07171,0.0724,14887.2
106,1518408000000,0.0724,0.07368,0.07182,0.07243,4515.5
107,1518411600000,0.07233,0.07273,0.07006,0.07138,17392.96
108,1518415200000,0.072,0.07701,0.07145,0.07537,25407.78
109,1518418800000,0.0738,0.07537,0.07268,0.07285,9222.9
110,1518422400000,0.07351,0.07459,0.07255,0.07344,12710.12
111,1518426000000,0.07344,0.07493,0.07243,0.07331,11861.23
112,1518429600000,0.07331,0.076,0.07307,0.07501,12890.79
113,1518433200000,0.07477,0.07477,0.07294,0.07294,8481.56
114,1518436800000,0.07294,0.07578,0.07284,0.07441,11153.11
115,1518440400000,0.07442,0.07442,0.07212,0.07257,9258.48
116,1518444000000,0.07372,0.07372,0.07186,0.07297,3169.75
117,1518447600000,0.07297,0.07375,0.07001,0.07347,10938.22
118,1518451200000,0.0734,0.07375,0.07009,0.07188,13568.84
119,1518454800000,0.07148,0.07149,0.06769,0.07,33613.35
120,1518458400000,0.07044,0.0732,0.06963,0.07056,14651.99
121,1518462000000,0.0703,0.07101,0.06756,0.06921,13108.43
122,1518465600000,0.0692,0.07271,0.06756,0.06947,10637.61
123,1518469200000,0.06879,0.07136,0.06879,0.0699,4303.36
124,1518472800000,0.0691,0.07133,0.0691,0.06993,1343.4
125,1518476400000,0.07007,0.07102,0.06961,0.06961,2701.96
126,1518480000000,0.07021,0.07021,0.068,0.06858,3362.92
127,1518483600000,0.06823,0.06926,0.067,0.067,6077.09
128,1518487200000,0.067,0.06845,0.06625,0.0669,7296.69
129,1518490800000,0.06791,0.06813,0.0669,0.06789,6646.68
130,1518494400000,0.06788,0.06788,0.06685,0.06784,1878.22
131,1518498000000,0.06785,0.0714,0.06715,0.06824,5965.22
132,1518501600000,0.06827,0.06903,0.06824,0.06824,2754.99
133,1518505200000,0.06902,0.06902,0.06793,0.06832,3737.58
134,1518508800000,0.069,0.07,0.0686,0.06884,92189.95
135,1518512400000,0.06886,0.07299,0.067,0.07168,24557.65
136,1518516000000,0.0725,0.0725,0.06851,0.07135,3642.29
137,1518519600000,0.07084,0.07084,0.06924,0.06985,3386.14
138,1518523200000,0.06985,0.07117,0.06947,0.06958,5235.65
139,1518526800000,0.07033,0.07162,0.069,0.07014,3869.59
140,1518530400000,0.0707,0.07133,0.0689,0.06973,3220.07
141,1518534000000,0.06973,0.0704,0.0689,0.0689,2972.99
142,1518537600000,0.0689,0.07042,0.0685,0.07032,8537.26
143,1518541200000,0.0693,0.0693,0.068,0.06905,5695.53
144,1518544800000,0.06838,0.06905,0.0678,0.0681,4061.63
145,1518548400000,0.06875,0.06875,0.06701,0.06799,1712.53
146,1518552000000,0.06712,0.06873,0.06712,0.06818,4115.07
147,1518555600000,0.06818,0.06871,0.06771,0.0681,5143.69
148,1518559200000,0.06771,0.06874,0.06718,0.0676,412.83
149,1518562800000,0.06874,0.06949,0.06686,0.06688,21462.41
150,1518566400000,0.06687,0.0678,0.066,0.066,11871.87
151,1518570000000,0.06643,0.0679,0.06595,0.06595,24345.85
152,1518573600000,0.06642,0.06719,0.06586,0.06587,2635.55
153,1518577200000,0.06682,0.0679,0.06586,0.06714,8532.14
154,1518580800000,0.06633,0.06714,0.06473,0.06564,13748.39
155,1518584400000,0.06564,0.0658,0.06441,0.06441,4493.93
156,1518588000000,0.06446,0.066,0.06404,0.06569,12765.76
157,1518591600000,0.06542,0.0663,0.06518,0.06518,5945.86
158,1518595200000,0.06518,0.06561,0.06426,0.06518,6270.16
159,1518598800000,0.0645,0.0663,0.064,0.06536,12968.51
160,1518602400000,0.06536,0.06629,0.0643,0.06582,4003.14
161,1518606000000,0.06582,0.06582,0.06459,0.0655,4735.95
162,1518609600000,0.06554,0.0675,0.0648,0.06749,11568.27
163,1518613200000,0.06587,0.06749,0.0644,0.06448,10143.38
164,1518616800000,0.06445,0.06545,0.06445,0.0645,2265.3
