,ts,open,high,low,close,volume
0,1517911200000,0.0001,0.0001,5.292e-05,6.6e-05,2443365.0
1,1517914800000,6.451e-05,7.24e-05,4.606e-05,4.71e-05,8360768.0
2,1517918400000,4.71e-05,5.673e-05,4.669e-05,5.268e-05,2536833.0
3,1517922000000,5.252e-05,6.85e-05,5.19e-05,6.031e-05,5395352.0
4,1517925600000,6.002e-05,6.479e-05,5.505e-05,5.83e-05,3052543.0
5,1517929200000,5.833e-05,6.374e-05,5.752e-05,5.752e-05,2080959.0
6,1517932800000,5.802e-05,6.33e-05,5.58e-05,6.127e-05,2664969.0
7,1517936400000,6.127e-05,6.14e-05,5.753e-05,5.96e-05,819752.0
8,1517940000000,5.963e-05,6.2e-05,5.91e-05,6.188e-05,1216773.0
9,1517943600000,6.188e-05,6.21e-05,5.93e-05,5.984e-05,959519.0
10,1517947200000,5.972e-05,7.64e-05,5.97e-05,7.44e-05,4749704.0
11,1517950800000,7.44e-05,9.78e-05,7.401e-05,8.728e-05,6647115.0
12,1517954400000,8.799e-05,8.8e-05,7.682e-05,7.95e-05,4110782.0
13,1517958000000,7.949e-05,9.119e-05,7.779e-05,8.665e-05,2518451.0
14,1517961600000,8.664e-05,8.89e-05,7.8e-05,8.136e-05,2027347.0
15,1517965200000,8.198e-05,8.24e-05,7.732e-05,7.744e-05,1036027.0
16,1517968800000,7.744e-05,7.828e-05,6.524e-05,7.357e-05,3592277.0
17,1517972400000,7.366e-05,7.4e-05,6.78e-05,6.838e-05,996037.0
18,1517976000000,6.838e-05,7.6e-05,6.643e-05,7.548e-05,954038.0
19,1517979600000,7.569e-05,7.828e-05,7.24e-05,7.521e-05,744344.0
20,1517983200000,7.525e-05,7.75e-05,7.28e-05,7.361e-05,583347.0
21,1517986800000,7.357e-05,7.553e-05,7.08e-05,7.496e-05,756838.0
22,1517990400000,7.497e-05,7.918e-05,7.449e-05,7.7e-05,786764.0
23,1517994000000,7.713e-05,7.9e-05,7.557e-05,7.779e-05,844127.0
24,1517997600000,7.778e-05,8.72e-05,7.755e-05,8.72e-05,2344624.0
25,1518001200000,8.695e-05,8.95e-05,8.038e-05,8.408e-05,2997700.0
26,1518004800000,8.409e-05,8.857e-05,8.124e-05,8.682e-05,2422970.0
27,1518008400000,8.699e-05,9.8e-05,8.681e-05,8.976e-05,7580932.0
28,1518012000000,8.977e-05,9.35e-05,8.77e-05,9.232e-05,2594507.0
29,1518015600000,9.231e-05,9.7e-05,8.877e-05,9.249e-05,4406385.0
30,1518019200000,9.249e-05,9.52e-05,9.103e-05,9.328e-05,2882714.0
31,1518022800000,9.349e-05,0.00011199,9.3e-05,0.0001111,8506470.0
32,1518026400000,0.0001111,0.000112,9.696e-05,0.00010168,8522300.0
33,1518030000000,0.00010168,0.00010887,0.0001003,0.00010492,3660697.0
34,1518033600000,0.00010463,0.00010548,9.419e-05,9.491e-05,3326590.0
35,1518037200000,9.5e-05,9.665e-05,9.1e-05,9.665e-05,3453538.0
36,1518040800000,9.67e-05,9.729e-05,8.821e-05,9.372e-05,2942064.0
37,1518044400000,9.37e-05,9.37e-05,8.571e-05,8.677e-05,1924500.0
38,1518048000000,8.677e-05,9.665e-05,8.618e-05,9.598e-05,1351557.0
39,1518168497555,9.525e-05,0.00010348,8.813e-05,9.554e-05,1475892.0
40,1518172097555,9.6e-05,0.00010402,9.544e-05,0.000102,2779765.0
41,1518175697555,0.0001022,0.000103,9.818e-05,0.00010011,1576962.0
42,1518179297555,0.00010031,0.0001014,9.431e-05,9.516e-05,1519669.0
43,1518182897555,9.5e-05,9.585e-05,9.251e-05,9.422e-05,1117543.0
44,1518186497555,9.424e-05,9.484e-05,9.139e-05,9.212e-05,960136.0
45,1518190097555,9.212e-05,9.458e-05,9.099e-05,9.37e-05,852949.0
46,1518193697555,9.37e-05,9.4e-05,9.116e-05,9.166e-05,599654.0
47,1518197297555,9.161e-05,9.161e-05,7.927e-05,8.959e-05,1710469.0
48,1518200897555,8.957e-05,9.071e-05,8.714e-05,8.823e-05,576059.0
49,1518204497555,8.823e-05,9.071e-05,8.8e-05,8.877e-05,440467.0
50,1518208097555,8.877e-05,8.961e-05,8.6e-05,8.739e-05,411254.0
51,1518211697555,8.739e-05,8.766e-05,8.511e-05,8.664e-05,546654.0
52,1518215297555,8.696e-05,9.095e-05,8.622e-05,8.722e-05,582231.0
53,1518218897555,8.709e-05,8.78e-05,8.303e-05,8.43e-05,886150.0
54,1518222497555,8.43e-05,8.43e-05,7.954e-05,8.078e-05,1405048.0
55,1518226097555,8.071e-05,8.47e-05,7.93e-05,8.361e-05,939003.0
56,1518229697555,8.379e-05,8.699e-05,8.1e-05,8.524e-05,835416.0
57,1518233297555,8.523e-05,8.523e-05,8.227e-05,8.361e-05,537611.0
58,1518236897555,8.361e-05,8.49e-05,8.24e-05,8.29e-05,271569.0
59,1518240497555,8.274e-05,8.42e-05,8e-05,8.146e-05,444485.0
60,1518244097555,8.151e-05,8.214e-05,7.9e-05,8.081e-05,777080.0
61,1518247697555,8.092e-05,8.148e-05,7.841e-05,7.9e-05,740643.0
62,1518251297555,7.9e-05,8.089e-05,7.831e-05,7.972e-05,488114.0
63,1518254897555,7.964e-05,8.035e-05,7.956e-05,7.97e-05,305436.0
64,1518258497555,7.974e-05,8.457e-05,7.974e-05,8.33e-05,912299.0
65,1518262097555,8.335e-05,8.42e-05,8.01e-05,8.045e-05,484532.0
66,1518265697555,8.045e-05,8.25e-05,8e-05,8.093e-05,493898.0
67,1518269297555,8.094e-05,8.25e-05,8.002e-05,8.142e-05,580792.0
68,1518272897555,8.164e-05,8.164e-05,7.844e-05,7.883e-05,519131.0
69,1518276497555,7.882e-05,8.03e-05,7.33e-05,7.505e-05,1870481.0
70,1518280097555,7.501e-05,7.6e-05,7.179e-05,7.264e-05,1036291.0
71,1518283697555,7.259e-05,7.62e-05,7.2e-05,7.345e-05,1022693.0
72,1518287297555,7.345e-05,7.44e-05,7.283e-05,7.301e-05,324206.0
73,1518290897555,7.301e-05,7.305e-05,7.178e-05,7.195e-05,400033.0
74,1518294497555,7.2e-05,7.267e-05,6.888e-05,7.047e-05,1498686.0
75,1518298097555,7.039e-05,7.085e-05,6.815e-05,6.863e-05,551337.0
76,1518301697555,6.859e-05,7.265e-05,6.78e-05,7.055e-05,1058036.0
77,1518305297555,7.055e-05,7.265e-05,7.005e-05,7.25e-05,339216.0
78,1518308897555,7.247e-05,7.247e-05,7.003e-05,7.055e-05,308688.0
79,1518312497555,7.056e-05,7.064e-05,6.701e-05,6.712e-05,497673.0
80,1518316097555,6.72e-05,7.078e-05,6.668e-05,6.804e-05,668605.0
81,1518319697555,6.804e-05,6.981e-05,6.736e-05,6.783e-05,171770.0
82,1518321600000,6.783e-05,7.011e-05,6.78e-05,6.872e-05,147006.0
83,1518325200000,6.876e-05,7.144e-05,6.851e-05,6.996e-05,358125.0
84,1518328800000,6.996e-05,7.14e-05,6.851e-05,6.91e-05,325674.0
85,1518332400000,6.906e-05,7e-05,6.711e-05,6.712e-05,375702.0
86,1518336000000,6.713e-05,6.865e-05,6.65e-05,6.728e-05,470585.0
87,1518339600000,6.716e-05,6.868e-05,6.668e-05,6.789e-05,407360.0
88,1518343200000,6.79e-05,6.991e-05,6.723e-05,6.79e-05,757387.0
89,1518346800000,6.821e-05,6.85e-05,6.693e-05,6.788e-05,314052.0
90,1518350400000,6.788e-05,7.315e-05,6.7e-05,7.315e-05,719296.0
91,1518354000000,7.302e-05,7.62e-05,7.138e-05,7.331e-05,1658938.0
92,1518357600000,7.331e-05,7.385e-05,7.159e-05,7.384e-05,357030.0
93,1518361200000,7.37e-05,7.64e-05,7.362e-05,7.461e-05,717515.0
94,1518364800000,7.463e-05,7.53e-05,7.085e-05,7.23e-05,961760.0
95,1518368400000,7.217e-05,7.34e-05,7.08e-05,7.125e-05,323040.0
96,1518372000000,7.112e-05,7.199e-05,7.06e-05,7.159e-05,122518.0
97,1518375600000,7.184e-05,7.45e-05,7.122e-05,7.332e-05,480408.0
98,1518379200000,7.335e-05,7.9e-05,7.313e-05,7.609e-05,1417419.0
99,1518382800000,7.609e-05,8.399e-05,7.609e-05,7.956e-05,3395561.0
100,1518386400000,7.958e-05,8.485e-05,7.848e-05,8.085e-05,3071350.0
101,1518390000000,8.08e-05,8.19e-05,7.75e-05,7.914e-05,1250702.0
102,1518393600000,7.914e-05,8.11e-05,7.662e-05,7.965e-05,911082.0
103,1518397200000,7.956e-05,8.08e-05,7.713e-05,7.969e-05,686809.0
104,1518400800000,7.969e-05,8.348e-05,7.862e-05,8.122e-05,1699884.0
105,1518404400000,8.109e-05,8.13e-05,7.73e-05,7.811e-05,902568.0
106,1518408000000,7.811e-05,8e-05,7.75e-05,7.873e-05,670576.0
107,1518411600000,7.871e-05,7.955e-05,7.664e-05,7.751e-05,304361.0
108,1518415200000,7.759e-05,8.19e-05,7.751e-05,7.952e-05,741537.0
109,1518418800000,7.941e-05,8.01e-05,7.804e-05,7.891e-05,315402.0
110,1518422400000,7.891e-05,7.9e-05,7.7e-05,7.81e-05,389534.0
111,1518426000000,7.811e-05,7.92e-05,7.7e-05,7.85e-05,568129.0
112,1518429600000,7.849e-05,8.059e-05,7.791e-05,7.981e-05,579806.0
113,1518433200000,7.982e-05,7.982e-05,7.784e-05,7.799e-05,368413.0
114,1518436800000,7.798e-05,8.066e-05,7.762e-05,7.987e-05,625545.0
115,1518440400000,7.983e-05,8.005e-05,7.65e-05,7.819e-05,469064.0
116,1518444000000,7.82e-05,7.838e-05,7.654e-05,7.746e-05,590304.0
117,1518447600000,7.739e-05,7.888e-05,7.675e-05,7.771e-05,413987.0
118,1518451200000,7.77e-05,7.77e-05,7.479e-05,7.623e-05,575093.0
119,1518454800000,7.623e-05,7.623e-05,7.103e-05,7.339e-05,701350.0
120,1518458400000,7.391e-05,7.75e-05,7.354e-05,7.468e-05,862423.0
121,1518462000000,7.468e-05,7.499e-05,7.307e-05,7.33e-05,322001.0
122,1518465600000,7.316e-05,7.496e-05,7.249e-05,7.26e-05,330345.0
123,1518469200000,7.259e-05,7.42e-05,7.254e-05,7.33e-05,257695.0
124,1518472800000,7.326e-05,7.405e-05,7.266e-05,7.35e-05,199439.0
125,1518476400000,7.346e-05,7.379e-05,7.205e-05,7.305e-05,180551.0
126,1518480000000,7.305e-05,7.305e-05,7.161e-05,7.18e-05,232381.0
127,1518483600000,7.18e-05,7.225e-05,7.041e-05,7.087e-05,509032.0
128,1518487200000,7.089e-05,7.17e-05,7.01e-05,7.114e-05,448422.0
129,1518490800000,7.115e-05,7.17e-05,7.001e-05,7.042e-05,186412.0
130,1518494400000,7.028e-05,7.16e-05,7.001e-05,7.098e-05,159743.0
131,1518498000000,7.098e-05,7.332e-05,7.081e-05,7.202e-05,600853.0
132,1518501600000,7.227e-05,7.25e-05,7.126e-05,7.159e-05,148445.0
133,1518505200000,7.15e-05,7.2e-05,7.111e-05,7.175e-05,133930.0
134,1518508800000,7.174e-05,7.32e-05,7.14e-05,7.199e-05,302536.0
135,1518512400000,7.178e-05,7.545e-05,7.03e-05,7.527e-05,1316069.0
136,1518516000000,7.541e-05,7.544e-05,7.356e-05,7.443e-05,385185.0
137,1518519600000,7.442e-05,7.442e-05,7.245e-05,7.36e-05,224925.0
138,1518523200000,7.381e-05,7.45e-05,7.307e-05,7.421e-05,244964.0
139,1518526800000,7.421e-05,7.56e-05,7.4e-05,7.438e-05,409363.0
140,1518530400000,7.438e-05,7.498e-05,7.373e-05,7.423e-05,192961.0
141,1518534000000,7.425e-05,7.437e-05,7.3e-05,7.325e-05,192298.0
142,1518537600000,7.325e-05,7.338e-05,7.251e-05,7.264e-05,207135.0
143,1518541200000,7.264e-05,7.27e-05,7.031e-05,7.175e-05,381126.0
144,1518544800000,7.187e-05,7.243e-05,7.06e-05,7.138e-05,275983.0
145,1518548400000,7.135e-05,7.2e-05,7.05e-05,7.1e-05,202884.0
146,1518552000000,7.1e-05,7.178e-05,7.04e-05,7.065e-05,276448.0
147,1518555600000,7.079e-05,7.14e-05,7.03e-05,7.041e-05,145493.0
148,1518559200000,7.063e-05,7.19e-05,7.023e-05,7.19e-05,101990.0
149,1518562800000,7.19e-05,7.279e-05,7.05e-05,7.051e-05,254615.0
150,1518566400000,7.051e-05,7.066e-05,6.95e-05,6.974e-05,234727.0
151,1518570000000,6.974e-05,7.142e-05,6.888e-05,6.935e-05,494343.0
152,1518573600000,6.935e-05,6.999e-05,6.851e-05,6.911e-05,246176.0
153,1518577200000,6.911e-05,7.155e-05,6.874e-05,6.985e-05,231271.0
154,1518580800000,7e-05,7e-05,6.73e-05,6.874e-05,613972.0
155,1518584400000,6.862e-05,6.919e-05,6.716e-05,6.784e-05,301277.0
156,1518588000000,6.8e-05,6.886e-05,6.7e-05,6.806e-05,271345.0
157,1518591600000,6.83e-05,6.846e-05,6.75e-05,6.797e-05,105758.0
158,1518595200000,6.772e-05,6.798e-05,6.683e-05,6.735e-05,286284.0
159,1518598800000,6.735e-05,6.795e-05,6.65e-05,6.795e-05,307679.0
160,1518602400000,6.794e-05,6.888e-05,6.73e-05,6.815e-05,235513.0
161,1518606000000,6.815e-05,6.9e-05,6.767e-05,6.847e-05,162692.0
162,1518609600000,6.831e-05,7.01e-05,6.65e-05,6.871e-05,630095.0
163,1518613200000,6.871e-05,6.871e-05,6.675e-05,6.718e-05,356586.0
164,1518616800000,6.724e-05,6.835e-05,6.682e-05,6.734e-05,226016.0
165,1518620400000,6.74e-05,6.939e-05,6.74e-05,6.936e-05,297395.0
166,1518624000000,6.935e-05,6.948e-05,6.8e-05,6.853e-05,250267.0
167,1518627600000,6.854e-05,7.072e-05,6.852e-05,7.05e-05,315522.0
168,1518631200000,7.054e-05,7.153e-05,6.9e-05,6.915e-05,456724.0
169,1518634800000,6.915e-05,6.982e-05,6.85e-05,6.872e-05,136476.0
170,1518638400000,6.873e-05,6.988e-05,6.85e-05,6.92e-05,108684.0
171,1518642000000,6.93e-05,6.98e-05,6.88e-05,6.925e-05,110499.0
172,1518645600000,6.926e-05,7.153e-05,6.89e-05,6.983e-05,147852.0
173,1518649200000,6.989e-05,7.05e-05,6.9e-05,6.933e-05,116228.0
174,1518652800000,6.947e-05,6.97e-05,6.816e-05,6.83e-05,104692.0
175,1518656400000,6.816e-05,6.926e-05,6.815e-05,6.885e-05,82714.0
176,1518660000000,6.878e-05,6.987e-05,6.8e-05,6.863e-05,211244.0
177,1518663600000,6.867e-05,6.867e-05,6.705e-05,6.758e-05,327108.0
178,1518667200000,6.767e-05,6.8e-05,6.605e-05,6.617e-05,277109.0
179,1518670800000,6.634e-05,6.73e-05,6.578e-05,6.607e-05,286928.0
180,1518674400000,6.607e-05,6.7e-05,6.58e-05,6.678e-05,157397.0
181,1518678000000,6.678e-05,6.678e-05,6.578e-05,6.671e-05,181179.0
182,1518681600000,6.671e-05,6.675e-05,6.47e-05,6.485e-05,326359.0
183,1518685200000,6.485e-05,6.534e-05,6.335e-05,6.422e-05,234318.0
184,1518688800000,6.401e-05,6.462e-05,6.15e-05,6.459e-05,470877.0
185,1518692400000,6.454e-05,6.525e-05,6.207e-05,6.34e-05,245674.0
186,1518696000000,6.34e-05,6.428e-05,6.252e-05,6.367e-05,168752.0
187,1518699600000,6.357e-05,6.481e-05,6.231e-05,6.39e-05,200326.0
188,1518703200000,6.384e-05,6.48e-05,6.33e-05,6.332e-05,144492.0
189,1518706800000,6.332e-05,6.371e-05,6.21e-05,6.296e-05,201269.0
190,1518710400000,6.295e-05,6.313e-05,6.2e-05,6.2e-05,193258.0
191,1518714000000,6.19e-05,6.23e-05,6.019e-05,6.021e-05,504956.0
192,1518717600000,6.019e-05,6.12e-05,5.987e-05,6.041e-05,368833.0
193,1518721200000,6.057e-05,6.1e-05,5.885e-05,5.911e-05,316730.0
194,1518724800000,5.894e-05,6.044e-05,5.894e-05,5.933e-05,144705.0
195,1518728400000,5.933e-05,6.201e-05,5.833e-05,6.124e-05,612398.0
196,1518732000000,6.143e-05,6.507e-05,6.067e-05,6.475e-05,971190.0
197,1518735600000,6.475e-05,6.7e-05,6.3e-05,6.681e-05,1167946.0
198,1518739200000,6.682e-05,6.955e-05,6.522e-05,6.557e-05,1152774.0
199,1518742800000,6.559e-05,6.629e-05,6.317e-05,6.399e-05,524699.0
200,1518746400000,6.391e-05,6.886e-05,6.311e-05,6.557e-05,351513.0
201,1518750000000,6.538e-05,6.668e-05,6.45e-05,6.507e-05,177528.0
202,1518753600000,6.509e-05,6.62e-05,6.44e-05,6.554e-05,155475.0
203,1518757200000,6.563e-05,6.6e-05,6.481e-05,6.565e-05,141082.0
204,1518760800000,6.58e-05,6.599e-05,6.42e-05,6.43e-05,156216.0
205,1518764400000,6.43e-05,6.539e-05,6.346e-05,6.404e-05,248298.0
206,1518768000000,6.378e-05,6.402e-05,6.316e-05,6.369e-05,99165.0
207,1518771600000,6.369e-05,6.51e-05,6.369e-05,6.439e-05,104923.0
208,1518775200000,6.438e-05,6.49e-05,6.38e-05,6.39e-05,82223.0
209,1518778800000,6.384e-05,6.444e-05,6.35e-05,6.37e-05,103391.0
210,1518782400000,6.369e-05,6.415e-05,6.32e-05,6.382e-05,54887.0
211,1518786000000,6.367e-05,6.43e-05,6.316e-05,6.382e-05,168250.0
212,1518789600000,6.391e-05,6.415e-05,6.3e-05,6.35e-05,211023.0
213,1518793200000,6.35e-05,6.578e-05,6.338e-05,6.469e-05,237403.0
214,1518796800000,6.468e-05,6.499e-05,6.406e-05,6.485e-05,168552.0
215,1518800400000,6.485e-05,6.888e-05,6.477e-05,6.649e-05,1003109.0
216,1518804000000,6.645e-05,6.79e-05,6.529e-05,6.621e-05,448131.0
217,1518807600000,6.622e-05,6.71e-05,6.51e-05,6.552e-05,217736.0
218,1518811200000,6.532e-05,6.738e-05,6.46e-05,6.584e-05,285314.0
219,1518814800000,6.584e-05,6.621e-05,6.5e-05,6.607e-05,154894.0
220,1518818400000,6.608e-05,6.64e-05,6.45e-05,6.487e-05,194057.0
