,ts,open,high,low,close,volume
0,1500004800000,5e-05,5.48e-05,1e-05,4.955e-05,6853648.0
1,1500008400000,4.946e-05,4.946e-05,3.9e-05,4.429e-05,1734798.0
2,1500012000000,4.429e-05,4.89e-05,4.361e-05,4.8e-05,998661.0
3,1500015600000,4.799e-05,4.841e-05,4.7e-05,4.78e-05,537448.0
4,1500019200000,4.78e-05,4.79e-05,4.331e-05,4.41e-05,249900.0
5,1500022800000,4.411e-05,4.678e-05,4.282e-05,4.282e-05,183871.0
6,1500026400000,4.282e-05,4.5e-05,4.215e-05,4.49e-05,202839.0
7,1500030000000,4.49e-05,4.8e-05,4.45e-05,4.537e-05,420888.0
8,1500033600000,4.406e-05,4.536e-05,4.36e-05,4.362e-05,147640.0
9,1500037200000,4.361e-05,4.7e-05,4.358e-05,4.4e-05,208773.0
10,1500040800000,4.4e-05,4.4e-05,4.357e-05,4.357e-05,185013.0
11,1500044400000,4.356e-05,4.356e-05,4.216e-05,4.266e-05,122261.0
12,1500048000000,4.266e-05,4.266e-05,4.02e-05,4.02e-05,90915.0
13,1500051600000,4.021e-05,4.2e-05,4.02e-05,4.199e-05,6867.0
14,1500055200000,4.199e-05,4.199e-05,4.199e-05,4.199e-05,0.0
15,1500058800000,4.016e-05,4.016e-05,4e-05,4e-05,37999.0
16,1500062400000,4e-05,4.002e-05,4e-05,4.001e-05,11643.0
17,1500066000000,4.002e-05,4.002e-05,4.002e-05,4.002e-05,113.0
18,1500069600000,4.195e-05,4.195e-05,4.193e-05,4.195e-05,7090.0
19,1500073200000,4.005e-05,4.005e-05,3.871e-05,3.871e-05,156096.0
20,1500076800000,3.871e-05,3.96e-05,3.701e-05,3.897e-05,466082.0
21,1500080400000,3.706e-05,3.799e-05,3.6e-05,3.6e-05,151338.0
22,1500084000000,3.6e-05,3.796e-05,3.3e-05,3.3e-05,164661.0
23,1500087600000,3.28e-05,3.797e-05,3.18e-05,3.796e-05,287974.0
24,1500091200000,3.7e-05,3.79e-05,3.565e-05,3.6e-05,74465.0
25,1500094800000,3.566e-05,3.578e-05,3.401e-05,3.52e-05,19485.0
26,1500098400000,3.52e-05,3.559e-05,3.102e-05,3.4e-05,185369.0
27,1500102000000,3.4e-05,3.8e-05,3.4e-05,3.8e-05,143830.0
28,1500105600000,3.795e-05,3.795e-05,3.216e-05,3.76e-05,47974.0
29,1500109200000,3.34e-05,3.95e-05,3.301e-05,3.925e-05,312118.0
30,1500112800000,3.91e-05,3.93e-05,3.8e-05,3.85e-05,423174.0
31,1500116400000,3.86e-05,3.929e-05,3.79e-05,3.8e-05,517490.0
32,1500120000000,3.79e-05,3.84e-05,3.617e-05,3.84e-05,211200.0
33,1500123600000,3.839e-05,3.929e-05,3.8e-05,3.927e-05,213504.0
34,1500127200000,3.927e-05,3.93e-05,3.85e-05,3.93e-05,146243.0
35,1500130800000,3.93e-05,3.989e-05,3.85e-05,3.913e-05,134507.0
36,1500134400000,3.988e-05,3.988e-05,3.911e-05,3.911e-05,10640.0
37,1500138000000,3.911e-05,3.911e-05,3.911e-05,3.911e-05,29665.0
38,1500141600000,3.911e-05,3.99e-05,3.86e-05,3.99e-05,46505.0
39,1500145200000,3.99e-05,3.99e-05,3.99e-05,3.99e-05,200.0
40,1500148800000,3.99e-05,3.99e-05,3.99e-05,3.99e-05,100.0
41,1500152400000,3.99e-05,3.99e-05,3.99e-05,3.99e-05,2342.0
42,1500156000000,3.989e-05,3.989e-05,3.989e-05,3.989e-05,130.0
43,1500159600000,3.98e-05,3.98e-05,3.803e-05,3.803e-05,21655.0
44,1500163200000,3.807e-05,3.954e-05,3.74e-05,3.741e-05,134666.0
45,1500166800000,3.741e-05,3.966e-05,3.71e-05,3.965e-05,181443.0
46,1500170400000,3.89e-05,3.965e-05,3.815e-05,3.9e-05,316212.0
47,1500174000000,3.92e-05,3.961e-05,3.9e-05,3.9e-05,161158.0
48,1500177600000,3.95e-05,4.2e-05,3.912e-05,4.2e-05,582402.0
49,1500181200000,4.2e-05,4.2e-05,4.088e-05,4.088e-05,95493.0
50,1500184800000,4.088e-05,4.2e-05,3.98e-05,4.145e-05,187790.0
51,1500188400000,4.144e-05,4.263e-05,4.144e-05,4.26e-05,106141.0
52,1500192000000,4.101e-05,4.101e-05,3.983e-05,3.983e-05,49886.0
53,1500195600000,4.1e-05,4.189e-05,4.02e-05,4.02e-05,52814.0
54,1500199200000,4.16e-05,4.16e-05,4.15e-05,4.15e-05,2459.0
55,1500202800000,4.022e-05,4.022e-05,4.01e-05,4.01e-05,56261.0
56,1500206400000,3.99e-05,3.99e-05,3.985e-05,3.986e-05,33141.0
57,1500210000000,3.989e-05,3.989e-05,3.915e-05,3.915e-05,163503.0
58,1500213600000,3.915e-05,3.92e-05,3.915e-05,3.92e-05,33600.0
59,1500217200000,3.92e-05,3.92e-05,3.92e-05,3.92e-05,10000.0
60,1500220800000,3.92e-05,3.92e-05,3.92e-05,3.92e-05,15855.0
61,1500224400000,3.92e-05,3.92e-05,3.92e-05,3.92e-05,0.0
62,1500228000000,3.92e-05,3.92e-05,3.92e-05,3.92e-05,0.0
63,1500231600000,3.92e-05,3.92e-05,3.92e-05,3.92e-05,0.0
64,1500235200000,3.921e-05,3.921e-05,3.921e-05,3.921e-05,1600.0
65,1500238800000,3.921e-05,3.921e-05,3.92e-05,3.92e-05,18831.0
66,1500242400000,3.92e-05,3.92e-05,3.92e-05,3.92e-05,0.0
67,1500246000000,3.92e-05,3.92e-05,3.915e-05,3.915e-05,6450.0
68,1500249600000,3.915e-05,4.298e-05,3.883e-05,4.298e-05,449621.0
69,1500253200000,4.23e-05,4.3e-05,4.1e-05,4.229e-05,140238.0
70,1500256800000,4.15e-05,4.188e-05,4.002e-05,4.09e-05,31091.0
71,1500260400000,4.209e-05,4.209e-05,3.8e-05,3.8e-05,225003.0
72,1500264000000,3.801e-05,4.137e-05,3.756e-05,3.756e-05,110263.0
73,1500267600000,3.999e-05,4.39e-05,3.999e-05,4.349e-05,562718.0
74,1500271200000,4.21e-05,4.299e-05,4.21e-05,4.299e-05,27647.0
75,1500274800000,4.21e-05,4.288e-05,4.205e-05,4.28e-05,22914.0
76,1500278400000,4.205e-05,4.205e-05,4.185e-05,4.185e-05,15645.0
77,1500282000000,4.185e-05,4.3e-05,4.185e-05,4.3e-05,185416.0
78,1500285600000,4.3e-05,4.311e-05,4.3e-05,4.311e-05,110010.0
79,1500289200000,4.25e-05,4.286e-05,4.201e-05,4.25e-05,67374.0
80,1500292800000,4.249e-05,4.25e-05,4.12e-05,4.12e-05,72533.0
81,1500296400000,4.12e-05,4.12e-05,4.12e-05,4.12e-05,2170.0
82,1500300000000,4.12e-05,4.12e-05,4.12e-05,4.12e-05,0.0
83,1500303600000,4.112e-05,4.112e-05,4.11e-05,4.11e-05,9999.0
84,1500307200000,4.112e-05,4.112e-05,4.078e-05,4.078e-05,19968.0
85,1500310800000,4.078e-05,4.179e-05,4.078e-05,4.179e-05,397.0
86,1500314400000,4.179e-05,4.18e-05,4.179e-05,4.18e-05,7309.0
87,1500318000000,4.18e-05,4.18e-05,4.18e-05,4.18e-05,2000.0
88,1500321600000,4.18e-05,4.18e-05,4.18e-05,4.18e-05,0.0
89,1500325200000,4.18e-05,4.2e-05,4.18e-05,4.2e-05,20826.0
90,1500328800000,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0.0
91,1500332400000,4.19e-05,4.19e-05,4.05e-05,4.05e-05,50881.0
92,1500336000000,4.051e-05,4.051e-05,4.05e-05,4.05e-05,6890.0
93,1500339600000,4.051e-05,4.347e-05,4.05e-05,4.347e-05,319971.0
94,1500343200000,4.349e-05,4.6e-05,4.31e-05,4.586e-05,214688.0
95,1500346800000,4.41e-05,4.41e-05,4.329e-05,4.41e-05,49291.0
96,1500350400000,4.41e-05,4.41e-05,4.41e-05,4.41e-05,8148.0
97,1500354000000,4.41e-05,4.585e-05,4.31e-05,4.31e-05,64918.0
98,1500357600000,4.311e-05,4.5e-05,4.31e-05,4.378e-05,20239.0
99,1500361200000,4.378e-05,4.478e-05,4.378e-05,4.478e-05,84054.0
100,1500364800000,4.355e-05,4.355e-05,4.225e-05,4.3e-05,99755.0
101,1500368400000,4.232e-05,4.425e-05,4.231e-05,4.425e-05,118477.0
102,1500372000000,4.36e-05,4.36e-05,4.2e-05,4.201e-05,162852.0
103,1500375600000,4.201e-05,4.25e-05,4.151e-05,4.152e-05,70572.0
104,1500379200000,4.151e-05,4.151e-05,3.889e-05,3.889e-05,306097.0
105,1500382800000,3.889e-05,3.891e-05,3.889e-05,3.889e-05,30728.0
106,1500386400000,4.055e-05,4.245e-05,3.862e-05,3.98e-05,519300.0
107,1500390000000,3.98e-05,4.25e-05,3.953e-05,4.248e-05,398032.0
108,1500393600000,4.164e-05,4.164e-05,4.082e-05,4.082e-05,36191.0
109,1500397200000,4.082e-05,4.082e-05,4.082e-05,4.082e-05,0.0
110,1500400800000,4.082e-05,4.082e-05,4.082e-05,4.082e-05,0.0
111,1500404400000,4.082e-05,4.082e-05,3.799e-05,3.799e-05,186147.0
112,1500408000000,3.794e-05,3.794e-05,3.79e-05,3.79e-05,12245.0
113,1500411600000,3.79e-05,3.79e-05,3.79e-05,3.79e-05,0.0
114,1500415200000,3.8e-05,3.8e-05,3.8e-05,3.8e-05,115.0
115,1500418800000,3.811e-05,3.811e-05,3.75e-05,3.75e-05,127362.0
116,1500422400000,4.184e-05,5.198e-05,4.15e-05,4.949e-05,1628153.0
117,1500426000000,4.949e-05,4.975e-05,4.585e-05,4.81e-05,575637.0
118,1500429600000,4.829e-05,4.829e-05,4.69e-05,4.725e-05,270862.0
119,1500433200000,4.725e-05,4.725e-05,4.585e-05,4.65e-05,338553.0
120,1500436800000,4.65e-05,4.7e-05,4.65e-05,4.652e-05,64343.0
121,1500440400000,4.652e-05,4.712e-05,4.625e-05,4.634e-05,84326.0
122,1500444000000,4.634e-05,4.696e-05,4.59e-05,4.634e-05,85299.0
123,1500447600000,4.696e-05,4.712e-05,4.635e-05,4.635e-05,22768.0
124,1500451200000,4.637e-05,4.651e-05,4.637e-05,4.651e-05,11539.0
125,1500454800000,4.651e-05,4.7e-05,4.651e-05,4.651e-05,23207.0
126,1500458400000,4.651e-05,4.651e-05,4.636e-05,4.637e-05,30407.0
127,1500462000000,4.637e-05,4.698e-05,4.636e-05,4.698e-05,13760.0
128,1500465600000,4.695e-05,4.9e-05,4.65e-05,4.9e-05,81877.0
129,1500469200000,4.67e-05,4.878e-05,4.655e-05,4.7e-05,87872.0
130,1500472800000,4.705e-05,4.84e-05,4.654e-05,4.839e-05,71961.0
131,1500476400000,4.685e-05,4.83e-05,4.685e-05,4.83e-05,6965.0
132,1500480000000,4.83e-05,4.83e-05,4.83e-05,4.83e-05,0.0
133,1500483600000,4.688e-05,4.688e-05,4.666e-05,4.666e-05,20998.0
134,1500487200000,4.666e-05,4.666e-05,4.666e-05,4.666e-05,0.0
135,1500490800000,4.666e-05,4.67e-05,4.666e-05,4.67e-05,1528.0
136,1500494400000,4.67e-05,4.67e-05,4.67e-05,4.67e-05,0.0
137,1500498000000,4.67e-05,4.67e-05,4.67e-05,4.67e-05,0.0
138,1500501600000,4.67e-05,4.67e-05,4.67e-05,4.67e-05,0.0
139,1500505200000,4.795e-05,4.796e-05,4.681e-05,4.796e-05,3000.0
140,1500508800000,4.681e-05,4.8e-05,4.68e-05,4.8e-05,77019.0
141,1500512400000,4.8e-05,4.829e-05,4.8e-05,4.828e-05,86915.0
142,1500516000000,4.711e-05,4.799e-05,4.688e-05,4.799e-05,39818.0
143,1500519600000,4.71e-05,4.8e-05,4.709e-05,4.8e-05,66111.0
144,1500523200000,4.709e-05,4.709e-05,4.54e-05,4.54e-05,147608.0
145,1500526800000,4.735e-05,4.777e-05,4.54e-05,4.54e-05,106278.0
146,1500530400000,4.535e-05,4.837e-05,4.521e-05,4.836e-05,456785.0
147,1500534000000,4.765e-05,4.834e-05,4.601e-05,4.7e-05,103246.0
148,1500537600000,4.611e-05,4.699e-05,4.488e-05,4.488e-05,286659.0
149,1500541200000,4.489e-05,4.489e-05,4.3e-05,4.3e-05,222446.0
150,1500544800000,4.638e-05,4.678e-05,4.414e-05,4.454e-05,51879.0
151,1500548400000,4.454e-05,4.6e-05,4.454e-05,4.593e-05,70409.0
152,1500552000000,4.591e-05,4.693e-05,4.57e-05,4.69e-05,440393.0
153,1500555600000,4.608e-05,4.66e-05,4.56e-05,4.574e-05,188149.0
154,1500559200000,4.575e-05,4.698e-05,4.57e-05,4.622e-05,540382.0
155,1500562800000,4.62e-05,4.625e-05,4.568e-05,4.58e-05,127319.0
156,1500566400000,4.586e-05,4.588e-05,4.5e-05,4.525e-05,158007.0
157,1500570000000,4.539e-05,4.54e-05,4.53e-05,4.54e-05,21040.0
158,1500573600000,4.539e-05,4.54e-05,4.518e-05,4.529e-05,51323.0
159,1500577200000,4.52e-05,4.529e-05,4.519e-05,4.526e-05,24100.0
160,1500580800000,4.521e-05,4.529e-05,4.519e-05,4.519e-05,24471.0
161,1500584400000,4.528e-05,4.529e-05,4.5e-05,4.5e-05,66165.0
162,1500588000000,4.515e-05,4.515e-05,4.3e-05,4.307e-05,783051.0
163,1500591600000,4.306e-05,4.321e-05,4.125e-05,4.125e-05,751134.0
164,1500595200000,4.149e-05,4.15e-05,4.115e-05,4.12e-05,36625.0
165,1500598800000,4.12e-05,4.142e-05,4.006e-05,4.011e-05,144543.0
166,1500602400000,4.011e-05,4.412e-05,3.946e-05,4.186e-05,365362.0
167,1500606000000,4.184e-05,4.238e-05,4.174e-05,4.197e-05,211520.0
168,1500609600000,4.189e-05,4.199e-05,4.179e-05,4.188e-05,45027.0
169,1500613200000,4.186e-05,4.188e-05,4.169e-05,4.178e-05,39705.0
170,1500616800000,4.178e-05,4.185e-05,4.149e-05,4.149e-05,153458.0
171,1500620400000,4.152e-05,4.154e-05,4.059e-05,4.065e-05,242354.0
172,1500624000000,4.069e-05,4.069e-05,4.055e-05,4.059e-05,42959.0
173,1500627600000,4.058e-05,4.078e-05,4.02e-05,4.059e-05,140674.0
174,1500631200000,4.049e-05,4.058e-05,4.039e-05,4.052e-05,45616.0
175,1500634800000,4.05e-05,4.052e-05,4.041e-05,4.041e-05,33418.0
176,1500638400000,4.041e-05,4.118e-05,4.039e-05,4.118e-05,293174.0
177,1500642000000,4.098e-05,4.213e-05,4.098e-05,4.213e-05,280355.0
178,1500645600000,4.2e-05,4.217e-05,4.175e-05,4.185e-05,90544.0
179,1500649200000,4.185e-05,4.187e-05,4.155e-05,4.17e-05,64949.0
180,1500652800000,4.177e-05,4.18e-05,4.17e-05,4.17e-05,31256.0
181,1500656400000,4.176e-05,4.18e-05,4.169e-05,4.169e-05,39507.0
182,1500660000000,4.17e-05,4.18e-05,4.169e-05,4.179e-05,39208.0
183,1500663600000,4.178e-05,4.18e-05,4.17e-05,4.179e-05,31130.0
184,1500667200000,4.178e-05,4.18e-05,4.17e-05,4.179e-05,32859.0
185,1500670800000,4.174e-05,4.18e-05,4.17e-05,4.17e-05,35557.0
186,1500674400000,4.178e-05,4.18e-05,4.17e-05,4.179e-05,28575.0
187,1500678000000,4.179e-05,4.18e-05,4.169e-05,4.169e-05,34445.0
188,1500681600000,4.17e-05,4.17e-05,4.098e-05,4.142e-05,390135.0
189,1500685200000,4.145e-05,4.154e-05,4.116e-05,4.133e-05,80109.0
190,1500688800000,4.133e-05,4.14e-05,4.124e-05,4.134e-05,51948.0
191,1500692400000,4.132e-05,4.168e-05,4.114e-05,4.146e-05,105438.0
192,1500696000000,4.145e-05,4.296e-05,4.136e-05,4.215e-05,207155.0
193,1500699600000,4.215e-05,4.217e-05,4.205e-05,4.21e-05,37469.0
194,1500703200000,4.209e-05,4.215e-05,4.198e-05,4.204e-05,40051.0
195,1500706800000,4.202e-05,4.205e-05,4.193e-05,4.2e-05,40894.0
196,1500710400000,4.2e-05,4.2e-05,4.038e-05,4.046e-05,428211.0
197,1500714000000,4.036e-05,4.335e-05,4.018e-05,4.28e-05,549165.0
198,1500717600000,4.279e-05,4.286e-05,4.253e-05,4.282e-05,133481.0
199,1500721200000,4.282e-05,4.283e-05,4.266e-05,4.273e-05,47806.0
200,1500724800000,4.27e-05,4.273e-05,4.259e-05,4.261e-05,44481.0
201,1500728400000,4.261e-05,4.263e-05,4.207e-05,4.21e-05,157544.0
202,1500732000000,4.209e-05,4.209e-05,4.184e-05,4.186e-05,92164.0
203,1500735600000,4.186e-05,4.194e-05,4.184e-05,4.192e-05,32883.0
204,1500739200000,4.192e-05,4.193e-05,4.18e-05,4.186e-05,41681.0
205,1500742800000,4.187e-05,4.189e-05,4.153e-05,4.168e-05,71792.0
206,1500746400000,4.167e-05,4.175e-05,4.165e-05,4.174e-05,44394.0
