,ts,open,high,low,close,volume
0,1509937200000,1.5,1.799,0.5,1.7,649.12
1,1509940800000,1.3,1.65,1.3,1.6479,8147.72
2,1509944400000,1.5457,1.5525,1.5455,1.5458,6628.2
3,1509948000000,1.5458,1.681,1.5387,1.681,22767.9
4,1509951600000,1.6809,1.6809,1.6,1.625,14938.73
5,1509955200000,1.6011,1.6379,1.601,1.6378,5888.89
6,1509958800000,1.602,1.6366,1.58,1.6366,6643.14
7,1509962400000,1.601,1.6479,1.6,1.6479,4885.62
8,1509966000000,1.6479,1.676,1.6288,1.6288,4324.77
9,1509969600000,1.6288,1.6288,1.5803,1.5804,5834.38
10,1509973200000,1.6,1.6,1.5804,1.6,489.15
11,1509976800000,1.5805,1.61,1.5645,1.61,9040.61
12,1509980400000,1.6098,1.6148,1.5908,1.6148,6822.39
13,1509984000000,1.6148,1.631,1.6148,1.6148,1957.74
14,1509987600000,1.6108,1.627,1.57,1.5829,5646.76
15,1509991200000,1.5868,1.6028,1.5645,1.5908,909.99
16,1509994800000,1.6028,1.6028,1.571,1.5868,3255.32
17,1509998400000,1.5948,1.598,1.5763,1.5789,2629.14
18,1510002000000,1.5711,1.5868,1.556,1.571,1707.62
19,1510005600000,1.5789,1.5868,1.55,1.5631,4534.05
20,1510009200000,1.5553,1.577,1.5553,1.571,2914.1
21,1510012800000,1.571,1.5948,1.545,1.571,3617.43
22,1510016400000,1.5789,1.5789,1.5389,1.5389,3781.84
23,1510020000000,1.5389,1.5389,1.5389,1.5389,0.72
24,1510023600000,1.58,1.6188,1.55,1.6188,957.27
25,1510027200000,1.6184,1.6188,1.5548,1.5705,7268.47
26,1510030800000,1.5705,1.602,1.5705,1.602,3914.23
27,1510034400000,1.59,1.59,1.5705,1.5705,3046.71
28,1510038000000,1.5705,1.5705,1.5705,1.5705,13.76
29,1510041600000,1.59,1.595,1.58,1.5949,371.0
30,1510045200000,1.588,1.588,1.5548,1.5864,865.9
31,1510048800000,1.5864,1.5864,1.565,1.5864,117.38
32,1510052400000,1.5864,1.6184,1.5705,1.5864,3226.54
33,1510056000000,1.6183,1.6266,1.6,1.6103,6772.42
34,1510059600000,1.6103,1.6103,1.5801,1.5942,1466.33
35,1510063200000,1.6023,1.7,1.6023,1.6999,31475.45
36,1510066800000,1.689,1.7885,1.689,1.7353,20789.1
37,1510070400000,1.7191,1.7191,1.6593,1.7099,11302.08
38,1510074000000,1.7099,1.799,1.7099,1.7704,20031.7
39,1510077600000,1.7616,1.799,1.7288,1.799,3980.17
40,1510081200000,1.799,1.799,1.799,1.799,55.4
41,1510084800000,1.79,1.7989,1.7634,1.7634,905.28
42,1510088400000,1.7634,1.7634,1.7196,1.72,838.74
43,1510092000000,1.7196,1.737,1.7196,1.737,959.82
44,1510095600000,1.737,1.8,1.737,1.8,8371.99
45,1510099200000,1.7901,1.9,1.7479,1.8718,11333.76
46,1510102800000,1.8719,1.946,1.8,1.8013,21109.55
47,1510106400000,1.8025,1.8999,1.77,1.8113,12618.94
48,1510110000000,1.8,1.82,1.8,1.81,2411.3
49,1510113600000,1.8891,1.99,1.882,1.9,25161.05
50,1510117200000,1.882,1.9498,1.838,1.87,8069.4
51,1510120800000,1.8789,1.9486,1.8235,1.8513,6005.23
52,1510124400000,1.8616,1.988,1.8616,1.8631,1740.94
53,1510128000000,1.9448,1.9448,1.8763,1.8763,794.63
54,1510131600000,1.8763,1.94,1.8757,1.935,5934.33
55,1510135200000,1.935,1.935,1.8998,1.8998,2502.36
56,1510138800000,1.8998,1.8999,1.8736,1.8736,5774.17
57,1510142400000,1.87,1.8998,1.821,1.821,15802.86
58,1510146000000,1.8211,1.8799,1.8211,1.8369,800.75
59,1510149600000,1.8369,1.929,1.8368,1.8996,15267.67
60,1510153200000,1.899,1.93,1.869,1.93,3106.43
61,1510156800000,1.9249,1.9249,1.9234,1.9235,1542.13
62,1510160400000,1.93,1.95,1.849,1.93,8905.22
63,1510164000000,1.94,1.99,1.78,1.895,67528.43
64,1510167600000,1.895,1.9734,1.87,1.95,20592.01
65,1510171200000,1.91,1.99,1.9,1.95,30693.33
66,1510174800000,1.9779,1.9897,1.9,1.9,4780.01
67,1510178400000,1.9,1.9888,1.9,1.9887,14958.57
68,1510182000000,1.9001,1.9899,1.875,1.9889,59857.19
69,1510185600000,1.9781,1.9899,1.9,1.9251,10856.9
70,1510189200000,1.9255,1.9999,1.925,1.999,10818.35
71,1510192800000,1.998,1.999,1.931,1.989,13813.47
72,1510196400000,1.9889,2.05,1.9408,2.05,9300.12
73,1510200000000,1.96,2.0295,1.96,2.0294,2017.06
74,1510203600000,2.0294,2.0295,1.9761,2.0,4154.51
75,1510207200000,2.0,2.02,2.0,2.02,5021.79
76,1510210800000,2.0197,2.02,1.9808,2.0182,3609.06
77,1510214400000,2.0182,2.0497,2.0,2.0,15860.33
78,1510218000000,2.03,2.035,2.01,2.035,3146.9
79,1510221600000,2.02,2.0299,1.9704,2.0062,23024.46
80,1510225200000,2.0299,2.07,2.0,2.0001,29287.24
81,1510228800000,2.0599,2.0599,2.0118,2.0575,4456.02
82,1510232400000,2.0271,2.1,2.0252,2.066,27285.8
83,1510236000000,2.0661,2.15,2.066,2.14,25759.77
84,1510239600000,2.145,2.1997,2.0711,2.0711,31274.34
85,1510243200000,2.11,2.1289,2.091,2.091,9687.85
86,1510246800000,2.0912,2.11,2.08,2.11,4200.81
87,1510250400000,2.1289,2.1302,2.0921,2.0937,3971.8
88,1510254000000,2.0937,2.1297,2.0937,2.1294,628.78
89,1510257600000,2.1279,2.1279,2.07,2.07,1279.09
90,1510261200000,2.06,2.1275,2.0201,2.0201,5416.13
91,1510264800000,2.0201,2.026,1.96,1.96,28516.43
92,1510268400000,1.9601,1.99,1.9,1.99,13650.19
93,1510272000000,1.99,2.02,1.9602,1.9602,6166.74
94,1510275600000,2.0189,2.0189,1.9881,1.9881,6379.03
95,1510279200000,1.9976,2.02,1.9,1.9052,49155.03
96,1510282800000,1.9101,1.97,1.9101,1.9498,9605.79
97,1510286400000,1.94,1.9497,1.918,1.9496,2335.76
98,1510290000000,1.92,1.93,1.895,1.93,19588.4
99,1510293600000,1.9,1.9488,1.8923,1.9488,6151.77
100,1510297200000,1.9487,1.9488,1.895,1.895,1751.89
101,1510300800000,1.9459,1.97,1.88,1.97,43483.13
102,1510304400000,1.9301,2.0101,1.85,1.85,37745.93
103,1510308000000,1.8335,1.92,1.8335,1.89,9118.97
104,1510311600000,1.8556,1.894,1.7998,1.7998,26950.98
105,1510315200000,1.7998,1.825,1.7,1.7,60634.82
106,1510318800000,1.7,1.799,1.6631,1.798,33990.1
107,1510322400000,1.7705,1.775,1.7152,1.7301,28023.71
