,ts,open,high,low,close,volume
0,1514088000000,0.37999,0.37999,0.101,0.32,18876.83
1,1514091600000,0.31999,0.4,0.31001,0.35108,92282.03
2,1514095200000,0.35108,0.3989,0.32,0.37399,69089.44
3,1514098800000,0.37939,0.44999,0.32453,0.43,17756.81
4,1514102400000,0.40103,0.44998,0.4,0.4,15014.68
5,1514106000000,0.38,0.40999,0.36001,0.40957,9028.21
6,1514109600000,0.39,0.39,0.35,0.35,12834.41
7,1514113200000,0.361,0.40467,0.335,0.34,13510.74
8,1514116800000,0.335,0.34,0.31502,0.31502,1265.06
9,1514120400000,0.31502,0.33788,0.30005,0.33788,3614.83
10,1514124000000,0.30017,0.33775,0.30017,0.33775,354.86
11,1514127600000,0.33775,0.33775,0.31025,0.33769,1319.55
12,1514131200000,0.315,0.33687,0.31054,0.33687,8800.64
13,1514134800000,0.33599,0.33599,0.31059,0.32,1861.09
14,1514138400000,0.32,0.32999,0.31059,0.32999,2856.38
15,1514142000000,0.32996,0.32996,0.31309,0.315,125.98
16,1514145600000,0.31555,0.33777,0.305,0.31001,6742.96
17,1514149200000,0.35994,0.35994,0.31001,0.34999,1234.71
18,1514152800000,0.34999,0.375,0.32155,0.3216,8464.2
19,1514156400000,0.37499,0.4,0.32504,0.365,14672.07
20,1514160000000,0.364,0.39,0.23502,0.36981,32031.03
21,1514163600000,0.36,0.36984,0.32648,0.36968,928.24
22,1514167200000,0.36899,0.36899,0.32857,0.36662,5666.96
23,1514170800000,0.36599,0.39003,0.32946,0.38996,13266.13
24,1514174400000,0.38996,0.44998,0.38996,0.44998,22097.0
25,1514178000000,0.42,0.43939,0.3899,0.43913,11439.88
26,1514181600000,0.38995,0.43908,0.38995,0.395,11356.84
27,1514185200000,0.395,0.39999,0.3801,0.39495,9807.01
28,1514188800000,0.38291,0.38291,0.33733,0.33733,3681.95
29,1514192400000,0.3471,0.35676,0.31796,0.35676,8262.13
30,1514196000000,0.33072,0.36197,0.32001,0.32001,2596.23
31,1514199600000,0.34102,0.34114,0.30017,0.31821,5702.23
32,1514203200000,0.31821,0.341,0.30087,0.30434,5294.58
33,1514206800000,0.32132,0.32132,0.30475,0.312,3014.9
34,1514210400000,0.31193,0.31972,0.3012,0.3012,5710.81
35,1514214000000,0.3012,0.32249,0.285,0.318,3824.64
36,1514217600000,0.31999,0.33244,0.28575,0.28814,5313.97
37,1514221200000,0.28815,0.30099,0.28565,0.28565,2468.18
38,1514224800000,0.28565,0.3,0.27001,0.29681,10830.7
39,1514228400000,0.27199,0.29681,0.27101,0.27157,903.96
40,1514232000000,0.29684,0.29995,0.27128,0.29989,2351.3
41,1514235600000,0.27332,0.30875,0.2,0.29997,14726.66
42,1514239200000,0.29997,0.29997,0.20031,0.22092,1212.04
43,1514242800000,0.23807,0.303,0.23807,0.28175,1846.47
44,1514246400000,0.26037,0.27852,0.26037,0.26156,1352.42
45,1514250000000,0.2621,0.27686,0.26,0.27685,4305.48
46,1514253600000,0.26453,0.27683,0.22071,0.22071,4365.84
47,1514257200000,0.24809,0.25595,0.22101,0.23018,9754.66
48,1514260800000,0.2305,0.25278,0.2023,0.21262,27117.21
49,1514264400000,0.21262,0.2284,0.20001,0.22511,19120.53
50,1514268000000,0.225,0.231,0.20015,0.22536,8730.87
51,1514271600000,0.22536,0.22947,0.20023,0.21211,19548.36
52,1514275200000,0.22999,0.25004,0.20056,0.23004,29233.15
53,1514278800000,0.23004,0.24158,0.20062,0.20062,19968.08
54,1514282400000,0.22442,0.22442,0.20062,0.20063,519.02
55,1514286000000,0.2215,0.23006,0.21001,0.2235,2061.29
56,1514289600000,0.23006,0.24,0.22375,0.23256,11120.69
57,1514293200000,0.22387,0.23157,0.21003,0.22917,2199.4
58,1514296800000,0.22715,0.22715,0.20063,0.20072,3430.92
59,1514300400000,0.20072,0.2067,0.1826,0.19432,4046.25
60,1514304000000,0.1826,0.19309,0.17,0.17728,11694.69
61,1514307600000,0.18401,0.19079,0.16015,0.17994,4938.35
62,1514311200000,0.16146,0.17963,0.13,0.14838,16207.06
63,1514314800000,0.145,0.172,0.145,0.17112,17571.86
64,1514318400000,0.1774,0.18527,0.15802,0.16166,772.45
65,1514322000000,0.16166,0.18524,0.15531,0.17,10420.03
66,1514325600000,0.17,0.17917,0.16149,0.17917,2985.01
67,1514329200000,0.17587,0.195,0.16177,0.17016,3522.89
68,1514332800000,0.16169,0.18593,0.16102,0.17943,8442.64
69,1514336400000,0.18001,0.19197,0.16102,0.16102,12832.03
70,1514340000000,0.16102,0.16719,0.15585,0.15749,287.3
71,1514343600000,0.158,0.17049,0.158,0.16745,667.86
72,1514347200000,0.15829,0.16,0.145,0.145,10435.51
73,1514350800000,0.145,0.15,0.14496,0.14496,4027.41
74,1514354400000,0.14137,0.14358,0.1304,0.14358,19593.47
75,1514358000000,0.136,0.158,0.135,0.1556,21147.72
76,1514361600000,0.1353,0.15988,0.1353,0.15988,6528.8
77,1514365200000,0.16542,0.16543,0.14203,0.15399,1777.61
78,1514368800000,0.151,0.16,0.148,0.16,13515.57
79,1514372400000,0.16576,0.16818,0.16546,0.16546,3850.74
80,1514376000000,0.15346,0.1655,0.15317,0.1655,742.51
81,1514379600000,0.1655,0.188,0.15442,0.18538,27865.36
82,1514383200000,0.18538,0.19252,0.15351,0.18525,18665.26
83,1514386800000,0.18284,0.1829,0.165,0.178,2680.14
84,1514390400000,0.178,0.18999,0.16521,0.18302,3354.56
85,1514394000000,0.18286,0.18772,0.17395,0.18772,5218.97
86,1514397600000,0.1876,0.20386,0.17524,0.1784,2891.03
87,1514401200000,0.19761,0.2495,0.19761,0.24912,10835.95
88,1514404800000,0.23005,0.23346,0.17592,0.22409,9568.84
89,1514408400000,0.22404,0.22423,0.20398,0.2145,7052.55
90,1514412000000,0.21152,0.235,0.2077,0.21941,10708.02
91,1514415600000,0.21941,0.21953,0.18,0.20375,7401.76
92,1514419200000,0.18001,0.20246,0.18001,0.20244,3947.32
93,1514422800000,0.20054,0.20056,0.18039,0.19107,4138.15
94,1514426400000,0.18132,0.1862,0.17592,0.18061,10416.6
95,1514430000000,0.18709,0.20261,0.16015,0.19839,15602.13
96,1514433600000,0.19809,0.21499,0.17005,0.20877,5500.91
97,1514437200000,0.20456,0.20498,0.1759,0.20239,3170.65
98,1514440800000,0.19105,0.20501,0.178,0.19879,3880.54
99,1514444400000,0.19877,0.20854,0.18262,0.20788,2901.74
100,1514448000000,0.20453,0.21357,0.19201,0.19201,33039.04
101,1514451600000,0.19607,0.19607,0.18344,0.18745,11205.24
102,1514455200000,0.19099,0.19205,0.18613,0.18613,7055.57
103,1514458800000,0.18848,0.19658,0.18613,0.187,11742.51
104,1514462400000,0.187,0.20155,0.187,0.2,6163.6
105,1514466000000,0.19139,0.19283,0.19139,0.19281,3123.49
106,1514469600000,0.19281,0.19888,0.19281,0.19366,2756.33
107,1514473200000,0.1977,0.2079,0.19342,0.19424,6894.74
108,1514476800000,0.19508,0.20303,0.19338,0.20303,2663.7
109,1514480400000,0.20238,0.20303,0.18613,0.19163,7447.85
110,1514484000000,0.19163,0.19163,0.17001,0.17891,5298.02
111,1514487600000,0.17885,0.19435,0.17065,0.18702,5992.32
112,1514491200000,0.18702,0.18702,0.1786,0.18047,304.12
113,1514494800000,0.18091,0.18687,0.18091,0.18419,3664.18
114,1514498400000,0.19126,0.20044,0.18255,0.19267,1425.79
115,1514502000000,0.19119,0.20872,0.18084,0.18084,11505.59
116,1514505600000,0.1897,0.19486,0.17834,0.17856,11780.22
117,1514509200000,0.18944,0.19776,0.18118,0.19732,2550.05
118,1514512800000,0.19581,0.19581,0.182,0.18205,76.98
119,1514516400000,0.19305,0.19732,0.18282,0.19687,695.08
120,1514520000000,0.19687,0.19861,0.18538,0.18858,3088.77
121,1514523600000,0.1898,0.19873,0.18255,0.18301,5274.52
122,1514527200000,0.18542,0.19287,0.18303,0.184,3728.51
123,1514530800000,0.1866,0.19182,0.18451,0.19,815.98
124,1514534400000,0.18647,0.1973,0.18631,0.18895,715.37
125,1514538000000,0.18907,0.19505,0.18902,0.18925,1635.82
126,1514541600000,0.18925,0.18926,0.18401,0.18401,1409.2
127,1514545200000,0.18401,0.19019,0.18401,0.1901,1000.72
128,1514548800000,0.18503,0.19468,0.18503,0.19405,637.3
129,1514552400000,0.19377,0.19378,0.18514,0.19264,5708.19
130,1514556000000,0.19237,0.19264,0.18678,0.19042,6022.25
131,1514559600000,0.19263,0.19902,0.19053,0.1912,11157.7
132,1514563200000,0.19309,0.19309,0.18304,0.18306,1676.65
133,1514566800000,0.18307,0.19407,0.18307,0.18651,1336.63
134,1514570400000,0.1867,0.19457,0.1867,0.19457,1989.17
135,1514574000000,0.19457,0.19902,0.18767,0.19902,2775.57
136,1514577600000,0.19881,0.2,0.1913,0.19258,2300.15
137,1514581200000,0.19999,0.19999,0.19301,0.19377,2877.48
138,1514584800000,0.19377,0.19721,0.19377,0.19377,1355.64
139,1514588400000,0.19377,0.19835,0.19377,0.19378,1919.15
140,1514592000000,0.19378,0.19673,0.1855,0.19133,2460.99
141,1514595600000,0.19138,0.19674,0.19138,0.19645,7202.54
142,1514599200000,0.1963,0.19633,0.18542,0.18543,6376.41
143,1514602800000,0.18545,0.19386,0.18545,0.19,2734.52
144,1514606400000,0.18624,0.18627,0.1803,0.18611,17956.53
145,1514610000000,0.18611,0.19,0.18039,0.19,2072.78
146,1514613600000,0.18501,0.1934,0.18501,0.19,613.99
147,1514617200000,0.19,0.19381,0.186,0.186,2092.04
148,1514620800000,0.186,0.19332,0.186,0.19184,63120.94
149,1514624400000,0.18682,0.19348,0.18627,0.18657,723.66
150,1514628000000,0.19261,0.19888,0.19261,0.19336,4229.22
151,1514631600000,0.1934,0.1971,0.19325,0.19692,4412.82
152,1514635200000,0.19494,0.19624,0.18301,0.18301,4237.41
153,1514638800000,0.18301,0.19162,0.1803,0.18538,4673.8
154,1514642400000,0.18538,0.18855,0.18049,0.1842,96.9
155,1514646000000,0.189,0.19137,0.189,0.19055,14.15
156,1514649600000,0.18436,0.19132,0.18421,0.18462,3873.46
157,1514653200000,0.18462,0.18995,0.18462,0.1899,634.82
158,1514656800000,0.18552,0.18728,0.1804,0.18643,4050.36
159,1514660400000,0.1865,0.19135,0.1865,0.188,789.38
160,1514664000000,0.18643,0.19135,0.18643,0.18826,773.48
161,1514667600000,0.18826,0.19325,0.18333,0.18826,2123.77
162,1514671200000,0.18826,0.19875,0.18357,0.18392,3590.54
163,1514674800000,0.18442,0.18442,0.18424,0.18424,625.04
164,1514678400000,0.18424,0.18436,0.18424,0.18432,864.57
165,1514682000000,0.18432,0.19225,0.18432,0.19224,205.0
166,1514685600000,0.19223,0.19224,0.18432,0.18561,6580.1
167,1514689200000,0.18565,0.19194,0.18562,0.189,8308.41
168,1514692800000,0.19187,0.19869,0.18631,0.19869,1084.16
169,1514696400000,0.19868,0.19888,0.18916,0.19888,142.25
170,1514700000000,0.19878,0.19879,0.1886,0.19113,1564.18
171,1514703600000,0.19116,0.19879,0.1903,0.19057,579.81
172,1514707200000,0.19847,0.19877,0.19847,0.19876,749.97
173,1514710800000,0.19876,0.19876,0.1903,0.1933,6416.49
174,1514714400000,0.1903,0.19857,0.1862,0.1862,3097.86
175,1514718000000,0.1862,0.19362,0.18424,0.19344,4226.9
176,1514721600000,0.18455,0.188,0.18455,0.188,218.79
177,1514725200000,0.188,0.19344,0.18502,0.19344,1041.45
178,1514728800000,0.19345,0.19749,0.18515,0.18516,3175.29
179,1514732400000,0.18516,0.19887,0.18515,0.19173,4260.67
180,1514736000000,0.19886,0.19887,0.18833,0.18833,1257.46
181,1514739600000,0.18847,0.19834,0.18847,0.19001,641.63
182,1514743200000,0.19001,0.19001,0.18816,0.19001,1462.38
183,1514746800000,0.19467,0.19467,0.19002,0.19004,44.58
184,1514750400000,0.19353,0.19888,0.19008,0.19042,2183.51
185,1514754000000,0.19043,0.193,0.18817,0.19294,1098.92
186,1514757600000,0.193,0.201,0.18834,0.201,1511.88
187,1514761200000,0.20031,0.20031,0.18862,0.18878,314.83
188,1514764800000,0.195,0.21,0.18914,0.20997,2918.79
189,1514768400000,0.20989,0.228,0.20235,0.20252,12299.04
190,1514772000000,0.20255,0.21261,0.201,0.20206,1652.7
191,1514775600000,0.205,0.20741,0.20101,0.20305,4145.2
192,1514779200000,0.20305,0.2078,0.19613,0.20408,178.0
193,1514782800000,0.19798,0.20109,0.19325,0.20109,969.51
194,1514786400000,0.19383,0.20708,0.19383,0.20694,623.61
195,1514790000000,0.20694,0.20694,0.20694,0.20694,0.0
196,1514793600000,0.19439,0.20198,0.19428,0.19428,396.47
197,1514797200000,0.20197,0.20197,0.20197,0.20197,0.04
198,1514800800000,0.20197,0.21059,0.19577,0.21059,204.84
