,ts,open,high,low,close,volume
0,1514088000000,8.1e-05,0.00014999,8.1e-05,0.00010071,1867567.0
1,1514091600000,0.00010185,0.00013299,0.00010071,0.00010927,3704763.0
2,1514095200000,0.00010939,0.00012604,0.00010451,0.00011899,2084596.0
3,1514098800000,0.00011899,0.000146,0.00011899,0.00014301,2599909.0
4,1514102400000,0.00014299,0.000146,0.000128,0.00012936,1562920.0
5,1514106000000,0.00012936,0.00013636,0.00012237,0.00012726,1217500.0
6,1514109600000,0.0001275,0.0001275,0.00011816,0.000127,620262.0
7,1514113200000,0.000127,0.00013785,0.00011785,0.0001245,914751.0
8,1514116800000,0.00012204,0.0001262,0.00011785,0.000118,348177.0
9,1514120400000,0.0001181,0.000132,0.0001175,0.0001271,565642.0
10,1514124000000,0.000127,0.00012702,0.0001173,0.000118,349469.0
11,1514127600000,0.00011901,0.000128,0.000118,0.0001205,405207.0
12,1514131200000,0.00012299,0.0001278,0.00011983,0.00012237,310398.0
13,1514134800000,0.00012274,0.00012399,0.00011974,0.00012,231705.0
14,1514138400000,0.00012,0.00012397,0.00012,0.0001221,244455.0
15,1514142000000,0.00012214,0.00012349,0.00012001,0.00012018,323714.0
16,1514145600000,0.00012024,0.0001319,0.0001196,0.00013002,444557.0
17,1514149200000,0.00013001,0.00013512,0.00012253,0.00013499,602579.0
18,1514152800000,0.00013498,0.000143,0.0001301,0.0001399,1182118.0
19,1514156400000,0.0001399,0.000148,0.00013367,0.00013404,943221.0
20,1514160000000,0.00013491,0.00014288,0.0001246,0.00013707,775813.0
21,1514163600000,0.00013855,0.00014,0.00013023,0.00014,358691.0
22,1514167200000,0.00014,0.000141,0.0001351,0.00013818,473261.0
23,1514170800000,0.00013799,0.000158,0.00013725,0.000152,1172531.0
24,1514174400000,0.00015297,0.000175,0.000152,0.0001605,3262299.0
25,1514178000000,0.0001605,0.00016998,0.00015228,0.00016937,1264917.0
26,1514181600000,0.000169,0.0001694,0.00015709,0.000165,591166.0
27,1514185200000,0.000165,0.00016515,0.000156,0.0001611,472216.0
28,1514188800000,0.00016077,0.0001615,0.00015131,0.00015192,409138.0
29,1514192400000,0.00015192,0.00015552,0.0001423,0.00014451,545435.0
30,1514196000000,0.00014451,0.0001545,0.00013901,0.00014155,461360.0
31,1514199600000,0.0001415,0.0001469,0.00013112,0.00013551,474953.0
32,1514203200000,0.0001355,0.000147,0.00013251,0.00013438,445805.0
33,1514206800000,0.00013438,0.000145,0.00013301,0.000137,299525.0
34,1514210400000,0.00013896,0.00014,0.0001355,0.00013555,279183.0
35,1514214000000,0.00013555,0.000156,0.00013555,0.00015592,524465.0
36,1514217600000,0.00015591,0.00015592,0.000143,0.00014776,491556.0
37,1514221200000,0.00014583,0.0001515,0.00014,0.00014125,366753.0
38,1514224800000,0.00014125,0.0001505,0.0001358,0.00014087,508996.0
39,1514228400000,0.00014097,0.000148,0.00013776,0.000139,271480.0
40,1514232000000,0.000139,0.00013903,0.000132,0.00013501,212087.0
41,1514235600000,0.00013499,0.0001425,0.000131,0.00013548,283040.0
42,1514239200000,0.000135,0.00014,0.00012502,0.00012624,363367.0
43,1514242800000,0.00012624,0.00013989,0.00012507,0.000126,386722.0
44,1514246400000,0.0001266,0.000129,0.000125,0.00012639,256335.0
45,1514250000000,0.00012639,0.00012892,0.0001223,0.00012869,257782.0
46,1514253600000,0.00012869,0.000132,0.000121,0.00012214,225681.0
47,1514257200000,0.00012209,0.00012793,0.00011735,0.00011998,431407.0
48,1514260800000,0.00011998,0.0001275,0.00010509,0.00011225,672098.0
49,1514264400000,0.00011199,0.00011199,9.602e-05,0.00010296,941445.0
50,1514268000000,0.00010224,0.00011143,9.8e-05,0.00010198,506234.0
51,1514271600000,0.00010083,0.0001086,9.129e-05,0.00010625,783222.0
52,1514275200000,0.00010507,0.00011832,0.000104,0.00011003,615013.0
53,1514278800000,0.00011077,0.00011746,0.0001061,0.00010833,366584.0
54,1514282400000,0.00010798,0.0001139,0.00010795,0.0001081,344442.0
55,1514286000000,0.0001081,0.00011819,0.00010648,0.00011697,388073.0
56,1514289600000,0.00011649,0.00011849,0.00011,0.00011145,658669.0
57,1514293200000,0.00011173,0.000115,0.00010702,0.000113,453875.0
58,1514296800000,0.000113,0.0001145,9.651e-05,9.651e-05,954640.0
59,1514300400000,9.789e-05,0.00010101,9.4e-05,9.483e-05,1069466.0
60,1514304000000,9.437e-05,9.896e-05,9e-05,9.128e-05,991013.0
61,1514307600000,9.204e-05,9.9e-05,9.204e-05,9.805e-05,273794.0
62,1514311200000,9.776e-05,0.00010101,9.6e-05,9.779e-05,602844.0
63,1514314800000,9.771e-05,0.0001,9.615e-05,9.982e-05,441125.0
64,1514318400000,9.909e-05,0.000108,9.675e-05,0.000108,321310.0
65,1514322000000,0.00010789,0.0001081,0.0001,0.00010129,286885.0
66,1514325600000,0.00010129,0.00010273,0.00010082,0.00010174,194807.0
67,1514329200000,0.00010172,0.00011083,9.88e-05,0.000109,562690.0
68,1514332800000,0.00010899,0.00011111,9.361e-05,0.00010242,789638.0
69,1514336400000,0.000101,0.000106,0.0001006,0.00010095,562993.0
70,1514340000000,0.00010095,0.00010256,0.0001,0.00010077,167021.0
71,1514343600000,0.00010077,0.000106,9.974e-05,0.00010061,274653.0
72,1514347200000,0.00010131,0.00010131,9.373e-05,9.488e-05,260219.0
73,1514350800000,9.489e-05,9.799e-05,9.308e-05,9.554e-05,426701.0
74,1514354400000,9.58e-05,9.599e-05,9.1e-05,9.238e-05,718819.0
75,1514358000000,9.237e-05,0.000104,9.235e-05,9.593e-05,774092.0
76,1514361600000,9.725e-05,0.00010442,9.601e-05,0.000101,409082.0
77,1514365200000,0.00010202,0.00010296,9.75e-05,9.835e-05,267292.0
78,1514368800000,9.851e-05,0.00010581,9.758e-05,0.00010358,317189.0
79,1514372400000,0.00010358,0.0001064,0.00010201,0.00010548,614825.0
80,1514376000000,0.00010548,0.0001065,0.00010142,0.00010555,339051.0
81,1514379600000,0.00010555,0.00011987,0.0001052,0.00011941,617165.0
82,1514383200000,0.00011987,0.00011996,0.0001123,0.00011299,970226.0
83,1514386800000,0.00011294,0.0001132,0.00010902,0.00011184,888945.0
84,1514390400000,0.00011184,0.000113,0.00010903,0.00011113,634084.0
85,1514394000000,0.00011113,0.000114,0.00010819,0.00011351,519933.0
86,1514397600000,0.00011351,0.000124,0.0001126,0.00011875,428058.0
87,1514401200000,0.00011848,0.0001386,0.00011848,0.00013747,1230313.0
88,1514404800000,0.00013746,0.00013746,0.00012025,0.00013095,825733.0
89,1514408400000,0.00013095,0.00013297,0.00012153,0.00012465,565483.0
90,1514412000000,0.000125,0.00014401,0.00012465,0.0001359,1159944.0
91,1514415600000,0.0001359,0.00013794,0.000123,0.00012303,430581.0
92,1514419200000,0.000123,0.00012986,0.000122,0.00012884,519280.0
93,1514422800000,0.000129,0.000129,0.00011511,0.000121,423109.0
94,1514426400000,0.00012063,0.00012063,0.00010576,0.00011086,694159.0
95,1514430000000,0.00011086,0.00012375,0.00010718,0.00011998,638469.0
96,1514433600000,0.00011914,0.00013,0.00011801,0.00012033,491899.0
97,1514437200000,0.0001204,0.00012301,0.00011417,0.00011528,502235.0
98,1514440800000,0.00011498,0.00012301,0.00011245,0.000119,594727.0
99,1514444400000,0.000119,0.00012083,0.0001169,0.00012019,411739.0
100,1514448000000,0.00012,0.00012459,0.00011392,0.000116,467496.0
101,1514451600000,0.00011589,0.00011752,0.00011001,0.00011392,482274.0
102,1514455200000,0.00011338,0.00011599,0.00011125,0.00011252,695831.0
103,1514458800000,0.00011286,0.00011499,0.00011113,0.00011226,584166.0
104,1514462400000,0.00011226,0.00011739,0.00011197,0.00011505,411299.0
105,1514466000000,0.00011512,0.00011629,0.000113,0.00011408,262856.0
106,1514469600000,0.00011399,0.00011621,0.00011302,0.00011494,194369.0
107,1514473200000,0.00011509,0.00012358,0.00011494,0.000119,530518.0
108,1514476800000,0.00011911,0.00011911,0.00011301,0.00011391,379005.0
109,1514480400000,0.00011449,0.00011887,0.00011141,0.00011368,294866.0
110,1514484000000,0.00011369,0.000126,0.00011256,0.00011602,673180.0
111,1514487600000,0.00011602,0.00011934,0.00011602,0.00011627,240967.0
112,1514491200000,0.00011627,0.00011703,0.000114,0.00011568,178407.0
113,1514494800000,0.00011568,0.00011703,0.000115,0.00011663,245460.0
114,1514498400000,0.0001165,0.00012702,0.00011644,0.00012499,597594.0
115,1514502000000,0.0001215,0.00012698,0.00011819,0.0001185,418912.0
116,1514505600000,0.00011815,0.00012779,0.00011602,0.00012239,415708.0
117,1514509200000,0.00012342,0.0001265,0.00012019,0.0001223,536357.0
118,1514512800000,0.0001223,0.00012339,0.00011802,0.00012199,357993.0
119,1514516400000,0.00012147,0.00012499,0.00011962,0.00012391,305841.0
120,1514520000000,0.00012441,0.0001275,0.00011711,0.00011902,387040.0
