,ts,open,high,low,close,volume
0,1508824800000,0.028999,0.069998,0.018999,0.035003,1238.03
1,1508828400000,0.036097,0.0431,0.035003,0.038501,1644.22
2,1508832000000,0.0391,0.0412,0.038005,0.041,705.78
3,1508835600000,0.04051,0.0538,0.04051,0.050004,1582.32
4,1508839200000,0.0502,0.050201,0.0385,0.040999,1139.41
5,1508842800000,0.040999,0.047254,0.040103,0.0459,901.73
6,1508846400000,0.044301,0.047253,0.042347,0.044242,521.83
7,1508850000000,0.044243,0.051988,0.044243,0.046023,692.91
8,1508853600000,0.046019,0.046963,0.045852,0.0468,236.92
9,1508857200000,0.046411,0.046499,0.041026,0.041986,639.56
10,1508860800000,0.041986,0.04285,0.039,0.041713,388.12
11,1508864400000,0.041714,0.04215,0.04001,0.04099,359.3
12,1508868000000,0.0409,0.042999,0.038516,0.039397,318.54
13,1508871600000,0.039397,0.039399,0.033,0.0365,326.77
14,1508875200000,0.034982,0.036899,0.0311,0.0345,240.61
15,1508878800000,0.0345,0.0361,0.03228,0.0361,555.99
16,1508882400000,0.0362,0.036898,0.033054,0.033331,244.64
17,1508886000000,0.033331,0.0355,0.032293,0.0355,226.99
18,1508889600000,0.0336,0.034998,0.032108,0.033,212.72
19,1508893200000,0.033,0.0333,0.0281,0.03,305.73
20,1508896800000,0.03,0.030997,0.0285,0.028502,128.89
21,1508900400000,0.028503,0.033971,0.028008,0.032108,289.11
22,1508904000000,0.032108,0.0322,0.0306,0.0306,187.72
23,1508907600000,0.030599,0.033962,0.03001,0.031961,119.65
24,1508911200000,0.032999,0.035499,0.03205,0.0334,308.54
25,1508914800000,0.0335,0.0365,0.0335,0.0365,253.39
26,1508918400000,0.0368,0.037998,0.033054,0.033054,303.48
27,1508922000000,0.034694,0.034694,0.0322,0.033601,148.56
28,1508925600000,0.0336,0.03428,0.0321,0.032439,328.64
29,1508929200000,0.03359,0.034399,0.0326,0.0328,163.19
30,1508932800000,0.033989,0.033989,0.032424,0.033031,73.23
31,1508936400000,0.033038,0.033394,0.032452,0.03296,122.63
32,1508940000000,0.032508,0.032508,0.031001,0.032087,114.96
33,1508943600000,0.03201,0.03206,0.030002,0.030006,238.09
34,1508947200000,0.030011,0.031999,0.030011,0.031101,143.02
35,1508950800000,0.031102,0.032094,0.0311,0.031985,107.24
36,1508954400000,0.031104,0.031918,0.031104,0.031795,13.62
37,1508958000000,0.03119,0.031769,0.0311,0.0311,165.9
38,1508961600000,0.0311,0.031895,0.0311,0.031116,96.73
39,1508965200000,0.031116,0.031116,0.0311,0.0311,26.74
40,1508968800000,0.0311,0.031259,0.0311,0.0311,20.52
41,1508972400000,0.0311,0.031102,0.029,0.030524,97.14
42,1508976000000,0.030519,0.0312,0.029189,0.029404,38.46
43,1508979600000,0.02942,0.029423,0.0286,0.028887,81.12
44,1508983200000,0.028887,0.029208,0.028602,0.029187,13.78
45,1508986800000,0.0291,0.029132,0.028199,0.029072,141.1
46,1508990400000,0.028848,0.029298,0.02812,0.029298,96.35
47,1508994000000,0.028497,0.0305,0.028126,0.030405,39.9
48,1508997600000,0.030797,0.031949,0.030797,0.031432,61.11
49,1509001200000,0.030605,0.031429,0.030605,0.031402,51.79
50,1509004800000,0.0314,0.0314,0.029577,0.03044,85.35
51,1509008400000,0.030484,0.0315,0.030484,0.0315,98.91
52,1509012000000,0.031,0.0313,0.03044,0.03044,70.69
53,1509015600000,0.030001,0.03065,0.029001,0.029001,54.72
54,1509019200000,0.029001,0.029001,0.0255,0.025707,122.95
55,1509022800000,0.026024,0.026975,0.025313,0.025313,111.9
56,1509026400000,0.025501,0.025513,0.02401,0.024012,174.34
57,1509030000000,0.024015,0.024317,0.024012,0.02405,124.81
58,1509033600000,0.02405,0.024924,0.02201,0.0235,128.67
59,1509037200000,0.023595,0.025,0.02302,0.02303,209.14
