,ts,open,high,low,close,volume
0,1508828400000,0.789,0.789,0.66007,0.75,39.25
1,1508832000000,0.75,0.78,0.700001,0.778,176.16
2,1508835600000,0.999999,0.999999,0.868003,0.868201,39.61
3,1508839200000,0.969996,0.969996,0.720841,0.750001,47.38
4,1508842800000,0.750001,0.89,0.750001,0.750058,1.75
5,1508846400000,0.780072,0.855,0.780072,0.84989,20.49
6,1508850000000,0.849889,0.900051,0.805362,0.805362,23.0
7,1508853600000,0.819999,0.878,0.815541,0.878,1.32
8,1508857200000,0.87,0.87,0.751,0.752,46.0
9,1508860800000,0.7521,0.7521,0.720826,0.720826,42.66
10,1508864400000,0.731,0.760002,0.731,0.76,20.59
11,1508868000000,0.75,0.75,0.717,0.717,24.08
12,1508871600000,0.70057,0.70057,0.6912,0.6912,49.0
13,1508875200000,0.633114,0.633114,0.575,0.575,16.69
14,1508878800000,0.577,0.646976,0.577,0.646803,2.59
15,1508882400000,0.68889,0.68889,0.642,0.642,0.24
16,1508886000000,0.603,0.653947,0.603,0.646999,3.59
17,1508889600000,0.646999,0.646999,0.604,0.605,34.13
18,1508893200000,0.605,0.605,0.500001,0.500001,9.38
19,1508896800000,0.549996,0.549997,0.500011,0.500011,23.51
20,1508900400000,0.57,0.628612,0.535006,0.628612,61.34
21,1508904000000,0.6,0.628791,0.59,0.59,30.33
22,1508907600000,0.591,0.619926,0.57,0.57,21.71
23,1508911200000,0.627398,0.646999,0.59125,0.646999,48.31
24,1508914800000,0.646999,0.663815,0.646999,0.663815,4.47
25,1508918400000,0.698988,0.699,0.650462,0.698502,39.71
26,1508922000000,0.6797,0.6797,0.612222,0.64,39.74
27,1508925600000,0.669633,0.669634,0.612222,0.620001,116.79
28,1508929200000,0.620001,0.625,0.62,0.625,28.22
29,1508932800000,0.625,0.644749,0.61,0.61,7.61
30,1508936400000,0.659584,0.659586,0.585014,0.585014,13.0
31,1508940000000,0.585014,0.649222,0.585008,0.585008,1.96
32,1508943600000,0.585501,0.5856,0.551,0.581999,33.17
33,1508947200000,0.581927,0.597274,0.560001,0.597274,6.73
34,1508950800000,0.560004,0.596445,0.560004,0.596445,34.3
35,1508954400000,0.596381,0.596381,0.596381,0.596381,6.54
36,1508958000000,0.596381,0.596381,0.596381,0.596381,0.0
37,1508961600000,0.596381,0.596381,0.596381,0.596381,0.0
38,1508965200000,0.596286,0.597275,0.596285,0.597275,12.59
39,1508968800000,0.597275,0.597275,0.597275,0.597275,0.61
40,1508972400000,0.597275,0.597275,0.58,0.58,0.69
41,1508976000000,0.58,0.58,0.58,0.58,0.0
42,1508979600000,0.560014,0.560014,0.5513,0.555,4.96
43,1508983200000,0.551301,0.555,0.5513,0.555,3.15
44,1508986800000,0.560014,0.560014,0.551,0.551001,8.54
45,1508990400000,0.560013,0.63723,0.543114,0.543114,23.78
46,1508994000000,0.543117,0.543117,0.543117,0.543117,0.04
47,1508997600000,0.611299,0.6113,0.611299,0.6113,10.8
48,1509001200000,0.6113,0.6113,0.6113,0.6113,0.0
49,1509004800000,0.6113,0.6113,0.6113,0.6113,0.0
50,1509008400000,0.6108,0.610999,0.6108,0.610999,0.17
51,1509012000000,0.610124,0.610124,0.570116,0.570117,4.41
52,1509015600000,0.570118,0.570118,0.570117,0.570117,7.24
