,ts,open,high,low,close,volume
0,1511244000000,0.9,0.9,0.05001,0.65,52.05
1,1511247600000,0.17999,0.18,0.07323,0.09001,73684.87
2,1511251200000,0.09301,0.095,0.093,0.09301,9797.7
3,1511254800000,0.09301,0.09301,0.09301,0.09301,0.0
4,1511258400000,0.08518,0.08518,0.08504,0.08518,12011.03
5,1511262000000,0.08909,0.0891,0.08617,0.08617,3140.7
6,1511265600000,0.09298,0.10637,0.09201,0.10637,17840.38
7,1511269200000,0.10637,0.10637,0.09379,0.09379,44303.3
8,1511272800000,0.10079,0.10079,0.08888,0.09379,57638.28
9,1511276400000,0.08722,0.09378,0.08722,0.0935,996.98
10,1511280000000,0.09378,0.09501,0.0935,0.095,26922.47
11,1511283600000,0.095,0.095,0.095,0.095,0.0
12,1511287200000,0.10077,0.10077,0.09521,0.09521,674.91
13,1511290800000,0.0953,0.0953,0.0953,0.0953,58.54
14,1511294400000,0.0953,0.0953,0.0953,0.0953,0.0
15,1511298000000,0.10077,0.10077,0.10077,0.10077,282.28
16,1511301600000,0.10077,0.10473,0.10077,0.10473,1225.56
17,1511305200000,0.1,0.1,0.09399,0.09399,15250.27
18,1511308800000,0.09399,0.09982,0.09399,0.09982,11256.37
19,1511312400000,0.09411,0.09411,0.08558,0.08558,10150.78
20,1511316000000,0.08558,0.08558,0.08558,0.08558,0.0
21,1511319600000,0.089,0.089,0.08608,0.08608,124.0
22,1511323200000,0.09,0.093,0.088,0.093,11222.93
23,1511326800000,0.09001,0.0938,0.09001,0.0938,6575.61
24,1511330400000,0.0938,0.0938,0.0938,0.0938,0.0
25,1511334000000,0.0938,0.0938,0.0938,0.0938,0.0
26,1511337600000,0.09989,0.0999,0.09385,0.0999,23261.63
27,1511341200000,0.0999,0.10473,0.09,0.09429,25632.6
28,1511344800000,0.09429,0.09429,0.09429,0.09429,0.0
29,1511348400000,0.0943,0.09918,0.0943,0.09917,4867.96
30,1511352000000,0.09053,0.09053,0.0882,0.0882,27947.15
31,1511355600000,0.08831,0.0926,0.0881,0.0881,79140.48
32,1511359200000,0.08609,0.08609,0.0854,0.0854,5999.04
33,1511362800000,0.08851,0.08851,0.0854,0.0859,14867.21
34,1511366400000,0.0859,0.0859,0.0859,0.0859,0.0
35,1511370000000,0.08651,0.08651,0.0854,0.0854,17037.94
