,ts,open,high,low,close,volume
0,1511244000000,1.535e-05,4.549e-05,1.535e-05,3e-05,64233.0
1,1511247600000,2.599e-05,2.599e-05,1.702e-05,1.77e-05,592694.0
2,1511251200000,1.774e-05,1.863e-05,1.716e-05,1.798e-05,507584.0
3,1511254800000,1.78e-05,1.78e-05,1.568e-05,1.572e-05,402289.0
4,1511258400000,1.68e-05,1.766e-05,1.613e-05,1.761e-05,515612.0
5,1511262000000,1.77e-05,1.798e-05,1.74e-05,1.773e-05,229513.0
6,1511265600000,1.772e-05,1.987e-05,1.744e-05,1.946e-05,1071141.0
7,1511269200000,1.943e-05,1.95e-05,1.786e-05,1.922e-05,658969.0
8,1511272800000,1.922e-05,1.925e-05,1.737e-05,1.745e-05,301719.0
9,1511276400000,1.745e-05,1.791e-05,1.699e-05,1.791e-05,274215.0
10,1511280000000,1.8e-05,1.9e-05,1.768e-05,1.856e-05,260681.0
11,1511283600000,1.848e-05,1.924e-05,1.848e-05,1.924e-05,193653.0
12,1511287200000,1.924e-05,1.924e-05,1.833e-05,1.9e-05,103124.0
13,1511290800000,1.915e-05,1.922e-05,1.836e-05,1.922e-05,84799.0
14,1511294400000,1.922e-05,1.922e-05,1.88e-05,1.9e-05,27493.0
15,1511298000000,1.9e-05,1.923e-05,1.88e-05,1.921e-05,140466.0
16,1511301600000,1.921e-05,1.921e-05,1.882e-05,1.885e-05,257206.0
17,1511305200000,1.891e-05,1.917e-05,1.833e-05,1.834e-05,136491.0
18,1511308800000,1.846e-05,1.893e-05,1.833e-05,1.879e-05,53847.0
19,1511312400000,1.864e-05,1.864e-05,1.763e-05,1.788e-05,369453.0
20,1511316000000,1.762e-05,1.788e-05,1.7e-05,1.76e-05,224616.0
21,1511319600000,1.76e-05,1.76e-05,1.689e-05,1.75e-05,303218.0
22,1511323200000,1.75e-05,1.789e-05,1.705e-05,1.789e-05,288652.0
23,1511326800000,1.77e-05,1.886e-05,1.725e-05,1.793e-05,522039.0
24,1511330400000,1.874e-05,1.894e-05,1.75e-05,1.86e-05,417443.0
25,1511334000000,1.86e-05,1.885e-05,1.8e-05,1.879e-05,536095.0
