,ts,open,high,low,close,volume
0,1510830000000,5.7e-06,0.00014201,5.7e-06,1.101e-05,54895.0
1,1510833600000,0.0001101,0.0001101,5.52e-06,5.86e-06,3054338.0
2,1510837200000,5.83e-06,6.29e-06,5.8e-06,5.87e-06,2007380.0
3,1510840800000,5.87e-06,5.87e-06,5.39e-06,5.39e-06,788979.0
4,1510844400000,5.5e-06,5.85e-06,5.39e-06,5.83e-06,174827.0
5,1510848000000,5.5e-06,5.5e-06,5.08e-06,5.5e-06,66133.0
6,1510851600000,5.5e-06,5.5e-06,4.85e-06,5.01e-06,760523.0
7,1510855200000,5.28e-06,5.33e-06,4.81e-06,4.81e-06,222582.0
8,1510858800000,5.05e-06,5.1e-06,4.68e-06,4.68e-06,148412.0
9,1510862400000,4.68e-06,5.17e-06,4.2e-06,4.25e-06,77580.0
10,1510866000000,4.36e-06,4.7e-06,4.25e-06,4.7e-06,218795.0
11,1510869600000,4.46e-06,4.46e-06,4.4e-06,4.41e-06,10279.0
12,1510873200000,4.43e-06,4.59e-06,4.43e-06,4.59e-06,34809.0
13,1510876800000,4.59e-06,4.8e-06,4.59e-06,4.6e-06,231450.0
14,1510880400000,4.6e-06,4.79e-06,3.99e-06,4.79e-06,845219.0
15,1510884000000,4.6e-06,4.97e-06,4.5e-06,4.84e-06,67950.0
16,1510887600000,4.55e-06,4.55e-06,4.33e-06,4.34e-06,65465.0
17,1510891200000,4.68e-06,4.68e-06,4.39e-06,4.41e-06,40892.0
18,1510894800000,4.66e-06,4.69e-06,4.51e-06,4.68e-06,50368.0
19,1510898400000,4.63e-06,4.68e-06,4.63e-06,4.68e-06,180355.0
20,1510902000000,4.69e-06,4.69e-06,4.51e-06,4.59e-06,273787.0
21,1510905600000,4.54e-06,4.54e-06,4.08e-06,4.54e-06,115409.0
22,1510909200000,4.48e-06,4.48e-06,4.43e-06,4.43e-06,34413.0
23,1510912800000,4.48e-06,4.48e-06,4.25e-06,4.47e-06,241083.0
24,1510916400000,4.42e-06,4.47e-06,4.12e-06,4.47e-06,92414.0
25,1510920000000,4.48e-06,4.54e-06,4.21e-06,4.21e-06,482668.0
26,1510923600000,4.39e-06,4.54e-06,4.38e-06,4.38e-06,79829.0
27,1510927200000,4.38e-06,4.49e-06,4.08e-06,4.38e-06,34964.0
28,1510930800000,4.37e-06,4.37e-06,4.22e-06,4.22e-06,358204.0
29,1510934400000,4.2e-06,4.39e-06,4.16e-06,4.39e-06,21652.0
30,1510938000000,4.35e-06,4.39e-06,4.2e-06,4.39e-06,96913.0
31,1510941600000,4.39e-06,4.39e-06,4.21e-06,4.21e-06,77417.0
32,1510945200000,4.34e-06,4.47e-06,4.2e-06,4.2e-06,6302.0
33,1510948800000,4.21e-06,4.46e-06,4.03e-06,4.46e-06,43441.0
34,1510952400000,4.46e-06,4.46e-06,4.21e-06,4.21e-06,24542.0
35,1510956000000,4.21e-06,4.24e-06,4.21e-06,4.24e-06,18235.0
36,1510959600000,4.24e-06,4.27e-06,4.09e-06,4.26e-06,85186.0
37,1510963200000,4.31e-06,4.36e-06,4.27e-06,4.36e-06,2449.0
38,1510966800000,4.4e-06,4.41e-06,4.36e-06,4.36e-06,13678.0
39,1510970400000,4.46e-06,4.55e-06,4.4e-06,4.46e-06,189104.0
40,1510974000000,4.55e-06,4.55e-06,4.37e-06,4.42e-06,270574.0
41,1510977600000,4.45e-06,4.45e-06,4.36e-06,4.43e-06,15329.0
42,1510981200000,4.36e-06,4.36e-06,4.11e-06,4.3e-06,240102.0
43,1510984800000,4.31e-06,4.31e-06,4e-06,4.12e-06,761019.0
44,1510988400000,4.08e-06,4.32e-06,2.77e-06,4.12e-06,1918800.0
45,1510992000000,4.12e-06,4.12e-06,3.91e-06,4.11e-06,149332.0
46,1510995600000,4.11e-06,4.11e-06,3.85e-06,3.87e-06,141151.0
47,1510999200000,3.85e-06,4.05e-06,3.85e-06,4.05e-06,19514.0
48,1511002800000,4.05e-06,4.2e-06,3.98e-06,4.07e-06,98532.0
49,1511006400000,4.1e-06,4.1e-06,3.99e-06,4e-06,94116.0
50,1511010000000,3.99e-06,4.05e-06,3.2e-06,3.69e-06,2633704.0
51,1511013600000,3.68e-06,4.03e-06,3.49e-06,4.03e-06,556710.0
52,1511017200000,3.98e-06,4.19e-06,3.81e-06,4.19e-06,652132.0
53,1511020800000,3.92e-06,4.18e-06,3.9e-06,4.12e-06,5599.0
54,1511024400000,4.12e-06,4.12e-06,3.85e-06,4.07e-06,114663.0
55,1511028000000,4.07e-06,4.07e-06,4.07e-06,4.07e-06,0.0
56,1511031600000,4.13e-06,4.13e-06,4.13e-06,4.13e-06,6547.0
57,1511035200000,4.2e-06,4.44e-06,4.13e-06,4.13e-06,11264.0
58,1511038800000,4.13e-06,4.13e-06,4.13e-06,4.13e-06,0.0
59,1511042400000,4.17e-06,4.44e-06,4.03e-06,4.26e-06,37345.0
60,1511046000000,4.33e-06,4.54e-06,4.33e-06,4.37e-06,139691.0
