,ts,open,high,low,close,volume
0,1517392800000,0.00048,0.00048,3.85e-05,7.312e-05,8128915.0
1,1517396400000,7.315e-05,7.349e-05,4.881e-05,5.48e-05,15986245.0
2,1517400000000,5.48e-05,5.48e-05,4.28e-05,4.54e-05,12006133.0
3,1517403600000,4.54e-05,4.553e-05,4.006e-05,4.3e-05,9178260.0
4,1517407200000,4.276e-05,4.899e-05,4.249e-05,4.52e-05,11793096.0
5,1517410800000,4.52e-05,4.737e-05,4.38e-05,4.47e-05,7035020.0
6,1517414400000,4.47e-05,4.54e-05,4.371e-05,4.483e-05,2837722.0
7,1517418000000,4.483e-05,4.488e-05,4.257e-05,4.277e-05,1995367.0
8,1517421600000,4.277e-05,4.352e-05,4.136e-05,4.2e-05,2319356.0
9,1517425200000,4.2e-05,4.281e-05,4.12e-05,4.23e-05,1820440.0
10,1517428800000,4.23e-05,4.235e-05,4.088e-05,4.222e-05,1198296.0
11,1517432400000,4.222e-05,4.42e-05,4.12e-05,4.128e-05,3392553.0
12,1517436000000,4.128e-05,4.314e-05,4.112e-05,4.193e-05,1757071.0
13,1517439600000,4.197e-05,4.223e-05,4.13e-05,4.146e-05,942109.0
14,1517443200000,4.146e-05,4.166e-05,4.03e-05,4.046e-05,2100793.0
15,1517446800000,4.048e-05,4.049e-05,3.806e-05,3.96e-05,4537236.0
16,1517450400000,3.96e-05,3.965e-05,3.697e-05,3.82e-05,3864182.0
17,1517454000000,3.82e-05,3.843e-05,3.55e-05,3.64e-05,3225693.0
18,1517457600000,3.63e-05,3.75e-05,3.466e-05,3.633e-05,5066278.0
19,1517461200000,3.633e-05,3.849e-05,3.622e-05,3.684e-05,2840253.0
20,1517464800000,3.683e-05,3.691e-05,3.561e-05,3.63e-05,2077723.0
21,1517468400000,3.63e-05,3.703e-05,3.575e-05,3.66e-05,1120390.0
22,1517472000000,3.653e-05,3.659e-05,3.382e-05,3.454e-05,2385393.0
23,1517475600000,3.452e-05,3.6e-05,3.401e-05,3.474e-05,2421051.0
24,1517479200000,3.48e-05,3.595e-05,3.44e-05,3.539e-05,2083946.0
25,1517482800000,3.539e-05,3.819e-05,3.538e-05,3.59e-05,2505176.0
26,1517486400000,3.59e-05,3.649e-05,3.45e-05,3.45e-05,1492407.0
27,1517490000000,3.451e-05,3.561e-05,3.399e-05,3.538e-05,1605440.0
28,1517493600000,3.534e-05,3.715e-05,3.534e-05,3.628e-05,2155234.0
29,1517497200000,3.628e-05,3.7e-05,3.527e-05,3.613e-05,814951.0
30,1517500800000,3.619e-05,3.719e-05,3.567e-05,3.628e-05,1495285.0
31,1517504400000,3.611e-05,3.763e-05,3.61e-05,3.708e-05,758682.0
32,1517508000000,3.715e-05,3.737e-05,3.63e-05,3.634e-05,410449.0
33,1517511600000,3.647e-05,3.651e-05,3.487e-05,3.505e-05,398025.0
34,1517515200000,3.505e-05,3.61e-05,3.415e-05,3.541e-05,759469.0
35,1517518800000,3.541e-05,3.641e-05,3.508e-05,3.558e-05,458713.0
36,1517522400000,3.554e-05,3.744e-05,3.545e-05,3.688e-05,643272.0
37,1517526000000,3.689e-05,3.745e-05,3.52e-05,3.55e-05,532037.0
38,1517529600000,3.558e-05,3.599e-05,3.456e-05,3.525e-05,499778.0
39,1517533200000,3.522e-05,3.73e-05,3.508e-05,3.61e-05,990030.0
40,1517536800000,3.612e-05,3.622e-05,3.525e-05,3.542e-05,251849.0
41,1517540400000,3.536e-05,3.55e-05,3.486e-05,3.494e-05,231725.0
42,1517544000000,3.494e-05,3.525e-05,3.401e-05,3.418e-05,432513.0
43,1517547600000,3.419e-05,3.435e-05,3.3e-05,3.3e-05,767583.0
44,1517551200000,3.3e-05,3.345e-05,3.044e-05,3.112e-05,2481330.0
45,1517554800000,3.129e-05,3.25e-05,3.022e-05,3.171e-05,705075.0
46,1517558400000,3.171e-05,3.183e-05,3.001e-05,3.024e-05,698604.0
47,1517562000000,3.039e-05,3.1e-05,3e-05,3.04e-05,619774.0
48,1517565600000,3.04e-05,3.092e-05,3.024e-05,3.065e-05,332356.0
49,1517569200000,3.05e-05,3.085e-05,3e-05,3.02e-05,953876.0
50,1517572800000,3.016e-05,3.034e-05,2.9e-05,3.021e-05,841334.0
51,1517576400000,3.021e-05,3.273e-05,3.004e-05,3.237e-05,810291.0
52,1517580000000,3.237e-05,3.324e-05,3.16e-05,3.204e-05,482796.0
53,1517583600000,3.204e-05,3.25e-05,3.148e-05,3.25e-05,225245.0
54,1517587200000,3.25e-05,3.325e-05,3.25e-05,3.316e-05,344747.0
55,1517590800000,3.3e-05,3.316e-05,3.22e-05,3.257e-05,208226.0
56,1517594400000,3.256e-05,3.273e-05,3.22e-05,3.225e-05,122234.0
57,1517598000000,3.22e-05,3.22e-05,3.133e-05,3.154e-05,75261.0
58,1517601600000,3.154e-05,3.183e-05,3.112e-05,3.161e-05,135850.0
59,1517605200000,3.161e-05,3.183e-05,3.13e-05,3.13e-05,49110.0
60,1517608800000,3.164e-05,3.164e-05,3.09e-05,3.1e-05,121777.0
61,1517612400000,3.1e-05,3.183e-05,2.932e-05,3.181e-05,294467.0
62,1517616000000,3.181e-05,3.255e-05,3.079e-05,3.235e-05,321738.0
63,1517619600000,3.235e-05,3.379e-05,3.22e-05,3.346e-05,277347.0
64,1517623200000,3.328e-05,3.363e-05,3.274e-05,3.31e-05,235673.0
65,1517626800000,3.311e-05,3.311e-05,3.223e-05,3.273e-05,157031.0
66,1517630400000,3.256e-05,3.398e-05,3.256e-05,3.34e-05,146200.0
67,1517634000000,3.331e-05,3.363e-05,3.315e-05,3.347e-05,95990.0
68,1517637600000,3.347e-05,3.49e-05,3.346e-05,3.44e-05,327044.0
69,1517641200000,3.442e-05,3.498e-05,3.364e-05,3.473e-05,317569.0
70,1517644800000,3.473e-05,3.473e-05,3.379e-05,3.402e-05,213927.0
71,1517648400000,3.403e-05,3.564e-05,3.382e-05,3.46e-05,366118.0
72,1517652000000,3.46e-05,3.48e-05,3.447e-05,3.449e-05,73187.0
73,1517655600000,3.448e-05,3.469e-05,3.37e-05,3.382e-05,121396.0
74,1517659200000,3.382e-05,3.492e-05,3.382e-05,3.464e-05,155453.0
75,1517662800000,3.464e-05,3.525e-05,3.403e-05,3.494e-05,172923.0
76,1517666400000,3.502e-05,3.63e-05,3.483e-05,3.593e-05,235984.0
77,1517670000000,3.611e-05,3.659e-05,3.437e-05,3.44e-05,305115.0
78,1517673600000,3.45e-05,3.466e-05,3.328e-05,3.407e-05,163483.0
79,1517677200000,3.409e-05,3.453e-05,3.403e-05,3.408e-05,77352.0
80,1517680800000,3.405e-05,3.453e-05,3.403e-05,3.433e-05,45926.0
81,1517684400000,3.427e-05,3.435e-05,3.403e-05,3.418e-05,40653.0
82,1517688000000,3.418e-05,3.435e-05,3.373e-05,3.375e-05,55082.0
83,1517691600000,3.364e-05,3.417e-05,3.363e-05,3.416e-05,57271.0
84,1517695200000,3.409e-05,3.409e-05,3.388e-05,3.389e-05,52828.0
85,1517698800000,3.389e-05,3.416e-05,3.364e-05,3.377e-05,35590.0
86,1517702400000,3.376e-05,3.469e-05,3.376e-05,3.418e-05,86220.0
87,1517706000000,3.418e-05,3.435e-05,3.31e-05,3.38e-05,73315.0
88,1517709600000,3.38e-05,3.4e-05,3.306e-05,3.35e-05,87336.0
89,1517713200000,3.349e-05,3.349e-05,3.31e-05,3.328e-05,66667.0
90,1517716800000,3.324e-05,3.345e-05,3.289e-05,3.312e-05,105038.0
91,1517720400000,3.324e-05,3.345e-05,3.256e-05,3.297e-05,108733.0
92,1517724000000,3.321e-05,3.322e-05,3.268e-05,3.296e-05,76393.0
93,1517727600000,3.309e-05,3.311e-05,3.277e-05,3.305e-05,67016.0
94,1517731200000,3.307e-05,3.323e-05,3.292e-05,3.292e-05,69114.0
95,1517734800000,3.292e-05,3.306e-05,3.114e-05,3.142e-05,244849.0
96,1517738400000,3.14e-05,3.201e-05,3.12e-05,3.188e-05,84212.0
97,1517742000000,3.185e-05,3.186e-05,3.118e-05,3.131e-05,128339.0
98,1517745600000,3.164e-05,3.169e-05,3.121e-05,3.144e-05,88107.0
99,1517749200000,3.144e-05,3.344e-05,3.12e-05,3.251e-05,442621.0
100,1517752800000,3.269e-05,3.279e-05,3.185e-05,3.206e-05,45905.0
101,1517756400000,3.208e-05,3.269e-05,3.208e-05,3.238e-05,46472.0
102,1517760000000,3.24e-05,3.267e-05,3.143e-05,3.218e-05,128363.0
103,1517763600000,3.218e-05,3.237e-05,3.191e-05,3.193e-05,47467.0
104,1517767200000,3.193e-05,3.204e-05,3.186e-05,3.186e-05,24814.0
105,1517770800000,3.186e-05,3.195e-05,3.15e-05,3.181e-05,32072.0
106,1517774400000,3.155e-05,3.161e-05,2.955e-05,3.119e-05,323901.0
107,1517778000000,3.142e-05,3.16e-05,3.11e-05,3.11e-05,22010.0
108,1517781600000,3.111e-05,3.136e-05,3.05e-05,3.094e-05,60675.0
109,1517785200000,3.094e-05,3.151e-05,3.091e-05,3.114e-05,16477.0
