,ts,open,high,low,close,volume
0,1512471600000,19.0,19.0,19.0,19.0,0.1
1,1512475200000,10.0,50.0,0.21,1.0,7209.59
2,1512478800000,0.98,0.98,0.21002,0.3001,19868.28
3,1512482400000,0.30002,0.38,0.22,0.252,16123.36
4,1512486000000,0.25,0.25,0.1499,0.1801,15568.64
5,1512489600000,0.1801,0.2222,0.1801,0.18068,1240.87
6,1512493200000,0.2222,0.24999,0.18101,0.18101,2054.44
7,1512496800000,0.18104,0.18104,0.14999,0.14999,27225.77
8,1512500400000,0.13001,0.18103,0.12498,0.18103,6899.2
9,1512504000000,0.18103,0.18103,0.165,0.17,1695.81
10,1512507600000,0.15,0.15,0.14,0.14,184.09
11,1512511200000,0.14,0.17,0.13999,0.155,21685.26
12,1512514800000,0.155,0.15501,0.155,0.155,596.04
13,1512518400000,0.15499,0.199,0.14002,0.14002,766.19
14,1512522000000,0.14001,0.14001,0.14001,0.14001,1185.08
15,1512525600000,0.14001,0.14001,0.14001,0.14001,3267.45
16,1512529200000,0.14001,0.14006,0.14001,0.14006,1100.78
17,1512532800000,0.17887,0.198,0.14006,0.14006,810.81
18,1512536400000,0.19779,0.19779,0.14006,0.14006,1401.21
19,1512540000000,0.19664,0.19664,0.19664,0.19664,75.0
20,1512543600000,0.15002,0.15003,0.149,0.15,53211.0
21,1512547200000,0.15,0.15,0.14121,0.14122,4018.2
22,1512550800000,0.15,0.17899,0.1414,0.16999,3635.06
23,1512554400000,0.16799,0.16999,0.14,0.14127,17091.31
24,1512558000000,0.14128,0.14128,0.05001,0.0755,93895.67
25,1512561600000,0.0755,0.07772,0.06,0.07772,81654.7
26,1512565200000,0.07778,0.10999,0.07778,0.1,16197.47
27,1512568800000,0.09001,0.09001,0.08,0.08,11360.58
28,1512572400000,0.08,0.08,0.0789,0.08,17563.68
29,1512576000000,0.08,0.08001,0.07,0.07555,32761.91
30,1512579600000,0.07555,0.07555,0.07,0.07,7328.59
31,1512583200000,0.068,0.07555,0.06799,0.07555,8381.4
32,1512586800000,0.07555,0.09999,0.068,0.068,1148.0
33,1512590400000,0.068,0.068,0.068,0.068,0.0
34,1512594000000,0.0725,0.0725,0.0725,0.0725,565.52
35,1512597600000,0.07248,0.07248,0.068,0.07099,990.55
36,1512601200000,0.07137,0.0725,0.07137,0.07137,1952.0
37,1512604800000,0.07137,0.07137,0.07137,0.07137,2380.35
38,1512608400000,0.06996,0.07137,0.06996,0.07137,55624.67
39,1512612000000,0.07,0.07,0.0602,0.0602,875.12
40,1512615600000,0.06325,0.06878,0.06325,0.06878,101.8
41,1512619200000,0.06877,0.07,0.06681,0.06999,14197.76
42,1512622800000,0.07,0.07,0.06609,0.0661,40757.58
43,1512626400000,0.0661,0.0661,0.0661,0.0661,3430.0
44,1512630000000,0.0661,0.06685,0.06609,0.06685,5587.73
45,1512633600000,0.07,0.07,0.07,0.07,23.6
46,1512637200000,0.07001,0.0845,0.06999,0.07001,14448.64
47,1512640800000,0.06999,0.07979,0.06979,0.06979,2750.53
48,1512644400000,0.06979,0.06979,0.06979,0.06979,200.44
49,1512648000000,0.06979,0.06979,0.065,0.065,654.14
50,1512651600000,0.065,0.065,0.065,0.065,105.85
51,1512655200000,0.065,0.065,0.065,0.065,274.92
