,ts,open,high,low,close,volume
0,1512471600000,0.0003,0.0003,0.000115,0.0003,2821.0
1,1512475200000,0.00031,0.0045,0.000128,0.00016002,132933.0
2,1512478800000,0.00016002,0.00016002,5.6e-05,5.81e-05,499642.0
3,1512482400000,5.812e-05,7.4e-05,4.4e-05,4.851e-05,1842406.0
4,1512486000000,4.979e-05,5.189e-05,3.015e-05,4.147e-05,2374089.0
5,1512489600000,4.099e-05,5.299e-05,3.98e-05,4.366e-05,2616707.0
6,1512493200000,4.366e-05,4.95e-05,4.335e-05,4.35e-05,1284723.0
7,1512496800000,4.35e-05,4.386e-05,3.066e-05,3.066e-05,1560353.0
8,1512500400000,3.06e-05,4.2e-05,2.7e-05,3.08e-05,1196543.0
9,1512504000000,3.081e-05,3.456e-05,2.804e-05,3.004e-05,858740.0
10,1512507600000,3.015e-05,3.18e-05,2.902e-05,3.026e-05,370170.0
11,1512511200000,3.026e-05,3.494e-05,3.002e-05,3.329e-05,543068.0
12,1512514800000,3.328e-05,3.604e-05,3.267e-05,3.388e-05,468845.0
13,1512518400000,3.4e-05,3.485e-05,3.1e-05,3.163e-05,659894.0
14,1512522000000,3.163e-05,3.3e-05,3.037e-05,3.169e-05,288492.0
15,1512525600000,3.168e-05,3.168e-05,3e-05,3.059e-05,341776.0
16,1512529200000,3.101e-05,3.11e-05,2.999e-05,3.106e-05,366946.0
17,1512532800000,3.106e-05,3.6e-05,3.106e-05,3.4e-05,919911.0
18,1512536400000,3.301e-05,3.4e-05,3.181e-05,3.343e-05,629469.0
19,1512540000000,3.333e-05,3.395e-05,3.111e-05,3.177e-05,627024.0
20,1512543600000,3.177e-05,3.222e-05,3.044e-05,3.104e-05,339532.0
21,1512547200000,3.136e-05,3.137e-05,3.014e-05,3.059e-05,332910.0
22,1512550800000,3.021e-05,3.102e-05,2.995e-05,2.995e-05,414200.0
23,1512554400000,3.013e-05,3.02e-05,2.7e-05,2.801e-05,891399.0
24,1512558000000,2.751e-05,2.801e-05,1e-05,1.15e-05,8193580.0
25,1512561600000,1.15e-05,1.7e-05,1.14e-05,1.6e-05,5814792.0
26,1512565200000,1.62e-05,2.2e-05,1.5e-05,1.895e-05,4739825.0
27,1512568800000,1.9e-05,2.049e-05,1.55e-05,1.613e-05,3596132.0
28,1512572400000,1.64e-05,1.65e-05,1.4e-05,1.57e-05,2874989.0
29,1512576000000,1.571e-05,1.589e-05,1.413e-05,1.465e-05,1805409.0
30,1512579600000,1.451e-05,1.48e-05,1.322e-05,1.322e-05,950732.0
31,1512583200000,1.321e-05,1.5e-05,1.3e-05,1.467e-05,1066111.0
32,1512586800000,1.467e-05,1.49e-05,1.312e-05,1.37e-05,917792.0
33,1512590400000,1.37e-05,1.385e-05,1.324e-05,1.37e-05,318590.0
34,1512594000000,1.37e-05,1.37e-05,1.304e-05,1.34e-05,201902.0
35,1512597600000,1.338e-05,1.34e-05,1.258e-05,1.258e-05,487014.0
36,1512601200000,1.256e-05,1.359e-05,1.24e-05,1.293e-05,664170.0
37,1512604800000,1.293e-05,1.315e-05,1.15e-05,1.18e-05,1217058.0
38,1512608400000,1.179e-05,1.387e-05,1.15e-05,1.289e-05,987774.0
39,1512612000000,1.29e-05,1.324e-05,1.215e-05,1.298e-05,863661.0
40,1512615600000,1.282e-05,1.295e-05,1.23e-05,1.25e-05,1617621.0
41,1512619200000,1.25e-05,1.268e-05,1.222e-05,1.223e-05,829436.0
42,1512622800000,1.236e-05,1.236e-05,1.178e-05,1.2e-05,1152526.0
43,1512626400000,1.205e-05,1.205e-05,1.181e-05,1.181e-05,443131.0
44,1512630000000,1.182e-05,1.225e-05,1.182e-05,1.201e-05,762536.0
45,1512633600000,1.203e-05,1.33e-05,1.203e-05,1.267e-05,1369407.0
46,1512637200000,1.267e-05,1.36e-05,1.266e-05,1.307e-05,1054438.0
47,1512640800000,1.307e-05,1.325e-05,1.25e-05,1.282e-05,768394.0
48,1512644400000,1.29e-05,1.313e-05,1.28e-05,1.31e-05,1049680.0
49,1512648000000,1.31e-05,1.314e-05,1.272e-05,1.279e-05,594138.0
50,1512651600000,1.279e-05,1.293e-05,1.217e-05,1.22e-05,783634.0
51,1512655200000,1.217e-05,1.24e-05,1.181e-05,1.185e-05,1494270.0
52,1512658800000,1.187e-05,1.187e-05,1.061e-05,1.085e-05,1421511.0
53,1512662400000,1.086e-05,1.086e-05,1.011e-05,1.084e-05,923468.0
54,1512666000000,1.084e-05,1.149e-05,1.04e-05,1.14e-05,546083.0
55,1512669600000,1.113e-05,1.134e-05,1.069e-05,1.095e-05,172745.0
56,1512673200000,1.095e-05,1.11e-05,1.076e-05,1.106e-05,127991.0
57,1512676800000,1.097e-05,1.12e-05,1.074e-05,1.099e-05,138985.0
58,1512680400000,1.082e-05,1.09e-05,1.031e-05,1.064e-05,167994.0
59,1512684000000,1.064e-05,1.075e-05,1.024e-05,1.026e-05,379819.0
60,1512687600000,1.026e-05,1.034e-05,9.66e-06,9.81e-06,920141.0
61,1512691200000,9.81e-06,9.81e-06,7.65e-06,7.74e-06,1828952.0
62,1512694800000,7.74e-06,7.75e-06,7.45e-06,7.73e-06,1345524.0
63,1512698400000,7.72e-06,8.98e-06,7.68e-06,8.3e-06,779159.0
64,1512702000000,8.12e-06,1.12e-05,8.05e-06,9.7e-06,1306145.0
65,1512705600000,9.69e-06,9.95e-06,9.02e-06,9.95e-06,622131.0
66,1512709200000,9.94e-06,1.056e-05,9.6e-06,9.72e-06,641185.0
67,1512712800000,9.64e-06,9.74e-06,8.5e-06,9.05e-06,354667.0
68,1512716400000,9.01e-06,9.3e-06,8.71e-06,9.1e-06,452941.0
69,1512720000000,9.1e-06,9.44e-06,8.5e-06,9.4e-06,665166.0
70,1512723600000,9.4e-06,9.49e-06,9.13e-06,9.2e-06,653655.0
71,1512727200000,9.45e-06,9.61e-06,9.2e-06,9.6e-06,1369905.0
72,1512730800000,9.61e-06,1.038e-05,9.1e-06,9.61e-06,1880308.0
73,1512734400000,9.61e-06,9.74e-06,9.32e-06,9.58e-06,1774270.0
74,1512738000000,9.56e-06,9.66e-06,9.52e-06,9.66e-06,1374943.0
75,1512741600000,9.66e-06,9.9e-06,9.59e-06,9.88e-06,1543277.0
76,1512745200000,9.88e-06,1.047e-05,9.88e-06,1.038e-05,1814167.0
77,1512748800000,1.036e-05,1.051e-05,9.86e-06,1.042e-05,1174152.0
78,1512752400000,1.043e-05,1.049e-05,1.022e-05,1.049e-05,1072771.0
79,1512756000000,1.043e-05,1.06e-05,1.043e-05,1.055e-05,1110331.0
80,1512759600000,1.053e-05,1.055e-05,1.035e-05,1.039e-05,1821564.0
81,1512763200000,1.04e-05,1.042e-05,1.036e-05,1.038e-05,1214353.0
