,ts,open,high,low,close,volume
0,1512961200000,0.00561,0.0555,0.00561,0.01309,89741.22
1,1512964800000,0.01298,0.01309,0.01099,0.01261,259345.37
2,1512968400000,0.01261,0.01261,0.00758,0.0117,264659.06
3,1512972000000,0.0117,0.0117,0.01169,0.01169,40116.87
4,1512975600000,0.01167,0.01169,0.01033,0.01034,151473.52
5,1512979200000,0.01036,0.01039,0.00992,0.0103,693904.89
6,1512982800000,0.0103,0.0103,0.00879,0.00879,25144.17
7,1512986400000,0.00872,0.00895,0.00851,0.00852,7776534.12
8,1512990000000,0.00852,0.00998,0.00851,0.00974,8351808.42
9,1512993600000,0.00984,0.01058,0.00949,0.01034,3462179.57
10,1512997200000,0.0104,0.01047,0.00992,0.01033,2902642.17
11,1513000800000,0.01021,0.01032,0.00945,0.01023,5058040.13
12,1513004400000,0.01009,0.01034,0.00932,0.00949,3336534.74
13,1513008000000,0.00954,0.01004,0.00928,0.00928,1452163.42
14,1513011600000,0.00945,0.00984,0.00916,0.00978,1418228.61
15,1513015200000,0.00963,0.00985,0.00923,0.00957,4525157.32
16,1513018800000,0.00957,0.00984,0.00919,0.0092,4880769.21
17,1513022400000,0.00949,0.00964,0.00851,0.00901,4121118.47
18,1513026000000,0.00897,0.00958,0.00893,0.00915,441226.71
19,1513029600000,0.00937,0.00961,0.00882,0.00898,2802144.75
20,1513033200000,0.00869,0.0092,0.0085,0.00851,1837273.16
21,1513036800000,0.00851,0.00872,0.00792,0.00792,7285305.31
22,1513040400000,0.00792,0.00847,0.00781,0.00784,2610068.64
23,1513044000000,0.00787,0.00869,0.00787,0.00861,1609719.51
24,1513047600000,0.00858,0.0093,0.00829,0.0093,1574072.61
25,1513051200000,0.00941,0.00967,0.00886,0.00906,3497542.32
26,1513054800000,0.00915,0.00939,0.00905,0.00906,8870010.49
27,1513058400000,0.00923,0.00941,0.00901,0.00902,8576504.31
28,1513062000000,0.00907,0.00948,0.00877,0.00933,1304002.95
29,1513065600000,0.00919,0.00947,0.00895,0.00895,3674194.74
30,1513069200000,0.00918,0.00932,0.00851,0.00864,8147679.62
31,1513072800000,0.00869,0.00876,0.00821,0.00821,8028031.99
32,1513076400000,0.00821,0.00868,0.00816,0.00825,7517719.46
33,1513080000000,0.00827,0.00857,0.00816,0.00817,7250904.3
34,1513083600000,0.00825,0.0084,0.00815,0.00817,5090012.47
35,1513087200000,0.00817,0.00857,0.00786,0.00791,2968437.12
36,1513090800000,0.00792,0.0083,0.0064,0.00739,5468270.76
37,1513094400000,0.00736,0.00782,0.00729,0.0073,5050889.82
38,1513098000000,0.0073,0.00812,0.00708,0.00796,2793252.51
39,1513101600000,0.00802,0.00815,0.00757,0.00762,2101473.03
40,1513105200000,0.00762,0.00862,0.00755,0.00755,5529047.54
41,1513108800000,0.00755,0.00783,0.00755,0.00763,7178195.29
42,1513112400000,0.00763,0.00763,0.00715,0.00736,5537897.4
43,1513116000000,0.00736,0.00773,0.00734,0.00734,2637140.62
44,1513119600000,0.00749,0.0077,0.00733,0.00753,2604644.34
45,1513123200000,0.00747,0.00759,0.00702,0.00702,5862234.13
46,1513126800000,0.00702,0.00717,0.00681,0.00683,3018186.51
47,1513130400000,0.00683,0.00714,0.00646,0.00699,5045118.16
48,1513134000000,0.0067,0.00736,0.0067,0.007,1125337.89
49,1513137600000,0.00721,0.00774,0.00711,0.0076,3404196.46
50,1513141200000,0.00779,0.00788,0.00702,0.00702,6012664.07
51,1513144800000,0.00719,0.00731,0.00611,0.0064,4884961.64
52,1513148400000,0.00649,0.00713,0.00628,0.00677,2626650.2
53,1513152000000,0.00681,0.00712,0.00655,0.00655,3298342.63
54,1513155600000,0.00655,0.00676,0.00619,0.00644,4393486.79
55,1513159200000,0.00644,0.00646,0.00597,0.00619,5316479.53
56,1513162800000,0.00619,0.00691,0.00619,0.00645,5826266.79
57,1513166400000,0.00645,0.00657,0.00611,0.00638,4152353.58
58,1513170000000,0.00638,0.00664,0.00628,0.00645,1777087.61
