,ts,open,high,low,close,volume
0,1512961200000,1e-05,1e-05,1.12e-06,1.74e-06,26107555.0
1,1512964800000,1.73e-06,1.97e-06,1.64e-06,1.89e-06,15934947.0
2,1512968400000,1.88e-06,1.88e-06,1.62e-06,1.77e-06,15263340.0
3,1512972000000,1.76e-06,1.84e-06,1.7e-06,1.74e-06,8219562.0
4,1512975600000,1.74e-06,1.75e-06,1.61e-06,1.65e-06,8546665.0
5,1512979200000,1.65e-06,1.71e-06,1.52e-06,1.68e-06,11349629.0
6,1512982800000,1.64e-06,1.65e-06,1.51e-06,1.51e-06,4745737.0
7,1512986400000,1.52e-06,1.52e-06,1.4e-06,1.41e-06,12860900.0
8,1512990000000,1.41e-06,1.72e-06,1.41e-06,1.7e-06,15587502.0
9,1512993600000,1.69e-06,1.75e-06,1.6e-06,1.72e-06,8295892.0
10,1512997200000,1.72e-06,1.72e-06,1.64e-06,1.68e-06,7218480.0
11,1513000800000,1.68e-06,1.73e-06,1.62e-06,1.72e-06,8634416.0
12,1513004400000,1.72e-06,1.72e-06,1.54e-06,1.59e-06,11739176.0
13,1513008000000,1.59e-06,1.67e-06,1.57e-06,1.57e-06,6328077.0
14,1513011600000,1.57e-06,1.62e-06,1.56e-06,1.57e-06,7771959.0
15,1513015200000,1.57e-06,1.61e-06,1.54e-06,1.56e-06,6027505.0
16,1513018800000,1.58e-06,1.6e-06,1.4e-06,1.48e-06,8251348.0
17,1513022400000,1.48e-06,1.52e-06,1.32e-06,1.41e-06,12238036.0
18,1513026000000,1.41e-06,1.5e-06,1.34e-06,1.45e-06,9850385.0
19,1513029600000,1.48e-06,1.48e-06,1.39e-06,1.39e-06,8957193.0
20,1513033200000,1.37e-06,1.48e-06,1.34e-06,1.4e-06,16011088.0
21,1513036800000,1.41e-06,1.42e-06,1.33e-06,1.37e-06,9314814.0
22,1513040400000,1.37e-06,1.4e-06,1.28e-06,1.3e-06,10915101.0
23,1513044000000,1.3e-06,1.42e-06,1.3e-06,1.41e-06,7446799.0
24,1513047600000,1.41e-06,1.51e-06,1.36e-06,1.5e-06,11063577.0
25,1513051200000,1.5e-06,1.53e-06,1.45e-06,1.46e-06,9489963.0
26,1513054800000,1.46e-06,1.5e-06,1.42e-06,1.45e-06,4480166.0
27,1513058400000,1.45e-06,1.47e-06,1.41e-06,1.43e-06,3484116.0
28,1513062000000,1.43e-06,1.5e-06,1.43e-06,1.48e-06,5241224.0
29,1513065600000,1.48e-06,1.51e-06,1.45e-06,1.46e-06,5649222.0
30,1513069200000,1.47e-06,1.47e-06,1.35e-06,1.37e-06,7880982.0
31,1513072800000,1.37e-06,1.4e-06,1.35e-06,1.38e-06,2082005.0
32,1513076400000,1.38e-06,1.41e-06,1.35e-06,1.39e-06,4436684.0
33,1513080000000,1.39e-06,1.4e-06,1.32e-06,1.34e-06,7465647.0
34,1513083600000,1.34e-06,1.36e-06,1.3e-06,1.36e-06,11076167.0
35,1513087200000,1.37e-06,1.39e-06,1.26e-06,1.28e-06,8989247.0
36,1513090800000,1.27e-06,1.4e-06,1.06e-06,1.18e-06,13987343.0
37,1513094400000,1.17e-06,1.22e-06,1.13e-06,1.16e-06,7162133.0
38,1513098000000,1.16e-06,1.27e-06,1.16e-06,1.21e-06,4576746.0
39,1513101600000,1.21e-06,1.3e-06,1.17e-06,1.23e-06,6089097.0
40,1513105200000,1.24e-06,1.32e-06,1.19e-06,1.19e-06,9790727.0
41,1513108800000,1.19e-06,1.21e-06,1.16e-06,1.17e-06,5653871.0
42,1513112400000,1.17e-06,1.17e-06,1.1e-06,1.14e-06,4552173.0
43,1513116000000,1.15e-06,1.19e-06,1.14e-06,1.17e-06,4034648.0
44,1513119600000,1.15e-06,1.19e-06,1.13e-06,1.15e-06,5366854.0
45,1513123200000,1.19e-06,1.19e-06,1.1e-06,1.1e-06,5829570.0
46,1513126800000,1.1e-06,1.14e-06,1.04e-06,1.1e-06,8226578.0
47,1513130400000,1.1e-06,1.12e-06,1e-06,1.08e-06,9242289.0
48,1513134000000,1.09e-06,1.15e-06,1.07e-06,1.13e-06,5513837.0
49,1513137600000,1.12e-06,1.25e-06,1.12e-06,1.24e-06,4587793.0
50,1513141200000,1.25e-06,1.26e-06,1.12e-06,1.17e-06,4473535.0
51,1513144800000,1.18e-06,1.2e-06,9.1e-07,1.04e-06,13131269.0
