,ts,open,high,low,close,volume
0,1512961200000,4.012e-05,9.9e-05,4.012e-05,6.219e-05,10639789.0
1,1512964800000,6.107e-05,6.799e-05,5.9e-05,6.682e-05,11474386.0
2,1512968400000,6.647e-05,6.647e-05,5.863e-05,6.249e-05,5487989.0
3,1512972000000,6.249e-05,6.424e-05,6.2e-05,6.23e-05,3152420.0
4,1512975600000,6.25e-05,6.25e-05,5.7e-05,5.9e-05,6385128.0
5,1512979200000,5.93e-05,5.95e-05,5.455e-05,5.88e-05,4791432.0
6,1512982800000,5.88e-05,5.889e-05,5.283e-05,5.317e-05,2565116.0
7,1512986400000,5.251e-05,5.437e-05,5.095e-05,5.095e-05,8871090.0
8,1512990000000,5.095e-05,6.049e-05,5.003e-05,6.009e-05,10428244.0
9,1512993600000,6.009e-05,6.15e-05,5.572e-05,6.12e-05,7566651.0
10,1512997200000,6.149e-05,6.149e-05,5.721e-05,5.824e-05,7964047.0
11,1513000800000,5.855e-05,5.97e-05,5.666e-05,5.964e-05,6667748.0
12,1513004400000,5.964e-05,5.987e-05,5.501e-05,5.548e-05,7977707.0
13,1513008000000,5.566e-05,5.822e-05,5.52e-05,5.52e-05,4005340.0
14,1513011600000,5.577e-05,5.577e-05,5.412e-05,5.421e-05,5894462.0
15,1513015200000,5.544e-05,5.576e-05,5.399e-05,5.42e-05,7369800.0
16,1513018800000,5.497e-05,5.6e-05,5.334e-05,5.335e-05,4487025.0
17,1513022400000,5.335e-05,5.506e-05,4.81e-05,5.149e-05,8244131.0
18,1513026000000,5.124e-05,5.43e-05,5.01e-05,5.28e-05,4565192.0
19,1513029600000,5.28e-05,5.322e-05,4.9e-05,5.046e-05,6932790.0
20,1513033200000,4.949e-05,5.254e-05,4.513e-05,4.522e-05,9906668.0
21,1513036800000,4.56e-05,4.701e-05,4.36e-05,4.5e-05,8335704.0
22,1513040400000,4.416e-05,4.535e-05,4.3e-05,4.35e-05,8404332.0
23,1513044000000,4.422e-05,4.539e-05,4.301e-05,4.301e-05,5554757.0
24,1513047600000,4.301e-05,4.762e-05,4.2e-05,4.62e-05,8351257.0
25,1513051200000,4.624e-05,4.7e-05,4.416e-05,4.5e-05,5937124.0
26,1513054800000,4.472e-05,4.68e-05,4.411e-05,4.588e-05,5391111.0
27,1513058400000,4.588e-05,4.698e-05,4.476e-05,4.547e-05,3922793.0
28,1513062000000,4.6e-05,4.78e-05,4.552e-05,4.654e-05,2909388.0
29,1513065600000,4.654e-05,4.797e-05,4.552e-05,4.67e-05,5202360.0
30,1513069200000,4.67e-05,4.712e-05,4.411e-05,4.441e-05,6242758.0
31,1513072800000,4.443e-05,4.494e-05,4.2e-05,4.265e-05,5449232.0
32,1513076400000,4.265e-05,4.444e-05,4.161e-05,4.313e-05,7789904.0
33,1513080000000,4.368e-05,4.421e-05,3.771e-05,3.771e-05,8906977.0
34,1513083600000,3.752e-05,4.073e-05,3.666e-05,4.011e-05,9210389.0
35,1513087200000,4.013e-05,4.162e-05,3.424e-05,3.457e-05,10739253.0
36,1513090800000,3.466e-05,3.65e-05,2.659e-05,3.147e-05,12078310.0
37,1513094400000,3.053e-05,3.336e-05,3.053e-05,3.2e-05,7465584.0
38,1513098000000,3.226e-05,3.518e-05,3.118e-05,3.518e-05,4136560.0
39,1513101600000,3.518e-05,3.693e-05,3.406e-05,3.526e-05,3993004.0
40,1513105200000,3.551e-05,3.948e-05,3.295e-05,3.345e-05,5520598.0
41,1513108800000,3.347e-05,3.45e-05,3.228e-05,3.243e-05,3037168.0
42,1513112400000,3.243e-05,3.287e-05,3.171e-05,3.287e-05,4202017.0
43,1513116000000,3.247e-05,3.405e-05,3.207e-05,3.229e-05,4141628.0
44,1513119600000,3.291e-05,3.301e-05,3.001e-05,3.025e-05,6939563.0
45,1513123200000,3.061e-05,3.173e-05,2.852e-05,2.852e-05,8621423.0
46,1513126800000,2.852e-05,2.998e-05,2.712e-05,2.961e-05,7806987.0
47,1513130400000,2.995e-05,3.006e-05,2.718e-05,2.966e-05,7479425.0
48,1513134000000,3.026e-05,3.087e-05,2.847e-05,3.031e-05,3683764.0
49,1513137600000,3.06e-05,3.389e-05,3.009e-05,3.389e-05,1058774.0
50,1513141200000,3.399e-05,3.399e-05,3.055e-05,3.168e-05,2462048.0
51,1513144800000,3.2e-05,3.256e-05,2.57e-05,2.743e-05,9769347.0
52,1513148400000,2.782e-05,2.936e-05,2.65e-05,2.83e-05,5021374.0
