,ts,open,high,low,close,volume
0,1511758800000,0.007699,0.073,0.007699,0.073,1.299
1,1511762400000,0.073,0.073,0.00945,0.013069,2418.99
2,1511766000000,0.012902,0.014327,0.012,0.013567,2709.429
3,1511769600000,0.013568,0.013839,0.0128,0.012803,2147.412
4,1511773200000,0.012802,0.012889,0.011164,0.01233,1798.432
5,1511776800000,0.012199,0.01288,0.011301,0.012237,923.334
6,1511780400000,0.012591,0.014178,0.011627,0.012978,943.17
7,1511784000000,0.012749,0.012975,0.011741,0.012936,457.088
8,1511787600000,0.012923,0.012924,0.011601,0.011801,983.027
9,1511791200000,0.011801,0.012149,0.01138,0.011481,966.279
10,1511794800000,0.011481,0.011738,0.010492,0.011024,1123.181
11,1511798400000,0.010711,0.011172,0.010711,0.01081,324.465
12,1511802000000,0.010802,0.01081,0.0106,0.010702,866.343
13,1511805600000,0.010702,0.011009,0.010601,0.010962,573.561
14,1511809200000,0.010992,0.01134,0.010815,0.011244,753.257
15,1511812800000,0.011244,0.011244,0.010816,0.010816,569.943
16,1511816400000,0.010816,0.011564,0.010816,0.011249,316.921
17,1511820000000,0.011249,0.011288,0.01071,0.01071,283.087
18,1511823600000,0.011172,0.01128,0.010701,0.010809,548.742
19,1511827200000,0.010809,0.011062,0.010687,0.010902,776.493
20,1511830800000,0.010902,0.010905,0.010385,0.010618,586.354
21,1511834400000,0.010565,0.010758,0.010157,0.010758,366.227
22,1511838000000,0.01076,0.012893,0.010205,0.011601,883.106
23,1511841600000,0.0116,0.013559,0.011422,0.011559,1174.712
24,1511845200000,0.012048,0.01356,0.0116,0.012319,1010.415
25,1511848800000,0.01232,0.015218,0.0121,0.0143,1556.073
26,1511852400000,0.0143,0.015,0.012199,0.012199,1169.962
27,1511856000000,0.012199,0.012463,0.011482,0.012006,1195.557
28,1511859600000,0.012005,0.01225,0.012002,0.012248,1303.254
29,1511863200000,0.012248,0.012248,0.011132,0.011326,922.379
30,1511866800000,0.011326,0.011648,0.011133,0.011422,555.326
31,1511870400000,0.011316,0.011636,0.011301,0.011301,391.955
32,1511874000000,0.011322,0.011342,0.011,0.011015,465.413
33,1511877600000,0.011224,0.011939,0.010915,0.011851,808.866
34,1511881200000,0.011852,0.012,0.011653,0.011687,836.645
35,1511884800000,0.01168,0.012023,0.01168,0.011955,348.27
36,1511888400000,0.011955,0.013036,0.011858,0.011902,606.24
37,1511892000000,0.011925,0.012453,0.011904,0.011971,680.24
38,1511895600000,0.01212,0.012356,0.011975,0.012139,179.279
39,1511899200000,0.01209,0.01231,0.0117,0.01231,686.979
40,1511902800000,0.012323,0.012323,0.011778,0.011837,486.92
41,1511906400000,0.011822,0.012051,0.01146,0.011688,256.697
42,1511910000000,0.011672,0.011867,0.011205,0.011557,305.832
43,1511913600000,0.011557,0.01167,0.011267,0.011267,639.558
44,1511917200000,0.011267,0.011354,0.011081,0.011112,430.049
45,1511920800000,0.011147,0.011467,0.011092,0.01112,344.187
46,1511924400000,0.01112,0.011447,0.010591,0.010962,511.136
47,1511928000000,0.011018,0.011432,0.01101,0.011036,330.72
48,1511931600000,0.011049,0.011049,0.010323,0.0105,256.06
49,1511935200000,0.010494,0.010632,0.010333,0.010632,158.622
50,1511938800000,0.010674,0.01068,0.010473,0.010503,438.736
51,1511942400000,0.010503,0.010553,0.01035,0.010387,925.036
52,1511946000000,0.01039,0.010451,0.010199,0.0102,466.035
53,1511949600000,0.0102,0.010534,0.010012,0.010259,265.86
54,1511953200000,0.010492,0.010503,0.010009,0.01011,262.68
55,1511956800000,0.010254,0.010395,0.010001,0.010395,912.237
56,1511960400000,0.010389,0.010499,0.010008,0.010179,375.63
57,1511964000000,0.010158,0.010209,0.01,0.010194,471.682
58,1511967600000,0.010186,0.010199,0.00991,0.009989,637.997
59,1511971200000,0.009989,0.009989,0.00993,0.009988,541.725
60,1511974800000,0.009988,0.010132,0.009901,0.010132,657.091
61,1511978400000,0.010132,0.010249,0.009906,0.010249,565.278
62,1511982000000,0.010003,0.010343,0.009903,0.01,345.123
63,1511985600000,0.01,0.010125,0.009876,0.010023,559.545
64,1511989200000,0.010023,0.010023,0.00926,0.009301,404.955
65,1511992800000,0.009296,0.009887,0.009296,0.009547,585.643
66,1511996400000,0.009541,0.009887,0.009333,0.009867,269.403
67,1512000000000,0.009679,0.010101,0.009679,0.009942,606.119
68,1512003600000,0.009898,0.010073,0.009711,0.009932,491.637
69,1512007200000,0.009953,0.011169,0.009926,0.011169,382.941
70,1512010800000,0.011166,0.011166,0.010412,0.010413,362.278
71,1512014400000,0.010412,0.01073,0.010339,0.010469,564.293
72,1512018000000,0.010469,0.010845,0.010379,0.01062,784.578
73,1512021600000,0.010685,0.013333,0.010612,0.011972,1130.257
74,1512025200000,0.011972,0.011974,0.011317,0.011692,931.461
75,1512028800000,0.01155,0.011621,0.010996,0.011053,1116.576
76,1512032400000,0.011062,0.0116,0.010773,0.01083,3964.984
77,1512036000000,0.010838,0.011489,0.010181,0.010181,1725.19
78,1512039600000,0.010374,0.01045,0.010102,0.010224,656.703
79,1512043200000,0.010243,0.010269,0.010062,0.010063,965.086
80,1512046800000,0.010062,0.010122,0.009901,0.010018,628.91
81,1512050400000,0.010018,0.010122,0.009901,0.009979,853.328
82,1512054000000,0.00999,0.010095,0.009684,0.009785,208.944
83,1512057600000,0.009834,0.010104,0.009601,0.010007,1179.092
84,1512061200000,0.010094,0.010207,0.009936,0.010007,768.751
85,1512064800000,0.010009,0.010138,0.009702,0.009702,1496.887
86,1512068400000,0.009805,0.00995,0.009702,0.009896,814.212
87,1512072000000,0.009936,0.010091,0.009874,0.009874,1554.463
88,1512075600000,0.009874,0.010177,0.009874,0.009907,1521.87
89,1512079200000,0.009904,0.010267,0.009902,0.010101,580.065
90,1512082800000,0.010104,0.010252,0.010015,0.010017,321.244
91,1512086400000,0.0101,0.010241,0.010015,0.010125,1071.235
92,1512090000000,0.010162,0.010312,0.009928,0.010001,207.196
93,1512093600000,0.010091,0.01012,0.0099,0.009927,530.653
94,1512097200000,0.00994,0.010025,0.009501,0.009763,962.137
95,1512100800000,0.009764,0.009888,0.009615,0.009721,1006.185
96,1512104400000,0.009633,0.00989,0.009578,0.00989,1037.923
97,1512108000000,0.00989,0.010085,0.009451,0.009855,1117.421
98,1512111600000,0.009855,0.010184,0.009724,0.010093,969.73
99,1512115200000,0.010093,0.0107,0.010093,0.010452,1269.651
100,1512118800000,0.010452,0.010807,0.010436,0.010529,2000.26
101,1512122400000,0.010534,0.010755,0.009847,0.010635,1182.665
102,1512126000000,0.010584,0.01064,0.010323,0.010365,1255.065
103,1512129600000,0.010365,0.010528,0.010117,0.010186,1195.37
104,1512133200000,0.010254,0.01033,0.00988,0.009937,1025.147
105,1512136800000,0.009893,0.010002,0.009782,0.010002,504.432
106,1512140400000,0.00991,0.010002,0.009822,0.009822,678.035
107,1512144000000,0.009831,0.00984,0.00976,0.00976,1019.911
108,1512147600000,0.009767,0.009959,0.00976,0.009918,436.91
109,1512151200000,0.009959,0.009959,0.009841,0.009856,611.34
110,1512154800000,0.009859,0.009925,0.00977,0.009827,324.598
111,1512158400000,0.00993,0.00998,0.009759,0.009761,679.623
112,1512162000000,0.00976,0.009888,0.009759,0.00976,893.586
113,1512165600000,0.00976,0.009838,0.009715,0.009715,978.019
114,1512169200000,0.009807,0.009862,0.009715,0.009755,957.62
115,1512172800000,0.009755,0.009852,0.009715,0.009763,847.196
116,1512176400000,0.009763,0.009969,0.009763,0.009768,713.45
117,1512180000000,0.009816,0.009863,0.009715,0.009715,635.164
118,1512183600000,0.009715,0.00975,0.009687,0.009689,820.669
119,1512187200000,0.009689,0.009828,0.009645,0.009645,495.423
120,1512190800000,0.009645,0.010029,0.009645,0.009754,698.719
121,1512194400000,0.009756,0.009944,0.009547,0.009742,206.597
122,1512198000000,0.009843,0.009876,0.009637,0.009685,347.078
123,1512201600000,0.009685,0.009867,0.009637,0.009685,610.464
124,1512205200000,0.009685,0.009749,0.009537,0.009652,361.725
125,1512208800000,0.009676,0.0097,0.009528,0.009528,855.251
126,1512212400000,0.009524,0.009629,0.009224,0.009274,460.751
127,1512216000000,0.009301,0.009391,0.009274,0.009329,392.402
128,1512219600000,0.009329,0.009531,0.009329,0.009529,346.331
129,1512223200000,0.009401,0.009593,0.009274,0.009497,287.637
130,1512226800000,0.009587,0.009599,0.009358,0.009416,347.051
131,1512230400000,0.009488,0.009558,0.009314,0.009354,627.105
132,1512234000000,0.009328,0.009464,0.009301,0.009463,448.695
133,1512237600000,0.009463,0.009463,0.009307,0.00934,672.118
134,1512241200000,0.009307,0.009401,0.009293,0.00939,380.003
135,1512244800000,0.009345,0.009442,0.009304,0.00941,778.403
136,1512248400000,0.00941,0.00941,0.009296,0.009408,997.867
137,1512252000000,0.009407,0.009408,0.009151,0.009331,1027.023
138,1512255600000,0.009331,0.009331,0.008932,0.009223,703.037
139,1512259200000,0.009223,0.012155,0.009164,0.01201,1970.48
140,1512262800000,0.012129,0.012129,0.01012,0.010722,947.534
141,1512266400000,0.011005,0.011018,0.010178,0.01025,1001.261
142,1512270000000,0.010202,0.010342,0.009944,0.010046,1332.56
143,1512273600000,0.01009,0.010343,0.009906,0.010342,1209.481
144,1512277200000,0.009956,0.01021,0.009949,0.010146,1324.872
145,1512280800000,0.010146,0.010146,0.00992,0.010146,1197.564
146,1512284400000,0.010087,0.010146,0.009935,0.009988,2207.461
147,1512288000000,0.009988,0.010146,0.009882,0.010094,1221.266
148,1512291600000,0.010017,0.01022,0.009963,0.010125,565.696
149,1512295200000,0.010053,0.010125,0.009991,0.01012,1087.693
150,1512298800000,0.01012,0.01012,0.01,0.01,2240.659
151,1512302400000,0.009986,0.009986,0.009584,0.009749,1341.315
152,1512306000000,0.009749,0.00986,0.009705,0.009817,879.266
153,1512309600000,0.009838,0.009859,0.009548,0.009561,754.396
154,1512313200000,0.009565,0.009568,0.009451,0.009468,756.555
155,1512316800000,0.009517,0.009568,0.00946,0.009483,323.821
156,1512320400000,0.009518,0.009567,0.00938,0.009531,192.333
157,1512324000000,0.009531,0.009568,0.009457,0.009462,926.599
158,1512327600000,0.009515,0.009563,0.009458,0.00956,896.951
159,1512331200000,0.00956,0.009568,0.009556,0.009557,561.648
160,1512334800000,0.009557,0.009689,0.009557,0.0096,372.712
161,1512338400000,0.009651,0.009726,0.009597,0.009623,30.344
162,1512342000000,0.009667,0.009758,0.009558,0.009741,652.045
163,1512345600000,0.009756,0.00989,0.009741,0.009854,1034.576
164,1512349200000,0.00986,0.010336,0.00986,0.010229,516.804
165,1512352800000,0.010127,0.010241,0.010063,0.010115,254.63
166,1512356400000,0.010113,0.010122,0.009856,0.010081,524.062
167,1512360000000,0.009921,0.010085,0.009847,0.009882,399.949
168,1512363600000,0.010026,0.010081,0.009881,0.00993,147.166
169,1512367200000,0.0098,0.0098,0.0098,0.0098,0.496
170,1512370800000,0.009933,0.010343,0.009871,0.010129,444.216
171,1512374400000,0.010098,0.01012,0.00994,0.010089,607.952
172,1512378000000,0.010099,0.010437,0.010079,0.010437,313.117
173,1512381600000,0.010437,0.010865,0.010349,0.010494,1053.434
174,1512385200000,0.010494,0.010641,0.0102,0.010347,694.49
