,ts,open,high,low,close,volume
0,1511758800000,0.21,0.21,0.15364,0.15364,1.3
1,1511762400000,0.28999,0.5,0.239,0.243,448.826
2,1511766000000,0.24301,0.28332,0.243,0.28097,118.063
3,1511769600000,0.26709,0.26945,0.25,0.26944,69.687
4,1511773200000,0.25666,0.26,0.22999,0.26,154.469
5,1511776800000,0.23876,0.26,0.23876,0.26,67.236
6,1511780400000,0.24304,0.29,0.23877,0.26087,111.1
7,1511784000000,0.26087,0.26087,0.24,0.24,20.337
8,1511787600000,0.24201,0.25645,0.23876,0.23876,91.037
9,1511791200000,0.23876,0.24201,0.22952,0.22952,28.168
10,1511794800000,0.22952,0.22952,0.20394,0.22049,60.323
11,1511798400000,0.22272,0.22725,0.21828,0.22272,15.928
12,1511802000000,0.21876,0.22497,0.21659,0.21659,3.061
13,1511805600000,0.22049,0.22725,0.22049,0.22497,2.046
14,1511809200000,0.22497,0.22536,0.21875,0.21875,2.594
15,1511812800000,0.22611,0.22611,0.22093,0.22093,2.55
16,1511816400000,0.22611,0.23699,0.22611,0.23699,27.05
17,1511820000000,0.23699,0.23699,0.21445,0.22583,10.523
18,1511823600000,0.22313,0.22583,0.2145,0.22133,16.589
19,1511827200000,0.22133,0.22133,0.21881,0.22133,3.322
20,1511830800000,0.21882,0.21882,0.21237,0.21449,29.475
21,1511834400000,0.21663,0.21691,0.20301,0.21691,33.379
22,1511838000000,0.21911,0.237,0.21911,0.237,34.858
23,1511841600000,0.237,0.27476,0.237,0.24001,111.346
24,1511845200000,0.24001,0.29564,0.24001,0.25486,106.655
25,1511848800000,0.26,0.31422,0.26,0.28851,193.677
26,1511852400000,0.28714,0.295,0.26,0.26,8.99
27,1511856000000,0.25482,0.25482,0.2453,0.2477,5.611
28,1511859600000,0.2514,0.2514,0.2514,0.2514,1.139
29,1511863200000,0.25482,0.25482,0.23524,0.23766,20.437
30,1511866800000,0.23524,0.24007,0.23182,0.24007,14.473
31,1511870400000,0.2425,0.2525,0.2425,0.2437,40.095
32,1511874000000,0.24129,0.24129,0.23421,0.23421,1.482
33,1511877600000,0.23291,0.2437,0.23061,0.2437,6.674
34,1511881200000,0.24997,0.24997,0.24994,0.24994,0.68
35,1511884800000,0.25239,0.2574,0.24676,0.25176,27.455
36,1511888400000,0.25227,0.27425,0.25227,0.26067,9.466
37,1511892000000,0.26142,0.2673,0.24633,0.26197,20.796
38,1511895600000,0.25704,0.26729,0.25704,0.26154,1.658
39,1511899200000,0.25896,0.2673,0.25021,0.2564,40.42
40,1511902800000,0.25265,0.25266,0.25,0.25127,19.392
41,1511906400000,0.24888,0.24888,0.24615,0.24615,0.492
42,1511910000000,0.24615,0.25198,0.23995,0.245,23.713
43,1511913600000,0.245,0.245,0.238,0.238,60.373
44,1511917200000,0.23758,0.24252,0.235,0.24252,55.552
45,1511920800000,0.24253,0.25194,0.23533,0.2387,16.606
46,1511924400000,0.23871,0.24449,0.23589,0.23589,42.684
47,1511928000000,0.2414,0.24449,0.2414,0.24392,3.529
48,1511931600000,0.24177,0.24177,0.23148,0.23148,42.85
49,1511935200000,0.23061,0.23961,0.2305,0.23961,25.67
50,1511938800000,0.23961,0.24203,0.23636,0.24203,8.987
51,1511942400000,0.24142,0.24203,0.235,0.235,28.476
52,1511946000000,0.23529,0.2353,0.234,0.234,44.699
53,1511949600000,0.234,0.234,0.23,0.23335,39.156
54,1511953200000,0.2345,0.2345,0.23002,0.23006,91.843
55,1511956800000,0.23008,0.23008,0.2223,0.2223,113.633
56,1511960400000,0.22293,0.22754,0.22073,0.22293,24.57
57,1511964000000,0.22293,0.22337,0.22293,0.22336,14.822
58,1511967600000,0.22101,0.22222,0.22001,0.22002,44.98
59,1511971200000,0.22003,0.22003,0.22003,0.22003,2.0
60,1511974800000,0.22002,0.22002,0.22001,0.22001,9.899
61,1511978400000,0.22001,0.22259,0.22001,0.22001,9.151
62,1511982000000,0.22001,0.22026,0.21784,0.21784,29.987
63,1511985600000,0.22083,0.22479,0.22082,0.22474,4.602
64,1511989200000,0.22001,0.22011,0.1997,0.21299,72.035
65,1511992800000,0.21646,0.22474,0.21646,0.22182,2.198
66,1511996400000,0.22182,0.22249,0.22182,0.22249,0.66
67,1512000000000,0.22474,0.23001,0.22474,0.22474,35.857
68,1512003600000,0.22474,0.22932,0.22404,0.22932,8.835
69,1512007200000,0.22932,0.2595,0.22932,0.2543,53.858
70,1512010800000,0.2569,0.26209,0.24241,0.24241,56.748
71,1512014400000,0.24241,0.2474,0.24035,0.24359,26.559
72,1512018000000,0.24672,0.25001,0.24359,0.25,23.765
73,1512021600000,0.25522,0.30648,0.25522,0.28786,165.77
74,1512025200000,0.28786,0.28786,0.27128,0.27233,4.767
75,1512028800000,0.27,0.27,0.25502,0.25758,12.823
76,1512032400000,0.25574,0.2575,0.2454,0.25028,67.518
77,1512036000000,0.24785,0.25281,0.22501,0.23621,89.642
78,1512039600000,0.23388,0.23769,0.23157,0.23617,1.535
79,1512043200000,0.2327,0.2327,0.23169,0.23169,3.334
80,1512046800000,0.23019,0.23037,0.22928,0.23037,2.546
81,1512050400000,0.22906,0.22952,0.22904,0.22952,7.003
82,1512054000000,0.2271,0.22749,0.22485,0.22749,12.4
83,1512057600000,0.22517,0.23037,0.22517,0.22806,3.463
84,1512061200000,0.22882,0.22882,0.22882,0.22882,2.359
85,1512064800000,0.23037,0.2308,0.22487,0.22487,2.711
86,1512068400000,0.22554,0.22554,0.22302,0.22303,9.051
87,1512072000000,0.22554,0.22611,0.22554,0.22611,4.399
88,1512075600000,0.22611,0.22611,0.22611,0.22611,0.0
89,1512079200000,0.22849,0.22849,0.22849,0.22849,0.11
90,1512082800000,0.22849,0.2308,0.22849,0.2308,0.32
91,1512086400000,0.2308,0.23252,0.2308,0.23198,8.734
92,1512090000000,0.22977,0.22977,0.22401,0.22624,90.108
93,1512093600000,0.22856,0.22966,0.22624,0.22966,9.975
94,1512097200000,0.23198,0.23305,0.22081,0.22341,47.478
95,1512100800000,0.22404,0.22404,0.22,0.22081,16.568
96,1512104400000,0.22,0.22,0.22,0.22,3.786
97,1512108000000,0.22172,0.22172,0.22172,0.22172,0.1
98,1512111600000,0.22341,0.23198,0.22341,0.23198,158.34
99,1512115200000,0.23433,0.24293,0.23433,0.23854,67.85
100,1512118800000,0.23903,0.2469,0.23854,0.2469,59.332
101,1512122400000,0.2469,0.2469,0.21864,0.23913,196.486
102,1512126000000,0.23913,0.23913,0.23913,0.23913,0.0
103,1512129600000,0.23682,0.23682,0.235,0.235,35.339
104,1512133200000,0.23433,0.23433,0.23433,0.23433,10.338
105,1512136800000,0.23006,0.23006,0.23005,0.23005,0.15
106,1512140400000,0.23005,0.23005,0.23005,0.23005,0.432
107,1512144000000,0.23036,0.23036,0.23036,0.23036,0.757
