,ts,open,high,low,close,volume
0,1510300800000,0.0733,0.58,0.0733,0.202,640939.72
1,1510304400000,0.20056,0.239,0.15001,0.17345,1400286.52
2,1510308000000,0.18199,0.24999,0.18,0.1805,665712.19
3,1510311600000,0.18051,0.18907,0.17,0.188,550045.11
4,1510315200000,0.188,0.19,0.155,0.165,240360.71
5,1510318800000,0.165,0.17486,0.16,0.16305,94002.56
6,1510322400000,0.161,0.162,0.14601,0.14602,230775.77
7,1510326000000,0.14605,0.157,0.14604,0.152,107569.59
8,1510329600000,0.151,0.15989,0.148,0.15,105138.06
9,1510333200000,0.151,0.151,0.143,0.14356,72158.83
10,1510336800000,0.143,0.145,0.113,0.1155,110034.65
11,1510340400000,0.11551,0.147,0.1155,0.1444,29124.21
12,1510344000000,0.1444,0.14722,0.136,0.147,3008.64
13,1510347600000,0.14,0.155,0.12141,0.14801,9964.44
14,1510351200000,0.148,0.148,0.12,0.122,66849.38
15,1510354800000,0.122,0.12408,0.11201,0.1151,25878.35
16,1510358400000,0.12404,0.12404,0.10001,0.10001,57041.91
17,1510362000000,0.101,0.10918,0.09331,0.10002,62627.46
18,1510365600000,0.10013,0.106,0.10011,0.106,11967.67
19,1510369200000,0.106,0.117,0.1001,0.117,31135.76
20,1510372800000,0.12,0.13499,0.12,0.134,3511.25
21,1510376400000,0.134,0.134,0.1201,0.1201,10167.63
22,1510380000000,0.1201,0.14488,0.12,0.13699,35368.82
23,1510383600000,0.136,0.136,0.122,0.124,3038.73
24,1510387200000,0.124,0.14,0.123,0.13003,10500.31
25,1510390800000,0.13003,0.1303,0.13,0.13,10436.34
26,1510394400000,0.13,0.131,0.12186,0.12186,20171.58
27,1510398000000,0.12187,0.12187,0.11679,0.12187,1155.64
28,1510401600000,0.12187,0.13412,0.12187,0.13412,42470.14
29,1510405200000,0.1362,0.138,0.12261,0.125,25894.96
30,1510408800000,0.125,0.13499,0.125,0.13499,1119.01
31,1510412400000,0.13498,0.13499,0.12476,0.13,31988.23
32,1510416000000,0.13001,0.13001,0.13001,0.13001,430.03
33,1510419600000,0.13001,0.13001,0.13,0.13001,846.0
34,1510423200000,0.13,0.13,0.13,0.13,55.0
35,1510426800000,0.12999,0.12999,0.1178,0.1178,4802.83
36,1510430400000,0.127,0.131,0.12311,0.12311,7719.0
37,1510434000000,0.132,0.132,0.12211,0.124,4110.0
38,1510437600000,0.124,0.124,0.124,0.124,0.0
39,1510441200000,0.12401,0.12401,0.12401,0.12401,3702.35
40,1510444800000,0.12401,0.12401,0.124,0.124,1352.65
41,1510448400000,0.124,0.125,0.123,0.123,1166.67
42,1510452000000,0.123,0.123,0.123,0.123,81.0
43,1510455600000,0.1229,0.1229,0.104,0.104,8999.6
44,1510459200000,0.11489,0.124,0.11399,0.12,8345.15
45,1510462800000,0.117,0.118,0.11399,0.117,681.69
46,1510466400000,0.117,0.123,0.104,0.11305,20699.98
47,1510470000000,0.11305,0.12278,0.10463,0.11498,15847.24
48,1510473600000,0.12399,0.124,0.11399,0.115,6508.03
49,1510477200000,0.115,0.1189,0.115,0.1189,14120.88
50,1510480800000,0.118,0.118,0.115,0.115,3386.39
51,1510484400000,0.117,0.118,0.117,0.118,466.0
52,1510488000000,0.118,0.118,0.10057,0.116,39549.47
53,1510491600000,0.105,0.114,0.105,0.114,511.0
54,1510495200000,0.11305,0.11719,0.112,0.112,29188.0
55,1510498800000,0.11199,0.1139,0.105,0.11388,4842.33
56,1510502400000,0.11388,0.11576,0.105,0.11576,37123.64
57,1510506000000,0.11599,0.11878,0.10579,0.113,1728.0
58,1510509600000,0.115,0.11699,0.115,0.11698,476.0
59,1510513200000,0.11696,0.11698,0.11696,0.11698,1274.94
60,1510516800000,0.11698,0.11799,0.113,0.11599,12698.18
61,1510520400000,0.11507,0.11507,0.11195,0.11501,18989.0
62,1510524000000,0.11501,0.11501,0.11501,0.11501,0.0
63,1510527600000,0.114,0.114,0.113,0.113,110.0
64,1510531200000,0.113,0.113,0.113,0.113,0.0
65,1510534800000,0.113,0.113,0.113,0.113,0.0
66,1510538400000,0.113,0.1189,0.113,0.1189,11797.06
67,1510542000000,0.1189,0.1189,0.1188,0.1189,7271.01
68,1510545600000,0.11308,0.11308,0.11308,0.11308,5367.93
69,1510549200000,0.11309,0.11999,0.113,0.113,53048.38
70,1510552800000,0.10676,0.11329,0.09981,0.10699,114941.2
71,1510556400000,0.10699,0.10699,0.10699,0.10699,0.0
72,1510560000000,0.10699,0.10699,0.10699,0.10699,0.0
73,1510563600000,0.10583,0.10583,0.105,0.10583,5386.09
74,1510567200000,0.10583,0.108,0.10579,0.108,7365.99
75,1510570800000,0.11129,0.11129,0.111,0.111,207.44
76,1510574400000,0.112,0.1188,0.112,0.118,1030.5
77,1510578000000,0.114,0.114,0.10601,0.10601,5989.01
78,1510581600000,0.10601,0.107,0.106,0.107,3237.78
79,1510585200000,0.107,0.107,0.101,0.101,151772.52
80,1510588800000,0.101,0.10851,0.09402,0.10802,23836.31
81,1510592400000,0.108,0.11,0.108,0.11,833.21
82,1510596000000,0.115,0.115,0.115,0.115,55.0
83,1510599600000,0.11699,0.118,0.11699,0.117,6467.1
84,1510603200000,0.118,0.118,0.10622,0.10622,20.0
85,1510606800000,0.10622,0.10622,0.10622,0.10622,0.0
86,1510610400000,0.10622,0.10622,0.10622,0.10622,0.0
87,1510614000000,0.10622,0.10622,0.10622,0.10622,0.0
88,1510617600000,0.10629,0.10629,0.10629,0.10629,31.98
89,1510621200000,0.10629,0.10629,0.10629,0.10629,0.0
90,1510624800000,0.11438,0.11438,0.114,0.114,63.0
91,1510628400000,0.114,0.114,0.114,0.114,0.0
92,1510632000000,0.114,0.114,0.114,0.114,785.64
93,1510635600000,0.10629,0.10629,0.10629,0.10629,17.5
94,1510639200000,0.10629,0.10629,0.10622,0.10622,1069.25
95,1510642800000,0.10625,0.107,0.102,0.107,3464.55
96,1510646400000,0.11398,0.114,0.113,0.113,2213.94
97,1510650000000,0.10201,0.10201,0.102,0.10201,20000.0
98,1510653600000,0.10202,0.10203,0.10202,0.10203,3346.77
99,1510657200000,0.10203,0.10203,0.10203,0.10203,16360.44
100,1510660800000,0.10301,0.10301,0.10203,0.10203,45306.7
101,1510664400000,0.10203,0.10203,0.10203,0.10203,10.0
102,1510668000000,0.11152,0.11152,0.111,0.111,526.52
103,1510671600000,0.1054,0.10654,0.1031,0.10653,29209.18
104,1510675200000,0.106,0.107,0.1031,0.107,1816.27
105,1510678800000,0.11199,0.11199,0.11199,0.11199,801.0
106,1510682400000,0.11199,0.11199,0.11199,0.11199,0.0
107,1510686000000,0.11199,0.1125,0.11199,0.1125,4571.76
108,1510689600000,0.1125,0.1125,0.1125,0.1125,0.0
109,1510693200000,0.1125,0.126,0.1125,0.126,28473.34
110,1510696800000,0.127,0.13652,0.127,0.127,6957.94
111,1510700400000,0.127,0.1349,0.127,0.1349,587.11
112,1510704000000,0.134,0.134,0.134,0.134,55.0
113,1510707600000,0.12808,0.12808,0.12,0.12,10190.46
114,1510711200000,0.11996,0.11996,0.11046,0.11994,12407.32
115,1510714800000,0.11995,0.11995,0.11995,0.11995,922.42
116,1510718400000,0.11997,0.13156,0.11997,0.13156,1951.73
117,1510722000000,0.133,0.133,0.11995,0.13199,24503.51
118,1510725600000,0.131,0.131,0.131,0.131,55.0
119,1510729200000,0.131,0.131,0.131,0.131,0.0
120,1510732800000,0.12749,0.12749,0.12749,0.12749,87.0
121,1510736400000,0.12749,0.133,0.12749,0.133,48076.18
122,1510740000000,0.133,0.135,0.133,0.133,26568.1
123,1510743600000,0.12501,0.13,0.12501,0.13,14411.92
124,1510747200000,0.129,0.129,0.11995,0.11995,5420.0
125,1510750800000,0.11995,0.11995,0.118,0.118,2164.89
126,1510754400000,0.119,0.12,0.119,0.12,27047.96
127,1510758000000,0.12,0.12,0.12,0.12,451.0
128,1510761600000,0.12,0.12,0.12,0.12,927.0
129,1510765200000,0.12,0.12,0.11202,0.1121,21504.87
130,1510768800000,0.11999,0.11999,0.119,0.119,1864.0
131,1510772400000,0.119,0.119,0.119,0.119,0.0
132,1510776000000,0.115,0.115,0.115,0.115,1151.0
133,1510779600000,0.115,0.11629,0.115,0.11629,3031.72
134,1510783200000,0.11629,0.11629,0.11629,0.11629,0.0
135,1510786800000,0.11629,0.11629,0.11629,0.11629,99.59
136,1510790400000,0.11629,0.11629,0.105,0.105,2318.01
137,1510794000000,0.105,0.105,0.105,0.105,0.0
138,1510797600000,0.105,0.105,0.105,0.105,0.0
139,1510801200000,0.105,0.105,0.105,0.105,0.0
140,1510804800000,0.105,0.105,0.105,0.105,0.0
141,1510808400000,0.105,0.105,0.105,0.105,0.0
142,1510812000000,0.105,0.10999,0.105,0.10999,956.5
143,1510815600000,0.109,0.11,0.105,0.11,23067.29
144,1510819200000,0.11,0.11,0.11,0.11,11146.54
145,1510822800000,0.11,0.11,0.11,0.11,8438.08
146,1510826400000,0.11,0.11,0.10142,0.10142,18217.45
147,1510830000000,0.10144,0.121,0.10144,0.12,23660.74
148,1510833600000,0.115,0.115,0.09789,0.09789,18150.72
149,1510837200000,0.10987,0.10999,0.10987,0.10999,2418.13
150,1510840800000,0.1099,0.1099,0.09977,0.09977,6347.46
151,1510844400000,0.10989,0.116,0.10989,0.116,1688.73
152,1510848000000,0.11601,0.11601,0.116,0.116,142.49
153,1510851600000,0.116,0.116,0.116,0.116,0.0
154,1510855200000,0.10436,0.10436,0.09882,0.09882,744.9
155,1510858800000,0.09884,0.099,0.08802,0.099,52898.35
156,1510862400000,0.099,0.099,0.099,0.099,0.0
157,1510866000000,0.1028,0.1028,0.102,0.102,330.0
158,1510869600000,0.09002,0.09002,0.09002,0.09002,109.0
159,1510873200000,0.10279,0.103,0.10279,0.103,1071.0
160,1510876800000,0.103,0.103,0.103,0.103,0.0
161,1510880400000,0.10003,0.10003,0.1,0.1,14538.0
162,1510884000000,0.103,0.10566,0.103,0.10566,1877.15
163,1510887600000,0.10569,0.10569,0.10566,0.10567,1537.5
164,1510891200000,0.10567,0.10975,0.10567,0.10975,818.5
165,1510894800000,0.109,0.10999,0.109,0.10999,1036.0
166,1510898400000,0.10003,0.10003,0.10001,0.10001,8642.21
167,1510902000000,0.1054,0.11113,0.10001,0.10001,6573.19
168,1510905600000,0.10203,0.106,0.102,0.105,540.0
169,1510909200000,0.105,0.105,0.105,0.105,0.0
170,1510912800000,0.10309,0.10309,0.09357,0.09357,42996.0
171,1510916400000,0.09901,0.09901,0.095,0.09702,14918.29
172,1510920000000,0.09801,0.09801,0.09801,0.09801,30.0
173,1510923600000,0.099,0.1,0.099,0.1,141.0
174,1510927200000,0.1,0.1,0.1,0.1,0.0
175,1510930800000,0.1,0.101,0.1,0.101,7267.25
176,1510934400000,0.101,0.101,0.101,0.101,74.0
177,1510938000000,0.10102,0.10102,0.10102,0.10102,15.0
178,1510941600000,0.101,0.101,0.098,0.098,3280.0
179,1510945200000,0.09898,0.09898,0.09,0.096,5508.49
180,1510948800000,0.096,0.096,0.096,0.096,0.0
181,1510952400000,0.09603,0.098,0.09603,0.098,140.0
182,1510956000000,0.098,0.098,0.098,0.098,0.0
183,1510959600000,0.098,0.098,0.098,0.098,0.0
184,1510963200000,0.09604,0.1025,0.09604,0.101,1494.53
185,1510966800000,0.101,0.101,0.101,0.101,0.0
186,1510970400000,0.09892,0.09892,0.096,0.097,1197.0
187,1510974000000,0.097,0.097,0.097,0.097,0.38
188,1510977600000,0.097,0.097,0.097,0.097,1864.09
189,1510981200000,0.097,0.097,0.097,0.097,0.0
190,1510984800000,0.097,0.097,0.097,0.097,0.0
191,1510988400000,0.09679,0.09701,0.09679,0.097,18916.19
192,1510992000000,0.097,0.097,0.097,0.097,1170.0
193,1510995600000,0.09702,0.098,0.09702,0.098,70.0
194,1510999200000,0.10045,0.10045,0.099,0.099,3487.0
195,1511002800000,0.09899,0.1,0.09091,0.09091,13326.0
196,1511006400000,0.09499,0.09499,0.0945,0.0945,474.0
197,1511010000000,0.09603,0.099,0.09603,0.09899,230.0
198,1511013600000,0.09999,0.10493,0.09999,0.10493,2519.8
199,1511017200000,0.10493,0.105,0.10493,0.105,2178.71
200,1511020800000,0.105,0.105,0.105,0.105,0.0
201,1511024400000,0.105,0.105,0.105,0.105,0.0
202,1511028000000,0.10255,0.1169,0.102,0.11658,42799.05
203,1511031600000,0.11679,0.11679,0.11279,0.1144,4639.01
204,1511035200000,0.114,0.11649,0.114,0.115,3058.88
205,1511038800000,0.115,0.115,0.101,0.101,33908.0
206,1511042400000,0.10153,0.10636,0.10153,0.10636,1066.4
207,1511046000000,0.10637,0.10637,0.10302,0.104,829.0
208,1511049600000,0.10302,0.10494,0.1,0.10494,1790.75
209,1511053200000,0.103,0.103,0.1,0.101,252.67
210,1511056800000,0.10097,0.10199,0.10097,0.10199,49.5
211,1511060400000,0.10097,0.10097,0.10097,0.10097,15.0
212,1511064000000,0.1,0.1,0.1,0.1,55.0
213,1511067600000,0.1,0.1,0.1,0.1,0.0
214,1511071200000,0.09993,0.09993,0.096,0.096,3304.82
215,1511074800000,0.09697,0.099,0.09697,0.099,80.0
216,1511078400000,0.099,0.099,0.099,0.099,3609.78
217,1511082000000,0.099,0.099,0.099,0.099,2873.84
218,1511085600000,0.099,0.099,0.099,0.099,2218.44
219,1511089200000,0.099,0.099,0.092,0.092,16703.1
220,1511092800000,0.09299,0.09299,0.09299,0.09299,60.0
221,1511096400000,0.093,0.09792,0.093,0.09792,2069.09
222,1511100000000,0.097,0.097,0.097,0.097,110.0
223,1511103600000,0.09701,0.101,0.09701,0.101,15498.83
224,1511107200000,0.101,0.101,0.101,0.101,10.13
225,1511110800000,0.09872,0.09872,0.09394,0.09798,1424.67
226,1511114400000,0.09799,0.099,0.09799,0.099,295.0
227,1511118000000,0.098,0.09999,0.098,0.09899,78.99
228,1511121600000,0.09899,0.09899,0.09899,0.09899,2266.0
229,1511125200000,0.09899,0.09899,0.09899,0.09899,0.0
230,1511128800000,0.098,0.098,0.09775,0.09775,124.16
231,1511132400000,0.09775,0.09775,0.09775,0.09775,0.0
232,1511136000000,0.09776,0.09776,0.09775,0.09775,54.02
233,1511139600000,0.09775,0.09775,0.09775,0.09775,0.0
234,1511143200000,0.09775,0.09775,0.09775,0.09775,0.0
