,ts,open,high,low,close,volume
0,1510308000000,2.814e-05,0.0001,2.814e-05,4.9e-05,186892.0
1,1510311600000,4.81e-05,5e-05,4.226e-05,5e-05,393923.0
2,1510315200000,4.95e-05,5e-05,3.633e-05,3.83e-05,393512.0
3,1510318800000,4.387e-05,4.4e-05,4.002e-05,4.247e-05,112074.0
4,1510322400000,4.122e-05,4.4e-05,3.614e-05,4.07e-05,226842.0
5,1510326000000,4.07e-05,4.1e-05,3.858e-05,4.098e-05,137710.0
6,1510329600000,4.098e-05,4.209e-05,3.86e-05,3.86e-05,126481.0
7,1510333200000,3.859e-05,4.033e-05,3.648e-05,3.704e-05,103742.0
8,1510336800000,3.7e-05,3.729e-05,2.872e-05,2.872e-05,148505.0
9,1510340400000,2.879e-05,3.7e-05,2.879e-05,3.509e-05,30763.0
10,1510344000000,3.695e-05,3.878e-05,3.255e-05,3.339e-05,100932.0
11,1510347600000,3.7e-05,3.89e-05,3.251e-05,3.251e-05,27710.0
12,1510351200000,3.257e-05,3.73e-05,3.165e-05,3.165e-05,27665.0
13,1510354800000,3.2e-05,3.36e-05,3.15e-05,3.15e-05,10272.0
14,1510358400000,3.17e-05,3.36e-05,2.99e-05,2.99e-05,156691.0
15,1510362000000,2.887e-05,3.12e-05,2.701e-05,2.775e-05,51216.0
16,1510365600000,2.777e-05,2.999e-05,2.77e-05,2.77e-05,27423.0
17,1510369200000,2.8e-05,3.34e-05,2.8e-05,3.34e-05,19167.0
18,1510372800000,3.341e-05,3.62e-05,3.225e-05,3.608e-05,55407.0
19,1510376400000,3.607e-05,3.607e-05,3.46e-05,3.46e-05,3365.0
20,1510380000000,3.356e-05,3.89e-05,3.298e-05,3.73e-05,29199.0
21,1510383600000,3.7e-05,3.7e-05,3.123e-05,3.653e-05,24487.0
22,1510387200000,3.649e-05,3.725e-05,3.56e-05,3.56e-05,10992.0
23,1510390800000,3.56e-05,3.71e-05,3.543e-05,3.71e-05,29052.0
24,1510394400000,3.625e-05,3.625e-05,3.218e-05,3.277e-05,18177.0
