,ts,open,high,low,close,volume
0,1508126400000,1.2e-05,1.2e-05,8.03e-06,8.91e-06,166980.0
1,1508130000000,8.91e-06,9.19e-06,8.63e-06,8.7e-06,88783.0
2,1508133600000,8.61e-06,8.77e-06,7.97e-06,8.02e-06,806357.0
3,1508137200000,8.02e-06,8.27e-06,7.9e-06,8.15e-06,1125719.0
4,1508140800000,8.14e-06,8.35e-06,7.96e-06,8.18e-06,1232755.0
5,1508144400000,8.19e-06,8.2e-06,7.88e-06,8.02e-06,2302900.0
6,1508148000000,8.01e-06,8.21e-06,7.88e-06,8.01e-06,1546228.0
7,1508151600000,8e-06,8.01e-06,7.83e-06,7.93e-06,2744528.0
8,1508155200000,7.87e-06,7.94e-06,7.73e-06,7.83e-06,1652536.0
9,1508158800000,7.83e-06,8e-06,7.75e-06,7.98e-06,1081822.0
10,1508162400000,7.88e-06,7.96e-06,7.5e-06,7.7e-06,795719.0
11,1508166000000,7.71e-06,8.15e-06,7.51e-06,8.11e-06,572163.0
12,1508169600000,7.93e-06,8.38e-06,7.73e-06,8.37e-06,544196.0
13,1508173200000,8.37e-06,8.42e-06,7.9e-06,7.93e-06,995614.0
14,1508176800000,7.99e-06,8.12e-06,7.68e-06,7.86e-06,962971.0
15,1508180400000,7.85e-06,7.88e-06,7.63e-06,7.67e-06,1094941.0
16,1508184000000,7.76e-06,7.87e-06,7.68e-06,7.7e-06,1511749.0
17,1508187600000,7.78e-06,7.89e-06,7.7e-06,7.81e-06,1340121.0
18,1508191200000,7.85e-06,8.13e-06,7.7e-06,7.74e-06,2208139.0
19,1508194800000,7.74e-06,7.98e-06,7.54e-06,7.7e-06,1155643.0
20,1508198400000,7.71e-06,7.8e-06,7.64e-06,7.71e-06,902890.0
21,1508202000000,7.79e-06,8e-06,7.64e-06,7.94e-06,1141059.0
22,1508205600000,7.83e-06,8.38e-06,7.82e-06,8.37e-06,2045712.0
23,1508209200000,8.33e-06,8.38e-06,7.9e-06,7.99e-06,1603728.0
24,1508212800000,8e-06,8e-06,7.68e-06,7.72e-06,1081364.0
25,1508216400000,7.8e-06,7.81e-06,7.68e-06,7.71e-06,1340782.0
26,1508220000000,7.71e-06,8.12e-06,7.56e-06,7.74e-06,714711.0
27,1508223600000,7.77e-06,7.77e-06,7.53e-06,7.57e-06,676785.0
28,1508227200000,7.66e-06,7.74e-06,7.57e-06,7.62e-06,1205141.0
29,1508230800000,7.62e-06,7.69e-06,7.35e-06,7.51e-06,2034647.0
30,1508234400000,7.38e-06,7.69e-06,7.32e-06,7.6e-06,3397704.0
31,1508238000000,7.66e-06,7.77e-06,7.48e-06,7.77e-06,1261694.0
32,1508241600000,7.66e-06,8.12e-06,7.5e-06,7.61e-06,977367.0
33,1508245200000,7.51e-06,7.84e-06,7.38e-06,7.62e-06,1256443.0
34,1508248800000,7.59e-06,7.87e-06,7.34e-06,7.6e-06,1436537.0
35,1508252400000,7.59e-06,7.87e-06,7.52e-06,7.7e-06,1365266.0
36,1508256000000,7.69e-06,7.7e-06,7.28e-06,7.3e-06,1214299.0
37,1508259600000,7.3e-06,7.39e-06,7.16e-06,7.19e-06,1613699.0
38,1508263200000,7.24e-06,7.37e-06,7.04e-06,7.2e-06,1371422.0
39,1508266800000,7.21e-06,7.22e-06,7.06e-06,7.1e-06,1027254.0
40,1508270400000,7.11e-06,7.15e-06,6.77e-06,6.83e-06,1902516.0
41,1508274000000,6.8e-06,7.08e-06,6.75e-06,6.94e-06,1365146.0
42,1508277600000,6.84e-06,6.95e-06,6.79e-06,6.93e-06,763433.0
43,1508281200000,6.89e-06,7.05e-06,6.77e-06,6.78e-06,1141721.0
44,1508284800000,6.79e-06,7.06e-06,6.78e-06,6.94e-06,1803256.0
45,1508288400000,6.79e-06,7.06e-06,6.77e-06,6.8e-06,361889.0
46,1508292000000,6.81e-06,7.04e-06,6.59e-06,7.04e-06,2020350.0
47,1508295600000,6.95e-06,7.08e-06,6.9e-06,6.93e-06,1339132.0
48,1508299200000,6.95e-06,7.11e-06,6.92e-06,7.02e-06,723096.0
49,1508302800000,7.02e-06,7.25e-06,7e-06,7.13e-06,468823.0
50,1508306400000,7.14e-06,7.2e-06,7.04e-06,7.14e-06,852817.0
51,1508310000000,7.11e-06,7.25e-06,7.1e-06,7.22e-06,2934841.0
52,1508313600000,7.25e-06,7.26e-06,7.2e-06,7.21e-06,2598919.0
53,1508317200000,7.25e-06,7.3e-06,7.05e-06,7.24e-06,5974618.0
