,ts,open,high,low,close,volume
0,1513825200000,0.0002899,0.00092,5.5e-05,5.803e-05,616676.0
1,1513828800000,5.803e-05,6.4e-05,4.16e-05,5.2e-05,2979026.0
2,1513832400000,5.2e-05,5.98e-05,5.1e-05,5.712e-05,2575538.0
3,1513836000000,5.725e-05,7.7e-05,5.666e-05,7.341e-05,2363741.0
4,1513839600000,7.4e-05,8.399e-05,6.3e-05,7.555e-05,2970067.0
5,1513843200000,7.555e-05,9.856e-05,7.555e-05,8.916e-05,3975715.0
6,1513846800000,8.915e-05,8.97e-05,8.08e-05,8.14e-05,1084455.0
7,1513850400000,8.15e-05,8.5e-05,7.25e-05,7.614e-05,1104360.0
8,1513854000000,7.614e-05,8.3e-05,7.51e-05,7.923e-05,1392462.0
9,1513857600000,7.958e-05,8.002e-05,7.394e-05,7.48e-05,1624910.0
10,1513861200000,7.524e-05,7.63e-05,6.78e-05,7.187e-05,1796493.0
11,1513864800000,7.151e-05,7.2e-05,5.9e-05,5.9e-05,2109694.0
12,1513868400000,6.008e-05,6.65e-05,5.11e-05,6.142e-05,2335137.0
13,1513872000000,6.08e-05,6.87e-05,6.05e-05,6.552e-05,1618961.0
14,1513875600000,6.552e-05,6.951e-05,6.542e-05,6.817e-05,994628.0
15,1513879200000,6.815e-05,7.4e-05,6.805e-05,7.396e-05,1573232.0
16,1513882800000,7.415e-05,7.605e-05,6.989e-05,7.283e-05,1227521.0
17,1513886400000,7.276e-05,7.3e-05,6.753e-05,6.899e-05,1380671.0
18,1513890000000,6.84e-05,7.298e-05,6.784e-05,7e-05,1176701.0
19,1513893600000,7e-05,7.5e-05,6.973e-05,7.27e-05,1460366.0
20,1513897200000,7.266e-05,7.5e-05,7.061e-05,7.299e-05,1149442.0
21,1513900800000,7.291e-05,7.5e-05,7.2e-05,7.384e-05,734149.0
22,1513904400000,7.379e-05,7.5e-05,7.011e-05,7.298e-05,1301281.0
23,1513908000000,7.298e-05,7.3e-05,6.8e-05,6.841e-05,1111689.0
24,1513911600000,6.84e-05,6.884e-05,6.012e-05,6.38e-05,957684.0
25,1513915200000,6.38e-05,6.699e-05,6.014e-05,6.401e-05,1667792.0
26,1513918800000,6.401e-05,6.921e-05,5.82e-05,5.822e-05,2306069.0
27,1513922400000,6.001e-05,6.06e-05,5.62e-05,5.836e-05,826974.0
28,1513926000000,5.859e-05,6.06e-05,5.37e-05,5.651e-05,589132.0
29,1513929600000,5.782e-05,5.999e-05,5.65e-05,5.989e-05,265564.0
30,1513933200000,5.989e-05,6.416e-05,5.909e-05,5.969e-05,612350.0
31,1513936800000,5.969e-05,6.524e-05,5.853e-05,6.068e-05,1233483.0
32,1513940400000,6.076e-05,6.331e-05,5.85e-05,6.05e-05,1341288.0
33,1513944000000,6.05e-05,6.159e-05,5.9e-05,5.984e-05,841939.0
34,1513947600000,5.984e-05,6.043e-05,5.37e-05,5.41e-05,963543.0
35,1513951200000,5.422e-05,5.812e-05,5.311e-05,5.558e-05,1085684.0
36,1513954800000,5.54e-05,5.93e-05,5.464e-05,5.773e-05,4221033.0
37,1513958400000,5.776e-05,5.999e-05,5.649e-05,5.915e-05,3414797.0
38,1513962000000,5.914e-05,6.163e-05,5.81e-05,6.15e-05,2017396.0
39,1513965600000,6.15e-05,6.15e-05,5.901e-05,6.062e-05,2122665.0
40,1513969200000,6.047e-05,6.2e-05,6.001e-05,6.178e-05,1425446.0
41,1513972800000,6.178e-05,6.524e-05,6.004e-05,6.161e-05,656906.0
42,1513976400000,6.152e-05,6.341e-05,6.017e-05,6.03e-05,1345787.0
43,1513980000000,6.123e-05,6.316e-05,5.902e-05,6.039e-05,433719.0
44,1513983600000,6.02e-05,6.102e-05,5.888e-05,5.978e-05,1707578.0
45,1513987200000,5.974e-05,6.41e-05,5.964e-05,6.324e-05,2289016.0
46,1513990800000,6.336e-05,6.699e-05,6.3e-05,6.613e-05,2096912.0
47,1513994400000,6.612e-05,6.7e-05,6.578e-05,6.686e-05,2826360.0
48,1513998000000,6.681e-05,6.888e-05,6.456e-05,6.844e-05,3660987.0
