,ts,open,high,low,close,volume
0,1509678000000,2e-06,6e-06,2e-06,3.2e-06,845484.0
1,1509681600000,3.17e-06,3.62e-06,2.58e-06,3.07e-06,3335103.0
2,1509685200000,3e-06,3.1e-06,2.89e-06,2.9e-06,2423682.0
3,1509688800000,2.9e-06,2.95e-06,2.81e-06,2.83e-06,2058660.0
4,1509692400000,2.84e-06,3e-06,2.83e-06,2.88e-06,2791616.0
5,1509696000000,2.83e-06,2.96e-06,2.82e-06,2.95e-06,2346879.0
6,1509699600000,2.95e-06,3e-06,2.86e-06,2.98e-06,1252849.0
7,1509703200000,2.98e-06,3e-06,2.94e-06,3e-06,1545513.0
8,1509706800000,3e-06,3.35e-06,3e-06,3.26e-06,5577784.0
9,1509710400000,3.26e-06,3.41e-06,3.25e-06,3.37e-06,2708404.0
10,1509714000000,3.37e-06,3.45e-06,3.16e-06,3.23e-06,3164521.0
11,1509717600000,3.2e-06,3.23e-06,3e-06,3.01e-06,3489068.0
12,1509721200000,3e-06,3.01e-06,2.94e-06,2.94e-06,1029128.0
13,1509724800000,2.94e-06,2.96e-06,2.82e-06,2.83e-06,1140219.0
14,1509728400000,2.83e-06,2.83e-06,2.8e-06,2.83e-06,474286.0
15,1509732000000,2.83e-06,2.83e-06,2.7e-06,2.7e-06,607494.0
16,1509735600000,2.73e-06,2.75e-06,2.61e-06,2.68e-06,623406.0
17,1509739200000,2.64e-06,2.68e-06,2.56e-06,2.64e-06,599593.0
18,1509742800000,2.64e-06,2.81e-06,2.61e-06,2.81e-06,509265.0
19,1509746400000,2.85e-06,2.93e-06,2.66e-06,2.67e-06,446609.0
20,1509750000000,2.88e-06,2.9e-06,2.86e-06,2.86e-06,515613.0
21,1509753600000,2.9e-06,2.91e-06,2.68e-06,2.73e-06,897893.0
22,1509757200000,2.78e-06,2.88e-06,2.72e-06,2.8e-06,1002038.0
23,1509760800000,2.8e-06,2.8e-06,2.75e-06,2.78e-06,337869.0
24,1509764400000,2.78e-06,2.79e-06,2.77e-06,2.79e-06,735832.0
25,1509768000000,2.78e-06,2.79e-06,2.73e-06,2.73e-06,574232.0
26,1509771600000,2.73e-06,2.76e-06,2.72e-06,2.72e-06,230033.0
27,1509775200000,2.72e-06,2.72e-06,2.52e-06,2.7e-06,1323078.0
28,1509778800000,2.7e-06,2.7e-06,2.5e-06,2.59e-06,1398173.0
29,1509782400000,2.58e-06,2.68e-06,2.58e-06,2.67e-06,762900.0
30,1509786000000,2.64e-06,2.69e-06,2.64e-06,2.69e-06,148381.0
31,1509789600000,2.69e-06,2.72e-06,2.69e-06,2.72e-06,232452.0
32,1509793200000,2.72e-06,2.72e-06,2.7e-06,2.7e-06,1003476.0
