,ts,open,high,low,close,volume
0,1509678000000,4.978e-05,8.8e-05,4.978e-05,7.8e-05,723852.0
1,1509681600000,7.7e-05,8.499e-05,6.808e-05,7.599e-05,3211047.0
2,1509685200000,7.345e-05,7.51e-05,7.104e-05,7.306e-05,2934705.0
3,1509688800000,7.242e-05,7.34e-05,7e-05,7.007e-05,2291974.0
4,1509692400000,7.09e-05,7.37e-05,7.004e-05,7.21e-05,1798912.0
5,1509696000000,7.212e-05,7.37e-05,7.085e-05,7.159e-05,2297496.0
6,1509699600000,7.19e-05,7.5e-05,7.19e-05,7.369e-05,1054152.0
7,1509703200000,7.496e-05,7.509e-05,7.405e-05,7.509e-05,839270.0
8,1509706800000,7.554e-05,7.998e-05,7.43e-05,7.998e-05,2543860.0
9,1509710400000,7.998e-05,8.343e-05,7.926e-05,8.263e-05,1656803.0
10,1509714000000,8.261e-05,8.272e-05,7.731e-05,7.8e-05,2372502.0
11,1509717600000,7.8e-05,7.944e-05,7.37e-05,7.37e-05,2458149.0
12,1509721200000,7.37e-05,7.464e-05,7.2e-05,7.284e-05,735593.0
13,1509724800000,7.284e-05,7.284e-05,6.898e-05,7.15e-05,1187930.0
14,1509728400000,7.15e-05,7.15e-05,6.9e-05,6.95e-05,156317.0
15,1509732000000,7.05e-05,7.05e-05,6.799e-05,6.8e-05,205523.0
16,1509735600000,6.72e-05,6.8e-05,6.262e-05,6.262e-05,565075.0
17,1509739200000,6.739e-05,6.748e-05,6.311e-05,6.311e-05,23747.0
18,1509742800000,6.35e-05,6.6e-05,6.165e-05,6.6e-05,173946.0
19,1509746400000,6.6e-05,6.748e-05,6.401e-05,6.7e-05,254332.0
20,1509750000000,6.74e-05,6.748e-05,6.4e-05,6.748e-05,322901.0
21,1509753600000,6.684e-05,6.684e-05,6.4e-05,6.552e-05,321723.0
22,1509757200000,6.531e-05,6.746e-05,6.5e-05,6.745e-05,491600.0
23,1509760800000,6.745e-05,6.746e-05,6.72e-05,6.72e-05,310339.0
24,1509764400000,6.72e-05,6.746e-05,6.7e-05,6.746e-05,309518.0
25,1509768000000,6.746e-05,6.746e-05,6.66e-05,6.745e-05,494371.0
26,1509771600000,6.668e-05,6.746e-05,6.66e-05,6.66e-05,192858.0
27,1509775200000,6.66e-05,6.66e-05,6.315e-05,6.32e-05,658458.0
28,1509778800000,6.429e-05,6.439e-05,6.022e-05,6.2e-05,1309714.0
29,1509782400000,6.25e-05,6.399e-05,6.25e-05,6.38e-05,1051792.0
30,1509786000000,6.391e-05,6.4e-05,6.306e-05,6.306e-05,245471.0
31,1509789600000,6.399e-05,6.439e-05,6.35e-05,6.425e-05,302885.0
32,1509793200000,6.4e-05,6.439e-05,6.35e-05,6.4e-05,425869.0
33,1509796800000,6.4e-05,6.4e-05,6.35e-05,6.4e-05,167033.0
34,1509800400000,6.4e-05,6.499e-05,6.315e-05,6.499e-05,410115.0
35,1509804000000,6.5e-05,6.639e-05,6.42e-05,6.639e-05,369079.0
36,1509807600000,6.539e-05,6.746e-05,6.5e-05,6.5e-05,791889.0
37,1509811200000,6.5e-05,6.748e-05,6.5e-05,6.748e-05,284283.0
38,1509814800000,6.748e-05,6.748e-05,6.6e-05,6.6e-05,171959.0
39,1509818400000,6.6e-05,6.6e-05,6.6e-05,6.6e-05,40295.0
40,1509822000000,6.6e-05,6.601e-05,6.6e-05,6.601e-05,14529.0
41,1509825600000,6.621e-05,6.68e-05,6.406e-05,6.406e-05,341271.0
42,1509829200000,6.411e-05,6.7e-05,6.411e-05,6.7e-05,197656.0
43,1509832800000,6.679e-05,6.679e-05,6.156e-05,6.156e-05,492370.0
44,1509836400000,6.156e-05,6.159e-05,6.155e-05,6.158e-05,305253.0
45,1509840000000,6.364e-05,6.532e-05,6.1e-05,6.3e-05,518992.0
46,1509843600000,6.3e-05,6.584e-05,6.265e-05,6.312e-05,310001.0
47,1509847200000,6.312e-05,6.358e-05,6.25e-05,6.25e-05,143207.0
48,1509850800000,6.35e-05,6.35e-05,6.252e-05,6.281e-05,28251.0
49,1509854400000,6.356e-05,6.356e-05,6.281e-05,6.355e-05,55433.0
50,1509858000000,6.281e-05,6.335e-05,6.258e-05,6.334e-05,21673.0
51,1509861600000,6.346e-05,6.377e-05,6.26e-05,6.287e-05,368937.0
52,1509865200000,6.288e-05,6.359e-05,6.082e-05,6.285e-05,584445.0
53,1509868800000,6.201e-05,6.285e-05,6.2e-05,6.2e-05,281301.0
54,1509872400000,6.2e-05,6.285e-05,6.144e-05,6.211e-05,730914.0
55,1509876000000,6.285e-05,6.615e-05,6.153e-05,6.227e-05,419832.0
56,1509879600000,6.344e-05,6.344e-05,6.159e-05,6.159e-05,877512.0
57,1509883200000,6.286e-05,6.373e-05,6.226e-05,6.353e-05,20113.0
58,1509886800000,6.293e-05,6.4e-05,6.226e-05,6.226e-05,164914.0
59,1509890400000,6.4e-05,6.415e-05,6.105e-05,6.407e-05,735247.0
60,1509894000000,6.399e-05,6.399e-05,6.318e-05,6.321e-05,20637.0
61,1509897600000,6.376e-05,6.394e-05,6.231e-05,6.263e-05,157501.0
62,1509901200000,6.299e-05,6.3e-05,6.1e-05,6.3e-05,336360.0
63,1509904800000,6.3e-05,6.397e-05,6.198e-05,6.389e-05,231659.0
64,1509908400000,6.301e-05,6.359e-05,6.221e-05,6.221e-05,87345.0
65,1509912000000,6.324e-05,6.33e-05,6.151e-05,6.299e-05,22769.0
66,1509915600000,6.152e-05,6.293e-05,6.152e-05,6.293e-05,1797.0
67,1509919200000,6.154e-05,6.293e-05,6.154e-05,6.19e-05,165755.0
68,1509922800000,6.159e-05,6.19e-05,6.012e-05,6.012e-05,409113.0
69,1509926400000,6.194e-05,6.275e-05,6.108e-05,6.144e-05,105577.0
70,1509930000000,6.144e-05,6.144e-05,6.11e-05,6.133e-05,335979.0
71,1509933600000,6.133e-05,6.316e-05,6.11e-05,6.31e-05,156604.0
72,1509937200000,6.111e-05,6.26e-05,6.107e-05,6.204e-05,272257.0
73,1509940800000,6.108e-05,6.233e-05,6.013e-05,6.094e-05,242734.0
74,1509944400000,6.21e-05,6.262e-05,6.21e-05,6.22e-05,107709.0
75,1509948000000,6.22e-05,6.22e-05,6e-05,6.001e-05,832228.0
76,1509951600000,6.002e-05,6.047e-05,5.938e-05,6e-05,251563.0
77,1509955200000,6.042e-05,6.086e-05,5.954e-05,6e-05,605975.0
78,1509958800000,6e-05,6.027e-05,5.876e-05,5.9e-05,607684.0
79,1509962400000,5.905e-05,5.98e-05,5.641e-05,5.813e-05,1291949.0
80,1509966000000,5.813e-05,5.979e-05,5.733e-05,5.952e-05,80801.0
81,1509969600000,5.961e-05,6e-05,5.828e-05,5.999e-05,252237.0
82,1509973200000,5.828e-05,5.999e-05,5.733e-05,5.736e-05,717937.0
83,1509976800000,5.751e-05,5.881e-05,5.75e-05,5.88e-05,372152.0
84,1509980400000,5.88e-05,5.885e-05,5.727e-05,5.745e-05,521698.0
85,1509984000000,5.701e-05,5.996e-05,5.701e-05,5.704e-05,69755.0
86,1509987600000,5.9e-05,6e-05,5.9e-05,6e-05,243824.0
87,1509991200000,5.999e-05,6.096e-05,5.801e-05,6.096e-05,1109631.0
88,1509994800000,5.88e-05,6.079e-05,5.88e-05,6.079e-05,101750.0
89,1509998400000,5.881e-05,5.881e-05,5.702e-05,5.702e-05,438410.0
90,1510002000000,6.079e-05,6.079e-05,5.702e-05,5.9e-05,271895.0
91,1510005600000,5.712e-05,5.9e-05,5.711e-05,5.781e-05,35091.0
92,1510009200000,5.8e-05,6.095e-05,5.727e-05,5.87e-05,386454.0
93,1510012800000,5.871e-05,6.096e-05,5.87e-05,6.096e-05,197719.0
94,1510016400000,6.096e-05,6.096e-05,5.911e-05,5.912e-05,310518.0
95,1510020000000,6.095e-05,6.096e-05,5.95e-05,6.096e-05,114514.0
96,1510023600000,6.096e-05,6.1e-05,5.915e-05,5.941e-05,203241.0
97,1510027200000,6.099e-05,6.099e-05,5.902e-05,6e-05,446459.0
98,1510030800000,6.099e-05,6.1e-05,6.011e-05,6.073e-05,180991.0
99,1510034400000,6.073e-05,6.22e-05,6.073e-05,6.099e-05,355181.0
100,1510038000000,6.099e-05,6.219e-05,5.927e-05,5.927e-05,593720.0
101,1510041600000,6.216e-05,6.216e-05,6.1e-05,6.216e-05,222737.0
102,1510045200000,6.216e-05,6.22e-05,6.1e-05,6.115e-05,617058.0
103,1510048800000,6.114e-05,6.115e-05,6.101e-05,6.115e-05,96226.0
104,1510052400000,6.115e-05,6.22e-05,6.115e-05,6.152e-05,409037.0
105,1510056000000,6.179e-05,6.22e-05,6.179e-05,6.22e-05,142673.0
106,1510059600000,6.22e-05,6.22e-05,6.11e-05,6.22e-05,298558.0
107,1510063200000,6.22e-05,6.4e-05,6.12e-05,6.3e-05,430383.0
108,1510066800000,6.245e-05,6.245e-05,6.029e-05,6.1e-05,222343.0
109,1510070400000,6.101e-05,6.199e-05,6.1e-05,6.199e-05,95922.0
110,1510074000000,6.199e-05,6.5e-05,6.1e-05,6.4e-05,610506.0
111,1510077600000,6.3e-05,6.497e-05,6.3e-05,6.3e-05,50180.0
112,1510081200000,6.303e-05,6.496e-05,6.3e-05,6.496e-05,106370.0
113,1510084800000,6.494e-05,6.499e-05,6.323e-05,6.499e-05,71427.0
114,1510088400000,6.499e-05,6.5e-05,6.353e-05,6.353e-05,859854.0
115,1510092000000,6.472e-05,6.5e-05,6.38e-05,6.5e-05,55678.0
116,1510095600000,6.579e-05,6.6e-05,6.5e-05,6.502e-05,114765.0
117,1510099200000,6.503e-05,6.8e-05,6.502e-05,6.8e-05,1036432.0
118,1510102800000,6.799e-05,6.839e-05,6.701e-05,6.707e-05,425406.0
119,1510106400000,6.799e-05,6.8e-05,6.666e-05,6.671e-05,336792.0
120,1510110000000,6.896e-05,6.896e-05,6.671e-05,6.727e-05,629042.0
121,1510113600000,6.725e-05,6.727e-05,6.332e-05,6.526e-05,980252.0
122,1510117200000,6.526e-05,6.725e-05,6.5e-05,6.55e-05,359498.0
123,1510120800000,6.514e-05,6.6e-05,6.514e-05,6.515e-05,4846.0
124,1510124400000,6.516e-05,6.699e-05,6.334e-05,6.334e-05,127780.0
125,1510128000000,6.386e-05,6.58e-05,6.356e-05,6.52e-05,188529.0
126,1510131600000,6.52e-05,6.52e-05,6.33e-05,6.33e-05,277714.0
127,1510135200000,6.33e-05,6.4e-05,6.294e-05,6.4e-05,242541.0
128,1510138800000,6.321e-05,6.331e-05,6.275e-05,6.314e-05,217077.0
129,1510142400000,6.314e-05,6.47e-05,6.205e-05,6.47e-05,786214.0
130,1510146000000,6.47e-05,6.498e-05,6.47e-05,6.498e-05,111026.0
131,1510149600000,6.498e-05,6.5e-05,6.498e-05,6.5e-05,189397.0
132,1510153200000,6.52e-05,6.52e-05,6.313e-05,6.313e-05,301183.0
133,1510156800000,6.346e-05,6.469e-05,6.18e-05,6.18e-05,727867.0
134,1510160400000,6.287e-05,6.36e-05,6.007e-05,6.157e-05,857441.0
135,1510164000000,6.156e-05,6.42e-05,5.9e-05,6.42e-05,1760494.0
136,1510167600000,6.442e-05,6.52e-05,6.16e-05,6.45e-05,215821.0
137,1510171200000,6.237e-05,6.362e-05,6.021e-05,6.339e-05,91285.0
138,1510174800000,6.253e-05,6.685e-05,6.253e-05,6.6e-05,129489.0
139,1510178400000,6.301e-05,6.6e-05,6.102e-05,6.6e-05,184857.0
140,1510182000000,6.665e-05,6.77e-05,6.62e-05,6.77e-05,347501.0
141,1510185600000,6.752e-05,6.988e-05,6.751e-05,6.988e-05,423687.0
142,1510189200000,6.999e-05,7.039e-05,6.75e-05,6.75e-05,454794.0
143,1510192800000,6.7e-05,6.921e-05,6.405e-05,6.405e-05,1417787.0
144,1510196400000,6.416e-05,6.422e-05,6.17e-05,6.273e-05,568227.0
145,1510200000000,6.3e-05,6.816e-05,6.3e-05,6.723e-05,164048.0
146,1510203600000,6.682e-05,6.966e-05,6.666e-05,6.966e-05,373103.0
147,1510207200000,6.966e-05,7.2e-05,6.667e-05,6.674e-05,927074.0
148,1510210800000,6.674e-05,7e-05,6.673e-05,6.7e-05,114358.0
149,1510214400000,6.7e-05,6.766e-05,6.615e-05,6.765e-05,288252.0
150,1510218000000,6.749e-05,6.851e-05,6.6e-05,6.851e-05,427615.0
151,1510221600000,6.73e-05,7.1e-05,6.73e-05,7.099e-05,116219.0
152,1510225200000,6.999e-05,7.1e-05,6.8e-05,7.08e-05,177161.0
153,1510228800000,7.099e-05,7.099e-05,6.514e-05,6.88e-05,742182.0
154,1510232400000,6.88e-05,6.9e-05,6.525e-05,6.887e-05,790360.0
155,1510236000000,6.887e-05,7.199e-05,6.8e-05,6.813e-05,353055.0
156,1510239600000,6.855e-05,7.197e-05,6.83e-05,7e-05,900070.0
157,1510243200000,7.184e-05,7.63e-05,7.036e-05,7.5e-05,1418742.0
158,1510246800000,7.5e-05,7.638e-05,7.206e-05,7.638e-05,230945.0
159,1510250400000,7.636e-05,7.638e-05,7.2e-05,7.496e-05,624097.0
160,1510254000000,7.496e-05,7.496e-05,7.305e-05,7.478e-05,90427.0
161,1510257600000,7.41e-05,7.496e-05,7.41e-05,7.479e-05,272521.0
162,1510261200000,7.479e-05,7.502e-05,7.479e-05,7.502e-05,182891.0
163,1510264800000,7.55e-05,7.639e-05,7.51e-05,7.639e-05,514125.0
164,1510268400000,7.5e-05,7.6e-05,7.321e-05,7.321e-05,80233.0
165,1510272000000,7.4e-05,7.526e-05,7.205e-05,7.205e-05,266476.0
166,1510275600000,7.215e-05,7.22e-05,7.199e-05,7.2e-05,117137.0
167,1510279200000,7.2e-05,7.22e-05,7.15e-05,7.155e-05,281922.0
168,1510282800000,7.19e-05,7.22e-05,7.19e-05,7.199e-05,250301.0
169,1510286400000,7.199e-05,7.22e-05,7.005e-05,7.005e-05,185987.0
170,1510290000000,7.007e-05,7.22e-05,6.783e-05,6.9e-05,333541.0
171,1510293600000,6.786e-05,7.22e-05,6.65e-05,6.75e-05,1988328.0
172,1510297200000,6.7e-05,6.837e-05,6.6e-05,6.837e-05,343319.0
173,1510300800000,6.8e-05,6.8e-05,6.6e-05,6.603e-05,142310.0
174,1510304400000,6.7e-05,6.837e-05,6.7e-05,6.8e-05,246004.0
175,1510308000000,6.78e-05,6.95e-05,6.75e-05,6.8e-05,127931.0
176,1510311600000,6.85e-05,6.95e-05,6.627e-05,6.895e-05,356073.0
177,1510315200000,6.8e-05,7.185e-05,6.715e-05,6.776e-05,439621.0
178,1510318800000,6.776e-05,6.776e-05,6.776e-05,6.776e-05,0.0
179,1510322400000,6.776e-05,6.776e-05,6.56e-05,6.56e-05,146259.0
180,1510326000000,6.561e-05,6.561e-05,6.393e-05,6.535e-05,363028.0
181,1510329600000,6.535e-05,6.561e-05,6.4e-05,6.4e-05,61814.0
182,1510333200000,6.501e-05,6.513e-05,6.393e-05,6.393e-05,162642.0
183,1510336800000,6.679e-05,6.701e-05,5.988e-05,5.988e-05,364640.0
184,1510340400000,6.563e-05,6.66e-05,5.988e-05,6.3e-05,36992.0
185,1510344000000,6.29e-05,6.5e-05,6.15e-05,6.161e-05,207273.0
186,1510347600000,6.499e-05,6.58e-05,6.3e-05,6.499e-05,82994.0
187,1510351200000,6.499e-05,6.601e-05,6.499e-05,6.6e-05,57722.0
188,1510354800000,6.66e-05,6.7e-05,6.66e-05,6.66e-05,6085.0
189,1510358400000,6.734e-05,6.798e-05,6.734e-05,6.798e-05,28204.0
190,1510362000000,6.797e-05,6.863e-05,6.72e-05,6.798e-05,181332.0
191,1510365600000,6.798e-05,6.888e-05,6.66e-05,6.66e-05,200034.0
192,1510369200000,6.665e-05,6.899e-05,6.665e-05,6.899e-05,139563.0
193,1510372800000,6.899e-05,6.986e-05,6.898e-05,6.986e-05,83014.0
194,1510376400000,6.986e-05,6.986e-05,6.985e-05,6.985e-05,72195.0
195,1510380000000,6.985e-05,7e-05,6.898e-05,7e-05,481364.0
196,1510383600000,6.898e-05,6.999e-05,6.71e-05,6.996e-05,357673.0
197,1510387200000,6.9e-05,6.9e-05,6.7e-05,6.896e-05,81158.0
198,1510390800000,6.896e-05,6.998e-05,6.896e-05,6.998e-05,55825.0
199,1510394400000,6.896e-05,6.999e-05,6.8e-05,6.999e-05,244074.0
200,1510398000000,6.8e-05,6.999e-05,6.66e-05,6.992e-05,77108.0
201,1510401600000,6.992e-05,6.998e-05,6.66e-05,6.661e-05,557180.0
202,1510405200000,6.662e-05,6.975e-05,6.488e-05,6.649e-05,284580.0
203,1510408800000,6.649e-05,6.649e-05,6.58e-05,6.58e-05,101604.0
204,1510412400000,6.58e-05,6.58e-05,6.15e-05,6.15e-05,508335.0
205,1510416000000,6.2e-05,6.531e-05,6.178e-05,6.531e-05,13243.0
206,1510419600000,6.578e-05,6.579e-05,6.2e-05,6.201e-05,265592.0
207,1510423200000,6.178e-05,6.201e-05,6.113e-05,6.199e-05,219545.0
208,1510426800000,6.115e-05,6.199e-05,6.115e-05,6.116e-05,34635.0
209,1510430400000,6.128e-05,6.129e-05,6.11e-05,6.11e-05,155450.0
210,1510434000000,6.311e-05,6.5e-05,6.05e-05,6.05e-05,523956.0
211,1510437600000,6.05e-05,6.05e-05,6.05e-05,6.05e-05,0.0
212,1510441200000,6.1e-05,6.497e-05,6.1e-05,6.497e-05,1143.0
213,1510444800000,6.4e-05,6.4e-05,6.111e-05,6.3e-05,95259.0
214,1510448400000,6.398e-05,6.398e-05,6.156e-05,6.156e-05,11890.0
215,1510452000000,6.166e-05,6.166e-05,6.052e-05,6.052e-05,317751.0
216,1510455600000,6.171e-05,6.399e-05,6e-05,6.399e-05,523279.0
217,1510459200000,6.395e-05,6.395e-05,6e-05,6.383e-05,67477.0
218,1510462800000,6.013e-05,6.177e-05,6.001e-05,6.177e-05,206917.0
219,1510466400000,6.01e-05,6.01e-05,5.9e-05,5.9e-05,772208.0
220,1510470000000,5.912e-05,6.253e-05,5.912e-05,5.915e-05,308058.0
221,1510473600000,6.191e-05,6.3e-05,5.93e-05,5.93e-05,203077.0
222,1510477200000,5.933e-05,5.933e-05,5.932e-05,5.932e-05,32467.0
223,1510480800000,6.212e-05,6.212e-05,5.936e-05,6.06e-05,128218.0
224,1510484400000,6.284e-05,6.285e-05,6.059e-05,6.285e-05,44610.0
225,1510488000000,6.059e-05,6.285e-05,5.959e-05,6.285e-05,36265.0
226,1510491600000,5.965e-05,6.35e-05,5.9e-05,6.1e-05,776525.0
227,1510495200000,6.1e-05,6.35e-05,6e-05,6.101e-05,308891.0
228,1510498800000,6.002e-05,6.003e-05,5.87e-05,5.87e-05,125656.0
229,1510502400000,6e-05,6.1e-05,5.8e-05,5.8e-05,742071.0
230,1510506000000,5.771e-05,6.371e-05,5.692e-05,6.371e-05,799158.0
231,1510509600000,5.701e-05,6.372e-05,5.691e-05,5.691e-05,939016.0
232,1510513200000,6.328e-05,6.328e-05,5.709e-05,5.725e-05,138789.0
233,1510516800000,6.152e-05,6.152e-05,5.55e-05,5.65e-05,487782.0
234,1510520400000,5.75e-05,6.36e-05,5.601e-05,6.146e-05,674896.0
235,1510524000000,6.015e-05,6.146e-05,5.91e-05,6.146e-05,19966.0
236,1510527600000,6.142e-05,6.145e-05,5.838e-05,6.094e-05,43189.0
237,1510531200000,6.137e-05,6.35e-05,5.852e-05,5.852e-05,429649.0
238,1510534800000,6.249e-05,6.299e-05,5.852e-05,6.059e-05,72662.0
239,1510538400000,6.059e-05,6.059e-05,5.877e-05,5.878e-05,31618.0
240,1510542000000,5.875e-05,6.579e-05,5.875e-05,6.401e-05,937131.0
241,1510545600000,6.427e-05,6.588e-05,6.402e-05,6.588e-05,154539.0
242,1510549200000,6.588e-05,6.633e-05,6.588e-05,6.6e-05,85550.0
243,1510552800000,6.601e-05,6.73e-05,6.451e-05,6.73e-05,1248623.0
244,1510556400000,6.72e-05,6.72e-05,6.502e-05,6.717e-05,438266.0
245,1510560000000,6.717e-05,6.719e-05,6.452e-05,6.452e-05,95945.0
246,1510563600000,6.502e-05,6.502e-05,6.25e-05,6.499e-05,286942.0
247,1510567200000,6.5e-05,7.22e-05,6.5e-05,7.199e-05,3020780.0
248,1510570800000,7.195e-05,7.374e-05,7.11e-05,7.374e-05,1384840.0
249,1510574400000,7.337e-05,7.48e-05,7.15e-05,7.16e-05,1151888.0
250,1510578000000,7.45e-05,7.589e-05,7.251e-05,7.58e-05,2075731.0
251,1510581600000,7.499e-05,7.899e-05,7.354e-05,7.899e-05,1374809.0
252,1510585200000,7.899e-05,8e-05,7.462e-05,7.531e-05,2331849.0
253,1510588800000,7.701e-05,7.8e-05,7.002e-05,7.624e-05,1018479.0
254,1510592400000,7.624e-05,7.624e-05,7.12e-05,7.121e-05,748136.0
255,1510596000000,7.126e-05,7.488e-05,7.106e-05,7.106e-05,106270.0
256,1510599600000,7.299e-05,7.348e-05,7.001e-05,7.204e-05,623076.0
257,1510603200000,7.398e-05,7.487e-05,7.207e-05,7.207e-05,109310.0
258,1510606800000,7.449e-05,7.567e-05,7.317e-05,7.567e-05,334597.0
259,1510610400000,7.567e-05,7.799e-05,7.35e-05,7.4e-05,926815.0
260,1510614000000,7.7e-05,7.897e-05,7.408e-05,7.501e-05,215865.0
261,1510617600000,7.6e-05,7.808e-05,7.503e-05,7.798e-05,694946.0
262,1510621200000,7.798e-05,7.9e-05,7.7e-05,7.79e-05,1420151.0
263,1510624800000,7.79e-05,7.983e-05,7.656e-05,7.77e-05,570938.0
264,1510628400000,7.9e-05,7.939e-05,7.75e-05,7.93e-05,831517.0
265,1510632000000,7.806e-05,7.996e-05,7.805e-05,7.851e-05,2182949.0
266,1510635600000,7.852e-05,8e-05,7.826e-05,7.861e-05,2940122.0
267,1510639200000,7.998e-05,7.999e-05,7.7e-05,7.7e-05,415930.0
268,1510642800000,7.801e-05,8.168e-05,7.657e-05,7.998e-05,5057689.0
269,1510646400000,7.998e-05,8.167e-05,7.704e-05,8.078e-05,3428903.0
270,1510650000000,8.079e-05,8.079e-05,7.655e-05,7.8e-05,1670744.0
271,1510653600000,7.8e-05,7.99e-05,7.663e-05,7.821e-05,596398.0
272,1510657200000,7.99e-05,8.04e-05,7.665e-05,8e-05,1603727.0
273,1510660800000,8e-05,8.03e-05,7.735e-05,7.735e-05,1901785.0
274,1510664400000,7.899e-05,7.9e-05,7.706e-05,7.709e-05,808012.0
275,1510668000000,7.75e-05,8.03e-05,7.631e-05,7.718e-05,822412.0
