,ts,open,high,low,close,volume
0,1507798800000,0.00223,0.0025,0.00223,0.0025,12.86
1,1507802400000,0.00235,0.00255,0.002315,0.002315,897.56
2,1507806000000,0.00228,0.00228,0.00225,0.00225,117.64
3,1507809600000,0.00225,0.00225,0.00225,0.00225,4.86
4,1507813200000,0.00225,0.00225,0.002001,0.002051,84.93
5,1507816800000,0.002178,0.002249,0.002178,0.002249,18.51
6,1507820400000,0.002249,0.002249,0.002249,0.002249,18.18
7,1507824000000,0.002248,0.002248,0.002248,0.002248,13.0
8,1507827600000,0.002235,0.002238,0.002235,0.002236,88.55
9,1507831200000,0.002232,0.002234,0.002232,0.002234,11.88
10,1507834800000,0.002232,0.002232,0.002232,0.002232,65.96
11,1507838400000,0.002232,0.002232,0.002232,0.002232,0.0
12,1507842000000,0.00215,0.002219,0.002066,0.002219,93.15
13,1507845600000,0.002219,0.002219,0.002219,0.002219,0.0
14,1507849200000,0.002217,0.002217,0.002217,0.002217,1.0
15,1507852800000,0.002066,0.002066,0.002066,0.002066,28.98
16,1507856400000,0.002066,0.002066,0.002066,0.002066,0.0
17,1507860000000,0.002071,0.002213,0.001874,0.001874,1060.81
18,1507863600000,0.00209,0.002093,0.00209,0.00209,124.1
19,1507867200000,0.00189,0.00189,0.00189,0.00189,15.63
20,1507870800000,0.00211,0.00211,0.002109,0.002109,368.98
21,1507874400000,0.00211,0.002219,0.002092,0.002092,907.57
22,1507878000000,0.002095,0.002218,0.002079,0.002079,65.44
23,1507881600000,0.002011,0.002011,0.002011,0.002011,8.9
24,1507885200000,0.0021,0.0021,0.0021,0.0021,15.85
25,1507888800000,0.002208,0.002208,0.00192,0.001928,11.28
26,1507892400000,0.00193,0.001945,0.001921,0.001921,286.11
27,1507896000000,0.001921,0.001921,0.001921,0.001921,0.0
28,1507899600000,0.0021,0.00222,0.002031,0.00222,1193.28
29,1507903200000,0.002,0.00215,0.001999,0.00215,542.55
30,1507906800000,0.002148,0.002149,0.002148,0.002149,30.0
31,1507910400000,0.002004,0.002147,0.002004,0.002147,7.67
32,1507914000000,0.002147,0.002149,0.002057,0.002109,252.37
33,1507917600000,0.002109,0.002109,0.002109,0.002109,0.0
34,1507921200000,0.002109,0.002109,0.002109,0.002109,0.0
35,1507924800000,0.002109,0.002109,0.002108,0.002109,336.94
36,1507928400000,0.002218,0.002487,0.001812,0.001814,2839.29
37,1507932000000,0.002021,0.002233,0.001916,0.002196,91.93
38,1507935600000,0.002189,0.002195,0.001962,0.002195,327.75
39,1507939200000,0.002195,0.002195,0.002195,0.002195,23.12
40,1507942800000,0.002195,0.002195,0.0021,0.00215,75.5
41,1507946400000,0.002101,0.002101,0.0021,0.0021,7.41
42,1507950000000,0.0021,0.0021,0.001966,0.001966,34.46
43,1507953600000,0.001981,0.002192,0.001981,0.002192,36.46
44,1507957200000,0.002191,0.002191,0.002191,0.002191,5.0
45,1507960800000,0.002191,0.002191,0.002191,0.002191,0.0
46,1507964400000,0.002031,0.002032,0.002031,0.002032,42.93
47,1507968000000,0.002022,0.00204,0.002021,0.00204,177.32
48,1507971600000,0.00204,0.002081,0.00204,0.002081,157.88
49,1507975200000,0.00209,0.002179,0.002083,0.002083,70.58
50,1507978800000,0.002092,0.0021,0.002083,0.0021,1181.04
51,1507982400000,0.0021,0.0021,0.0021,0.0021,49.48
52,1507986000000,0.002087,0.002087,0.002065,0.002075,705.99
53,1507989600000,0.002028,0.002116,0.00202,0.002116,371.35
54,1507993200000,0.002117,0.002127,0.002117,0.002121,101.9
55,1507996800000,0.002056,0.002164,0.002056,0.002164,82.89
56,1508000400000,0.002165,0.002165,0.002164,0.002165,183.27
57,1508004000000,0.002113,0.00214,0.002051,0.00214,1260.42
58,1508007600000,0.00214,0.00214,0.00214,0.00214,59.55
59,1508011200000,0.002109,0.002129,0.002052,0.002129,149.54
60,1508014800000,0.00214,0.00214,0.00214,0.00214,35.0
61,1508018400000,0.00214,0.00214,0.00214,0.00214,0.0
62,1508022000000,0.002101,0.002102,0.0021,0.0021,698.17
63,1508025600000,0.0021,0.002101,0.002051,0.002051,764.08
64,1508029200000,0.002051,0.002051,0.002051,0.002051,0.0
65,1508032800000,0.002052,0.002161,0.00204,0.00204,200.28
66,1508036400000,0.00213,0.002194,0.002047,0.002047,206.7
67,1508040000000,0.002174,0.002174,0.002138,0.002138,24.82
68,1508043600000,0.002156,0.002156,0.002156,0.002156,4.0
69,1508047200000,0.00211,0.00211,0.00211,0.00211,71.29
70,1508050800000,0.002149,0.002149,0.002149,0.002149,8.6
71,1508054400000,0.002149,0.002187,0.002149,0.002165,323.58
72,1508058000000,0.002163,0.002163,0.00211,0.00211,514.56
73,1508061600000,0.00211,0.00211,0.0021,0.002107,187.61
74,1508065200000,0.002107,0.002164,0.002107,0.002164,5.07
75,1508068800000,0.002163,0.002163,0.002163,0.002163,4.75
76,1508072400000,0.002162,0.002163,0.00211,0.00211,247.24
77,1508076000000,0.0021,0.002164,0.0021,0.00211,712.29
78,1508079600000,0.002102,0.002164,0.002046,0.00212,500.87
79,1508083200000,0.00212,0.002587,0.00183,0.00219,1702.61
80,1508086800000,0.00212,0.002149,0.001911,0.00212,994.15
81,1508090400000,0.00212,0.00212,0.001985,0.001985,32.67
82,1508094000000,0.002022,0.002119,0.001986,0.002119,370.61
83,1508097600000,0.002174,0.002185,0.002174,0.002185,98.08
84,1508101200000,0.002185,0.002185,0.002185,0.002185,3.69
85,1508104800000,0.002184,0.002184,0.002184,0.002184,17.0
86,1508108400000,0.002184,0.002184,0.002184,0.002184,0.0
87,1508112000000,0.00217,0.002189,0.00217,0.002175,109.08
