,ts,open,high,low,close,volume
0,1502942400000,301.13,302.57,298.0,301.61,125.66877
1,1502946000000,301.61,303.28,300.0,303.1,377.67246
2,1502949600000,302.4,304.44,301.9,302.68,303.86672
3,1502953200000,302.68,307.96,302.6,307.96,754.7451
4,1502956800000,307.95,309.97,307.0,308.62,150.75029
5,1502960400000,308.62,312.0,308.62,310.0,469.27879
6,1502964000000,310.0,310.97,308.54,309.3,284.3914
7,1502967600000,308.3,310.68,307.78,308.95,273.2904
8,1502971200000,308.95,310.51,307.98,308.62,401.79278
9,1502974800000,308.62,309.72,307.77,309.4,310.58042
10,1502978400000,307.77,308.71,305.49,306.5,710.25965
11,1502982000000,306.5,308.76,303.56,307.06,459.41982
12,1502985600000,307.74,312.18,298.21,308.0,596.81077
13,1502989200000,308.0,308.33,303.98,308.33,191.94856
14,1502992800000,308.33,311.53,298.96,309.1,203.6548
15,1502996400000,309.1,309.84,301.6,301.6,215.63779
16,1503000000000,301.6,309.4,299.01,304.79,272.42251
17,1503003600000,304.79,309.4,304.04,307.44,330.54526
18,1503007200000,308.57,310.74,303.44,306.74,368.36785
19,1503010800000,306.74,310.85,302.0,302.0,229.6062
20,1503014400000,302.0,306.2,297.4,301.19,501.26558
21,1503018000000,300.08,305.55,295.19,298.73,374.41661
22,1503021600000,298.73,304.7,298.73,300.52,208.96849
23,1503025200000,300.05,306.47,300.05,301.4,605.93251
24,1503028800000,301.4,302.95,298.41,301.8,444.33795
25,1503032400000,301.8,305.92,300.0,304.7,525.33357
26,1503036000000,304.7,307.0,303.21,307.0,356.1222
27,1503039600000,307.0,309.49,305.23,306.24,406.73244
28,1503043200000,306.24,310.85,303.79,304.23,313.23742
29,1503046800000,304.23,307.72,303.22,304.71,306.05941
30,1503050400000,304.73,311.06,304.73,308.88,332.5643
31,1503054000000,308.88,311.79,306.27,307.78,261.1517
32,1503057600000,307.78,310.29,305.73,308.47,388.17208
33,1503061200000,307.17,309.66,301.3,303.22,357.19041
34,1503064800000,303.22,303.22,296.32,298.52,398.64644
35,1503068400000,298.52,300.99,297.32,298.8,214.98578
36,1503072000000,298.8,301.11,295.64,299.21,403.96386
37,1503075600000,297.5,299.21,293.18,295.53,359.12225
38,1503079200000,295.53,298.25,289.75,289.75,412.39491
39,1503082800000,289.75,295.6,287.37,293.83,445.23397
40,1503086400000,295.46,295.46,288.25,291.87,748.21537
41,1503090000000,291.87,291.87,283.94,286.3,602.03512
42,1503093600000,288.01,294.19,284.02,293.74,477.84453
43,1503097200000,293.74,294.18,289.97,293.96,93.91956
44,1503100800000,293.31,297.15,293.31,295.44,86.0015
45,1503104400000,297.15,298.2,294.24,297.19,41.96377
46,1503108000000,297.19,299.84,296.56,299.84,87.48968
47,1503111600000,298.64,298.64,292.83,293.22,66.73802
48,1503115200000,294.69,297.19,291.87,291.87,42.9926
49,1503118800000,297.17,299.9,291.87,293.23,35.01324
50,1503122400000,293.69,295.56,289.02,289.02,45.0222
51,1503126000000,289.02,292.17,287.01,290.16,112.26406
52,1503129600000,290.16,290.16,287.0,288.4,148.37539
53,1503133200000,287.66,293.17,287.66,290.3,228.92457
54,1503136800000,291.36,292.24,283.58,287.14,447.45268
55,1503140400000,285.97,287.15,278.0,282.58,314.27781
56,1503144000000,281.39,290.85,279.56,290.85,166.32417
57,1503147600000,290.16,290.16,286.36,286.36,20.94515
58,1503151200000,285.5,288.64,283.0,283.0,13.81812
59,1503154800000,283.88,288.64,283.01,288.64,87.2125
60,1503158400000,288.64,290.16,286.12,286.14,61.94884
61,1503162000000,286.19,293.15,284.16,293.15,11.12991
62,1503165600000,294.33,295.0,288.95,295.0,41.13882
63,1503169200000,292.64,293.38,291.99,293.31,13.16832
64,1503172800000,290.6,291.85,288.8,290.31,13.80734
65,1503176400000,289.9,293.25,289.9,293.25,25.0304
