,ts,open,high,low,close,volume
0,1509022800000,0.002675,0.00528,0.0025,0.004,8921.0
1,1509026400000,0.00321,0.0049,0.0031003,0.0043,13242.0
2,1509030000000,0.0044,0.0044,0.0036001,0.0040021,12514.0
3,1509033600000,0.0040021,0.0043885,0.003964,0.0040005,9258.0
4,1509037200000,0.0041998,0.00445,0.00418,0.00443,8536.0
5,1509040800000,0.0042,0.0043,0.00405,0.0043,10894.0
6,1509044400000,0.0044,0.00443,0.0043,0.00443,5526.0
7,1509048000000,0.0041501,0.0048968,0.00415,0.0048,12905.0
8,1509051600000,0.0047999,0.0052995,0.0045,0.0052995,21555.0
9,1509055200000,0.0053,0.0055,0.0045506,0.0046002,8360.0
10,1509058800000,0.0048001,0.00578,0.0047002,0.0057499,30408.0
11,1509062400000,0.00574,0.00574,0.0050033,0.0054789,18662.0
12,1509066000000,0.0050759,0.0051993,0.0046,0.0046595,11265.0
13,1509069600000,0.00465,0.0049087,0.0046022,0.00465,11090.0
14,1509073200000,0.00471,0.0056,0.00465,0.0053111,45877.0
15,1509076800000,0.0053112,0.0057,0.0047518,0.00505,21094.0
16,1509080400000,0.0050882,0.0055,0.005,0.0052,18454.0
17,1509084000000,0.0051882,0.0054,0.004782,0.0052423,14598.0
18,1509087600000,0.0051999,0.0052972,0.00485,0.00485,46493.0
19,1509091200000,0.0047879,0.0047879,0.00465,0.00465,5190.0
20,1509094800000,0.00465,0.0048702,0.00465,0.00465,606.0
21,1509098400000,0.004675,0.004675,0.004675,0.004675,195.0
22,1509102000000,0.0046752,0.0048303,0.004601,0.0047508,11428.0
23,1509105600000,0.00474,0.00506,0.0046137,0.0046137,10926.0
24,1509109200000,0.0046321,0.0048456,0.0046003,0.0046003,6378.0
25,1509112800000,0.0047907,0.0047907,0.0046202,0.004686,5603.0
26,1509116400000,0.00477,0.00485,0.00477,0.0048499,4435.0
27,1509120000000,0.0048499,0.00504,0.0048499,0.00501,1723.0
28,1509123600000,0.0048507,0.0049979,0.0048507,0.00488,536.0
29,1509127200000,0.0049979,0.0050429,0.0048827,0.00504,8791.0
30,1509130800000,0.00503,0.0051,0.00502,0.0051,3794.0
31,1509134400000,0.0051,0.00518,0.0049,0.00518,5494.0
32,1509138000000,0.00518,0.0052989,0.0051,0.00518,4964.0
33,1509141600000,0.0051805,0.00532,0.00518,0.0052,2463.0
34,1509145200000,0.0052979,0.005355,0.0052979,0.005325,3144.0
35,1509148800000,0.0053,0.005346,0.0051,0.0051,1663.0
36,1509152400000,0.0051,0.0053418,0.0051,0.0051056,3777.0
37,1509156000000,0.0051,0.00512,0.0050122,0.0050967,1261.0
38,1509159600000,0.00506,0.0051999,0.0049202,0.0049202,6663.0
39,1509163200000,0.0049202,0.0051326,0.0049202,0.00503,1477.0
40,1509166800000,0.0051112,0.00519,0.0050475,0.00519,4127.0
41,1509170400000,0.0051999,0.0052691,0.0049461,0.0052691,10706.0
42,1509174000000,0.0052623,0.0052623,0.0050276,0.00515,2598.0
43,1509177600000,0.0052644,0.00535,0.0052644,0.005323,3834.0
44,1509181200000,0.0051928,0.0053228,0.00511,0.00511,9210.0
45,1509184800000,0.0052442,0.0054,0.0051201,0.0054,17336.0
46,1509188400000,0.00541,0.00587,0.0051505,0.0056,34660.0
47,1509192000000,0.0057588,0.00623,0.0056051,0.00622,32707.0
48,1509195600000,0.00622,0.00622,0.0059,0.006,13223.0
49,1509199200000,0.00586,0.006419,0.0058,0.006419,28784.0
50,1509202800000,0.006419,0.00784,0.00612,0.0076174,62990.0
51,1509206400000,0.00769,0.00867,0.0070003,0.0083018,68802.0
52,1509210000000,0.0086689,0.009,0.0074501,0.00831,58320.0
53,1509213600000,0.0080315,0.0084897,0.007,0.0077798,28853.0
54,1509217200000,0.0075,0.0081,0.0073333,0.007616,22491.0
55,1509220800000,0.0076329,0.00814,0.00731,0.00814,11257.0
56,1509224400000,0.0079901,0.00825,0.0077251,0.0081001,19002.0
57,1509228000000,0.0081001,0.00825,0.00772,0.0082447,15522.0
58,1509231600000,0.0080404,0.0082444,0.0078224,0.0082,22126.0
59,1509235200000,0.0082439,0.0086299,0.0081936,0.0082972,28951.0
60,1509238800000,0.0082972,0.00875,0.00801,0.00875,14783.0
61,1509242400000,0.008788,0.0094999,0.00865,0.0094998,39977.0
62,1509246000000,0.0094998,0.00969,0.0087,0.0094,37535.0
63,1509249600000,0.00961,0.0097879,0.0080002,0.0085401,30978.0
64,1509253200000,0.0081002,0.009,0.0081002,0.0089996,23422.0
65,1509256800000,0.0088481,0.0089,0.0082222,0.0086695,21623.0
66,1509260400000,0.0086691,0.0089635,0.00859,0.0086009,16385.0
67,1509264000000,0.0086009,0.0087939,0.0084001,0.0084001,18391.0
68,1509267600000,0.0084001,0.0086877,0.0084,0.0084101,8983.0
69,1509271200000,0.0084101,0.0084101,0.007085,0.0072001,42326.0
70,1509274800000,0.0072401,0.0077819,0.0066801,0.006948,25978.0
71,1509278400000,0.0071474,0.0071474,0.0066843,0.0069999,14638.0
72,1509282000000,0.0070011,0.007689,0.0070011,0.00767,19118.0
73,1509285600000,0.0075028,0.0075072,0.0072,0.0074599,8226.0
74,1509289200000,0.0074599,0.007689,0.0073244,0.00745,12522.0
75,1509292800000,0.0072625,0.0074803,0.007054,0.0074803,10918.0
76,1509296400000,0.00748,0.00748,0.0072,0.00734,11135.0
77,1509300000000,0.0073,0.0075,0.0066006,0.0075,25396.0
78,1509303600000,0.0071615,0.007602,0.00705,0.0071003,13756.0
79,1509307200000,0.00711,0.0071201,0.0062002,0.0063,30334.0
80,1509310800000,0.0068496,0.0068496,0.006381,0.006599,3536.0
81,1509314400000,0.0065001,0.0067499,0.0062237,0.0067,4115.0
82,1509318000000,0.00669,0.0068497,0.00669,0.0068047,1747.0
83,1509321600000,0.0067073,0.0075,0.0066,0.0075,9176.0
84,1509325200000,0.0074599,0.0074599,0.0072101,0.0072744,1412.0
85,1509328800000,0.0072744,0.00745,0.00721,0.00721,4057.0
86,1509332400000,0.00721,0.0076843,0.00698,0.006985,6898.0
87,1509336000000,0.0069852,0.0075584,0.0069852,0.0074961,5121.0
88,1509339600000,0.00712,0.00712,0.0064502,0.0066959,15690.0
89,1509343200000,0.0066959,0.0069,0.006455,0.0069,3727.0
90,1509346800000,0.0066529,0.0066529,0.0066039,0.0066039,742.0
91,1509350400000,0.0068959,0.0072999,0.006806,0.006806,1575.0
92,1509354000000,0.0068,0.0068063,0.0066201,0.0067714,2707.0
93,1509357600000,0.0067062,0.0068,0.0065001,0.0067968,8114.0
94,1509361200000,0.0067968,0.0073998,0.0067489,0.0067755,10082.0
95,1509364800000,0.007,0.0072002,0.0068,0.0068,7791.0
96,1509368400000,0.0068503,0.0071891,0.0067076,0.0071891,4071.0
97,1509372000000,0.0071494,0.0071494,0.00655,0.0065756,13045.0
98,1509375600000,0.0066047,0.0069,0.006403,0.0064999,11716.0
99,1509379200000,0.0063107,0.0066,0.00627,0.00627,12879.0
100,1509382800000,0.00627,0.00627,0.005901,0.0061,15213.0
101,1509386400000,0.00595,0.0064,0.0056801,0.0058,13504.0
102,1509390000000,0.0058,0.0059,0.005572,0.005572,6629.0
103,1509393600000,0.005573,0.0059,0.005573,0.00587,5313.0
104,1509397200000,0.0060639,0.0061984,0.00587,0.00587,1584.0
105,1509400800000,0.0058699,0.0061984,0.0056002,0.0061984,944.0
106,1509404400000,0.0058522,0.00597,0.0056601,0.00597,692.0
107,1509408000000,0.00597,0.00597,0.0056503,0.0056579,8017.0
108,1509411600000,0.0057012,0.0059504,0.005555,0.0056909,12256.0
109,1509415200000,0.0056908,0.0056908,0.005608,0.005608,1595.0
110,1509418800000,0.0056892,0.0059222,0.00551,0.0055933,13235.0
111,1509422400000,0.0055979,0.0055998,0.0053197,0.00533,9695.0
112,1509426000000,0.00533,0.00533,0.005,0.0052,14553.0
113,1509429600000,0.0052002,0.0054479,0.0052001,0.0054475,2398.0
114,1509433200000,0.00542,0.0056566,0.0054,0.0056382,2551.0
115,1509436800000,0.0056579,0.0058,0.0054532,0.0055001,6915.0
116,1509440400000,0.0057525,0.0057886,0.0057038,0.0057772,3680.0
117,1509444000000,0.005894,0.005922,0.0057502,0.0058,4890.0
118,1509447600000,0.0058497,0.0059222,0.0055391,0.0055482,15085.0
119,1509451200000,0.0055554,0.0055586,0.0053305,0.0054,11114.0
120,1509454800000,0.0054901,0.0056102,0.0054892,0.00549,7484.0
121,1509458400000,0.0057,0.0057,0.0053,0.0053,4537.0
122,1509462000000,0.00529,0.0056528,0.00529,0.00529,5357.0
123,1509465600000,0.0055611,0.0056094,0.0052028,0.0056094,177.0
124,1509469200000,0.0052028,0.00552,0.00515,0.00515,2454.0
125,1509472800000,0.0051509,0.00519,0.00515,0.0051501,2809.0
126,1509476400000,0.0051501,0.0054999,0.00515,0.0054999,794.0
127,1509480000000,0.0054999,0.0054999,0.00525,0.0054,2376.0
128,1509483600000,0.00526,0.0055,0.0051579,0.0055,1885.0
129,1509487200000,0.00516,0.0056094,0.00516,0.0056094,595.0
130,1509490800000,0.005164,0.00523,0.005,0.0050252,11301.0
131,1509494400000,0.0051501,0.0054006,0.0050401,0.0050401,5224.0
132,1509498000000,0.0051501,0.0055129,0.0051501,0.0055,2370.0
133,1509501600000,0.00529,0.00545,0.005201,0.005202,7100.0
134,1509505200000,0.0053295,0.0054474,0.005204,0.00525,5297.0
135,1509508800000,0.0052501,0.0052504,0.0050301,0.00505,12508.0
136,1509512400000,0.00505,0.00505,0.00505,0.00505,1547.0
137,1509516000000,0.0051001,0.0051001,0.0050302,0.0050302,3000.0
138,1509519600000,0.00505,0.00505,0.0049,0.0049,11422.0
139,1509523200000,0.0049001,0.0050498,0.0048,0.0048,3286.0
140,1509526800000,0.0048,0.0049,0.00475,0.00475,9830.0
141,1509530400000,0.00475,0.00475,0.00412,0.0046676,10596.0
142,1509534000000,0.0047778,0.0047796,0.00446,0.00446,1912.0
143,1509537600000,0.0044632,0.0046001,0.00446,0.00446,7698.0
144,1509541200000,0.0046836,0.0047263,0.0046829,0.004683,2039.0
145,1509544800000,0.004683,0.004683,0.00446,0.00446,4601.0
146,1509548400000,0.00446,0.0044602,0.0043101,0.0044001,7120.0
147,1509552000000,0.0046,0.00463,0.0045,0.0045,17438.0
148,1509555600000,0.0045,0.0045,0.0044001,0.0044001,1400.0
149,1509559200000,0.0044002,0.0046784,0.0044,0.0044,2162.0
150,1509562800000,0.0044401,0.0046719,0.0043101,0.0043101,942.0
151,1509566400000,0.0043101,0.0043101,0.0043101,0.0043101,15.0
152,1509570000000,0.0043101,0.0043101,0.0042,0.0042,6516.0
153,1509573600000,0.00421,0.0045613,0.0040501,0.0040501,9632.0
154,1509577200000,0.00405,0.0043273,0.0038,0.0040395,11001.0
155,1509580800000,0.0040505,0.0041896,0.0039,0.00402,9242.0
156,1509584400000,0.00402,0.0042001,0.0039103,0.00415,6291.0
157,1509588000000,0.0040026,0.0044973,0.0040026,0.0044966,3199.0
158,1509591600000,0.0044956,0.0044956,0.0043,0.0044393,4406.0
159,1509595200000,0.0043217,0.0044765,0.00427,0.0042949,5782.0
160,1509598800000,0.0043043,0.0045999,0.0042926,0.0045999,926.0
161,1509602400000,0.0047,0.00477,0.0045701,0.0047199,1398.0
162,1509606000000,0.0046979,0.004698,0.0044201,0.0044201,333.0
163,1509609600000,0.0043001,0.0045953,0.0042931,0.0045953,2156.0
164,1509613200000,0.0044031,0.0044031,0.0041148,0.00437,6758.0
165,1509616800000,0.00437,0.0043818,0.0042,0.0043699,3615.0
166,1509620400000,0.0042025,0.0042025,0.0040501,0.0041502,16743.0
167,1509624000000,0.00425,0.0045877,0.0041608,0.0045403,3804.0
168,1509627600000,0.0045762,0.0046,0.0044764,0.0045001,5410.0
169,1509631200000,0.0045001,0.0045001,0.0045,0.0045,2929.0
170,1509634800000,0.0043812,0.0046303,0.0043812,0.0046303,719.0
171,1509638400000,0.0046304,0.00471,0.0045099,0.0045099,698.0
172,1509642000000,0.0043812,0.0046749,0.00438,0.0046747,2592.0
173,1509645600000,0.0046747,0.0046747,0.0043801,0.0046593,703.0
174,1509649200000,0.0046593,0.0046593,0.0046593,0.0046593,0.0
175,1509652800000,0.0046987,0.0046987,0.0046987,0.0046987,26.0
176,1509656400000,0.0046988,0.0046988,0.0043801,0.0043801,1560.0
177,1509660000000,0.0046987,0.0048,0.0046,0.0048,2254.0
178,1509663600000,0.0048002,0.0051,0.0047,0.00494,5432.0
179,1509667200000,0.0049399,0.00494,0.0047,0.00494,4229.0
180,1509670800000,0.0047638,0.00494,0.0047637,0.00494,2858.0
181,1509674400000,0.00499,0.0052,0.00499,0.00515,16775.0
182,1509678000000,0.00515,0.00592,0.0051,0.0052001,16392.0
183,1509681600000,0.0052001,0.0057,0.0052001,0.0054,9618.0
184,1509685200000,0.0056,0.0056998,0.0054,0.0056995,2370.0
185,1509688800000,0.0056995,0.0058999,0.0055003,0.0056998,4867.0
186,1509692400000,0.0056998,0.005822,0.0055,0.0055,1880.0
187,1509696000000,0.0055101,0.0058,0.0055101,0.0057989,2235.0
188,1509699600000,0.0056052,0.0058,0.0055005,0.0057999,5856.0
189,1509703200000,0.0055471,0.0055472,0.0050249,0.00525,7755.0
190,1509706800000,0.005251,0.0052513,0.0051101,0.00521,3197.0
191,1509710400000,0.00521,0.0055471,0.00521,0.0054001,1368.0
192,1509714000000,0.0054,0.0054,0.0053983,0.0054,411.0
193,1509717600000,0.0054,0.0054,0.0054,0.0054,158.0
194,1509721200000,0.0054,0.0056769,0.0054,0.0056647,1232.0
195,1509724800000,0.0054218,0.0054218,0.0054001,0.0054001,422.0
196,1509728400000,0.0054,0.0054,0.0053096,0.0053096,327.0
197,1509732000000,0.0056646,0.0056646,0.0054471,0.0054471,72.0
198,1509735600000,0.0055999,0.0055999,0.0055999,0.0055999,431.0
199,1509739200000,0.0055999,0.0056,0.00526,0.00526,524.0
200,1509742800000,0.00526,0.00526,0.0050111,0.0050111,3069.0
201,1509746400000,0.0050111,0.0050111,0.0050111,0.0050111,0.0
202,1509750000000,0.0051001,0.0053305,0.00502,0.00502,2126.0
203,1509753600000,0.00502,0.00502,0.0049101,0.0049101,2226.0
204,1509757200000,0.0051739,0.0052001,0.0051003,0.0052,1704.0
205,1509760800000,0.0053,0.0053333,0.0053,0.0053,386.0
206,1509764400000,0.0053332,0.0053332,0.0053332,0.0053332,269.0
207,1509768000000,0.00518,0.00518,0.00518,0.00518,363.0
208,1509771600000,0.0053276,0.0053346,0.005,0.005,19940.0
209,1509775200000,0.005,0.005,0.0049568,0.0049568,1719.0
210,1509778800000,0.0052385,0.0052419,0.0052,0.0052,4614.0
211,1509782400000,0.0050002,0.0050707,0.0050001,0.0050362,1027.0
212,1509786000000,0.0051719,0.0051719,0.0051719,0.0051719,50.0
213,1509789600000,0.0050614,0.0052149,0.0050362,0.0051364,2360.0
214,1509793200000,0.0050443,0.0050706,0.0050443,0.0050703,306.0
