,ts,open,high,low,close,volume
0,1511424000000,7e-06,7.1e-05,7e-06,1.143e-05,4160078.0
1,1511427600000,1.143e-05,1.175e-05,9.2e-06,1e-05,11794348.0
2,1511431200000,1e-05,1.019e-05,7.83e-06,8e-06,7233736.0
3,1511434800000,7.73e-06,8.19e-06,7.1e-06,8e-06,4694469.0
4,1511438400000,8.02e-06,8.39e-06,7.72e-06,8.23e-06,1921670.0
5,1511442000000,8.01e-06,8.22e-06,6.98e-06,6.99e-06,4030945.0
6,1511445600000,7.01e-06,7.75e-06,7e-06,7.46e-06,2623829.0
7,1511449200000,7.46e-06,7.7e-06,7.1e-06,7.29e-06,1041192.0
8,1511452800000,7.19e-06,7.44e-06,6.42e-06,6.71e-06,1952065.0
9,1511456400000,6.71e-06,6.99e-06,6.61e-06,6.99e-06,581180.0
10,1511460000000,6.9e-06,7.49e-06,6.8e-06,7.01e-06,500334.0
11,1511463600000,7.07e-06,7.22e-06,6.67e-06,6.73e-06,443815.0
12,1511467200000,6.73e-06,7e-06,6.68e-06,6.75e-06,438943.0
13,1511470800000,6.76e-06,6.97e-06,6.74e-06,6.76e-06,263033.0
14,1511474400000,6.89e-06,7.01e-06,6.77e-06,6.8e-06,252697.0
15,1511478000000,6.83e-06,7e-06,6.78e-06,6.81e-06,628104.0
16,1511481600000,6.81e-06,7.21e-06,6.66e-06,7.21e-06,1133494.0
17,1511485200000,7.02e-06,7.04e-06,6.74e-06,6.87e-06,635314.0
18,1511488800000,6.88e-06,7.45e-06,6.86e-06,7.32e-06,1183442.0
19,1511492400000,7.32e-06,7.47e-06,7.03e-06,7.29e-06,1136142.0
20,1511496000000,7.3e-06,8.8e-06,7.16e-06,8.46e-06,2862947.0
21,1511499600000,8.46e-06,9.25e-06,8.02e-06,8.21e-06,4830709.0
22,1511503200000,8.08e-06,8.08e-06,7.22e-06,7.22e-06,2884081.0
23,1511506800000,7.33e-06,7.46e-06,6.65e-06,6.87e-06,1220597.0
24,1511510400000,6.87e-06,7.14e-06,6.65e-06,6.71e-06,697164.0
