,ts,open,high,low,close,volume
0,1506571200000,6e-06,6.7e-06,6e-06,6.6e-06,643899.0
1,1506574800000,6.6e-06,6.6e-06,6e-06,6.33e-06,484615.0
2,1506578400000,6.42e-06,6.43e-06,6.1e-06,6.23e-06,271806.0
3,1506582000000,6.35e-06,6.35e-06,5.88e-06,6.16e-06,525868.0
4,1506585600000,6.16e-06,6.4e-06,6.03e-06,6.06e-06,351882.0
5,1506589200000,6.04e-06,6.1e-06,5.9e-06,6e-06,188254.0
6,1506592800000,5.98e-06,6.15e-06,5.76e-06,6.04e-06,229855.0
7,1506596400000,6.09e-06,6.17e-06,6e-06,6.09e-06,274697.0
8,1506600000000,6.09e-06,6.23e-06,6.09e-06,6.15e-06,363272.0
9,1506603600000,6.18e-06,6.24e-06,5.79e-06,6.22e-06,704311.0
10,1506607200000,6.19e-06,6.27e-06,5.91e-06,6.08e-06,444077.0
11,1506610800000,6.08e-06,6.19e-06,6.02e-06,6.17e-06,410439.0
12,1506614400000,6.17e-06,6.18e-06,6.04e-06,6.1e-06,163086.0
13,1506618000000,6.09e-06,6.12e-06,6.04e-06,6.09e-06,159048.0
14,1506621600000,6.06e-06,6.12e-06,6.04e-06,6.08e-06,344658.0
15,1506625200000,6.08e-06,6.12e-06,6.03e-06,6.03e-06,232293.0
16,1506628800000,6.04e-06,6.25e-06,6.03e-06,6.13e-06,451166.0
17,1506632400000,6.18e-06,6.19e-06,6.03e-06,6.06e-06,171886.0
18,1506636000000,6.08e-06,6.35e-06,6.04e-06,6.35e-06,910023.0
19,1506639600000,6.35e-06,6.39e-06,6.19e-06,6.39e-06,602929.0
20,1506643200000,6.39e-06,6.4e-06,6.29e-06,6.35e-06,552118.0
21,1506646800000,6.39e-06,6.46e-06,6.32e-06,6.46e-06,557545.0
22,1506650400000,6.45e-06,6.58e-06,6.27e-06,6.29e-06,821762.0
23,1506654000000,6.29e-06,6.58e-06,6.19e-06,6.28e-06,473742.0
24,1506657600000,6.26e-06,6.4e-06,6.22e-06,6.29e-06,204949.0
25,1506661200000,6.29e-06,6.48e-06,6.22e-06,6.32e-06,350112.0
26,1506664800000,6.28e-06,6.43e-06,6.1e-06,6.18e-06,283133.0
27,1506668400000,6.17e-06,6.34e-06,6.12e-06,6.2e-06,416452.0
28,1506672000000,6.21e-06,6.3e-06,6.16e-06,6.26e-06,172837.0
29,1506675600000,6.24e-06,6.29e-06,6.16e-06,6.25e-06,204575.0
30,1506679200000,6.19e-06,6.36e-06,6.12e-06,6.27e-06,842797.0
31,1506682800000,6.28e-06,6.49e-06,6.27e-06,6.49e-06,239410.0
32,1506686400000,6.47e-06,6.7e-06,6.42e-06,6.52e-06,718881.0
33,1506690000000,6.52e-06,6.6e-06,6.51e-06,6.6e-06,464983.0
