,ts,open,high,low,close,volume
0,1513584000000,0.45,0.45,0.01,0.04768,773513.34
1,1513587600000,0.04768,0.06,0.046,0.051,273880.28
2,1513591200000,0.05198,0.0648,0.05,0.06,177091.61
3,1513594800000,0.06,0.06993,0.05902,0.06594,313869.67
4,1513598400000,0.06203,0.0659,0.05106,0.0586,93170.08
5,1513602000000,0.05898,0.06569,0.05151,0.054,78385.79
6,1513605600000,0.054,0.06567,0.05151,0.0535,188452.96
7,1513609200000,0.0535,0.06,0.0535,0.05662,72721.69
8,1513612800000,0.05662,0.05698,0.053,0.055,42430.43
9,1513616400000,0.054,0.058,0.05299,0.05432,38623.95
10,1513620000000,0.05798,0.05798,0.0545,0.055,17528.56
11,1513623600000,0.05699,0.05949,0.055,0.0575,60322.58
12,1513627200000,0.05888,0.06294,0.05607,0.06,143800.66
13,1513630800000,0.06,0.066,0.06,0.066,91995.52
14,1513634400000,0.066,0.067,0.061,0.06599,86384.66
15,1513638000000,0.06501,0.0735,0.06255,0.0661,265605.08
16,1513641600000,0.068,0.07197,0.065,0.07129,92119.76
17,1513645200000,0.07129,0.0713,0.06021,0.06021,113161.27
18,1513648800000,0.06021,0.065,0.05625,0.057,40570.89
19,1513652400000,0.06244,0.067,0.05651,0.064,301751.65
20,1513656000000,0.064,0.0665,0.06,0.06207,168351.47
21,1513659600000,0.06206,0.06329,0.06051,0.06051,19158.69
22,1513663200000,0.06051,0.061,0.055,0.05699,86495.95
23,1513666800000,0.058,0.06,0.03,0.04935,201377.23
24,1513670400000,0.054,0.05562,0.04951,0.05562,245661.43
25,1513674000000,0.05562,0.0557,0.0505,0.05151,43798.65
26,1513677600000,0.05215,0.05432,0.049,0.052,137107.38
27,1513681200000,0.05197,0.05358,0.04,0.0483,176663.13
28,1513684800000,0.04,0.06096,0.03691,0.05999,265286.84
29,1513688400000,0.06082,0.06083,0.05502,0.05981,82725.52
30,1513692000000,0.05568,0.05949,0.05565,0.05565,78739.18
31,1513695600000,0.05566,0.05794,0.05102,0.05794,38714.87
32,1513699200000,0.0551,0.057,0.0551,0.0551,15911.94
33,1513702800000,0.0551,0.05746,0.05111,0.057,31656.01
34,1513706400000,0.057,0.05784,0.05291,0.05551,5273.56
35,1513710000000,0.05561,0.05779,0.0548,0.0548,9564.81
36,1513713600000,0.0548,0.05732,0.0511,0.05478,17673.58
37,1513717200000,0.05618,0.05748,0.05342,0.05344,23187.12
38,1513720800000,0.05477,0.05748,0.0535,0.0559,64307.1
39,1513724400000,0.0559,0.05726,0.05346,0.05477,30758.28
40,1513728000000,0.05346,0.05483,0.04976,0.05398,37324.07
41,1513731600000,0.0519,0.05849,0.05114,0.05226,110765.28
42,1513735200000,0.05597,0.05929,0.05596,0.05604,77125.77
43,1513738800000,0.05604,0.05604,0.05201,0.05201,17548.7
44,1513742400000,0.05257,0.0556,0.05202,0.0549,25356.58
45,1513746000000,0.0549,0.0549,0.05201,0.05201,92030.96
46,1513749600000,0.05308,0.05426,0.0518,0.0518,1508.51
47,1513753200000,0.052,0.0549,0.05181,0.05181,21817.35
48,1513756800000,0.0518,0.05181,0.05099,0.05181,44964.97
49,1513760400000,0.05181,0.052,0.05181,0.052,204.62
50,1513764000000,0.05429,0.05485,0.053,0.05423,2411.45
