,ts,open,high,low,close,volume
0,1510822800000,0.007586,0.0127,0.007586,0.011275,4914.23
1,1510826400000,0.012,0.012439,0.010431,0.01149,24156.13
2,1510830000000,0.0113,0.0115,0.0086,0.0097,18261.4
3,1510833600000,0.009999,0.010898,0.008671,0.0098,10420.25
4,1510837200000,0.0098,0.0098,0.008205,0.008999,11051.23
5,1510840800000,0.008999,0.009,0.0076,0.0076,15889.32
6,1510844400000,0.00771,0.00845,0.00771,0.00835,28382.05
7,1510848000000,0.00835,0.00842,0.007501,0.007712,22278.27
8,1510851600000,0.0081,0.0096,0.00791,0.009299,16786.09
9,1510855200000,0.008801,0.0094,0.008801,0.009,11143.94
10,1510858800000,0.009,0.0092,0.008664,0.0091,9318.78
11,1510862400000,0.009105,0.0096,0.0087,0.00925,15649.54
12,1510866000000,0.0092,0.00943,0.0087,0.0093,5653.45
13,1510869600000,0.008902,0.009299,0.008801,0.008804,8801.01
14,1510873200000,0.008805,0.009298,0.00817,0.00817,10014.72
15,1510876800000,0.008171,0.008171,0.008108,0.008108,918.07
16,1510880400000,0.008108,0.00818,0.008108,0.00818,103.95
17,1510884000000,0.008718,0.0095,0.008513,0.0095,9922.43
18,1510887600000,0.0095,0.0098,0.008979,0.0092,12205.16
19,1510891200000,0.0092,0.009586,0.008307,0.00841,3501.08
20,1510894800000,0.008426,0.009,0.008401,0.0087,4685.81
21,1510898400000,0.008799,0.008799,0.0085,0.008501,1809.11
22,1510902000000,0.0086,0.0095,0.008599,0.00935,3410.42
23,1510905600000,0.008911,0.0092,0.0078,0.007925,10899.14
24,1510909200000,0.008039,0.0085,0.007503,0.0079,4308.9
25,1510912800000,0.0083,0.0085,0.007731,0.008249,841.64
26,1510916400000,0.007885,0.0081,0.00741,0.0081,7219.79
27,1510920000000,0.00813,0.00827,0.00725,0.00725,3971.88
28,1510923600000,0.007448,0.008104,0.007447,0.007447,1327.7
29,1510927200000,0.007595,0.007595,0.007262,0.007561,892.15
30,1510930800000,0.007561,0.007565,0.007321,0.0075,1087.47
31,1510934400000,0.007699,0.0077,0.007242,0.00725,1632.86
32,1510938000000,0.00725,0.00796,0.00711,0.007403,3595.68
33,1510941600000,0.00748,0.00748,0.007112,0.007126,1199.21
34,1510945200000,0.007126,0.007127,0.007124,0.007124,941.95
35,1510948800000,0.007124,0.007387,0.006189,0.006501,11644.29
36,1510952400000,0.00651,0.0068,0.006377,0.0066,3487.65
37,1510956000000,0.0068,0.0069,0.0063,0.00632,2019.4
