,ts,open,high,low,close,volume
0,1510884000000,0.000227,0.000227,0.000227,0.000227,5.0
1,1510887600000,0.000267,0.002685,0.000267,0.00031,102896.27
2,1510891200000,0.00031,0.0003178,0.0002896,0.000305,22491.59
3,1510894800000,0.0003,0.0003,0.0002906,0.000295,13154.78
4,1510898400000,0.000295,0.000295,0.0002653,0.000287,15874.33
5,1510902000000,0.000291,0.000291,0.0002755,0.000291,10715.37
6,1510905600000,0.0002803,0.0002937,0.0002666,0.0002776,16869.21
7,1510909200000,0.0002776,0.00034,0.0002667,0.0002976,38578.53
8,1510912800000,0.0002838,0.000296,0.00027,0.00027,3622.52
9,1510916400000,0.0002751,0.0002751,0.000275,0.000275,852.79
10,1510920000000,0.00028,0.00028,0.000275,0.00028,4208.2
11,1510923600000,0.00028,0.0002949,0.0002777,0.0002788,7184.33
12,1510927200000,0.0002788,0.000288,0.0002668,0.000271,8945.88
13,1510930800000,0.0002675,0.00029,0.0002671,0.0002753,15456.17
14,1510934400000,0.0002706,0.0002949,0.0002673,0.0002886,10067.65
15,1510938000000,0.0002886,0.0002887,0.000277,0.0002884,5011.02
16,1510941600000,0.0002797,0.0002883,0.0002711,0.0002883,4740.69
17,1510945200000,0.000273,0.0002865,0.000255,0.0002551,25645.49
18,1510948800000,0.0002576,0.0002579,0.0002551,0.0002551,8981.65
19,1510952400000,0.000255,0.0002603,0.000255,0.0002603,85.21
20,1510956000000,0.0002628,0.0002861,0.0002628,0.0002861,816.0
21,1510959600000,0.0002629,0.0002849,0.0002629,0.0002653,301.64
22,1510963200000,0.0002653,0.0002836,0.0002631,0.0002804,7816.25
23,1510966800000,0.000272,0.0002797,0.0002647,0.000277,5066.2
24,1510970400000,0.0002805,0.0002868,0.000277,0.0002803,2697.36
25,1510974000000,0.0002774,0.0002868,0.0002774,0.00028,13324.59
26,1510977600000,0.0002801,0.0002887,0.0002783,0.000282,5036.78
27,1510981200000,0.0002801,0.0002855,0.0002801,0.0002853,104.46
28,1510984800000,0.0002853,0.0002853,0.0002783,0.0002828,1865.16
29,1510988400000,0.0002828,0.0002851,0.0002784,0.0002784,4805.49
30,1510992000000,0.0002785,0.0002842,0.0002774,0.0002774,5670.99
31,1510995600000,0.0002802,0.000283,0.0002654,0.0002789,14443.3
32,1510999200000,0.0002789,0.0002826,0.0002789,0.0002826,2507.72
33,1511002800000,0.0002826,0.0002829,0.0002721,0.0002777,9080.47
34,1511006400000,0.0002777,0.0002801,0.00027,0.0002743,4708.26
35,1511010000000,0.0002743,0.0002825,0.0002551,0.000274,15723.63
36,1511013600000,0.000274,0.000274,0.0002687,0.000274,6875.07
37,1511017200000,0.0002749,0.000283,0.0002749,0.000283,2315.18
38,1511020800000,0.0002831,0.0002831,0.000274,0.0002781,4996.74
39,1511024400000,0.0002777,0.0002812,0.0002777,0.0002812,543.4
40,1511028000000,0.0002752,0.000277,0.0002748,0.000277,1059.13
41,1511031600000,0.000277,0.000277,0.000277,0.000277,83.1
42,1511035200000,0.0002807,0.0002828,0.000277,0.000277,336.07
43,1511038800000,0.0002779,0.0002779,0.000277,0.000277,782.28
44,1511042400000,0.0002803,0.0002856,0.0002777,0.0002856,2062.34
45,1511046000000,0.0002857,0.0002884,0.0002778,0.00028,655.94
46,1511049600000,0.00028,0.0002811,0.0002748,0.0002765,4590.38
47,1511053200000,0.0002828,0.0002854,0.0002827,0.0002854,703.2
48,1511056800000,0.000284,0.0002854,0.0002788,0.0002838,3945.45
49,1511060400000,0.0002838,0.000286,0.0002802,0.0002825,3757.53
50,1511064000000,0.000281,0.000285,0.0002801,0.000285,2025.78
51,1511067600000,0.000285,0.000285,0.0002778,0.0002808,1793.6
52,1511071200000,0.000281,0.0002882,0.0002783,0.0002815,8781.43
53,1511074800000,0.000281,0.0002814,0.0002688,0.0002802,8939.62
54,1511078400000,0.0002746,0.0002814,0.000273,0.0002786,4631.44
55,1511082000000,0.0002753,0.0002813,0.0002735,0.0002772,3166.42
56,1511085600000,0.0002772,0.0002814,0.0002772,0.000278,3614.13
57,1511089200000,0.000278,0.0002851,0.0002772,0.0002847,4247.57
58,1511092800000,0.0002847,0.0002851,0.0002801,0.0002848,4605.24
59,1511096400000,0.0002804,0.000282,0.0002772,0.0002778,9288.27
60,1511100000000,0.0002809,0.000282,0.0002772,0.0002782,21149.75
61,1511103600000,0.0002789,0.0002789,0.0002759,0.0002759,8837.76
62,1511107200000,0.0002813,0.0002813,0.0002798,0.0002798,517.8
63,1511110800000,0.0002798,0.0002798,0.0002736,0.0002749,4656.77
64,1511114400000,0.0002759,0.0002759,0.0002711,0.0002751,1820.09
65,1511118000000,0.0002755,0.000277,0.0002711,0.000277,804.24
66,1511121600000,0.0002735,0.000277,0.0002712,0.0002723,815.32
67,1511125200000,0.0002757,0.0002759,0.0002756,0.0002759,400.06
68,1511128800000,0.0002761,0.0002761,0.0002761,0.0002761,16.0
69,1511132400000,0.0002729,0.0002756,0.0002687,0.0002748,1153.36
70,1511136000000,0.0002748,0.0002748,0.000269,0.0002745,1111.04
71,1511139600000,0.0002701,0.000281,0.0002689,0.0002725,1122.77
72,1511143200000,0.0002722,0.0002758,0.0002721,0.000275,2174.06
73,1511146800000,0.0002773,0.0002775,0.000275,0.000276,9930.44
74,1511150400000,0.0002758,0.0002828,0.0002758,0.0002768,10280.84
75,1511154000000,0.0002754,0.0002777,0.000275,0.000275,350.83
76,1511157600000,0.000275,0.0002777,0.0002727,0.0002777,1073.87
77,1511161200000,0.0002753,0.0002797,0.0002709,0.0002767,9440.04
78,1511164800000,0.0002755,0.000276,0.0002721,0.0002721,1516.15
79,1511168400000,0.0002721,0.0002827,0.0002721,0.000276,8996.01
80,1511172000000,0.0002743,0.0002752,0.0002725,0.0002746,8974.87
81,1511175600000,0.0002725,0.0003,0.0002725,0.0002924,61041.88
82,1511179200000,0.0002919,0.0002982,0.00028,0.0002974,70219.05
83,1511182800000,0.0002974,0.000299,0.0002901,0.0002941,38465.1
84,1511186400000,0.0002944,0.0002979,0.0002882,0.0002882,13075.32
85,1511190000000,0.0002882,0.0002898,0.0002807,0.0002872,11626.85
86,1511193600000,0.0002872,0.0002901,0.0002822,0.0002838,9296.33
87,1511197200000,0.0002825,0.0002898,0.0002801,0.0002813,17475.8
88,1511200800000,0.0002831,0.0002846,0.0002831,0.0002843,15.0
89,1511204400000,0.000286,0.000286,0.000286,0.000286,668.33
90,1511208000000,0.000286,0.0002879,0.000286,0.0002879,908.05
91,1511211600000,0.0002875,0.0002923,0.0002861,0.0002888,3405.29
92,1511215200000,0.0002861,0.0002888,0.000283,0.000287,1647.87
93,1511218800000,0.000285,0.0002941,0.0002844,0.0002898,8205.84
94,1511222400000,0.0002906,0.0002975,0.0002894,0.0002899,25435.31
95,1511226000000,0.0002905,0.000292,0.000283,0.0002871,13157.78
96,1511229600000,0.0002875,0.0002923,0.000284,0.0002867,9308.87
97,1511233200000,0.0002877,0.0002932,0.0002836,0.000285,20499.23
98,1511236800000,0.000285,0.0002909,0.0002801,0.0002907,18291.28
99,1511240400000,0.0002902,0.000305,0.000285,0.000285,66332.44
100,1511244000000,0.000286,0.0003013,0.000286,0.0002887,14684.21
101,1511247600000,0.000289,0.0002936,0.000275,0.0002846,21609.43
102,1511251200000,0.0002846,0.0002901,0.0002782,0.0002879,10007.5
103,1511254800000,0.0002879,0.0002902,0.0002855,0.000286,14183.03
104,1511258400000,0.000286,0.0002936,0.0002816,0.00029,10912.46
105,1511262000000,0.0002874,0.0002875,0.0002847,0.000285,8276.55
106,1511265600000,0.000286,0.000286,0.000283,0.000285,2340.44
107,1511269200000,0.0002878,0.0002897,0.00028,0.0002839,17047.83
108,1511272800000,0.000282,0.000291,0.00028,0.0002814,11807.33
109,1511276400000,0.0002858,0.0002898,0.0002711,0.0002711,18557.17
110,1511280000000,0.000276,0.0002797,0.0002746,0.0002797,1504.98
111,1511283600000,0.000278,0.0002798,0.0002745,0.0002794,2092.4
112,1511287200000,0.0002794,0.00028,0.000272,0.000272,4086.09
113,1511290800000,0.0002747,0.0002747,0.0002725,0.0002734,108.01
114,1511294400000,0.0002759,0.0002759,0.0002719,0.0002719,1466.56
115,1511298000000,0.0002795,0.00028,0.000274,0.000274,1412.5
116,1511301600000,0.0002795,0.00028,0.0002741,0.00028,1125.41
117,1511305200000,0.0002798,0.0002799,0.0002752,0.0002799,1092.16
118,1511308800000,0.0002799,0.00028,0.0002799,0.0002799,4256.52
119,1511312400000,0.00028,0.0002808,0.000277,0.000277,6216.49
120,1511316000000,0.000277,0.0002799,0.000277,0.0002799,7339.07
