,ts,open,high,low,close,volume
0,1510884000000,0.005365,0.005365,0.005365,0.005365,10.0
1,1510887600000,0.03,0.0325,0.00665,0.007402,12240.49
2,1510891200000,0.0076,0.00761,0.007201,0.0073,7195.42
3,1510894800000,0.0073,0.007597,0.007051,0.007051,7356.1
4,1510898400000,0.0071,0.0071,0.006353,0.006899,5285.03
5,1510902000000,0.0067,0.006899,0.006446,0.00664,760.09
6,1510905600000,0.006641,0.007134,0.006445,0.006445,4653.06
7,1510909200000,0.006445,0.007925,0.006033,0.007,9733.68
8,1510912800000,0.007,0.007001,0.00672,0.00672,1982.76
9,1510916400000,0.00672,0.00672,0.00641,0.006539,1063.15
10,1510920000000,0.006798,0.00685,0.006713,0.006713,1443.84
11,1510923600000,0.006713,0.006922,0.00654,0.00654,2629.65
12,1510927200000,0.00654,0.00654,0.0063,0.0063,7983.35
13,1510930800000,0.006566,0.007153,0.006566,0.007153,84.0
14,1510934400000,0.007011,0.007153,0.006363,0.006363,218.51
15,1510938000000,0.006729,0.006868,0.006729,0.006868,133.16
16,1510941600000,0.006799,0.006868,0.00649,0.00649,464.52
17,1510945200000,0.006491,0.006491,0.0061,0.0061,2950.6
18,1510948800000,0.006101,0.006101,0.006029,0.006029,1734.14
19,1510952400000,0.006044,0.006044,0.006044,0.006044,50.0
20,1510956000000,0.006044,0.006044,0.006044,0.006044,0.0
21,1510959600000,0.006708,0.006945,0.006055,0.006223,548.58
22,1510963200000,0.006347,0.006744,0.006223,0.006736,874.8
23,1510966800000,0.006427,0.00658,0.006111,0.006445,2565.56
24,1510970400000,0.006445,0.006453,0.0063,0.0063,1230.52
25,1510974000000,0.006301,0.0065,0.0063,0.0065,6979.78
26,1510977600000,0.0065,0.00668,0.00627,0.00668,796.3
27,1510981200000,0.006613,0.00668,0.006613,0.00665,1318.76
28,1510984800000,0.00664,0.00664,0.006465,0.00664,622.13
29,1510988400000,0.00664,0.00664,0.00664,0.00664,250.47
30,1510992000000,0.006465,0.006566,0.006398,0.006566,3377.82
31,1510995600000,0.006566,0.006566,0.00627,0.006499,6409.71
32,1510999200000,0.0065,0.006566,0.006499,0.006499,114.76
33,1511002800000,0.0065,0.006566,0.006402,0.006402,7953.46
34,1511006400000,0.006566,0.006566,0.006269,0.006269,7927.46
