,ts,open,high,low,close,volume
0,1509422400000,0.0252,0.05,0.0252,0.035079,1512.46
1,1509426000000,0.035076,0.035076,0.034114,0.034115,1374.46
2,1509429600000,0.034118,0.035986,0.034114,0.035031,1927.04
3,1509433200000,0.0345,0.034897,0.034,0.034012,801.32
4,1509436800000,0.034013,0.034876,0.0326,0.034875,718.73
5,1509440400000,0.033121,0.035,0.033121,0.0349,2797.42
6,1509444000000,0.033689,0.033689,0.033689,0.033689,4.98
7,1509447600000,0.033673,0.034975,0.0336,0.0336,460.59
8,1509451200000,0.0336,0.034888,0.0336,0.033804,768.62
9,1509454800000,0.034494,0.034953,0.033804,0.034944,1030.59
10,1509458400000,0.034944,0.035375,0.032,0.034936,2296.01
11,1509462000000,0.03479,0.034996,0.033637,0.034996,281.92
12,1509465600000,0.035,0.036361,0.035,0.035357,236.34
13,1509469200000,0.035357,0.035364,0.0353,0.0353,1012.18
14,1509472800000,0.035303,0.035303,0.0353,0.035302,243.37
15,1509476400000,0.0353,0.0353,0.0353,0.0353,395.0
16,1509480000000,0.0353,0.0353,0.0353,0.0353,0.0
17,1509483600000,0.035531,0.035531,0.035473,0.035473,9.99
18,1509487200000,0.035474,0.035474,0.0353,0.0353,346.48
19,1509490800000,0.035307,0.03531,0.03438,0.03438,571.73
20,1509494400000,0.036435,0.036435,0.034111,0.035,33.5
21,1509498000000,0.035,0.036,0.03423,0.034231,250.2
22,1509501600000,0.034986,0.034994,0.034244,0.034244,2589.99
23,1509505200000,0.034302,0.034302,0.03425,0.034253,340.11
24,1509508800000,0.034254,0.034254,0.034231,0.034231,2043.13
25,1509512400000,0.034231,0.034244,0.033156,0.033156,2432.58
26,1509516000000,0.033156,0.033986,0.033001,0.0338,925.83
27,1509519600000,0.033112,0.033647,0.033106,0.03335,267.34
28,1509523200000,0.03335,0.03335,0.033,0.033,1639.65
29,1509526800000,0.033,0.033199,0.032091,0.033192,1262.09
30,1509530400000,0.0331,0.0334,0.03251,0.0334,2169.39
31,1509534000000,0.033399,0.0334,0.032615,0.0333,4688.38
32,1509537600000,0.03338,0.0334,0.032899,0.032899,1203.83
33,1509541200000,0.032999,0.033,0.032311,0.032596,170.51
34,1509544800000,0.032597,0.0333,0.032588,0.0333,2439.14
35,1509548400000,0.03305,0.03305,0.032405,0.032481,877.9
36,1509552000000,0.032495,0.033277,0.03246,0.032471,1289.51
37,1509555600000,0.032472,0.0334,0.032472,0.0334,1342.69
38,1509559200000,0.032491,0.0334,0.032474,0.032474,1253.18
39,1509562800000,0.032474,0.0335,0.032474,0.0335,561.24
40,1509566400000,0.0335,0.0335,0.0335,0.0335,29.85
41,1509570000000,0.032473,0.033394,0.032433,0.03245,1022.14
42,1509573600000,0.03245,0.0325,0.032433,0.032434,258.03
43,1509577200000,0.032435,0.0335,0.032435,0.033035,3350.56
44,1509580800000,0.033493,0.033503,0.033465,0.033503,4701.79
45,1509584400000,0.034321,0.0355,0.033703,0.033703,1202.11
46,1509588000000,0.033703,0.034557,0.033035,0.033971,364.4
47,1509591600000,0.033328,0.034209,0.033035,0.033123,847.39
48,1509595200000,0.0332,0.034355,0.033124,0.033401,636.93
49,1509598800000,0.033949,0.033978,0.033402,0.033886,1758.66
50,1509602400000,0.033406,0.0338,0.033401,0.033417,553.69
51,1509606000000,0.0335,0.033945,0.033,0.0331,3289.59
52,1509609600000,0.033102,0.033719,0.031,0.033669,3476.9
53,1509613200000,0.032881,0.033329,0.032222,0.032239,541.22
54,1509616800000,0.03224,0.033945,0.03224,0.032491,1588.93
55,1509620400000,0.033897,0.033945,0.0313,0.032499,2292.58
56,1509624000000,0.032489,0.032499,0.031151,0.032494,1564.98
57,1509627600000,0.032494,0.0335,0.032111,0.033102,913.24
58,1509631200000,0.033103,0.0332,0.0323,0.0323,394.66
59,1509634800000,0.0323,0.0336,0.0314,0.0314,143.72
60,1509638400000,0.032021,0.03323,0.032,0.032011,1055.32
61,1509642000000,0.032011,0.033399,0.032011,0.032104,731.46
62,1509645600000,0.032313,0.03233,0.032313,0.032316,346.59
63,1509649200000,0.033,0.033397,0.033,0.033,169.13
64,1509652800000,0.033,0.033,0.033,0.033,105.64
65,1509656400000,0.033,0.03322,0.033,0.03322,624.5
66,1509660000000,0.033386,0.0334,0.033,0.033,742.26
67,1509663600000,0.0334,0.0334,0.032011,0.032011,2172.1
68,1509667200000,0.033399,0.033399,0.032185,0.033133,222.33
69,1509670800000,0.032204,0.033285,0.032182,0.032256,3402.18
70,1509674400000,0.033045,0.033193,0.032184,0.033086,2823.84
71,1509678000000,0.033084,0.033601,0.033084,0.0336,1748.45
72,1509681600000,0.03375,0.03375,0.03257,0.032608,569.51
73,1509685200000,0.032434,0.032893,0.032401,0.032893,341.88
74,1509688800000,0.03265,0.033,0.032408,0.033,370.96
75,1509692400000,0.03261,0.0332,0.032,0.032009,2983.74
76,1509696000000,0.032011,0.033167,0.031891,0.033167,2633.84
77,1509699600000,0.031947,0.032103,0.031625,0.032,1066.99
78,1509703200000,0.031938,0.032749,0.031938,0.0322,846.37
79,1509706800000,0.0322,0.03254,0.031502,0.031502,4182.76
80,1509710400000,0.031502,0.032,0.031501,0.031555,1732.93
81,1509714000000,0.0316,0.031988,0.0314,0.031964,4151.6
82,1509717600000,0.031964,0.031983,0.031501,0.0317,427.0
83,1509721200000,0.0317,0.0317,0.031,0.031,1471.77
84,1509724800000,0.031166,0.032,0.0311,0.0311,392.34
85,1509728400000,0.03112,0.031993,0.030501,0.03066,4098.82
86,1509732000000,0.03066,0.03066,0.030501,0.030501,928.81
87,1509735600000,0.030561,0.032002,0.03056,0.032002,876.32
88,1509739200000,0.032002,0.032006,0.03088,0.03088,459.98
89,1509742800000,0.03088,0.03088,0.030501,0.030501,2210.31
90,1509746400000,0.030501,0.030508,0.030501,0.030501,332.24
91,1509750000000,0.030501,0.030501,0.030261,0.030261,500.6
92,1509753600000,0.030261,0.031524,0.03,0.030494,1995.65
93,1509757200000,0.030037,0.0308,0.030037,0.030307,1532.81
94,1509760800000,0.03042,0.03098,0.030411,0.03098,144.43
95,1509764400000,0.030612,0.031201,0.030612,0.031201,267.24
96,1509768000000,0.031227,0.031239,0.030615,0.03083,1927.57
97,1509771600000,0.031108,0.031108,0.030701,0.030701,496.53
98,1509775200000,0.031007,0.031007,0.030615,0.030633,2865.81
99,1509778800000,0.030654,0.031349,0.030654,0.031349,1129.12
100,1509782400000,0.031349,0.031397,0.030731,0.030731,788.61
101,1509786000000,0.030801,0.032092,0.030663,0.030665,1434.07
102,1509789600000,0.031,0.03208,0.030663,0.030807,4347.6
103,1509793200000,0.030802,0.030802,0.030628,0.030628,174.36
104,1509796800000,0.030628,0.031266,0.030628,0.031159,848.86
105,1509800400000,0.030706,0.031785,0.030705,0.031785,2256.99
106,1509804000000,0.031785,0.032073,0.030208,0.032051,5050.08
107,1509807600000,0.03205,0.033462,0.03205,0.032264,4458.63
108,1509811200000,0.032274,0.0334,0.032274,0.03235,1887.17
109,1509814800000,0.032387,0.032387,0.03235,0.032366,138.6
110,1509818400000,0.0322,0.032236,0.0322,0.032236,90.0
111,1509822000000,0.032211,0.032214,0.031529,0.031529,504.62
112,1509825600000,0.032,0.032,0.031576,0.031576,40.68
113,1509829200000,0.031633,0.031633,0.0315,0.0315,187.62
114,1509832800000,0.0315,0.0318,0.0315,0.0318,151.84
115,1509836400000,0.0325,0.0326,0.031,0.032,93.0
116,1509840000000,0.032,0.032,0.031,0.03151,331.84
117,1509843600000,0.031773,0.03199,0.031327,0.031453,379.02
118,1509847200000,0.031944,0.031945,0.031367,0.031499,827.62
119,1509850800000,0.031364,0.031501,0.031316,0.031359,1515.22
120,1509854400000,0.031866,0.031867,0.031008,0.031305,818.04
121,1509858000000,0.031305,0.033126,0.031009,0.031574,3269.41
122,1509861600000,0.031574,0.033397,0.031571,0.033397,2112.55
123,1509865200000,0.033397,0.034566,0.032512,0.03332,2982.69
124,1509868800000,0.032847,0.0343,0.032788,0.033275,1832.43
125,1509872400000,0.033216,0.033791,0.032803,0.033307,1939.3
126,1509876000000,0.033234,0.033771,0.033234,0.033439,1520.05
127,1509879600000,0.03344,0.034528,0.033317,0.0337,2744.74
128,1509883200000,0.03379,0.0342,0.03378,0.0342,6233.86
129,1509886800000,0.0342,0.0342,0.033316,0.033319,3179.11
130,1509890400000,0.033316,0.033715,0.033241,0.033715,749.84
131,1509894000000,0.033715,0.033888,0.033361,0.033361,1677.25
132,1509897600000,0.03355,0.0337,0.033361,0.0337,235.8
133,1509901200000,0.033701,0.033701,0.03337,0.03337,24.55
134,1509904800000,0.03337,0.03337,0.03337,0.03337,0.0
135,1509908400000,0.033776,0.033776,0.033776,0.033776,80.06
136,1509912000000,0.033776,0.033776,0.033775,0.033776,23.47
137,1509915600000,0.0335,0.0335,0.033351,0.033351,697.74
138,1509919200000,0.033351,0.033351,0.032808,0.032808,843.55
139,1509922800000,0.033663,0.033663,0.032808,0.033663,703.83
140,1509926400000,0.033586,0.033586,0.032808,0.032808,1040.46
