,ts,open,high,low,close,volume
0,1513573200000,0.78,0.78,0.2,0.25,45822.25
1,1513576800000,0.2435,0.31,0.213,0.298,131756.51
2,1513580400000,0.297,0.499,0.25891,0.268,108251.08
3,1513584000000,0.27386,0.32002,0.25885,0.30406,32184.81
4,1513587600000,0.30993,0.37,0.30406,0.3698,137833.43
5,1513591200000,0.3501,0.4243,0.35002,0.4,61707.31
6,1513594800000,0.4,0.48,0.37907,0.3791,168776.13
7,1513598400000,0.40442,0.41455,0.32301,0.35,8387.47
8,1513602000000,0.34999,0.4,0.32969,0.35159,18816.92
9,1513605600000,0.37594,0.37594,0.3153,0.34,9302.13
10,1513609200000,0.3312,0.38987,0.32499,0.35488,22477.54
11,1513612800000,0.37,0.3852,0.35489,0.36082,3258.46
12,1513616400000,0.37001,0.4,0.36003,0.39601,10962.87
13,1513620000000,0.39601,0.41899,0.37785,0.37785,3749.84
14,1513623600000,0.37785,0.39,0.36115,0.38998,9205.95
15,1513627200000,0.38998,0.38998,0.35,0.35224,5979.56
16,1513630800000,0.35224,0.39999,0.35224,0.39,4252.68
17,1513634400000,0.39,0.41118,0.3801,0.4002,11260.24
18,1513638000000,0.41119,0.415,0.38,0.38,11509.75
19,1513641600000,0.37,0.40083,0.37,0.37522,11559.45
20,1513645200000,0.37,0.38438,0.36276,0.36276,11737.72
21,1513648800000,0.36562,0.38151,0.35,0.36562,4908.44
22,1513652400000,0.35648,0.38349,0.34757,0.37349,6718.0
23,1513656000000,0.38344,0.4197,0.38344,0.40017,22086.58
24,1513659600000,0.40201,0.44511,0.39398,0.41393,23749.59
25,1513663200000,0.41871,0.41877,0.3961,0.40393,10154.46
26,1513666800000,0.40393,0.41879,0.37,0.39398,8176.01
27,1513670400000,0.39398,0.39398,0.36448,0.36448,7594.11
28,1513674000000,0.36448,0.38198,0.36011,0.37,4589.2
29,1513677600000,0.37,0.37,0.33485,0.36429,5730.77
30,1513681200000,0.34757,0.35499,0.32041,0.32041,17728.87
31,1513684800000,0.32041,0.41704,0.32041,0.40383,34825.18
32,1513688400000,0.39398,0.39398,0.38438,0.3939,2528.42
33,1513692000000,0.39389,0.3939,0.3703,0.3703,6674.26
34,1513695600000,0.3703,0.38438,0.35667,0.36564,10248.28
35,1513699200000,0.37,0.38438,0.36601,0.38437,384.95
36,1513702800000,0.36601,0.38437,0.36601,0.36601,1848.0
37,1513706400000,0.38411,0.38437,0.36602,0.36602,2479.74
38,1513710000000,0.36605,0.37913,0.36,0.36563,13248.18
39,1513713600000,0.375,0.375,0.35393,0.375,1581.67
40,1513717200000,0.38434,0.38434,0.35396,0.36574,11254.18
41,1513720800000,0.36573,0.38438,0.36573,0.375,1399.9
42,1513724400000,0.375,0.39564,0.35404,0.38419,7699.65
43,1513728000000,0.375,0.38839,0.30575,0.34199,8458.07
44,1513731600000,0.35289,0.38491,0.29,0.34001,20420.83
45,1513735200000,0.34001,0.4,0.34001,0.4,3341.9
46,1513738800000,0.39432,0.39432,0.3415,0.34151,2598.7
47,1513742400000,0.36528,0.37723,0.3421,0.35989,5259.55
48,1513746000000,0.36,0.36012,0.358,0.358,4766.98
49,1513749600000,0.36,0.37398,0.3485,0.34984,2584.63
50,1513753200000,0.3525,0.37598,0.35143,0.37245,4838.21
51,1513756800000,0.37247,0.40088,0.37243,0.40088,8961.29
52,1513760400000,0.39999,0.40438,0.37225,0.39832,828.91
53,1513764000000,0.38699,0.39439,0.38699,0.39432,6456.26
54,1513767600000,0.3943,0.39631,0.383,0.383,501.6
55,1513771200000,0.383,0.39631,0.38,0.38999,646.19
56,1513774800000,0.3754,0.39633,0.37333,0.37335,5136.13
57,1513778400000,0.38871,0.38871,0.3695,0.37498,6223.11
58,1513782000000,0.38681,0.38681,0.38409,0.38409,3198.47
59,1513785600000,0.38407,0.38681,0.36951,0.38398,7475.27
60,1513789200000,0.38394,0.40611,0.371,0.4,7978.92
61,1513792800000,0.39995,0.41852,0.37453,0.41,2220.81
62,1513796400000,0.41,0.41851,0.39993,0.4052,3188.22
63,1513800000000,0.40526,0.42039,0.40526,0.42039,3497.55
64,1513803600000,0.425,0.437,0.40523,0.42072,6768.22
65,1513807200000,0.43641,0.43641,0.4205,0.4205,1946.97
66,1513810800000,0.43037,0.43037,0.40525,0.41998,3066.22
67,1513814400000,0.41997,0.42852,0.415,0.41998,4867.24
68,1513818000000,0.41032,0.41998,0.39711,0.40544,3155.73
69,1513821600000,0.40544,0.42835,0.40544,0.42,1671.02
70,1513825200000,0.42835,0.45375,0.421,0.45375,5406.67
71,1513828800000,0.45375,0.51611,0.43457,0.5,6134.11
72,1513832400000,0.5,0.57761,0.46674,0.5417,12334.29
73,1513836000000,0.54503,0.55037,0.48002,0.48002,8408.92
74,1513839600000,0.48026,0.50006,0.45375,0.46478,12682.48
75,1513843200000,0.49994,0.50006,0.47068,0.49921,3003.53
76,1513846800000,0.483,0.52298,0.47589,0.483,7315.98
77,1513850400000,0.49732,0.54899,0.48301,0.54897,6295.15
78,1513854000000,0.54896,0.54896,0.51,0.52999,5380.45
