,ts,open,high,low,close,volume
0,1515996000000,0.5,0.5,0.01,0.011142,113921.23
1,1515999600000,0.010491,0.012,0.007777,0.0084,588219.43
2,1516003200000,0.008401,0.008999,0.0061,0.007203,472452.65
3,1516006800000,0.007297,0.007999,0.00695,0.007097,283071.74
4,1516010400000,0.007053,0.0071,0.0036,0.00685,263768.7
5,1516014000000,0.006867,0.00792,0.006794,0.00774,237750.09
6,1516017600000,0.00774,0.007979,0.007402,0.007556,99277.36
7,1516021200000,0.007558,0.007749,0.00701,0.007341,86887.95
8,1516024800000,0.007341,0.007502,0.00698,0.0072,88637.21
9,1516028400000,0.0072,0.0072,0.0068,0.007046,83087.17
10,1516032000000,0.007046,0.0076,0.00692,0.00726,116094.69
11,1516035600000,0.007249,0.007449,0.00705,0.007217,62100.22
12,1516039200000,0.007217,0.00762,0.007129,0.007612,73877.72
13,1516042800000,0.007612,0.007615,0.0072,0.007251,49122.67
14,1516046400000,0.007334,0.007449,0.00725,0.00739,27808.95
15,1516050000000,0.00739,0.007407,0.006911,0.00712,43003.42
16,1516053600000,0.0072,0.0072,0.006218,0.006642,71733.76
17,1516057200000,0.006645,0.0068,0.00622,0.00622,45832.2
18,1516060800000,0.006229,0.00638,0.0058,0.006038,111316.1
19,1516064400000,0.006089,0.006753,0.006,0.006695,59954.36
20,1516068000000,0.006667,0.006999,0.006474,0.00674,54480.19
21,1516071600000,0.006739,0.00674,0.00653,0.006683,35455.77
22,1516075200000,0.006671,0.006671,0.00617,0.0064,49990.27
23,1516078800000,0.00642,0.00645,0.006136,0.006265,31771.46
24,1516082400000,0.00623,0.006398,0.006013,0.006111,24548.35
25,1516086000000,0.00619,0.00619,0.005809,0.005809,38636.82
26,1516089600000,0.005809,0.00591,0.00522,0.005399,99922.29
27,1516093200000,0.005311,0.00548,0.0048,0.004811,56842.16
28,1516096800000,0.004941,0.005647,0.0045,0.005111,57724.46
29,1516100400000,0.005111,0.005408,0.005,0.005177,41170.56
30,1516104000000,0.005119,0.00575,0.005119,0.005299,38832.06
31,1516107600000,0.005488,0.005488,0.005116,0.005116,35332.67
32,1516111200000,0.005117,0.005335,0.005081,0.005289,18342.14
33,1516114800000,0.005289,0.00596,0.0052,0.0055,34049.38
34,1516118400000,0.0055,0.005579,0.005312,0.005547,17550.96
35,1516122000000,0.0054,0.00565,0.005311,0.005319,14835.69
36,1516125600000,0.005395,0.00555,0.005202,0.005344,18944.09
37,1516129200000,0.005516,0.005626,0.005409,0.00555,14160.06
38,1516132800000,0.005549,0.005625,0.005436,0.005476,4438.84
39,1516136400000,0.005476,0.0055,0.005,0.005,38315.7
40,1516140000000,0.005,0.005,0.00415,0.004715,44014.15
41,1516143600000,0.00479,0.005281,0.0043,0.004999,33311.53
42,1516147200000,0.004999,0.005257,0.004701,0.00485,23479.36
43,1516150800000,0.004825,0.00509,0.004789,0.004925,9785.82
44,1516154400000,0.004938,0.005159,0.00467,0.00477,18315.57
45,1516158000000,0.00477,0.004887,0.004609,0.004798,13619.94
46,1516161600000,0.004798,0.005034,0.004697,0.004818,19757.3
47,1516165200000,0.004819,0.004955,0.004722,0.004901,15981.23
48,1516168800000,0.004902,0.00526,0.004901,0.005149,22404.38
49,1516172400000,0.00515,0.005422,0.005014,0.005206,21048.67
50,1516176000000,0.005206,0.005206,0.0049,0.004901,30072.96
51,1516179600000,0.004927,0.005087,0.004899,0.004915,25085.95
52,1516183200000,0.004998,0.005026,0.00481,0.004817,21497.65
53,1516186800000,0.004818,0.005148,0.004818,0.005001,13360.59
54,1516190400000,0.005002,0.005151,0.004911,0.004935,10438.57
55,1516194000000,0.004937,0.005005,0.004817,0.004867,16027.32
56,1516197600000,0.004831,0.004941,0.00453,0.00453,32009.95
57,1516201200000,0.00453,0.0047,0.004529,0.00455,18369.27
58,1516204800000,0.00455,0.00475,0.004501,0.004608,18101.82
59,1516208400000,0.004608,0.004822,0.004588,0.004646,34519.29
60,1516212000000,0.004646,0.00479,0.00445,0.004603,11058.76
61,1516215600000,0.00468,0.0047,0.004451,0.004601,6689.13
62,1516219200000,0.004559,0.0049,0.004465,0.004802,23922.23
63,1516222800000,0.004885,0.005196,0.004709,0.005044,31107.14
64,1516226400000,0.00505,0.005379,0.0049,0.004901,25661.46
65,1516230000000,0.004915,0.005106,0.004821,0.00504,12995.81
66,1516233600000,0.005041,0.005107,0.00495,0.005101,16612.71
67,1516237200000,0.005101,0.00513,0.004699,0.004919,57104.34
68,1516240800000,0.004915,0.005044,0.00472,0.004785,27071.01
69,1516244400000,0.004785,0.005,0.004784,0.004988,20292.7
70,1516248000000,0.004988,0.005043,0.004819,0.004831,22167.08
71,1516251600000,0.004891,0.004998,0.004768,0.004779,14710.01
72,1516255200000,0.004779,0.004899,0.00472,0.004782,10364.48
73,1516258800000,0.004782,0.004912,0.004764,0.004875,14237.89
74,1516262400000,0.004875,0.004875,0.004765,0.004767,7581.24
75,1516266000000,0.0048,0.004876,0.00466,0.004665,35330.01
76,1516269600000,0.004667,0.004801,0.0046,0.004702,8180.92
77,1516273200000,0.004722,0.00485,0.004603,0.004819,16821.98
78,1516276800000,0.004751,0.004885,0.004656,0.004743,23457.03
79,1516280400000,0.004747,0.00485,0.00465,0.004774,15917.13
80,1516284000000,0.004774,0.00478,0.00465,0.004736,23207.25
81,1516287600000,0.004736,0.00477,0.004604,0.00462,25485.96
82,1516291200000,0.004625,0.004711,0.004537,0.004622,18785.88
83,1516294800000,0.00463,0.004698,0.004603,0.004604,8428.99
84,1516298400000,0.004642,0.004764,0.004567,0.004693,11762.17
85,1516302000000,0.004693,0.004735,0.004668,0.004735,17787.93
86,1516305600000,0.004734,0.004769,0.004673,0.004713,10975.76
87,1516309200000,0.004713,0.00477,0.004672,0.0047,7707.31
88,1516312800000,0.004695,0.004729,0.004538,0.004629,23650.99
89,1516316400000,0.004629,0.004686,0.004521,0.004586,12973.29
90,1516320000000,0.004586,0.004968,0.00458,0.004899,33839.42
91,1516323600000,0.0049,0.004968,0.004701,0.004863,20376.45
92,1516327200000,0.004874,0.004967,0.004732,0.004732,25570.6
93,1516330800000,0.004731,0.004733,0.00455,0.00471,14514.5
