,ts,open,high,low,close,volume
0,1516773600000,0.00023025,0.00023025,5.1e-06,6.64e-06,360876653.0
1,1516777200000,6.64e-06,7.08e-06,6.21e-06,6.69e-06,174683484.0
2,1516780800000,6.69e-06,6.7e-06,6.35e-06,6.58e-06,84418052.0
3,1516784400000,6.6e-06,6.66e-06,6.39e-06,6.4e-06,49662741.0
4,1516788000000,6.4e-06,6.41e-06,6.11e-06,6.32e-06,49907883.0
5,1516791600000,6.32e-06,6.62e-06,6.31e-06,6.61e-06,43266421.0
6,1516795200000,6.61e-06,7.8e-06,6.6e-06,7.65e-06,204093028.0
7,1516798800000,7.65e-06,9.35e-06,7.62e-06,8.07e-06,401719625.0
8,1516802400000,8.07e-06,8.61e-06,7.38e-06,7.43e-06,153471295.0
9,1516806000000,7.41e-06,8.37e-06,7.16e-06,8.07e-06,157731899.0
10,1516809600000,8.06e-06,8.26e-06,7.75e-06,7.89e-06,76469810.0
11,1516813200000,7.9e-06,8.13e-06,7.63e-06,8.09e-06,53707680.0
12,1516816800000,8.1e-06,8.2e-06,7.91e-06,8.15e-06,28705041.0
13,1516820400000,8.14e-06,8.57e-06,8.07e-06,8.18e-06,78526093.0
14,1516824000000,8.18e-06,8.36e-06,7.93e-06,8.35e-06,38653778.0
15,1516827600000,8.36e-06,8.36e-06,8.1e-06,8.34e-06,35184575.0
16,1516831200000,8.33e-06,1.058e-05,8.31e-06,1.007e-05,333074767.0
17,1516834800000,1.009e-05,1.355e-05,9.92e-06,1.09e-05,553280180.0
18,1516838400000,1.087e-05,1.275e-05,1.028e-05,1.172e-05,351977714.0
19,1516842000000,1.172e-05,1.21e-05,1.081e-05,1.122e-05,145514602.0
20,1516845600000,1.122e-05,1.138e-05,1.036e-05,1.075e-05,153964751.0
21,1516849200000,1.074e-05,1.087e-05,9.66e-06,1.026e-05,183364842.0
22,1516852800000,1.027e-05,1.034e-05,9.28e-06,9.54e-06,96779918.0
