,ts,open,high,low,close,volume
0,1511852400000,0.53,0.6,0.53,0.57,292.24
1,1511856000000,0.57,0.6022,0.54899,0.56,8994.64
2,1511859600000,0.56,0.57001,0.536,0.536,2350.58
3,1511863200000,0.53761,0.57998,0.5376,0.57998,318.43
4,1511866800000,0.57773,0.57775,0.57773,0.57775,12.0
5,1511870400000,0.53601,0.56,0.53601,0.54013,9205.88
6,1511874000000,0.55999,0.55999,0.536,0.54299,5987.91
7,1511877600000,0.54299,0.69431,0.54299,0.6231,14928.78
8,1511881200000,0.67278,0.70999,0.67246,0.67246,3046.72
9,1511884800000,0.67247,0.76648,0.67245,0.69106,23212.31
10,1511888400000,0.69106,0.729,0.63798,0.643,3535.41
11,1511892000000,0.666,0.71374,0.666,0.66601,13900.02
12,1511895600000,0.67,0.75291,0.666,0.66695,4049.58
13,1511899200000,0.66695,0.688,0.66695,0.688,632.02
14,1511902800000,0.68801,0.75292,0.68801,0.70841,4255.26
15,1511906400000,0.75,0.80519,0.73031,0.7423,14972.32
16,1511910000000,0.755,0.85,0.755,0.80002,9075.75
17,1511913600000,0.78945,0.85126,0.77,0.83478,23209.31
18,1511917200000,0.83477,0.83478,0.74,0.74,11638.88
19,1511920800000,0.74,0.85118,0.74,0.84194,7880.01
20,1511924400000,0.81497,0.84194,0.78195,0.78195,16792.84
21,1511928000000,0.81296,0.82999,0.8,0.82999,7485.0
22,1511931600000,0.82999,0.82999,0.76001,0.82299,6779.34
23,1511935200000,0.82297,0.82297,0.76047,0.79078,32117.6
24,1511938800000,0.78234,0.79441,0.76699,0.76837,136514.59
25,1511942400000,0.76924,0.78598,0.76335,0.77244,215294.74
26,1511946000000,0.77246,0.77246,0.74228,0.75539,313870.06
27,1511949600000,0.75064,0.75388,0.73056,0.73221,139725.46
28,1511953200000,0.73221,0.74064,0.7,0.70434,184244.79
29,1511956800000,0.70433,0.73874,0.7,0.72302,159889.93
30,1511960400000,0.72301,0.73994,0.71767,0.7286,201930.24
31,1511964000000,0.72287,0.72861,0.71382,0.72652,272613.74
32,1511967600000,0.72653,0.74986,0.71833,0.73119,234816.05
33,1511971200000,0.72458,0.73147,0.6675,0.68016,278331.0
34,1511974800000,0.67687,0.74842,0.66768,0.73504,133063.62
35,1511978400000,0.73461,0.75334,0.71173,0.72072,202014.15
36,1511982000000,0.72071,0.72566,0.65,0.65004,264557.83
37,1511985600000,0.65004,0.75196,0.65003,0.68078,251040.97
38,1511989200000,0.69711,0.73699,0.68284,0.73699,182130.56
39,1511992800000,0.73699,0.78,0.72002,0.73269,207612.0
40,1511996400000,0.7327,0.73922,0.702,0.71593,257061.64
41,1512000000000,0.71594,0.73918,0.71368,0.72373,135462.02
42,1512003600000,0.72404,0.74,0.702,0.73611,190971.13
43,1512007200000,0.74,0.74,0.68569,0.68569,225543.85
44,1512010800000,0.68569,0.68886,0.66,0.66633,180009.39
45,1512014400000,0.66631,0.68389,0.66002,0.67336,199914.5
46,1512018000000,0.67337,0.67936,0.66001,0.66401,225616.95
47,1512021600000,0.66551,0.675,0.6546,0.66223,162547.94
48,1512025200000,0.665,0.69606,0.66159,0.69571,117174.22
49,1512028800000,0.69633,0.70074,0.6799,0.69034,278555.63
50,1512032400000,0.69147,0.6916,0.67409,0.68411,272048.76
51,1512036000000,0.68878,0.69061,0.65033,0.65034,203947.77
52,1512039600000,0.65033,0.66072,0.65,0.65279,186688.24
53,1512043200000,0.65281,0.66158,0.64541,0.65638,266965.3
54,1512046800000,0.65931,0.65988,0.62825,0.63767,234539.85
55,1512050400000,0.63411,0.64919,0.61561,0.64919,185298.04
56,1512054000000,0.6502,0.6502,0.63843,0.65018,328051.09
57,1512057600000,0.6502,0.6744,0.64569,0.67147,186471.81
58,1512061200000,0.67293,0.68212,0.65838,0.67479,282020.86
59,1512064800000,0.67476,0.7066,0.67469,0.69996,375642.2
60,1512068400000,0.70053,0.70473,0.68379,0.69385,196008.82
61,1512072000000,0.69315,0.70227,0.68099,0.6898,156465.23
62,1512075600000,0.69108,0.69958,0.66656,0.67359,243165.78
63,1512079200000,0.67755,0.68388,0.66654,0.67483,286069.06
64,1512082800000,0.68087,0.6856,0.65201,0.6543,228689.32
65,1512086400000,0.652,0.66575,0.64207,0.65741,226533.7
66,1512090000000,0.65451,0.65818,0.64201,0.64657,165198.75
67,1512093600000,0.64396,0.65316,0.64333,0.64657,235939.41
68,1512097200000,0.64657,0.64657,0.63672,0.63825,117968.09
69,1512100800000,0.63815,0.64408,0.63247,0.64335,138060.66
70,1512104400000,0.64189,0.65335,0.63885,0.65231,102334.41
71,1512108000000,0.64748,0.6523,0.63628,0.64052,283212.93
72,1512111600000,0.63972,0.63972,0.62894,0.63069,215324.36
73,1512115200000,0.63104,0.63654,0.62236,0.6364,109960.11
