,ts,open,high,low,close,volume
0,1510041600000,0.0003148,0.000428,0.0003148,0.00042,7399.1
1,1510045200000,0.0004149,0.0004149,0.0003849,0.000395,108110.7
2,1510048800000,0.000395,0.0004121,0.0003866,0.0004072,35332.41
3,1510052400000,0.0004024,0.00041,0.0003889,0.0004035,25164.62
4,1510056000000,0.0003901,0.0003975,0.0003849,0.0003927,48833.61
5,1510059600000,0.0003928,0.0003948,0.0003811,0.0003874,95511.8
6,1510063200000,0.0003874,0.0004014,0.000381,0.0003913,53549.43
7,1510066800000,0.0003913,0.0003942,0.000381,0.0003844,28919.59
8,1510070400000,0.0003901,0.0003996,0.0003846,0.0003899,11081.79
9,1510074000000,0.0003925,0.0004007,0.0003901,0.0003952,71154.7
10,1510077600000,0.0003971,0.0004009,0.0003944,0.000399,53504.1
11,1510081200000,0.0004001,0.0004002,0.0003954,0.0003984,46602.31
12,1510084800000,0.0003984,0.0003999,0.0003864,0.0003904,16546.02
13,1510088400000,0.0003916,0.0004028,0.0003905,0.0003964,29438.29
14,1510092000000,0.0003964,0.0004014,0.0003855,0.0003918,16630.18
15,1510095600000,0.0003918,0.000397,0.0003864,0.0003864,22155.05
16,1510099200000,0.0003862,0.0003899,0.0003821,0.0003827,13783.74
17,1510102800000,0.0003827,0.0003827,0.0003662,0.000367,34908.07
18,1510106400000,0.0003691,0.0003812,0.000364,0.0003769,8840.71
19,1510110000000,0.0003769,0.0003769,0.0003682,0.0003703,29174.07
20,1510113600000,0.0003694,0.0003799,0.0003601,0.0003688,12181.09
21,1510117200000,0.000368,0.000368,0.000354,0.000361,9860.73
22,1510120800000,0.0003574,0.0003592,0.0003477,0.0003563,6741.07
23,1510124400000,0.0003541,0.0003541,0.0003459,0.0003534,10587.58
24,1510128000000,0.0003534,0.0003669,0.0003519,0.0003577,11285.81
25,1510131600000,0.0003581,0.0003711,0.0003564,0.000371,51703.87
26,1510135200000,0.000371,0.0003725,0.0003564,0.0003644,25749.03
27,1510138800000,0.0003641,0.0003708,0.0003603,0.0003653,43461.11
28,1510142400000,0.0003644,0.0003654,0.0003516,0.0003527,24353.58
29,1510146000000,0.0003537,0.0003571,0.0003518,0.0003565,45931.47
30,1510149600000,0.0003559,0.0003716,0.0003526,0.0003612,23065.98
31,1510153200000,0.0003612,0.0003656,0.0003516,0.0003648,32257.71
32,1510156800000,0.0003591,0.0003653,0.0003582,0.0003612,35271.34
33,1510160400000,0.0003612,0.0003798,0.0003057,0.0003772,43269.02
34,1510164000000,0.0003772,0.0004013,0.0003766,0.0003931,25120.06
35,1510167600000,0.0003931,0.0004009,0.0003655,0.0003905,46079.85
36,1510171200000,0.0003903,0.000405,0.0003903,0.0004044,60137.52
37,1510174800000,0.0004044,0.0004085,0.0003959,0.000402,29898.23
38,1510178400000,0.0004078,0.0004085,0.000376,0.0003835,50451.11
39,1510182000000,0.0003833,0.0003837,0.0003729,0.0003764,21491.83
40,1510185600000,0.0003805,0.0003899,0.0003782,0.0003897,51759.41
41,1510189200000,0.0003897,0.0003898,0.0003842,0.0003871,53745.5
42,1510192800000,0.0003888,0.0003898,0.0003799,0.0003805,37690.34
43,1510196400000,0.0003854,0.0003894,0.0003807,0.0003822,5043.07
44,1510200000000,0.0003859,0.0003896,0.0003817,0.0003895,18303.63
45,1510203600000,0.0003889,0.0003899,0.0003804,0.0003805,10401.81
46,1510207200000,0.0003829,0.0003898,0.0003804,0.0003857,16144.18
47,1510210800000,0.0003857,0.0003859,0.0003782,0.0003834,49254.24
48,1510214400000,0.000383,0.000386,0.0003769,0.0003832,37327.0
49,1510218000000,0.0003832,0.0003859,0.0003745,0.0003801,48590.54
50,1510221600000,0.0003801,0.0003829,0.0003752,0.0003801,27281.77
51,1510225200000,0.00038,0.0004,0.0003797,0.0003957,31109.04
52,1510228800000,0.0003957,0.0003976,0.0003753,0.000385,28426.87
53,1510232400000,0.0003837,0.0003996,0.0003837,0.0003877,24817.19
54,1510236000000,0.0003879,0.0003988,0.0003806,0.0003827,19161.95
55,1510239600000,0.0003827,0.000399,0.0003801,0.000388,43087.2
56,1510243200000,0.0003916,0.0003917,0.0003847,0.0003886,30603.12
57,1510246800000,0.0003869,0.0003916,0.0003844,0.0003906,9490.29
58,1510250400000,0.0003847,0.0003847,0.0003752,0.0003752,22503.11
59,1510254000000,0.000376,0.0003835,0.0003737,0.0003829,12213.01
60,1510257600000,0.0003828,0.0003887,0.0003778,0.0003801,24698.67
61,1510261200000,0.0003796,0.0003886,0.000379,0.000384,11652.64
62,1510264800000,0.0003833,0.0003885,0.0003808,0.0003808,35508.74
63,1510268400000,0.0003808,0.000391,0.0003806,0.0003851,21588.19
64,1510272000000,0.0003879,0.0003879,0.0003737,0.000376,19597.78
65,1510275600000,0.0003756,0.000378,0.0003659,0.0003739,24809.8
66,1510279200000,0.0003704,0.0003781,0.00035,0.000351,24704.88
67,1510282800000,0.0003485,0.0003585,0.0003305,0.0003417,36366.65
68,1510286400000,0.0003417,0.0003622,0.0003399,0.0003494,15662.11
69,1510290000000,0.000349,0.000349,0.0003363,0.0003385,33948.85
70,1510293600000,0.0003385,0.00035,0.0003368,0.0003449,40514.38
71,1510297200000,0.0003439,0.0003573,0.00034,0.0003427,34931.25
72,1510300800000,0.0003427,0.0003539,0.0003427,0.0003443,58877.31
73,1510304400000,0.0003456,0.0003502,0.0003434,0.000347,29236.61
74,1510308000000,0.000347,0.000347,0.0003379,0.000342,40227.74
75,1510311600000,0.000342,0.0003505,0.0003406,0.0003473,43497.93
76,1510315200000,0.0003473,0.0003507,0.0003458,0.0003465,27786.36
77,1510318800000,0.0003465,0.0003508,0.000345,0.0003451,43171.85
78,1510322400000,0.0003451,0.0003499,0.0003304,0.0003325,37058.27
79,1510326000000,0.000342,0.000342,0.0003302,0.0003346,4138.07
80,1510329600000,0.0003318,0.0003419,0.0003318,0.0003376,77251.56
81,1510333200000,0.0003376,0.0003409,0.000332,0.0003354,42593.68
82,1510336800000,0.0003354,0.0003406,0.0003208,0.0003276,15549.39
83,1510340400000,0.0003293,0.0003321,0.00032,0.0003246,12299.21
84,1510344000000,0.0003256,0.00033,0.000321,0.0003294,56301.38
85,1510347600000,0.0003295,0.0003409,0.0003295,0.0003405,83792.37
86,1510351200000,0.0003379,0.0003464,0.0003359,0.0003439,41771.25
87,1510354800000,0.0003464,0.0003543,0.0003383,0.0003383,41269.38
88,1510358400000,0.0003383,0.0003444,0.00033,0.0003438,11139.77
89,1510362000000,0.0003474,0.0003544,0.0003411,0.0003519,18566.99
90,1510365600000,0.0003503,0.0003542,0.0003423,0.0003463,12949.25
91,1510369200000,0.0003463,0.0003543,0.0003462,0.0003464,34528.85
92,1510372800000,0.0003464,0.00035,0.0003464,0.0003498,38705.51
93,1510376400000,0.0003498,0.0003499,0.0003421,0.0003455,68490.32
94,1510380000000,0.0003455,0.00035,0.0003435,0.0003435,32239.38
95,1510383600000,0.0003435,0.0003451,0.0003383,0.000339,21691.31
96,1510387200000,0.0003394,0.000342,0.0003383,0.0003419,19593.96
97,1510390800000,0.000342,0.0003428,0.000341,0.0003423,21256.38
98,1510394400000,0.0003424,0.0003496,0.0003416,0.0003419,18509.71
99,1510398000000,0.0003416,0.0003499,0.0003364,0.0003416,27335.29
100,1510401600000,0.0003373,0.0003416,0.000335,0.000335,13731.02
101,1510405200000,0.0003403,0.0003407,0.00033,0.0003301,44153.22
102,1510408800000,0.0003301,0.0003342,0.0003301,0.0003301,21184.38
103,1510412400000,0.0003301,0.0003328,0.0003249,0.0003283,27260.67
104,1510416000000,0.0003285,0.0003359,0.0003284,0.000329,17791.39
105,1510419600000,0.000329,0.0003327,0.0003282,0.0003286,53185.23
106,1510423200000,0.000333,0.0003331,0.0003249,0.0003323,69570.33
107,1510426800000,0.0003324,0.000336,0.0003287,0.0003316,35352.02
108,1510430400000,0.0003314,0.000332,0.0003284,0.0003285,55644.68
109,1510434000000,0.0003284,0.0003361,0.0003284,0.0003322,48061.07
110,1510437600000,0.0003322,0.0003362,0.0003285,0.0003322,40973.71
111,1510441200000,0.0003322,0.0003324,0.00033,0.0003301,93443.53
112,1510444800000,0.0003301,0.0003319,0.0003301,0.0003303,28431.06
113,1510448400000,0.0003302,0.0003361,0.00033,0.0003318,21550.13
114,1510452000000,0.0003317,0.0003318,0.0003285,0.0003312,6484.03
115,1510455600000,0.0003312,0.0003324,0.0003241,0.0003257,11332.19
