,ts,open,high,low,close,volume
0,1510041600000,0.007532,0.0095,0.007532,0.0095,419.81
1,1510045200000,0.0095,0.0095,0.008211,0.009,1365.52
2,1510048800000,0.009472,0.010908,0.0093,0.009616,7348.52
3,1510052400000,0.009697,0.009697,0.009229,0.009229,128.36
4,1510056000000,0.009229,0.0093,0.008993,0.0093,3020.33
5,1510059600000,0.0093,0.0095,0.009101,0.0095,166.29
6,1510063200000,0.0095,0.009699,0.009494,0.009699,1855.57
7,1510066800000,0.0095,0.009692,0.0095,0.009692,445.62
8,1510070400000,0.009663,0.009663,0.009268,0.009663,712.82
9,1510074000000,0.009662,0.0097,0.009662,0.0097,457.11
10,1510077600000,0.0097,0.0097,0.009598,0.009598,44.41
11,1510081200000,0.00976,0.009999,0.00976,0.009999,806.75
12,1510084800000,0.009999,0.01,0.009999,0.01,674.4
13,1510088400000,0.01,0.01,0.01,0.01,6.58
14,1510092000000,0.01,0.010269,0.01,0.010269,993.89
15,1510095600000,0.01008,0.010217,0.01008,0.010217,838.36
16,1510099200000,0.0102,0.0102,0.009264,0.009378,552.91
17,1510102800000,0.009378,0.009378,0.0092,0.0092,1274.16
18,1510106400000,0.009131,0.009131,0.009131,0.009131,102.0
19,1510110000000,0.009131,0.009131,0.009131,0.009131,71.23
20,1510113600000,0.009106,0.009106,0.009105,0.009105,216.6
21,1510117200000,0.009,0.009,0.0088,0.0088,814.54
22,1510120800000,0.008832,0.009616,0.008832,0.009616,52.54
23,1510124400000,0.0088,0.0088,0.008601,0.008601,198.94
24,1510128000000,0.00965,0.00965,0.00965,0.00965,174.39
25,1510131600000,0.00965,0.00965,0.00965,0.00965,0.0
26,1510135200000,0.008864,0.008864,0.008864,0.008864,298.85
27,1510138800000,0.008864,0.008864,0.008864,0.008864,0.0
28,1510142400000,0.008864,0.008864,0.008856,0.008856,100.07
29,1510146000000,0.008856,0.008856,0.00878,0.00878,400.63
30,1510149600000,0.008856,0.008864,0.008856,0.008864,94.09
31,1510153200000,0.008867,0.008867,0.008856,0.008867,75.42
32,1510156800000,0.008867,0.008867,0.008867,0.008867,0.0
33,1510160400000,0.009614,0.009614,0.007733,0.009137,3742.16
34,1510164000000,0.009509,0.009509,0.008952,0.009397,1286.33
35,1510167600000,0.009367,0.009367,0.009,0.00901,196.81
36,1510171200000,0.009,0.00941,0.009,0.00941,1076.8
37,1510174800000,0.00941,0.00941,0.00941,0.00941,2.53
38,1510178400000,0.00941,0.00941,0.009039,0.009039,104.7
39,1510182000000,0.0091,0.0091,0.009,0.009,841.16
40,1510185600000,0.009,0.009,0.009,0.009,0.0
41,1510189200000,0.009,0.009,0.009,0.009,0.0
42,1510192800000,0.009,0.009,0.009,0.009,0.0
43,1510196400000,0.00915,0.00915,0.0091,0.0091,289.8
44,1510200000000,0.0091,0.0091,0.0091,0.0091,0.0
45,1510203600000,0.009,0.009,0.009,0.009,286.18
46,1510207200000,0.009,0.0093,0.009,0.0093,621.6
47,1510210800000,0.00941,0.00941,0.009,0.009,366.14
48,1510214400000,0.00886,0.00886,0.00886,0.00886,150.0
49,1510218000000,0.00886,0.00886,0.00886,0.00886,0.0
50,1510221600000,0.00886,0.00886,0.00886,0.00886,0.0
51,1510225200000,0.00886,0.009,0.00886,0.009,488.3
52,1510228800000,0.009,0.009,0.008386,0.008386,1429.01
53,1510232400000,0.008386,0.008386,0.008386,0.008386,0.0
54,1510236000000,0.008434,0.0092,0.008434,0.0092,12.99
55,1510239600000,0.009061,0.009084,0.008126,0.008126,1825.81
56,1510243200000,0.008126,0.008126,0.008126,0.008126,0.0
57,1510246800000,0.008126,0.008126,0.008126,0.008126,0.0
58,1510250400000,0.0084,0.0084,0.008298,0.008298,1106.74
59,1510254000000,0.008298,0.008298,0.008288,0.008288,267.69
60,1510257600000,0.008289,0.008328,0.008289,0.008328,229.54
61,1510261200000,0.008327,0.008328,0.008288,0.008288,219.97
62,1510264800000,0.008288,0.008288,0.008288,0.008288,0.0
63,1510268400000,0.008328,0.00889,0.008328,0.00889,247.16
64,1510272000000,0.008633,0.008633,0.008588,0.008588,555.23
65,1510275600000,0.00841,0.00841,0.00841,0.00841,329.38
66,1510279200000,0.00829,0.008511,0.008,0.008,882.84
67,1510282800000,0.0077,0.008183,0.007396,0.007965,1451.1
68,1510286400000,0.007955,0.007956,0.007955,0.007956,342.59
69,1510290000000,0.007701,0.007701,0.007619,0.007619,693.87
70,1510293600000,0.0077,0.00793,0.0077,0.0079,631.42
71,1510297200000,0.0079,0.0079,0.0078,0.0078,153.47
72,1510300800000,0.00793,0.00793,0.00792,0.00793,675.27
73,1510304400000,0.007933,0.007933,0.007933,0.007933,55.46
74,1510308000000,0.00762,0.007848,0.0073,0.007563,1289.61
75,1510311600000,0.007578,0.0076,0.0074,0.0074,295.56
76,1510315200000,0.007589,0.0076,0.007589,0.0076,400.75
77,1510318800000,0.007649,0.007919,0.007649,0.0077,2463.9
78,1510322400000,0.007601,0.007601,0.0074,0.00745,643.48
79,1510326000000,0.00745,0.00745,0.00745,0.00745,0.0
80,1510329600000,0.00745,0.00804,0.00745,0.00804,478.59
81,1510333200000,0.00804,0.00804,0.007452,0.007454,156.35
82,1510336800000,0.007482,0.007482,0.007241,0.007241,2369.59
83,1510340400000,0.007183,0.007614,0.007183,0.007614,1151.51
84,1510344000000,0.007101,0.0072,0.0071,0.0072,231.78
85,1510347600000,0.007386,0.007508,0.007386,0.007508,122.3
86,1510351200000,0.0076,0.0076,0.007509,0.007509,29.07
87,1510354800000,0.007702,0.007702,0.007639,0.007657,521.33
88,1510358400000,0.00754,0.00754,0.007509,0.00754,283.11
89,1510362000000,0.007657,0.007702,0.007657,0.007702,57.19
90,1510365600000,0.007702,0.007702,0.007702,0.007702,0.0
91,1510369200000,0.007779,0.007779,0.007779,0.007779,35.33
92,1510372800000,0.007779,0.007779,0.007779,0.007779,0.0
93,1510376400000,0.00778,0.00778,0.007779,0.007779,167.0
94,1510380000000,0.00774,0.007741,0.00774,0.007741,151.29
95,1510383600000,0.0076,0.0076,0.007501,0.007501,139.0
96,1510387200000,0.007525,0.007525,0.007525,0.007525,357.7
97,1510390800000,0.007525,0.007525,0.007525,0.007525,29.97
98,1510394400000,0.007525,0.007525,0.007525,0.007525,59.94
99,1510398000000,0.007391,0.007391,0.00739,0.00739,81.54
100,1510401600000,0.007313,0.007313,0.007311,0.007311,539.44
101,1510405200000,0.007035,0.007259,0.007,0.007259,393.3
102,1510408800000,0.007259,0.007259,0.007259,0.007259,0.0
103,1510412400000,0.007001,0.007001,0.006946,0.006946,198.0
104,1510416000000,0.006905,0.006908,0.006904,0.006908,84.26
105,1510419600000,0.006908,0.006908,0.006908,0.006908,0.0
106,1510423200000,0.0068,0.0068,0.006659,0.006659,132.59
107,1510426800000,0.006657,0.006657,0.006657,0.006657,8.86
108,1510430400000,0.006644,0.006644,0.006642,0.006642,159.83
109,1510434000000,0.006639,0.0068,0.006639,0.0068,241.0
110,1510437600000,0.0068,0.0069,0.0068,0.0068,287.0
111,1510441200000,0.00664,0.00664,0.00664,0.00664,42.0
112,1510444800000,0.006641,0.006641,0.00664,0.00664,324.0
113,1510448400000,0.00664,0.00664,0.00664,0.00664,0.0
114,1510452000000,0.00651,0.00651,0.00651,0.00651,8.65
115,1510455600000,0.006511,0.006511,0.0065,0.0065,410.99
116,1510459200000,0.0065,0.0065,0.00631,0.00642,316.19
117,1510462800000,0.00642,0.006665,0.005799,0.006665,6452.78
118,1510466400000,0.006043,0.006043,0.005672,0.005672,363.9
119,1510470000000,0.006339,0.006611,0.006035,0.006525,3046.12
120,1510473600000,0.006704,0.00671,0.0067,0.00671,621.08
121,1510477200000,0.006375,0.006613,0.005878,0.006613,1244.67
122,1510480800000,0.006613,0.00671,0.006613,0.00671,28.01
123,1510484400000,0.00671,0.00671,0.00671,0.00671,0.0
124,1510488000000,0.006684,0.006684,0.006396,0.006396,3763.5
125,1510491600000,0.006396,0.00659,0.006396,0.006396,43.0
126,1510495200000,0.006396,0.006732,0.006396,0.006651,691.15
127,1510498800000,0.006556,0.006557,0.006556,0.006557,442.17
128,1510502400000,0.006612,0.006649,0.006263,0.006263,789.44
129,1510506000000,0.00665,0.006764,0.006201,0.006663,4921.63
130,1510509600000,0.006619,0.006654,0.006159,0.006159,734.18
131,1510513200000,0.006212,0.00668,0.006159,0.006526,2841.47
132,1510516800000,0.006618,0.006627,0.0061,0.0061,1039.75
133,1510520400000,0.0061,0.006397,0.006,0.006151,2820.42
134,1510524000000,0.006151,0.006151,0.006074,0.006074,322.44
135,1510527600000,0.005984,0.006155,0.005983,0.006145,439.61
136,1510531200000,0.006146,0.006146,0.006146,0.006146,150.0
137,1510534800000,0.006146,0.006146,0.006146,0.006146,0.0
138,1510538400000,0.006374,0.006374,0.006374,0.006374,1.2
139,1510542000000,0.006374,0.006374,0.006374,0.006374,10.0
140,1510545600000,0.006374,0.006375,0.006116,0.006116,1610.42
141,1510549200000,0.006472,0.0072,0.006472,0.006697,2724.84
142,1510552800000,0.006697,0.006697,0.006697,0.006697,0.0
143,1510556400000,0.006697,0.007,0.0065,0.0065,1824.42
144,1510560000000,0.006501,0.006501,0.0065,0.0065,120.23
145,1510563600000,0.006389,0.006698,0.006389,0.006698,280.98
146,1510567200000,0.006705,0.006705,0.006698,0.006698,2685.68
147,1510570800000,0.006698,0.006698,0.006698,0.006698,0.0
