,ts,open,high,low,close,volume
0,1513065600000,1.77e-06,2.5e-06,1.59e-06,1.7e-06,5732430.0
1,1513069200000,1.76e-06,1.76e-06,1.45e-06,1.49e-06,20984405.0
2,1513072800000,1.49e-06,1.85e-06,1.48e-06,1.64e-06,16896127.0
3,1513076400000,1.64e-06,1.91e-06,1.61e-06,1.82e-06,17687616.0
4,1513080000000,1.82e-06,1.84e-06,1.48e-06,1.65e-06,23465487.0
5,1513083600000,1.64e-06,1.65e-06,1.49e-06,1.58e-06,11051907.0
6,1513087200000,1.57e-06,1.62e-06,1.52e-06,1.57e-06,5076276.0
7,1513090800000,1.57e-06,1.58e-06,1.43e-06,1.43e-06,6463942.0
8,1513094400000,1.43e-06,1.52e-06,1.37e-06,1.41e-06,4148311.0
9,1513098000000,1.42e-06,1.53e-06,1.36e-06,1.37e-06,7556985.0
10,1513101600000,1.41e-06,1.54e-06,1.35e-06,1.42e-06,4521245.0
11,1513105200000,1.43e-06,1.52e-06,1.41e-06,1.45e-06,2750967.0
12,1513108800000,1.45e-06,1.51e-06,1.41e-06,1.5e-06,4099709.0
13,1513112400000,1.49e-06,1.5e-06,1.41e-06,1.46e-06,2427265.0
14,1513116000000,1.45e-06,1.5e-06,1.41e-06,1.43e-06,1972660.0
15,1513119600000,1.46e-06,1.51e-06,1.34e-06,1.43e-06,4828175.0
16,1513123200000,1.43e-06,1.49e-06,1.4e-06,1.45e-06,3033787.0
17,1513126800000,1.46e-06,1.47e-06,1.35e-06,1.37e-06,3215902.0
18,1513130400000,1.35e-06,1.39e-06,1.23e-06,1.28e-06,7654112.0
19,1513134000000,1.27e-06,1.43e-06,1.22e-06,1.4e-06,5519844.0
20,1513137600000,1.4e-06,1.5e-06,1.39e-06,1.5e-06,1847835.0
21,1513141200000,1.5e-06,1.5e-06,1.37e-06,1.4e-06,1662161.0
22,1513144800000,1.39e-06,1.44e-06,1.3e-06,1.37e-06,5879794.0
23,1513148400000,1.37e-06,1.41e-06,1.31e-06,1.33e-06,6010384.0
24,1513152000000,1.35e-06,1.38e-06,1.25e-06,1.37e-06,5277632.0
25,1513155600000,1.33e-06,1.41e-06,1.33e-06,1.37e-06,3897212.0
26,1513159200000,1.37e-06,1.47e-06,1.36e-06,1.4e-06,6506593.0
27,1513162800000,1.41e-06,1.43e-06,1.37e-06,1.41e-06,2036134.0
28,1513166400000,1.41e-06,1.5e-06,1.39e-06,1.46e-06,3140655.0
29,1513170000000,1.47e-06,1.48e-06,1.41e-06,1.41e-06,2973699.0
30,1513173600000,1.44e-06,1.55e-06,1.42e-06,1.49e-06,4147171.0
31,1513177200000,1.49e-06,1.49e-06,1.4e-06,1.43e-06,2013705.0
32,1513180800000,1.43e-06,1.43e-06,1.39e-06,1.42e-06,3153841.0
33,1513184400000,1.41e-06,1.44e-06,1.39e-06,1.4e-06,1713944.0
34,1513188000000,1.4e-06,1.42e-06,1.33e-06,1.39e-06,2261986.0
35,1513191600000,1.36e-06,1.4e-06,1.29e-06,1.36e-06,1502427.0
36,1513195200000,1.39e-06,1.4e-06,1.3e-06,1.33e-06,2762283.0
37,1513198800000,1.33e-06,1.46e-06,1.33e-06,1.39e-06,1618910.0
