,ts,open,high,low,close,volume
0,1513065600000,0.00031996,0.00031996,5.501e-05,5.501e-05,1667888.0
1,1513069200000,5.5e-05,5.5e-05,4.55e-05,4.818e-05,16443726.0
2,1513072800000,4.88e-05,5.791e-05,4.818e-05,5.01e-05,10332097.0
3,1513076400000,5.031e-05,5.8e-05,4.999e-05,5.699e-05,9739591.0
4,1513080000000,5.699e-05,5.757e-05,4.686e-05,4.899e-05,10526601.0
5,1513083600000,4.804e-05,4.95e-05,4e-05,4.7e-05,5764791.0
6,1513087200000,4.7e-05,4.796e-05,4.259e-05,4.389e-05,4287436.0
7,1513090800000,4.35e-05,4.35e-05,3.7e-05,3.87e-05,4750252.0
8,1513094400000,3.848e-05,3.964e-05,3.821e-05,3.896e-05,3709406.0
9,1513098000000,3.85e-05,3.999e-05,3.74e-05,3.928e-05,2781651.0
10,1513101600000,3.938e-05,4.198e-05,3.892e-05,4.19e-05,3966242.0
11,1513105200000,4.185e-05,4.19e-05,3.909e-05,4.19e-05,1051961.0
12,1513108800000,4.19e-05,4.19e-05,3.901e-05,4.138e-05,889167.0
13,1513112400000,4.181e-05,4.195e-05,3.967e-05,4.1e-05,1028984.0
14,1513116000000,4.1e-05,4.2e-05,4.003e-05,4.101e-05,2123369.0
15,1513119600000,4.103e-05,4.107e-05,3.799e-05,3.8e-05,1911610.0
16,1513123200000,3.799e-05,3.989e-05,3.726e-05,3.989e-05,798126.0
17,1513126800000,3.89e-05,3.979e-05,3.623e-05,3.7e-05,2653301.0
18,1513130400000,3.662e-05,3.7e-05,3.4e-05,3.5e-05,5689772.0
19,1513134000000,3.593e-05,3.9e-05,3.432e-05,3.801e-05,1518150.0
20,1513137600000,3.805e-05,4e-05,3.762e-05,3.999e-05,1318822.0
21,1513141200000,3.999e-05,4.048e-05,3.802e-05,3.82e-05,935856.0
22,1513144800000,3.81e-05,3.821e-05,3.5e-05,3.6e-05,3008384.0
23,1513148400000,3.613e-05,3.741e-05,3.502e-05,3.6e-05,768706.0
24,1513152000000,3.598e-05,3.598e-05,3.389e-05,3.401e-05,2421011.0
25,1513155600000,3.408e-05,3.594e-05,3.4e-05,3.5e-05,1407068.0
26,1513159200000,3.502e-05,3.598e-05,3.49e-05,3.501e-05,4150758.0
27,1513162800000,3.5e-05,3.747e-05,3.433e-05,3.5e-05,1878166.0
28,1513166400000,3.541e-05,3.7e-05,3.476e-05,3.64e-05,672515.0
29,1513170000000,3.699e-05,3.71e-05,3.501e-05,3.502e-05,1072775.0
30,1513173600000,3.579e-05,3.65e-05,3.259e-05,3.4e-05,3141475.0
31,1513177200000,3.395e-05,3.4e-05,3.301e-05,3.327e-05,2260410.0
32,1513180800000,3.328e-05,3.35e-05,3.203e-05,3.301e-05,1519616.0
33,1513184400000,3.301e-05,3.375e-05,3.3e-05,3.32e-05,107130.0
34,1513188000000,3.32e-05,3.351e-05,3.2e-05,3.2e-05,1124391.0
35,1513191600000,3.201e-05,3.35e-05,3.003e-05,3.2e-05,255406.0
36,1513195200000,3.151e-05,3.3e-05,3.09e-05,3.1e-05,636016.0
37,1513198800000,3.199e-05,3.479e-05,3.007e-05,3.472e-05,451023.0
38,1513202400000,3.34e-05,3.475e-05,3.202e-05,3.455e-05,1448951.0
39,1513206000000,3.474e-05,3.589e-05,3.214e-05,3.447e-05,1556827.0
